Date,Open,High,Low,Close,Volume
2014-01-02,9433.139648,9695.169922,9258.450195,9345.790039,513373.0
2014-01-03,9345.790039,9433.139648,9258.450195,9345.790039,578884.0
2014-01-06,9345.790039,9782.509766,9258.450195,9782.509766,564607.0
2014-01-07,9782.509766,9957.200195,9520.480469,9520.480469,587574.0
2014-01-08,9433.139648,9869.860352,9433.139648,9782.509766,837837.0
2014-01-09,9869.860352,10131.900391,9782.509766,10131.900391,1855722.0
2014-01-10,10306.599609,10306.599609,9957.200195,10044.5,1199282.0
2014-01-13,9957.200195,10656.0,9869.860352,10481.299805,1995056.0
2014-01-14,10481.299805,10656.0,10393.900391,10393.900391,1108446.0
2014-01-15,10481.299805,10568.599609,10393.900391,10481.299805,1083178.0
2014-01-16,10568.599609,10918.0,10481.299805,10656.0,1291710.0
2014-01-17,10743.299805,10743.299805,10306.599609,10306.599609,1302358.0
2014-01-21,10306.599609,10568.599609,10219.200195,10481.299805,1131275.0
2014-01-22,10656.0,10656.0,10481.299805,10656.0,828552.0
2014-01-23,10656.0,10743.299805,10481.299805,10656.0,396433.0
2014-01-24,10743.299805,11005.299805,10743.299805,11005.299805,1047365.0
2014-01-27,10918.0,11180.0,10918.0,11092.700195,535916.0
2014-01-28,11092.700195,11092.700195,11092.700195,11092.700195,0.0
2014-01-29,11092.700195,11092.700195,11092.700195,11092.700195,0.0
2014-01-30,11092.700195,11092.700195,11092.700195,11092.700195,0.0
2014-01-31,11092.700195,11092.700195,11092.700195,11092.700195,0.0
2014-02-03,11092.700195,11092.700195,11092.700195,11092.700195,0.0
2014-02-04,11092.700195,11092.700195,11092.700195,11092.700195,0.0
2014-02-05,11092.700195,11092.700195,11092.700195,11092.700195,0.0
2014-02-06,11005.299805,11354.700195,10918.0,11354.700195,297467.0
2014-02-07,11267.400391,11354.700195,10918.0,11092.700195,905089.0
2014-02-10,11005.299805,11791.400391,11005.299805,11791.400391,1623319.0
2014-02-11,12053.5,12490.200195,11966.099609,12140.799805,1825646.0
2014-02-12,11966.099609,12315.5,11704.099609,12140.799805,1220417.0
2014-02-13,12140.799805,12577.5,11966.099609,12402.799805,1292580.0
2014-02-14,12402.799805,12490.200195,12140.799805,12402.799805,614124.0
2014-02-18,12839.5,13014.200195,12664.900391,12926.900391,480285.0
2014-02-19,12926.900391,12926.900391,12926.900391,12926.900391,0.0
2014-02-20,13101.599609,13101.599609,12228.099609,12577.5,1004203.0
2014-02-21,12490.200195,12577.5,11966.099609,12228.099609,555734.0
2014-02-24,12402.799805,12402.799805,11878.799805,12315.5,565340.0
2014-02-25,12315.5,12752.200195,12228.099609,12402.799805,765903.0
2014-02-26,12577.5,12752.200195,12315.5,12752.200195,785183.0
2014-02-27,12752.200195,13014.200195,12228.099609,12315.5,997253.0
2014-02-28,12315.5,12402.799805,12140.799805,12402.799805,490177.0
2014-03-03,12402.799805,12402.799805,11704.099609,11704.099609,804097.0
2014-03-04,11529.400391,11791.400391,11442.0,11529.400391,594283.0
2014-03-05,11878.799805,11966.099609,11616.700195,11966.099609,649730.0
2014-03-06,11966.099609,12228.099609,11791.400391,12140.799805,641109.0
2014-03-07,12140.799805,12577.5,12140.799805,12402.799805,517391.0
2014-03-10,12402.799805,12402.799805,12140.799805,12228.099609,528543.0
2014-03-11,12228.099609,12664.900391,12228.099609,12577.5,958395.0
2014-03-12,12490.200195,12577.5,12053.5,12228.099609,664946.0
