Date,Close,High,Low,Open,Volume
2010-12-08,2105752.75,2124969.5138088376,2031919.9206292026,2047091.0499519692,3
2010-12-09,2081478.875,2109292.611181973,2057710.7731717688,2059227.8860544218,6
2010-12-10,2068836.875,2139129.792532388,2055688.5594903445,2103224.7771021756,5
2010-12-13,2030908.625,2042539.8247945718,1978821.0780938745,2003600.5906997013,1
2010-12-14,2030402.75,2051642.3304483187,1992474.9277708593,2022311.4812577832,1
2010-12-15,2105752.75,2113338.314661383,2034954.146493756,2069847.743936119,1
2010-12-16,2169977.75,2211951.2184805404,2119913.0104870657,2119913.0104870657,1
2010-12-17,2167954.5,2213467.890482855,2145703.5090972707,2155311.8915325403,0
2010-12-20,2134072.25,2179079.934893365,2118901.1202606633,2138117.884597156,1
2010-12-21,2141152.25,2168965.9896669816,2119912.666981578,2120924.0756967408,0
2010-12-22,2186665.5,2188182.612974098,2138623.5891535613,2138623.5891535613,0
2010-12-23,2153795.25,2201331.468243719,2125475.800833529,2186160.334761681,0
2010-12-27,2181102.5,2221053.137027591,2152277.356828194,2152277.356828194,0
2010-12-28,2064790.625,2135589.2259061965,2059227.8777859416,2096649.9954077883,1
2010-12-29,2051643.25,2069342.9083066303,2032932.1826472762,2051643.25,0
2010-12-30,2082996.5,2094627.7016266084,2033437.4669822773,2045574.3730274339,0
2010-12-31,2042033.875,2071870.4274083704,2024839.929544329,2064284.8632367507,0
2011-01-03,2088559.0,2110809.9917675545,2007140.5983050847,2007140.5983050847,1
2011-01-04,2205882.0,2274657.7799174692,2125980.726272352,2133060.5859697387,1
2011-01-05,2262521.0,2314102.8377291015,2238752.8983012964,2256958.25279392,1
2011-01-06,2378833.25,2392487.2673788266,2259992.728369473,2259992.728369473,1
2011-01-07,2379844.5,2408669.645877603,2301460.3313854653,2408669.645877603,1
2011-01-10,2364168.0,2415749.847272727,2355571.0254545454,2368719.3394652405,0
2011-01-11,2270612.5,2329274.2037861915,2267578.2739420934,2294886.3084632517,0
2011-01-12,2277186.5,2328768.3394403732,2258981.1449033977,2258981.1449033977,0
2011-01-13,2429908.75,2455699.6649323623,2262520.655046826,2263026.3592611863,1
2011-01-14,2528016.25,2552290.060762152,2473905.880176035,2473905.880176035,1
2011-01-18,2444574.5,2475422.4612122467,2420300.694455937,2463791.2627223833,1
2011-01-19,2489582.5,2517901.9434288037,2391475.8566930736,2391981.5610400164,1
2011-01-20,2554819.0,2658994.1215360253,2544704.9105304834,2590724.0176167856,2
2011-01-21,2609434.0,2613479.634108527,2528521.3178294576,2567966.250387597,1
2011-01-24,2663038.75,2689841.076955944,2559875.0764337257,2617525.3646031143,2
2011-01-25,2698943.75,2754065.5166760352,2673658.535928424,2727263.189760165,2
2011-01-26,2484525.75,2707541.3933441886,2481491.523559943,2702484.349277427,3
2011-01-27,2614491.25,2649384.8469535783,2496156.4429400386,2496662.147243714,3
2011-01-28,2557347.25,2656971.0206644256,2462780.523531738,2652419.680887878,3
2011-01-31,2593757.5,2637753.7765646325,2540152.8411971144,2569989.3965685316,1
2011-02-01,2445080.0,2579597.3278179937,2421311.900723888,2525992.678386763,2
2011-02-02,2489582.5,2524981.8042860045,2433449.317489336,2440023.473999594,1
2011-02-03,2344951.0,2519924.6998059093,2333825.504636619,2464802.927323701,2
2011-02-04,2378833.25,2393498.6760735544,2307528.937021684,2314608.797884779,1
2011-02-07,2382879.25,2386924.885398981,2329780.28538837,2340400.078310696,1
2011-02-08,2275164.0,2323711.6203600797,2269601.2518337406,2308540.488997555,1
2011-02-09,2344951.0,2368719.1037308606,2252912.8110847534,2279715.1408238085,1
2011-02-10,2387936.25,2447609.3710292247,2365179.551302414,2399567.451556544,1
2011-02-11,2418784.0,2425863.8611749946,2327757.213464353,2378327.650428601,0
2011-02-14,2347985.25,2374281.8756730566,2330791.3024445404,2370741.945293991,1
2011-02-15,2261510.0,2295392.193649374,2241787.529069768,2290840.8542039357,1
2011-02-16,2234707.25,2299943.103190767,2226110.2770988913,2239764.2928830055,2
2011-02-17,2191216.5,2225098.6845141933,2188182.274521117,2203353.401915532,1
2011-02-18,2143175.25,2167449.0612317133,2096144.740738556,2157334.973218499,1
2011-02-22,2178069.0,2182620.3399117715,2047091.5514279082,2055688.52681681,1
2011-02-23,2097155.25,2162391.0897034,2062767.3655051845,2146208.5558234868,2
2011-02-24,2229650.75,2234707.7941143117,2076928.0177477887,2077939.426570651,3
2011-02-25,2135083.5,2190710.9715774516,2135083.5,2190710.9715774516,1
2011-02-28,2068836.875,2134072.7481055977,2068836.875,2112327.457070398,1
2011-03-01,2005623.25,2039505.4380358045,1983372.2608421585,2033436.9864473022,1
2011-03-02,1996520.875,2027368.8419136272,1976798.404350304,1976798.404350304,0
2011-03-03,2055182.375,2105247.1031311518,2045068.2885088583,2049619.627429872,1
2011-03-04,2026357.375,2044562.7320002494,1999555.0438607435,2044562.7320002494,1
2011-03-07,2053665.125,2066813.4365611917,1897908.2034289583,1897908.2034289583,0
2011-03-08,2090582.25,2144186.923076923,2065297.026850508,2068331.2536284472,1
2011-03-09,2128509.5,2148231.9686386315,2063273.6421952958,2073893.433000713,0
2011-03-10,2277692.5,2294380.7443383657,2213973.7488898756,2226616.3582371227,1
2011-03-11,2195263.0,2332308.904860631,2165426.437687169,2321183.407049067,1
2011-03-14,2205377.25,2250384.948979592,2184137.661717496,2198803.0917220823,0
2011-03-15,2301966.25,2425863.818376538,2287806.527899824,2412715.5049978034,1
2011-03-16,2403612.75,2443057.688880707,2263026.9421944036,2307528.924521355,2
2011-03-17,2363662.25,2407658.530648267,2339894.1443624306,2357088.093121523,0
2011-03-18,2285783.5,2324217.0278761066,2249372.7893805313,2300448.9251106195,1
2011-03-21,2170483.25,2232684.8902027025,2170483.25,2195262.7652027025,0
2011-03-22,2153795.25,2210939.852782343,2130532.8453275417,2192734.4926038976,0
2011-03-23,2004612.0,2143174.988900101,1991969.3915237135,2135083.7194752777,1
2011-03-24,2018772.125,2033437.5537637775,1931285.256857465,2020289.2383203907,1
2011-03-25,2053159.5,2070353.446551724,1981349.4879310343,2014725.972413793,1
2011-03-28,2124464.0,2127498.226136634,2055688.2075696262,2099178.7821947155,1
2011-03-29,2119407.0,2152277.783822477,2065802.337151038,2126992.565497495,0
2011-03-30,2036976.75,2108281.050335154,2033436.820196127,2065296.188430983,1
2011-03-31,2008152.25,2013209.2941954168,1975787.1671493328,1997026.7527700833,0
2011-04-01,2029897.75,2052654.4512331837,2000061.1861609367,2021806.4784504233,1
2011-04-04,2024840.0,2030402.7472527474,1969212.5274725275,2004611.8281718283,0
2011-04-05,1831155.5,2033942.9497376415,1829132.682546258,2024840.2711958021,1
2011-04-06,1823064.375,1848349.5951803052,1780079.5006934814,1798284.859223301,1
2011-04-07,1836718.5,1848349.7019548458,1786653.7611508812,1833684.2734030837,1
2011-04-08,1759851.25,1792216.3304597703,1747208.6404454024,1772493.8595545979,1
2011-04-11,1856946.125,1888299.7905092593,1766425.0584490742,1766930.7627314816,1
2011-04-12,1917631.0,1946961.8539029537,1858463.5878164559,1880714.5804324895,1
2011-04-13,1930779.75,1949996.5206914614,1873635.142417496,1880715.005303824,1
2011-04-14,1883748.625,1935330.4665436242,1864026.1561744967,1918642.223691275,1
2011-04-15,1895380.25,1917125.5410218784,1869083.6189967983,1885771.865594984,1
2011-04-18,1932296.25,2009163.3083616854,1897402.6511384454,1897402.6511384454,1
2011-04-19,1880208.875,1947467.5571880043,1877174.6487358795,1929262.1996032814,1
2011-04-20,1852395.25,1853406.658817909,1791205.0165165165,1832167.0736418236,1
2011-04-21,1819524.125,1843292.2278001667,1801318.769663702,1814972.7861659254,1
2011-04-25,1909539.625,1919653.7119968222,1807387.3463320977,1807387.3463320977,1
2011-04-26,1966684.25,1988429.537413217,1929262.1274749294,1929262.1274749294,1
2011-04-27,1872117.25,2007645.9974338196,1863520.2772150189,1938364.5108725012,1
2011-04-28,1892346.0,1901448.6798503473,1816490.3345804382,1851889.645109567,1
2011-04-29,1837223.625,1895885.320706028,1820535.3839801815,1886782.6437861272,0
2011-05-02,1958087.125,1989946.497126808,1841269.4272017046,1882737.181398502,1
2011-05-03,2081984.375,2125474.94003522,1970223.736944377,1985394.8642822444,2
2011-05-04,2076927.625,2165425.8802654007,2037482.6883674215,2073387.694789384,2
2011-05-05,2234707.25,2292357.538866259,2101707.0221769633,2146208.999547409,3
2011-05-06,2224088.0,2243810.472032742,2110810.2119145067,2169977.628012733,2
2011-05-09,2142669.25,2214984.9693179135,2138623.615352844,2172000.101191881,1
