Date,Close,High,Low,Open,Volume,Adj Close
2019-06-14,5.896385192871094,5.896385192871094,5.896385192871094,5.896385192871094,1012,
2019-06-17,5.896385192871094,5.896385192871094,5.896385192871094,5.896385192871094,0,
2019-06-18,5.896385192871094,5.896385192871094,5.896385192871094,5.896385192871094,0,
2019-06-19,5.896385192871094,5.896385192871094,5.896385192871094,5.896385192871094,0,
2019-06-20,29.48192405700684,29.48192405700684,29.48192405700684,29.48192405700684,8093,
2019-06-21,56.99839019775391,57.98112106323242,36.3561271927625,36.3561271927625,36418,
2019-06-24,12.97204875946045,59.94658633541484,7.861847388251126,59.94658633541484,497707,
2019-06-25,21.816625595092773,22.603792901680286,12.284136246803769,14.249598046292371,68789,
2019-06-26,16.215059280395508,49.13359285903741,16.215059280395508,29.48192596435547,166914,
2019-06-27,12.284135818481444,22.701083751015123,12.264481239094946,20.14598274230957,202320,
2019-06-28,11.792770385742188,17.197790145874023,11.763288042624056,14.740962982177734,182088,
2019-07-01,7.665301322937012,11.79178847507324,7.567027475453706,11.79178847507324,444092,
2019-07-02,9.827308654785156,9.827308654785156,5.601565553996834,7.861846923828125,267062,
2019-07-03,10.61349391937256,11.792770600157606,8.942850848837496,10.81003971681114,52603,
2019-07-05,7.861846446990967,10.318673461675644,7.667266028058646,10.318673461675644,252900,
2019-07-08,7.689868927001953,8.365988432137904,7.62599130855637,8.076081734222264,197262,
2019-07-09,6.879116058349609,7.861846923828125,6.682570264484612,7.665301129963128,233680,
2019-07-10,5.896385192871094,6.977388481243726,5.822680283152529,6.879116058349609,406663,
2019-07-11,5.405019760131836,5.994657564051996,5.405019760131836,5.896384675738359,243796,
2019-07-12,5.454156398773193,5.591738933314291,5.326401628306401,5.405020422632056,265039,
2019-07-15,5.405019760131836,5.626133995856689,4.618834283431043,5.011926784762269,260993,
2019-07-16,5.011927127838135,5.405020130115659,4.7367625476860775,5.405020130115659,159833,
2019-07-17,5.11020040512085,5.257610219072152,4.815381251256608,4.815381251256608,90032,
2019-07-18,5.282177925109863,5.405019746243781,5.090545556371496,5.208473022044849,89021,
2019-07-19,5.11020040512085,5.405020033023455,5.11020040512085,5.405020033023455,66766,
2019-07-22,4.71710729598999,5.18881812039666,4.423369430727961,5.18881812039666,113299,
2019-07-23,4.324015140533447,4.520561865059293,4.179553852631807,4.520561865059293,95090,
2019-07-24,4.127469539642334,4.717107368107867,4.127469539642334,4.717107368107867,113299,
2019-07-25,4.7416768074035645,5.257610732586357,4.225742882220772,4.2552247530828735,161856,
2019-07-26,4.520562648773193,4.717107985258387,4.471425722103867,4.717107985258387,52603,
2019-07-29,3.960405349731445,4.432116205315981,3.958439986591173,4.432116205315981,89021,
2019-07-30,4.00462818145752,4.127469533808742,4.00462818145752,4.127469533808742,73847,
2019-07-31,4.270947456359863,4.547095170350431,4.115185095900112,4.127469325322407,231656,
2019-08-01,4.078332901000977,4.284706439350962,4.029195983078913,4.2748791505742165,115322,
2019-08-02,4.2748799324035645,4.6188351024953285,4.078333646884132,4.078333646884132,88009,
2019-08-05,4.658144474029541,4.81538109827469,4.613921436441418,4.618834369891555,139601,
2019-08-06,4.715141773223877,4.766244053992221,4.522527198004878,4.717107136167659,67777,
