Date,Close,High,Low,Open,Volume
2011-06-24,13.826289176940918,14.007096541228314,13.778319272950649,13.973886824251805,25527000
2011-06-27,13.855810165405273,13.907469419883416,13.652862490980095,13.75618099993638,20235200
2011-06-28,14.125179290771484,14.125179290771486,13.881641765330919,13.93699177877122,20732600
2011-06-29,14.350259780883789,14.40929910747932,14.169452459013721,14.22111169383374,28885600
2011-06-30,14.527385711669922,14.582735726475665,14.328128755109814,14.376097266491486,24759200
2011-07-01,14.660216331481934,14.68235660640686,14.431439121025244,14.53106824677458,26882800
2011-07-05,14.678666114807129,14.72663600751675,14.597487920539201,14.64914715533022,21081000
2011-07-06,14.737709045410156,14.793059043426744,14.575351209561845,14.627010456985902,29273800
2011-07-07,14.959108352661133,15.025527790446723,14.852099102050019,14.907449102741007,23141200
2011-07-08,14.844718933105469,14.855788370144136,14.686050433375994,14.730329589139645,22743200
2011-07-11,14.545835494995117,14.693434598583236,14.464657254870087,14.627015142729519,23123800
2011-07-12,14.486793518066406,14.634392594990995,14.442514358032676,14.442514358032676,17070200
2011-07-13,14.612249374389648,14.767228514773565,14.553210037007403,14.582730409502943,20591000
2011-07-14,14.472027778625488,14.730323927646678,14.435127323330716,14.645454991881367,21614800
2011-07-15,14.601178169250488,14.619627696020212,14.472030074253754,14.54213883902217,26862800
2011-07-18,14.427751541137695,14.612249649886815,14.361332109379301,14.564281155090423,32278400
2011-07-19,14.645455360412598,14.65652620108383,14.545826240022357,14.545826240022357,19083200
2011-07-20,14.634385108947754,14.686044337162969,14.567965699068647,14.682354995551195,13646800
2011-07-21,14.81151008605957,14.833650369048874,14.638081388332687,14.70819158066095,19496200
2011-07-22,14.741402626037598,14.807822073365053,14.69343271238795,14.804131322063975,14452800
2011-07-25,14.704504013061523,14.80413319666846,14.567975757426552,14.59380538936805,11050400
2011-07-26,14.545835494995117,14.704504038689064,14.520005863008603,14.70081469452358,14344200
2011-07-27,14.213733673095703,14.556900248811619,14.191593394543172,14.497860913613655,31927800
2011-07-28,14.184216499328613,14.405615111938838,14.165766966846702,14.258016036865355,20092200
2011-07-29,14.025543212890625,14.169452895533722,13.885325687661897,13.973883976479133,26653000
2011-08-01,13.977580070495605,14.294917109907209,13.844741178871292,14.283846263865742,29084800
2011-08-02,13.545851707458496,14.01447710376224,13.545851707458496,13.866879451511656,41598200
2011-08-03,13.615962982177734,13.656551389653455,13.265416242710733,13.564302321773143,38959600
2011-08-04,12.69346809387207,13.409320116487844,12.69346809387207,13.394559932695701,78015800
2011-08-05,12.663956642150879,13.018192856905266,12.30972042739649,12.900114118653804,66010000
2011-08-08,11.737771987915039,12.468385189460436,11.667663198359266,12.298647230993302,75544800
2011-08-09,12.461008071899414,12.46838816850162,11.663975937784773,11.925963032920302,62942000
2011-08-10,12.03296947479248,12.505284284690452,11.996069000513472,12.184257900313497,65754600
2011-08-11,12.627052307128906,12.796790246745154,12.10676764344675,12.173187082011196,55098600
2011-08-12,12.708231925964355,12.841070817725761,12.604913413531778,12.704542582352833,29769400
2011-08-15,12.911176681518555,12.914866023891843,12.708227660770445,12.7857179266964,55693600
2011-08-16,12.704538345336914,12.87796699703171,12.597529117371671,12.800476730941437,32716000
2011-08-17,12.741443634033203,12.951771442888306,12.682404273786322,12.778344113943367,27525200
2011-08-18,11.99975872039795,12.416724894454001,11.892749465599742,12.4093448002325,53075400
2011-08-19,11.807880401611328,12.213775727373104,11.800500307447237,11.837400778267693,38924800
2011-08-22,11.807880401611328,12.143666944227789,11.767290587513344,12.136286850063698,24809400
2011-08-23,12.224844932556152,12.228534275338784,11.815258910850584,11.900127870939572,31366800
2011-08-24,12.398271560668945,12.401962310871438,12.110454979660426,12.18056374981131,19027400
2011-08-25,12.261747360229492,12.505284871461509,12.199018662425582,12.409346449052812,22707400
2011-08-26,12.520040512084961,12.549559474556899,11.94440596399059,12.173184609289537,29035600
2011-08-29,12.900105476379395,12.907485568527104,12.627049104957399,12.660258815817766,25578800
2011-08-30,13.007120132446289,13.088299772360342,12.807861784080469,12.84476226022742,26398200
2011-08-31,13.040328979492188,13.254346096303088,12.925939622549494,13.114128519209759,24743600
2011-09-01,12.863212585449219,13.176858910133458,12.852143145729098,13.029261219297656,25240800
2011-09-02,12.534804344177246,12.689782109365952,12.483145089114343,12.582772848101866,26353200
2011-09-06,12.468382835388184,12.490521708115818,12.16211529163954,12.180564821448867,27213200
2011-09-07,12.826308250427246,12.826308250427246,12.608600419866061,12.678710603971007,25526200
2011-09-08,12.656574249267578,12.859521955848749,12.604914986604298,12.737753894943781,23190600
2011-09-09,12.239603042602539,12.505280751920173,12.165804930110989,12.505280751920173,37833400
2011-09-12,12.158424377441406,12.294952569517044,11.903816113106439,12.0993850451161,27529200
