Date,accum_25,adr_cc,age_52w_high,at_new_high,bbw_pctile,beta_120,corr_120,dist_52w_high,dist_52w_low,ep_gap_20,ep_gap_vol_20,fip,gap_1d,mansfield_rs,max_dret_21,mom_12_1,nearness_52wh,px_vs_sma200,px_vs_sma50,ret_12m,ret_1m,ret_3m,ret_6m,rs_ibd_raw,rs_line,rs_line_new_high,sma200_slope,tightness_20,trend_template,vcp_contraction,vol_20d,vol_dryup,vol_shock
2005-01-13,0.04078179195743766,0.1522653796598571,,0.1243297075609447,-0.09884388846129089,,,-0.06047486940733238,0.1237112454202119,0.039752131080713904,,0.19587953123401802,0.13421062128885156,,0.10033097364519307,0.08835218760736024,0.06047486940733238,0.09177665843809307,0.03290592314607383,0.09062874527775217,0.06706617527855625,-0.002583316556062901,0.10908320623623113,0.08997944501541623,,,0.04786290149969322,-0.10382251411239551,0.09190116812360909,0.040255133345699974,0.15525667678069127,0.08402334441574749,-0.10772563176895308
2005-01-28,-0.010617390617233931,0.19399561186084877,,0.004773566433404509,-0.04245524279712281,,,-0.06207500267634607,0.17596900776052488,0.07552011066334789,,0.121698653212093,0.000470399927420593,,0.1428047955608202,0.10698035259925284,0.06207500267634607,0.13925029608595768,0.09668077812118535,0.09454850865851097,0.07700582145806709,0.11362102348321777,0.14138348307529092,0.1265749715355234,,,0.06938770850872562,-0.11819575888496546,0.16787549803119736,0.028968193947004183,0.19007496874890606,0.11184086985060145,-0.129301237139881
2005-02-11,0.09108996218396352,0.11199359321274142,0.12421597569418522,0.0814658403682248,0.04479126081599036,,,-0.09473402290565698,0.2405037965134395,0.057419745343838556,,0.15821503796262587,0.030093056877700863,,0.12518326582153924,0.0936130358386102,0.09473402290565698,0.21248155705540733,0.1890609314463356,0.13907823050315507,0.1985901788105898,0.14829758313165137,0.21156501631762797,0.17407530197040524,,,0.14230904239380146,-0.08230808337569903,0.14245420390161959,0.1036237718348316,0.06419141643570526,-0.027941922086251885,0.04252745974621965
2005-02-28,0.13165607220059453,0.1405491688122844,0.0733281770332183,-0.004032713790071812,-0.05434583776843742,,,-0.10234866927671878,0.1774698360554922,0.1368803178357314,,0.0654906855158476,0.05033529008483264,,0.13397676363994795,0.03358640276718717,0.10234866927671878,0.15991952169632284,0.14906291886911127,0.05529844586210101,0.14621580626244543,0.10230852069906139,0.15863611288386026,0.10372255191238715,,,0.11176609922803613,-0.034629450448529775,0.11612881531226237,-0.04785680167214525,0.12398445315446807,-0.0328314338013187,0.044635708792877794
2005-03-14,0.10778871879895074,0.2855098486733225,0.09021081040564764,-0.03340101899631492,-0.09005565516965365,,,0.03333937196445384,0.21814296466083277,0.06546906943287649,,0.09367891831894731,0.05451956150154553,,0.20969348095889287,0.08422968339300586,-0.03333937196445384,0.16929793161233062,0.1058046307800621,0.07050752306677194,-0.0058211447457593565,0.11321038928654659,0.16216718781479256,0.11790128518403115,,,0.15381071378966515,-0.12527014894698696,0.0906718410533983,-0.08338492825164578,0.2775800711743772,-0.09026778809862322,0.027208883876944093
2005-03-29,0.008847012347196393,0.3260393897529001,0.057567612669694575,-0.12009072086358413,-0.07177052829917023,,,0.05586802783413283,0.20517415565614888,0.12637613212097143,,0.1063433222989032,-0.004030808752483866,,0.18641334748667815,0.11290603467857951,-0.05586802783413283,0.15434313983438894,0.0050907916964437055,0.060571233869484785,-0.21450692306066413,0.10376620362696021,0.13482222860186843,0.11691897210076355,,,0.1777614166710894,-0.16731471001142487,0.07279163413962754,-0.0637714283133217,0.3140285954536708,0.10308965196387859,-0.002762065971143976
2005-04-12,-0.07744250016267142,0.25576098531000974,0.04514679552262285,0.03445497836440946,0.0006120846938018316,,,0.029499929055756324,0.11474109291769857,0.16196763916301984,,0.105501676774117,-0.008658535257929522,,0.1748502939917725,0.03207598730307858,-0.029499929055756324,0.09844800348702358,-0.040330567126898066,0.01928703466358917,-0.030732899289896188,0.043645964872000925,0.0819281587046482,0.06624215617303676,,,0.09636290339883169,-0.17772528171153235,0.04694661456030653,0.0009440258184286035,0.22872977712634476,-0.06287426502056868,0.01542736929589902
2005-04-26,-0.14090826595241954,0.26342469902324517,-0.01926190490144445,-0.035817834262465625,-0.002573734664510866,,,0.08262270203946184,0.18416837600419236,0.04354103932182098,,0.10561717553357083,0.021328706216233298,,0.18164846252728806,0.06861942610811782,-0.08262270203946184,0.07806506325311748,-0.07753257042671441,0.0687638589925256,-0.03742230391766708,0.03272036111056858,0.12290596511486976,0.09300479183117177,,,0.12773651742551964,-0.2012179688260554,0.014960729600270357,-0.012514316018944479,0.24224707676664967,0.008574949752553842,0.011813909766561966
2005-05-10,-0.13079046451127174,0.41701145995645883,-0.04512400417857086,0.029884725680072548,-0.15826556970310926,,,0.09220686150316312,0.18449154473061016,0.2112897992145197,,0.1429226491633762,-0.061239210821495305,,0.34499441921117485,0.0942460167227336,-0.09220686150316312,0.08640828664960043,-0.04361201850211923,0.1200602494348235,0.030403889574567085,-0.0019753418053013437,0.07264350926441461,0.1152830209088254,-0.12404124082383956,-0.15954372458753707,0.12820288424730314,-0.3409950380709258,0.03441421281229999,-0.13321375041576147,0.40748433511255516,-0.012817043442223047,-0.026120293936040175
2005-05-24,0.03946654478702372,0.3815630621158133,0.0344247091410514,0.06250706374611309,-0.18025752088122476,,,0.014984858992604167,0.24603433325865476,0.2870607205862188,,0.10101406870164566,0.12482928463276785,,0.31837457715206663,0.1500408889478279,-0.014984858992604167,0.15109607495293984,0.11966825848691631,0.1968918874117296,0.14129603095977789,-0.011568001217969094,0.10175610336509858,0.17661096928908487,-0.03755371366103035,-0.09457848869931518,0.19710321838275727,-0.3239901150001158,0.11959866604274585,-0.11747927038999782,0.38694624828843105,-0.09926047546831471,-0.028332631336462768
