label,n,n_bonds,mean_ret,median_ret,win_rate,mean_hold,stale_share,mean_ann,control_mean_ret,excess_vs_control,excess_p_boot,family,params
"firesale {'discount': 1.0, 'require_sell_pressure': True}",8741,993,-0.016999370760823224,-0.015352717234325674,0.22022651870495366,16.993250200205924,0.002402471113144949,-0.44056329640284336,-0.016378475871658887,-0.0006208948891643362,0.976,firesale,"{""discount"": 1.0, ""require_sell_pressure"": true}"
"firesale {'discount': 1.5, 'require_sell_pressure': True}",6817,948,-0.01699310235096287,-0.015750044664197684,0.2272260525157694,16.801672289863575,0.0024937655860349127,-0.44106194565954626,-0.016671098856250177,-0.0003220034947126922,0.8055,firesale,"{""discount"": 1.5, ""require_sell_pressure"": true}"
"firesale {'discount': 2.5, 'require_sell_pressure': True}",3876,856,-0.016828474000378877,-0.015730725317899985,0.2567079463364293,16.67982456140351,0.0023219814241486067,-0.43743295933741977,-0.017212152564855282,0.000383678564476405,0.279,firesale,"{""discount"": 2.5, ""require_sell_pressure"": true}"
"firesale {'discount': 1.5, 'require_sell_pressure': False}",8222,1081,-0.017173234844885626,-0.01585869252414215,0.2291413281440039,17.888713208465095,0.005229871077596692,-0.44095473799960455,-0.016530077082332003,-0.0006431577625536228,0.9635,firesale,"{""discount"": 1.5, ""require_sell_pressure"": false}"
"momentum {'window_days': 60, 'thresh': 1.0}",8105,1188,-0.014834477573118563,-0.012034803824918151,0.27624922887106723,30.561628624305985,0.016286243059839604,-0.2090225263225289,-0.014686446711726224,-0.00014803086139233979,0.789,momentum,"{""window_days"": 60, ""thresh"": 1.0}"
"momentum {'window_days': 120, 'thresh': 2.0}",4985,1046,-0.017617799450462244,-0.013783361011693534,0.2561685055165496,30.87542627883651,0.018455366098294883,-0.2486484886196445,-0.01471037085630538,-0.0029074285941568644,1.0,momentum,"{""window_days"": 120, ""thresh"": 2.0}"
new_issue {'max_age_days': 10},623,623,-0.010768274019553561,-0.005362588093599247,0.420545746388443,62.07383627608347,0.14446227929373998,-0.08336734750408566,-0.013908914337808005,0.0031406403182544437,0.0595,new_issue,"{""max_age_days"": 10}"
new_issue {'max_age_days': 30},776,776,-0.011352553757825566,-0.0058343304206936505,0.39948453608247425,62.25257731958763,0.13917525773195877,-0.08411200184281022,-0.012138610340368625,0.0007860565825430592,0.405,new_issue,"{""max_age_days"": 30}"
value {'ytw_cheap': 0.1},3291,1205,0.0029097936885829753,0.010212568703877632,0.568824065633546,377.9863263445761,0.02917046490428441,0.002469602739152917,0.010813278553698574,-0.0079034848651156,1.0,value,"{""ytw_cheap"": 0.1}"
value {'ytw_cheap': 0.2},2945,1168,0.0031557148623363573,0.010766366202487599,0.568081494057725,377.4665534804754,0.026825127334465196,0.0026301701315775265,0.010527358596714912,-0.007371643734378555,1.0,value,"{""ytw_cheap"": 0.2}"
value {'ytw_cheap': 0.35},2408,1097,0.008967950376259465,0.010449389155924079,0.5651993355481728,377.00789036544853,0.02408637873754153,0.008267283191408554,0.011060266268314328,-0.002092315892054863,0.9015,value,"{""ytw_cheap"": 0.35}"
value {'ytw_cheap': 0.5},1941,1029,0.014048329437271908,0.012407989913469097,0.5589902112313241,376.4193714580113,0.021638330757341576,0.013227801751834108,0.008602637067378682,0.005445692369893226,0.027,value,"{""ytw_cheap"": 0.5}"
price_discount {'discount': 1.0},2462,1112,0.006799329724782482,0.013700181493374338,0.5881397238017871,376.25182778229083,0.021527213647441104,0.0061053359730700455,0.010054329881635772,-0.00325500015685329,0.957,price_discount,"{""discount"": 1.0}"
price_discount {'discount': 2.0},2051,1051,0.01680800043771155,0.019819399258782556,0.6104339346660166,375.8074110190151,0.017552413456850317,0.015947887611418722,0.010000077958664692,0.006807922479046859,0.0005,price_discount,"{""discount"": 2.0}"
price_discount {'discount': 3.0},1701,971,0.02558386235007064,0.026495122038496667,0.6266901822457378,375.05349794238685,0.012933568489124045,0.024650434547537427,0.0056401863919661,0.01994367595810454,0.0,price_discount,"{""discount"": 3.0}"
