,conservative,recommended,turbo_rv
2010-03-11,0.0019601659754991275,0.0019601659754991275,
2010-03-12,-6.980319156151639e-05,-0.00030235239367113723,
2010-03-15,-0.0007361358351231031,-0.0005434182302852728,
2010-03-16,0.004702730483379661,0.0026095716111867737,
2010-03-17,0.002804413473679845,0.0014731779912257508,
2010-03-18,2.9432856125493644e-05,7.111800310675449e-06,
2010-03-19,-0.0038414806070726495,-0.001954720124747334,
2010-03-22,0.0008073891530490328,0.0005129691761081921,
2010-03-23,0.0025091607885047414,0.0012585007067605566,
2010-03-24,-0.0019902810483588816,-0.0011062772722554486,
2010-03-25,-0.0014618564921042262,-0.0005142185245042749,
2010-03-26,-1.6240287043168894e-05,-8.246238381676156e-06,
2010-03-29,0.0019325968161916483,0.0007487406716719765,
2010-03-30,-0.0009481424164391683,-0.0004741595995439889,
2010-03-31,0.0012519363351782518,0.0008438584875862824,
2010-04-01,0.0012103976950550589,0.000605209687103271,
2010-04-02,-8.399649458042237e-05,-4.200270288808175e-05,
2010-04-05,0.0020517680521553922,0.0008081058377481005,
2010-04-06,0.0026040839060626642,0.0013020459662492555,
2010-04-07,0.0014189758161511053,0.0007094887844782764,
2010-04-08,0.0009818394657919215,0.0004909199626546949,
2010-04-09,0.002960398451693632,0.001480199812451462,
2010-04-12,0.0013647469404091343,0.0006823735732904212,
2010-04-13,-0.001278847551942177,-0.0006394238819986685,
2010-04-14,0.004004422862405471,0.002002211535642675,
2010-04-15,0.001152790734191102,0.0005763953768228907,
2010-04-16,-0.0032667557938395823,-0.0016333779249843089,
2010-04-19,-0.00515701094381994,-0.0024695651577789305,
2010-04-20,0.0034017576164434536,0.0015919622088387858,
2010-04-21,0.002091722848070695,0.001045861425517755,
2010-04-22,-0.002128466503111242,-0.0010642332527795962,
2010-04-23,0.0037742674559065334,0.0018871337287156165,
2010-04-26,0.002565468278313062,0.001391674475388335,
2010-04-27,-0.0035055020847444083,-0.0018616676477863075,
2010-04-28,0.0010018884483571947,0.0006098845602035794,
2010-04-29,0.001392776196490605,0.000696388098258294,
2010-04-30,0.004179298358335698,0.001980732574002572,
2010-05-03,-0.0004339858128891945,-0.00010805257043207147,
2010-05-04,-0.002126981048449102,-0.0011724071294225652,
2010-05-05,-0.006072993859996464,-0.002927556593987693,
2010-05-06,0.0002044506603097512,0.00021114193534827404,
2010-05-07,-0.001914455935444585,-0.0009572279677228416,
2010-05-10,0.002936075368003587,0.0014680376840020704,
2010-05-11,0.0009218030154491395,0.00046090150772459376,
2010-05-12,3.11414453512786e-05,1.5570722675625974e-05,
2010-05-13,0.0002628848027130468,2.2549516649577243e-05,
2010-05-14,0.0019752361854435993,0.0010965346979154402,
2010-05-17,-0.0010441377443285527,-0.0005220688721642819,
2010-05-18,0.001972901312089192,0.0008775577713376533,
2010-05-19,-0.0005454228049302662,-0.00016379479727150233,
2010-05-20,0.0022014194659883885,0.0011007097329941951,
2010-05-21,-6.755135590397342e-05,-3.377567795198684e-05,
2010-05-24,0.0002610132705633359,0.00013050663528166792,
2010-05-25,0.0009205704040008942,0.000460285202000447,
2010-05-26,0.00012279601902575476,0.00017054747500377604,
2010-05-27,-0.0031440678068436843,-0.001790028665596165,
2010-05-28,0.0013662498918770873,0.0007920415511321755,
2010-05-31,0.0,0.0,
2010-06-01,0.0007569943207325267,0.00037849716036626334,
2010-06-02,-0.0011713659056684514,-0.00047653348734332706,
2010-06-03,-0.0017797315254483026,-0.001107860524898474,
2010-06-04,0.00410693544543467,0.002271557569780398,
2010-06-07,0.0017212769646230378,0.0007515128388319283,
2010-06-08,-0.0007820879451702775,-0.0002818945070942401,
2010-06-09,-0.00013423067921781848,-6.711533960890924e-05,
2010-06-10,0.0026111082862470053,0.0013055541431235026,
2010-06-11,0.0014511662740133188,0.0007255831370066594,
2010-06-14,-0.0005613558597091705,-0.000498672692028908,
2010-06-15,0.005939634328991764,0.002969817164495882,
2010-06-16,0.0004142870542214942,0.0002071435271107471,
2010-06-17,-0.00019265387268274694,-9.632693634137347e-05,
2010-06-18,0.0010763774226808078,0.0006471053165340358,
2010-06-21,-0.0008468890773642973,-0.0005323374233890945,
2010-06-22,-0.0033403444354540507,-0.0015612556125333935,
2010-06-23,0.0010092659379837162,0.0005046329689918581,
2010-06-24,-0.0032249947022731755,-0.0016124973511365878,
2010-06-25,0.0018382243515435675,0.0009191121757717838,
2010-06-28,0.00045577161388581696,0.00022788580694290848,
2010-06-29,-0.009415355414247893,-0.004707677707123947,
2010-06-30,-0.0026113895080168096,-0.0011965452885175061,
2010-07-01,-0.0005050014869911843,-0.0003616263869751828,
2010-07-02,-0.001513298230511603,-0.0007566491152558015,
2010-07-05,-2.2125e-05,-1.10625e-05,
2010-07-06,0.0022961479316150313,0.0010391810811005698,
2010-07-07,0.0073080255482087415,0.0036540127741043708,
2010-07-08,0.0014472907208219344,0.0008325619656045991,
2010-07-09,0.002406370234329026,0.001094292232457567,
2010-07-12,-0.0005475248435274978,-0.00016484581657011702,
2010-07-13,-0.0005941822848333087,-0.00029709114241665435,
2010-07-14,0.0007656332030485347,0.00038281660152426737,
2010-07-15,0.0026380244724183077,0.0013190122362091538,
2010-07-16,-0.000335920152027596,-0.000167960076013798,
2010-07-19,-0.0013545787056191364,-0.0007861822375165141,
2010-07-20,0.0008546715519647691,0.00042733577598238456,
2010-07-21,0.0019121196325362743,0.0009560598162681372,
2010-07-22,-0.0005785850774373501,-0.00028929253871867505,
2010-07-23,-0.0014568228995736037,-0.00061949484459317,
