,ret
2013-01-02,-0.0015073211286856787
2013-01-03,-0.012259158682002334
2013-01-04,0.005663675552317244
2013-01-07,0.004857383805012364
2013-01-08,0.0013383748826268915
2013-01-09,-0.0009324610072280652
2013-01-10,-0.0008005177517324731
2013-01-11,0.014462931694421513
2013-01-14,-0.002123681615281055
2013-01-15,0.00037349131863047714
2013-01-16,-0.0011874712218002215
2013-01-17,0.004648653171125987
2013-01-18,-0.0005132727070667291
2013-01-22,0.011546070566314105
2013-01-23,-0.0037131831053040334
2013-01-24,-0.010324380787055996
2013-01-25,-0.011146713911926861
2013-01-28,0.0025654083026389607
2013-01-29,-0.0039056889755727893
2013-01-30,0.0010018251545432786
2013-01-31,0.012758065910411545
2013-02-01,-0.011132900124548187
2013-02-04,0.008764390112061647
2013-02-05,-0.007873109151850539
2013-02-06,0.004046688545019364
2013-02-07,-0.0028407033493574874
2013-02-08,0.0006685657015114512
2013-02-11,0.0009390284478001385
2013-02-12,0.005051388773169536
2013-02-13,-0.003222454795366351
2013-02-14,-0.014886934923741971
2013-02-15,0.0010438687499177237
2013-02-19,-0.005598967970335655
2013-02-20,-0.011123912481011928
2013-02-21,0.0008027133402989105
2013-02-22,0.011322992331092314
2013-02-25,-0.003431146378429376
2013-02-26,0.006726128714819109
2013-02-27,0.0009976294811255089
2013-02-28,-0.0051796995326232045
2013-03-01,0.002345749420865924
2013-03-04,0.0118976198625698
2013-03-05,-0.021724180527618556
2013-03-06,0.04612060057971186
2013-03-07,-0.03846295389442707
2013-03-08,0.02477192928098278
2013-03-11,0.016003796421171595
2013-03-12,0.010095371459999834
2013-03-13,-0.03682807377469043
2013-03-14,0.021124614497950518
2013-03-15,0.026123971500332743
2013-03-18,-0.008371654655664362
2013-03-19,0.0034020823485714224
2013-03-20,0.007685392119306374
2013-03-21,0.008071345230384181
2013-03-22,-0.010680217865617975
2013-03-25,-0.009181200651464808
2013-03-26,-0.0047610880786976475
2013-03-27,0.015128112528763003
2013-03-28,0.004384166397557232
2013-04-01,-0.03177237734033363
2013-04-02,-0.035277176499749076
2013-04-03,-0.05328316652391925
2013-04-04,0.0697761888093232
2013-04-05,-0.00933988008467083
2013-04-08,-0.011473532828611854
2013-04-09,0.012730938718665447
2013-04-10,-0.035003956264933946
2013-04-11,-0.04047220286396628
2013-04-12,-0.14186322446987018
2013-04-15,-0.0213645934483924
2013-04-16,-0.043397435940054
2013-04-17,-0.03684998810047384
2013-04-18,0.045060155910538656
2013-04-19,0.02939331058720847
2013-04-22,-0.023394515686694664
2013-04-23,0.008852586431648286
2013-04-24,0.07428606946486578
2013-04-25,0.009812253484633139
2013-04-26,-0.02131790072277991
2013-04-29,-0.011230994951608543
2013-04-30,-0.012529921739532414
2013-05-01,0.021709916060672112
2013-05-02,-0.016952535812755316
2013-05-03,-0.005591978345287351
2013-05-06,-0.026631563406932585
2013-05-07,0.002255094007869126
2013-05-08,0.01815782206642032
2013-05-09,-0.03273355587994127
2013-05-10,-0.0034374630738024745
2013-05-13,-0.01718151829508404
2013-05-14,-0.02573876723537823
2013-05-15,-0.0350815191350079
2013-05-16,0.0005320503106655736
2013-05-17,-0.03385202589586352
2013-05-20,0.02166794325363778
2013-05-21,0.03450644094225619
2013-05-22,0.0010718699407173578
2013-05-23,-0.013211208063744206
2013-05-24,-0.025794718407789276
2013-05-28,-0.011600591274612215
2013-05-29,0.06803135614793206
2013-05-30,0.008423600369906158
2013-05-31,0.006699242239071405
2013-06-03,-0.0016154945337002826
2013-06-04,-0.0007368628115221127
2013-06-05,-0.00027932379654460604
2013-06-06,-0.004020229799222192
2013-06-07,-0.00039997852343705807
2013-06-10,-0.01827537637227457
2013-06-11,0.011232925831453189
2013-06-12,-0.011757924988884023
2013-06-13,0.021106195901812543
2013-06-14,-0.0006132659535013444
2013-06-17,-0.010449297513020298
2013-06-18,0.012645489977491042
2013-06-19,-0.06030692621899447
2013-06-20,-0.008314873635851594
2013-06-21,-0.03269674634573627
2013-06-24,0.019307508001750035
2013-06-25,0.003651267776750844
2013-06-26,0.00936506948133949
2013-06-27,-0.006659201989033914
2013-06-28,0.013540747625582439
2013-07-01,0.0074431710423327555
2013-07-02,-0.00179960032253527
2013-07-03,-0.03529458831662632
2013-07-05,0.018102352340992812
2013-07-08,-0.012071662456335286
2013-07-09,0.0028246483783192686
2013-07-10,0.06593175362948774
2013-07-11,0.008226060983224055
2013-07-12,-0.004933096901698001
2013-07-15,0.009411101020484702
2013-07-16,0.05644473024030845
2013-07-17,-0.02642336320623195
2013-07-18,-0.00795652556252376
2013-07-19,0.07691981970054954
2013-07-22,0.01231856530487411
2013-07-23,0.02168698448573388
2013-07-24,-0.053658547112559275
2013-07-25,0.00877864844585341
2013-07-26,0.031679650134520336
2013-07-29,-0.01188421042123918
2013-07-30,-0.012341190142040305
2013-07-31,0.009958840654847126
2013-08-01,-0.030908298795493207
2013-08-02,-0.0019278089756160626
2013-08-05,0.0030575989551844263
2013-08-06,-0.020931960536346605
2013-08-07,0.0017683176064735564
2013-08-08,0.002013350123599489
2013-08-09,-0.004203103182128354
2013-08-12,0.017711269858851592
2013-08-13,0.009150604949638447
2013-08-14,-0.01593083173821726
2013-08-15,-0.008886586406197328
2013-08-16,-0.0005324198358781137
2013-08-19,-0.00894743539006134
2013-08-20,-0.004638770117186497
2013-08-21,0.0013426068719974982
2013-08-22,0.025685650906465424
2013-08-23,0.008547684949075096
2013-08-26,-0.002869274239186776
2013-08-27,-0.01114582158579543
2013-08-28,0.004996542857162334
2013-08-29,0.005188797616930142
2013-08-30,-0.0028439221910981174
2013-09-03,-0.0026801334251813627
