label,n,cagr,vol,mdd,sharpe,cagr_mdd,navx,universe,lookback,top_n,rebal,gate
mom[raw ] big8 lb=63 top3 @ 10d,3835,30.38,44.91,-74.23,0.82,0.41,56.6,big8,63,3,10,False
mom[gate] core6 lb=126 top3 @ 10d,3835,30.22,46.62,-62.7,0.8,0.48,55.6,core6,126,3,10,True
mom[gate] core6 lb=126 top5 @ 21d,3835,30.2,40.85,-61.2,0.85,0.49,55.5,core6,126,5,21,True
mom[raw ] core6 lb=63 top2 @ 10d,3835,30.19,49.2,-68.19,0.79,0.44,55.4,core6,63,2,10,False
mom[raw ] core6 lb=126 top2 @ 5d,3835,30.1,50.08,-71.04,0.78,0.42,54.8,core6,126,2,5,False
mom[raw ] core6 lb=252 top4 @ 3d,3835,30.06,45.52,-73.98,0.81,0.41,54.6,core6,252,4,3,False
mom[raw ] big8 lb=126 top4 @ 10d,3835,29.8,46.17,-69.17,0.8,0.43,53.0,big8,126,4,10,False
mom[raw ] big8 lb=126 top4 @ 21d,3835,29.77,46.39,-70.76,0.8,0.42,52.8,big8,126,4,21,False
mom[gate] big8 lb=126 top3 @ 5d,3835,29.68,46.18,-64.99,0.8,0.46,52.2,big8,126,3,5,True
mom[gate] core6 lb=126 top3 @ 3d,3835,29.66,46.26,-62.59,0.8,0.47,52.1,core6,126,3,3,True
mom[raw ] core6 lb=63 top4 @ 21d,3835,29.66,46.89,-72.4,0.79,0.41,52.1,core6,63,4,21,False
mom[raw ] core6 lb=252 top3 @ 5d,3835,29.64,47.61,-69.08,0.79,0.43,51.9,core6,252,3,5,False
mom[raw ] big8 lb=126 top3 @ 21d,3835,29.61,47.71,-74.48,0.78,0.4,51.8,big8,126,3,21,False
mom[raw ] big8 lb=126 top5 @ 5d,3835,29.6,44.97,-72.36,0.8,0.41,51.7,big8,126,5,5,False
mom[gate] big8 lb=126 top3 @ 3d,3835,29.59,45.76,-65.66,0.8,0.45,51.7,big8,126,3,3,True
