label,n,cagr,vol,mdd,sharpe,cagr_mdd,navx,universe,lookback,top_n,rebal,gate
mom[gate] all17 lb=126 top4 @ 3d,3835,19.88,44.89,-61.17,0.63,0.33,15.8,all17,126,4,3,True
mom[gate] big8 lb=252 top5 @ 10d,3835,19.79,42.23,-65.95,0.64,0.3,15.6,big8,252,5,10,True
mom[gate] big8 lb=252 top2 @ 3d,3835,19.73,46.89,-60.14,0.62,0.33,15.5,big8,252,2,3,True
mom[gate] big8 lb=252 top3 @ 21d,3835,19.71,47.62,-66.96,0.62,0.29,15.5,big8,252,3,21,True
mom[gate] big8 lb=63 top2 @ 21d,3835,19.65,49.44,-70.15,0.61,0.28,15.3,big8,63,2,21,True
mom[gate] core6 lb=252 top3 @ 21d,3835,19.62,48.62,-68.94,0.61,0.28,15.3,core6,252,3,21,True
mom[gate] big8 lb=252 top4 @ 21d,3835,19.6,45.86,-65.7,0.62,0.3,15.2,big8,252,4,21,True
mom[gate] core6 lb=252 top5 @ 10d,3835,19.57,41.92,-67.61,0.64,0.29,15.2,core6,252,5,10,True
mom[raw ] all17 lb=126 top5 @ 3d,3835,19.56,41.16,-56.63,0.64,0.35,15.2,all17,126,5,3,False
mom[raw ] big8 lb=252 top2 @ 21d,3835,19.49,50.82,-60.45,0.61,0.32,15.0,big8,252,2,21,False
mom[raw ] core6 lb=63 top2 @ 3d,3835,19.28,47.36,-81.6,0.61,0.24,14.6,core6,63,2,3,False
mom[gate] big8 lb=252 top4 @ 3d,3835,19.26,42.74,-61.91,0.63,0.31,14.6,big8,252,4,3,True
mom[raw ] core6 lb=126 top1 @ 10d,3835,19.25,61.78,-87.55,0.6,0.22,14.6,core6,126,1,10,False
mom[raw ] all17 lb=126 top4 @ 3d,3835,19.23,44.12,-61.49,0.62,0.31,14.5,all17,126,4,3,False
mom[raw ] big8 lb=21 top4 @ 3d,3835,19.22,42.96,-75.75,0.63,0.25,14.5,big8,21,4,3,False
mom[raw ] core6 lb=252 top1 @ 10d,3835,19.16,59.23,-75.31,0.6,0.25,14.4,core6,252,1,10,False
mom[gate] all17 lb=126 top5 @ 3d,3835,19.16,42.64,-58.75,0.63,0.33,14.4,all17,126,5,3,True
mom[gate] core6 lb=252 top5 @ 5d,3835,19.14,40.95,-64.77,0.64,0.3,14.4,core6,252,5,5,True
mom[gate] core6 lb=252 top5 @ 21d,3835,19.07,43.06,-68.29,0.62,0.28,14.3,core6,252,5,21,True
mom[gate] all17 lb=252 top4 @ 3d,3835,19.07,44.36,-59.9,0.62,0.32,14.3,all17,252,4,3,True
mom[gate] big8 lb=252 top5 @ 3d,3835,18.85,40.82,-65.34,0.63,0.29,13.9,big8,252,5,3,True
mom[raw ] all17 lb=252 top2 @ 10d,3835,18.81,54.72,-75.24,0.59,0.25,13.8,all17,252,2,10,False
mom[raw ] core6 lb=21 top2 @ 3d,3835,18.74,46.47,-85.99,0.6,0.22,13.7,core6,21,2,3,False
mom[gate] core6 lb=252 top4 @ 21d,3835,18.72,45.88,-70.68,0.61,0.26,13.6,core6,252,4,21,True
mom[gate] big8 lb=126 top1 @ 3d,3835,18.7,58.49,-73.47,0.59,0.25,13.6,big8,126,1,3,True
mom[gate] core6 lb=252 top5 @ 3d,3835,18.59,40.16,-66.05,0.63,0.28,13.4,core6,252,5,3,True
mom[gate] core6 lb=126 top1 @ 3d,3835,18.58,59.46,-74.83,0.59,0.25,13.4,core6,126,1,3,True
mom[gate] big8 lb=252 top5 @ 21d,3835,18.55,43.64,-66.03,0.61,0.28,13.3,big8,252,5,21,True
mom[raw ] big8 lb=21 top4 @ 10d,3835,18.51,44.61,-76.81,0.61,0.24,13.3,big8,21,4,10,False
mom[gate] core6 lb=252 top1 @ 21d,3835,18.47,57.94,-72.94,0.59,0.25,13.2,core6,252,1,21,True
mom[gate] all17 lb=252 top2 @ 10d,3835,18.37,54.77,-75.37,0.59,0.24,13.0,all17,252,2,10,True
mom[gate] core6 lb=63 top2 @ 3d,3835,18.35,47.31,-73.32,0.6,0.25,13.0,core6,63,2,3,True
mom[gate] big8 lb=63 top5 @ 3d,3835,18.24,41.0,-70.52,0.62,0.26,12.8,big8,63,5,3,True
mom[gate] core6 lb=252 top4 @ 3d,3835,18.24,42.99,-67.83,0.61,0.27,12.8,core6,252,4,3,True
mom[gate] big8 lb=252 top3 @ 10d,3835,18.17,46.26,-68.81,0.6,0.26,12.7,big8,252,3,10,True
mom[raw ] all17 lb=63 top5 @ 10d,3835,18.16,41.59,-58.37,0.61,0.31,12.7,all17,63,5,10,False
mom[raw ] all17 lb=126 top5 @ 21d,3835,18.12,42.26,-58.19,0.61,0.31,12.6,all17,126,5,21,False
mom[gate] all17 lb=252 top5 @ 10d,3835,18.1,42.38,-57.81,0.61,0.31,12.6,all17,252,5,10,True
mom[gate] core6 lb=252 top1 @ 3d,3835,18.09,57.14,-75.68,0.58,0.24,12.6,core6,252,1,3,True
mom[gate] all17 lb=252 top3 @ 10d,3835,17.95,49.21,-62.45,0.59,0.29,12.3,all17,252,3,10,True
mom[raw ] all17 lb=252 top4 @ 21d,3835,17.93,44.95,-67.52,0.59,0.27,12.3,all17,252,4,21,False
mom[gate] big8 lb=252 top1 @ 21d,3835,17.82,57.53,-72.94,0.58,0.24,12.1,big8,252,1,21,True
mom[gate] all17 lb=252 top4 @ 10d,3835,17.79,44.67,-59.01,0.59,0.3,12.1,all17,252,4,10,True
mom[raw ] big8 lb=21 top5 @ 21d,3835,17.62,44.99,-74.59,0.59,0.24,11.8,big8,21,5,21,False
mom[gate] core6 lb=63 top5 @ 3d,3835,17.5,40.61,-71.28,0.6,0.25,11.6,core6,63,5,3,True
mom[gate] big8 lb=63 top4 @ 3d,3835,17.48,42.17,-71.91,0.59,0.24,11.6,big8,63,4,3,True
mom[raw ] big8 lb=21 top3 @ 3d,3835,17.47,43.65,-78.49,0.59,0.22,11.6,big8,21,3,3,False
mom[gate] core6 lb=252 top3 @ 10d,3835,17.43,47.14,-71.98,0.58,0.24,11.5,core6,252,3,10,True
mom[raw ] core6 lb=21 top3 @ 21d,3835,17.39,45.32,-75.92,0.58,0.23,11.5,core6,21,3,21,False
mom[raw ] core6 lb=63 top2 @ 21d,3835,17.36,50.82,-74.32,0.57,0.23,11.4,core6,63,2,21,False
mom[gate] big8 lb=252 top2 @ 21d,3835,17.36,49.59,-60.46,0.57,0.29,11.4,big8,252,2,21,True
mom[gate] core6 lb=252 top2 @ 21d,3835,17.32,50.84,-66.6,0.57,0.26,11.4,core6,252,2,21,True
mom[raw ] big8 lb=21 top3 @ 5d,3835,17.3,43.65,-77.0,0.59,0.22,11.3,big8,21,3,5,False
mom[raw ] big8 lb=21 top2 @ 5d,3835,17.26,47.28,-76.77,0.58,0.22,11.3,big8,21,2,5,False
mom[gate] all17 lb=126 top3 @ 5d,3835,17.25,49.09,-68.98,0.57,0.25,11.3,all17,126,3,5,True
mom[raw ] all17 lb=126 top4 @ 21d,3835,17.24,45.12,-58.04,0.58,0.3,11.3,all17,126,4,21,False
mom[raw ] all17 lb=126 top5 @ 10d,3835,17.19,42.14,-58.17,0.59,0.3,11.2,all17,126,5,10,False
mom[gate] all17 lb=252 top5 @ 3d,3835,17.17,42.05,-58.62,0.59,0.29,11.1,all17,252,5,3,True
mom[raw ] all17 lb=63 top5 @ 5d,3835,17.13,40.43,-67.24,0.6,0.25,11.1,all17,63,5,5,False
mom[gate] all17 lb=126 top5 @ 21d,3835,17.13,43.3,-57.25,0.58,0.3,11.1,all17,126,5,21,True
mom[gate] big8 lb=252 top4 @ 10d,3835,17.11,43.52,-69.36,0.58,0.25,11.1,big8,252,4,10,True
mom[gate] all17 lb=63 top5 @ 10d,3835,16.96,42.21,-58.82,0.58,0.29,10.8,all17,63,5,10,True
mom[gate] core6 lb=252 top1 @ 10d,3835,16.83,58.51,-80.93,0.56,0.21,10.7,core6,252,1,10,True
mom[gate] all17 lb=126 top4 @ 21d,3835,16.78,45.65,-56.26,0.57,0.3,10.6,all17,126,4,21,True
mom[raw ] core6 lb=63 top1 @ 3d,3835,16.68,58.5,-83.14,0.56,0.2,10.5,core6,63,1,3,False
mom[raw ] big8 lb=21 top3 @ 10d,3835,16.5,44.96,-80.58,0.57,0.2,10.2,big8,21,3,10,False
mom[raw ] all17 lb=63 top4 @ 5d,3835,16.48,43.21,-65.21,0.57,0.25,10.2,all17,63,4,5,False
mom[gate] all17 lb=126 top5 @ 10d,3835,16.37,43.61,-63.81,0.57,0.26,10.0,all17,126,5,10,True
mom[raw ] core6 lb=126 top1 @ 3d,3835,16.23,60.27,-79.8,0.55,0.2,9.9,core6,126,1,3,False
mom[raw ] big8 lb=63 top2 @ 21d,3835,16.13,50.4,-72.67,0.55,0.22,9.7,big8,63,2,21,False
mom[gate] all17 lb=252 top5 @ 21d,3835,15.86,44.19,-64.19,0.56,0.25,9.4,all17,252,5,21,True
mom[gate] core6 lb=63 top1 @ 3d,3835,15.86,57.6,-80.33,0.55,0.2,9.4,core6,63,1,3,True
mom[raw ] core6 lb=21 top2 @ 10d,3835,15.84,48.27,-84.75,0.55,0.19,9.4,core6,21,2,10,False
mom[gate] all17 lb=252 top3 @ 21d,3835,15.84,50.25,-75.87,0.55,0.21,9.4,all17,252,3,21,True
mom[raw ] all17 lb=126 top3 @ 5d,3835,15.75,48.66,-68.82,0.55,0.23,9.3,all17,126,3,5,False
mom[raw ] big8 lb=21 top4 @ 21d,3835,15.73,44.74,-75.44,0.55,0.21,9.2,big8,21,4,21,False
mom[gate] core6 lb=21 top2 @ 5d,3835,15.24,46.74,-81.98,0.54,0.19,8.7,core6,21,2,5,True
mom[gate] all17 lb=63 top5 @ 5d,3835,15.18,41.13,-64.09,0.55,0.24,8.6,all17,63,5,5,True
mom[gate] all17 lb=63 top4 @ 5d,3835,14.95,43.69,-64.89,0.54,0.23,8.3,all17,63,4,5,True
mom[gate] big8 lb=63 top3 @ 3d,3835,14.83,44.08,-72.48,0.54,0.2,8.2,big8,63,3,3,True
mom[raw ] big8 lb=126 top1 @ 3d,3835,14.81,59.39,-74.06,0.53,0.2,8.2,big8,126,1,3,False
mom[gate] big8 lb=126 top1 @ 5d,3835,14.66,59.79,-82.95,0.53,0.18,8.0,big8,126,1,5,True
mom[raw ] big8 lb=252 top1 @ 10d,3835,14.47,58.82,-82.44,0.53,0.18,7.8,big8,252,1,10,False
mom[raw ] big8 lb=21 top3 @ 21d,3835,14.01,44.65,-82.16,0.52,0.17,7.4,big8,21,3,21,False
mom[raw ] big8 lb=63 top2 @ 3d,3835,13.71,47.27,-83.8,0.51,0.16,7.1,big8,63,2,3,False
mom[raw ] all17 lb=63 top5 @ 3d,3835,13.51,39.83,-69.68,0.52,0.19,6.9,all17,63,5,3,False
mom[gate] all17 lb=252 top4 @ 21d,3835,13.45,46.64,-70.15,0.51,0.19,6.8,all17,252,4,21,True
mom[raw ] all17 lb=252 top2 @ 21d,3835,13.38,54.85,-86.32,0.51,0.16,6.8,all17,252,2,21,False
mom[gate] all17 lb=63 top4 @ 10d,3835,13.12,45.09,-66.91,0.5,0.2,6.5,all17,63,4,10,True
mom[raw ] big8 lb=126 top1 @ 5d,3835,13.04,60.73,-83.76,0.51,0.16,6.5,big8,126,1,5,False
mom[raw ] all17 lb=63 top4 @ 10d,3835,13.01,44.37,-64.98,0.5,0.2,6.4,all17,63,4,10,False
mom[raw ] big8 lb=21 top2 @ 10d,3835,12.88,47.9,-80.38,0.5,0.16,6.3,big8,21,2,10,False
mom[gate] big8 lb=126 top1 @ 10d,3835,12.76,60.78,-83.24,0.51,0.15,6.2,big8,126,1,10,True
mom[gate] all17 lb=126 top3 @ 3d,3835,12.76,49.15,-66.51,0.49,0.19,6.2,all17,126,3,3,True
mom[gate] all17 lb=63 top5 @ 3d,3835,12.62,41.28,-70.78,0.5,0.18,6.1,all17,63,5,3,True
mom[raw ] all17 lb=126 top3 @ 3d,3835,12.37,48.67,-65.76,0.49,0.19,5.9,all17,126,3,3,False
mom[raw ] all17 lb=21 top3 @ 3d,3835,12.37,47.17,-63.17,0.48,0.2,5.9,all17,21,3,3,False
mom[gate] big8 lb=63 top2 @ 3d,3835,12.36,47.01,-76.59,0.49,0.16,5.9,big8,63,2,3,True
mom[gate] big8 lb=252 top1 @ 10d,3835,12.24,58.09,-86.44,0.49,0.14,5.8,big8,252,1,10,True
mom[raw ] all17 lb=126 top3 @ 21d,3835,12.1,49.66,-63.93,0.48,0.19,5.7,all17,126,3,21,False
mom[raw ] all17 lb=63 top4 @ 3d,3835,12.05,43.2,-72.42,0.48,0.17,5.6,all17,63,4,3,False
mom[raw ] all17 lb=126 top4 @ 10d,3835,11.97,44.72,-60.11,0.48,0.2,5.6,all17,126,4,10,False
mom[gate] all17 lb=126 top4 @ 10d,3835,11.85,45.61,-63.78,0.48,0.19,5.5,all17,126,4,10,True
mom[raw ] all17 lb=63 top4 @ 21d,3835,11.65,44.73,-71.27,0.47,0.16,5.4,all17,63,4,21,False
mom[raw ] all17 lb=21 top5 @ 5d,3835,11.01,40.25,-53.8,0.46,0.2,4.9,all17,21,5,5,False
mom[raw ] all17 lb=63 top5 @ 21d,3835,10.91,42.9,-65.62,0.46,0.17,4.8,all17,63,5,21,False
mom[gate] core6 lb=21 top3 @ 5d,3835,10.89,44.53,-78.7,0.46,0.14,4.8,core6,21,3,5,True
mom[raw ] all17 lb=21 top4 @ 3d,3835,10.86,42.73,-59.46,0.46,0.18,4.8,all17,21,4,3,False
mom[raw ] big8 lb=126 top1 @ 21d,3835,10.78,60.54,-85.02,0.48,0.13,4.7,big8,126,1,21,False
mom[gate] all17 lb=252 top2 @ 21d,3835,10.72,55.2,-87.25,0.46,0.12,4.7,all17,252,2,21,True
mom[gate] big8 lb=21 top2 @ 5d,3835,10.62,47.7,-74.41,0.45,0.14,4.6,big8,21,2,5,True
mom[gate] all17 lb=126 top3 @ 21d,3835,10.42,49.96,-65.05,0.45,0.16,4.5,all17,126,3,21,True
mom[gate] big8 lb=126 top1 @ 21d,3835,10.39,59.58,-79.69,0.47,0.13,4.5,big8,126,1,21,True
mom[raw ] all17 lb=126 top2 @ 21d,3835,10.11,56.75,-74.4,0.46,0.14,4.3,all17,126,2,21,False
mom[gate] all17 lb=63 top5 @ 21d,3835,10.09,43.81,-68.29,0.44,0.15,4.3,all17,63,5,21,True
mom[gate] all17 lb=63 top4 @ 21d,3835,10.02,45.88,-72.51,0.44,0.14,4.3,all17,63,4,21,True
mom[gate] all17 lb=126 top2 @ 21d,3835,9.85,56.52,-74.4,0.45,0.13,4.2,all17,126,2,21,True
mom[gate] all17 lb=63 top4 @ 3d,3835,9.41,44.09,-74.78,0.43,0.13,3.9,all17,63,4,3,True
mom[raw ] big8 lb=126 top1 @ 10d,3835,9.4,61.91,-89.42,0.46,0.11,3.9,big8,126,1,10,False
mom[gate] all17 lb=21 top3 @ 3d,3835,9.31,47.66,-68.08,0.43,0.14,3.9,all17,21,3,3,True
mom[gate] core6 lb=21 top4 @ 5d,3835,9.22,42.45,-75.87,0.42,0.12,3.8,core6,21,4,5,True
mom[gate] big8 lb=21 top5 @ 5d,3835,9.22,41.52,-60.62,0.42,0.15,3.8,big8,21,5,5,True
mom[raw ] all17 lb=63 top3 @ 3d,3835,9.15,47.64,-71.79,0.42,0.13,3.8,all17,63,3,3,False
mom[raw ] all17 lb=126 top2 @ 3d,3835,8.91,55.23,-83.55,0.43,0.11,3.7,all17,126,2,3,False
mom[raw ] all17 lb=21 top5 @ 3d,3835,8.66,39.86,-59.97,0.41,0.14,3.5,all17,21,5,3,False
mom[gate] big8 lb=21 top4 @ 5d,3835,8.58,42.91,-67.53,0.41,0.13,3.5,big8,21,4,5,True
mom[gate] core6 lb=21 top2 @ 3d,3835,8.49,47.07,-85.56,0.41,0.1,3.5,core6,21,2,3,True
mom[gate] all17 lb=126 top2 @ 3d,3835,8.33,55.07,-83.57,0.42,0.1,3.4,all17,126,2,3,True
mom[raw ] all17 lb=63 top3 @ 5d,3835,8.14,47.88,-72.21,0.41,0.11,3.3,all17,63,3,5,False
mom[gate] all17 lb=63 top3 @ 5d,3835,8.1,47.97,-68.37,0.4,0.12,3.3,all17,63,3,5,True
mom[raw ] core6 lb=21 top2 @ 21d,3835,8.09,48.49,-80.85,0.41,0.1,3.3,core6,21,2,21,False
mom[gate] core6 lb=63 top1 @ 21d,3835,8.04,60.15,-71.69,0.43,0.11,3.2,core6,63,1,21,True
mom[gate] core6 lb=21 top3 @ 3d,3835,7.97,44.94,-83.34,0.4,0.1,3.2,core6,21,3,3,True
mom[raw ] core6 lb=21 top1 @ 5d,3835,7.86,56.98,-89.4,0.42,0.09,3.2,core6,21,1,5,False
mom[raw ] all17 lb=21 top5 @ 10d,3835,7.81,41.52,-59.14,0.39,0.13,3.1,all17,21,5,10,False
mom[gate] all17 lb=63 top3 @ 3d,3835,7.78,48.15,-75.54,0.4,0.1,3.1,all17,63,3,3,True
mom[gate] all17 lb=126 top3 @ 10d,3835,7.68,50.01,-74.59,0.4,0.1,3.1,all17,126,3,10,True
mom[raw ] core6 lb=63 top1 @ 21d,3835,7.55,60.83,-73.32,0.43,0.1,3.0,core6,63,1,21,False
mom[gate] core6 lb=21 top5 @ 5d,3835,7.37,40.75,-77.48,0.38,0.1,3.0,core6,21,5,5,True
mom[gate] big8 lb=21 top3 @ 5d,3835,7.32,44.61,-72.52,0.38,0.1,2.9,big8,21,3,5,True
mom[raw ] big8 lb=63 top1 @ 10d,3835,7.29,60.22,-81.59,0.42,0.09,2.9,big8,63,1,10,False
mom[raw ] all17 lb=126 top3 @ 10d,3835,7.27,49.38,-73.25,0.39,0.1,2.9,all17,126,3,10,False
mom[gate] big8 lb=63 top1 @ 10d,3835,7.21,59.67,-82.18,0.42,0.09,2.9,big8,63,1,10,True
mom[gate] big8 lb=21 top3 @ 3d,3835,7.06,45.1,-75.02,0.38,0.09,2.8,big8,21,3,3,True
mom[gate] all17 lb=21 top4 @ 3d,3835,6.62,43.94,-72.61,0.37,0.09,2.7,all17,21,4,3,True
mom[gate] core6 lb=21 top4 @ 3d,3835,6.42,43.06,-82.43,0.36,0.08,2.6,core6,21,4,3,True
mom[raw ] all17 lb=21 top4 @ 5d,3835,6.4,43.0,-56.58,0.36,0.11,2.6,all17,21,4,5,False
mom[gate] big8 lb=63 top1 @ 21d,3835,6.04,59.16,-79.31,0.4,0.08,2.4,big8,63,1,21,True
mom[raw ] all17 lb=252 top1 @ 3d,3835,5.9,66.78,-92.75,0.43,0.06,2.4,all17,252,1,3,False
mom[gate] all17 lb=63 top3 @ 21d,3835,5.9,49.62,-77.33,0.37,0.08,2.4,all17,63,3,21,True
mom[raw ] all17 lb=63 top3 @ 21d,3835,5.86,49.11,-77.33,0.36,0.08,2.4,all17,63,3,21,False
mom[gate] all17 lb=126 top2 @ 10d,3835,5.8,56.13,-77.61,0.38,0.07,2.4,all17,126,2,10,True
mom[gate] all17 lb=126 top2 @ 5d,3835,5.8,55.48,-83.07,0.38,0.07,2.4,all17,126,2,5,True
mom[raw ] all17 lb=126 top2 @ 10d,3835,5.07,56.16,-76.86,0.37,0.07,2.1,all17,126,2,10,False
mom[gate] all17 lb=252 top1 @ 3d,3835,4.84,66.76,-92.67,0.41,0.05,2.1,all17,252,1,3,True
mom[raw ] all17 lb=126 top2 @ 5d,3835,4.8,55.62,-83.17,0.37,0.06,2.0,all17,126,2,5,False
mom[raw ] big8 lb=63 top1 @ 21d,3835,4.73,60.02,-79.31,0.38,0.06,2.0,big8,63,1,21,False
mom[gate] big8 lb=21 top5 @ 10d,3835,4.34,43.81,-82.41,0.32,0.05,1.9,big8,21,5,10,True
mom[gate] all17 lb=21 top5 @ 3d,3835,4.25,41.46,-67.79,0.31,0.06,1.9,all17,21,5,3,True
mom[gate] all17 lb=63 top3 @ 10d,3835,4.19,49.61,-75.33,0.33,0.06,1.9,all17,63,3,10,True
mom[raw ] all17 lb=21 top4 @ 10d,3835,4.15,43.73,-61.17,0.31,0.07,1.9,all17,21,4,10,False
mom[gate] big8 lb=21 top4 @ 3d,3835,3.84,43.19,-75.95,0.3,0.05,1.8,big8,21,4,3,True
mom[raw ] all17 lb=126 top1 @ 3d,3835,3.69,70.59,-94.37,0.41,0.04,1.7,all17,126,1,3,False
mom[gate] big8 lb=21 top5 @ 3d,3835,3.67,41.74,-75.8,0.3,0.05,1.7,big8,21,5,3,True
mom[gate] core6 lb=21 top5 @ 3d,3835,3.31,41.2,-81.95,0.29,0.04,1.6,core6,21,5,3,True
mom[gate] core6 lb=21 top5 @ 21d,3835,3.3,43.13,-79.78,0.29,0.04,1.6,core6,21,5,21,True
mom[gate] core6 lb=21 top4 @ 10d,3835,3.23,44.67,-89.65,0.3,0.04,1.6,core6,21,4,10,True
mom[raw ] all17 lb=21 top3 @ 5d,3835,3.2,47.47,-70.69,0.31,0.05,1.6,all17,21,3,5,False
mom[raw ] all17 lb=63 top2 @ 3d,3835,3.17,54.61,-83.41,0.33,0.04,1.6,all17,63,2,3,False
mom[raw ] all17 lb=63 top3 @ 10d,3835,3.16,49.29,-75.22,0.31,0.04,1.6,all17,63,3,10,False
mom[gate] all17 lb=63 top2 @ 3d,3835,2.91,54.81,-82.27,0.33,0.04,1.5,all17,63,2,3,True
mom[gate] core6 lb=21 top4 @ 21d,3835,2.9,44.7,-81.56,0.29,0.04,1.5,core6,21,4,21,True
mom[raw ] all17 lb=21 top2 @ 3d,3835,2.64,54.25,-80.89,0.32,0.03,1.5,all17,21,2,3,False
mom[gate] core6 lb=21 top5 @ 10d,3835,2.6,42.5,-90.21,0.28,0.03,1.5,core6,21,5,10,True
mom[gate] all17 lb=21 top5 @ 5d,3835,2.54,41.36,-62.48,0.27,0.04,1.5,all17,21,5,5,True
mom[gate] core6 lb=21 top2 @ 10d,3835,2.45,48.63,-91.79,0.3,0.03,1.4,core6,21,2,10,True
mom[raw ] big8 lb=21 top2 @ 3d,3835,2.27,46.99,-86.89,0.28,0.03,1.4,big8,21,2,3,False
mom[gate] all17 lb=126 top1 @ 3d,3835,2.03,70.26,-94.37,0.39,0.02,1.4,all17,126,1,3,True
mom[gate] core6 lb=21 top1 @ 5d,3835,2.02,55.91,-91.65,0.32,0.02,1.4,core6,21,1,5,True
mom[gate] core6 lb=21 top3 @ 10d,3835,1.9,46.36,-90.77,0.28,0.02,1.3,core6,21,3,10,True
mom[raw ] all17 lb=21 top2 @ 10d,3835,1.67,54.29,-85.73,0.31,0.02,1.3,all17,21,2,10,False
mom[raw ] big8 lb=63 top1 @ 5d,3835,1.54,59.22,-79.88,0.32,0.02,1.3,big8,63,1,5,False
mom[gate] all17 lb=21 top2 @ 3d,3835,1.42,54.13,-85.05,0.3,0.02,1.2,all17,21,2,3,True
mom[gate] big8 lb=21 top2 @ 10d,3835,1.32,48.62,-84.0,0.27,0.02,1.2,big8,21,2,10,True
mom[raw ] all17 lb=21 top1 @ 3d,3835,1.28,72.06,-95.28,0.38,0.01,1.2,all17,21,1,3,False
mom[gate] all17 lb=21 top1 @ 3d,3835,1.18,71.69,-95.52,0.38,0.01,1.2,all17,21,1,3,True
mom[gate] big8 lb=21 top4 @ 10d,3835,0.94,45.2,-83.96,0.25,0.01,1.2,big8,21,4,10,True
mom[gate] big8 lb=63 top1 @ 5d,3835,0.9,58.41,-78.75,0.31,0.01,1.1,big8,63,1,5,True
mom[gate] all17 lb=21 top4 @ 5d,3835,0.89,43.99,-72.05,0.24,0.01,1.1,all17,21,4,5,True
mom[gate] core6 lb=21 top3 @ 21d,3835,0.37,46.18,-84.69,0.24,0.0,1.1,core6,21,3,21,True
mom[gate] big8 lb=21 top3 @ 10d,3835,0.32,46.27,-83.89,0.24,0.0,1.0,big8,21,3,10,True
mom[gate] all17 lb=21 top5 @ 10d,3835,0.31,42.86,-78.84,0.22,0.0,1.0,all17,21,5,10,True
mom[raw ] all17 lb=252 top1 @ 5d,3835,0.26,67.64,-95.38,0.35,0.0,1.0,all17,252,1,5,False
mom[raw ] all17 lb=21 top2 @ 5d,3835,0.13,54.5,-84.89,0.28,0.0,1.0,all17,21,2,5,False
mom[gate] all17 lb=252 top1 @ 5d,3835,-0.67,67.57,-95.48,0.34,-0.01,0.9,all17,252,1,5,True
mom[raw ] all17 lb=21 top3 @ 10d,3835,-0.72,48.46,-74.17,0.23,-0.01,0.9,all17,21,3,10,False
mom[raw ] core6 lb=21 top1 @ 3d,3835,-0.72,57.4,-90.84,0.28,-0.01,0.9,core6,21,1,3,False
mom[raw ] big8 lb=63 top1 @ 3d,3835,-0.78,57.98,-87.06,0.28,-0.01,0.9,big8,63,1,3,False
mom[gate] all17 lb=21 top3 @ 5d,3835,-0.91,47.9,-77.39,0.22,-0.01,0.9,all17,21,3,5,True
mom[raw ] big8 lb=21 top2 @ 21d,3835,-1.04,49.77,-88.12,0.23,-0.01,0.9,big8,21,2,21,False
mom[gate] big8 lb=21 top2 @ 3d,3835,-1.32,47.55,-79.21,0.21,-0.02,0.8,big8,21,2,3,True
mom[gate] core6 lb=21 top1 @ 3d,3835,-1.42,56.29,-89.78,0.26,-0.02,0.8,core6,21,1,3,True
mom[gate] big8 lb=21 top5 @ 21d,3835,-1.53,44.12,-82.97,0.19,-0.02,0.8,big8,21,5,21,True
mom[gate] big8 lb=63 top1 @ 3d,3835,-1.62,57.11,-88.46,0.26,-0.02,0.8,big8,63,1,3,True
mom[gate] big8 lb=21 top3 @ 21d,3835,-1.98,46.05,-87.2,0.19,-0.02,0.7,big8,21,3,21,True
mom[raw ] core6 lb=21 top1 @ 10d,3835,-2.1,59.04,-92.3,0.26,-0.02,0.7,core6,21,1,10,False
mom[gate] all17 lb=21 top4 @ 10d,3835,-2.23,45.26,-83.08,0.18,-0.03,0.7,all17,21,4,10,True
mom[gate] all17 lb=63 top2 @ 5d,3835,-2.36,55.7,-90.45,0.24,-0.03,0.7,all17,63,2,5,True
mom[raw ] all17 lb=63 top2 @ 5d,3835,-2.45,55.75,-91.57,0.24,-0.03,0.7,all17,63,2,5,False
mom[gate] big8 lb=21 top4 @ 21d,3835,-2.56,45.12,-85.12,0.17,-0.03,0.7,big8,21,4,21,True
mom[gate] all17 lb=21 top2 @ 10d,3835,-2.65,54.36,-90.41,0.23,-0.03,0.7,all17,21,2,10,True
mom[gate] core6 lb=21 top2 @ 21d,3835,-2.75,48.76,-90.8,0.19,-0.03,0.7,core6,21,2,21,True
mom[gate] all17 lb=63 top2 @ 21d,3835,-2.97,57.12,-86.07,0.24,-0.03,0.6,all17,63,2,21,True
mom[gate] all17 lb=21 top2 @ 5d,3835,-2.99,54.35,-87.06,0.22,-0.03,0.6,all17,21,2,5,True
mom[raw ] all17 lb=126 top1 @ 21d,3835,-4.14,73.37,-93.24,0.31,-0.04,0.5,all17,126,1,21,False
mom[gate] all17 lb=21 top3 @ 10d,3835,-4.39,49.13,-86.05,0.16,-0.05,0.5,all17,21,3,10,True
mom[raw ] all17 lb=21 top5 @ 21d,3835,-4.52,42.52,-85.96,0.11,-0.05,0.5,all17,21,5,21,False
mom[gate] all17 lb=126 top1 @ 21d,3835,-4.86,72.99,-94.24,0.3,-0.05,0.5,all17,126,1,21,True
mom[raw ] all17 lb=63 top2 @ 21d,3835,-5.12,56.96,-90.48,0.2,-0.06,0.4,all17,63,2,21,False
mom[raw ] all17 lb=252 top1 @ 21d,3835,-5.35,67.15,-98.49,0.26,-0.05,0.4,all17,252,1,21,False
mom[gate] all17 lb=252 top1 @ 21d,3835,-5.47,67.14,-98.52,0.26,-0.06,0.4,all17,252,1,21,True
mom[gate] big8 lb=21 top1 @ 3d,3835,-5.78,55.81,-85.96,0.17,-0.07,0.4,big8,21,1,3,True
