label,n,cagr,sr,mdd,cagr_lo,cagr_md,cagr_hi,sr_lo,sr_md,sr_hi,mdd_lo,mdd_md,mdd_hi,sr_p_neg
100% TQQQ (static),3835,36.41558637946603,0.8167499510222479,-81.65984789330724,1.1661901881028514,36.70028596565808,79.64653688830734,0.3511665210650745,0.8225481246572592,1.305780218698682,-96.3627412333333,-78.25448342363426,-57.88610004123474,0.0
HFEA 55/45 UPRO/TMF,3835,20.16267769579063,0.7674308456514467,-67.88155853289815,3.7047153756818254,20.46887426457871,37.315261171820616,0.27554586799489544,0.7744541462548782,1.3055126599933047,-75.81065443099179,-52.216800085455105,-36.023712362384586,0.0
HFEA-Tech 50/50 TQQQ/TMF,3835,24.636944606435417,0.8184567176451436,-74.95842720686964,6.644767782514566,25.159855895371386,46.39225201262482,0.3602843384782842,0.8274799630499114,1.3436973597590585,-79.22831962894742,-56.53742633947544,-38.64821880285348,0.0
EW5 UPRO/TQQQ/SOXL/TMF/UGL,3835,31.319007253316954,0.8967099094905905,-68.732455391239,9.621249864599818,31.889562053422438,53.648586388577,0.4312596902202985,0.8999313606845747,1.3394888172237391,-77.87193933969792,-57.54859963473116,-40.62107448279965,0.0
EW-all17 (naive),3835,17.61794867161075,0.6298414688424955,-62.15177684534813,-0.4685096165286003,18.132679479432333,39.33292975331502,0.17699126714600824,0.6449138513984585,1.148120847434588,-88.820338828418,-62.49190538833882,-38.52878472639389,0.002
invvol clean4 lb=21,3835,23.26263674928999,0.9468366523964498,-52.52367742964691,10.508559092936778,23.31441906459778,39.835077731084,0.5226257008482319,0.9474573050441688,1.4853667870986509,-62.59941743561419,-40.14995953593137,-28.752949667393796,0.0
invvol core6 lb=63,3835,28.35687464459722,0.917240197213219,-60.74023023771381,11.489225501131084,29.07530031688482,48.49182935445786,0.49149293278011874,0.9335572138975794,1.4043903475052149,-74.32682883870241,-50.112010033232124,-35.35860576241972,0.0
mom core6 lb=126 top4,3835,32.8631627669145,0.8375172852015144,-72.6404659011111,5.478302704704914,34.44777808094452,64.62815173485023,0.3606148627783919,0.8668641590556464,1.3289420463181385,-90.82756875650911,-66.85808183143601,-46.388652266952526,0.0
SPY BH,3835,13.463374955307717,0.8237604497224876,-33.71726149351547,5.280224061211054,13.486879066480196,22.250839580385822,0.3733774195587513,0.8237934142781224,1.3352840132409143,-51.81764666149457,-30.930884660129276,-17.071225776970532,0.0
