label,is_n,is_cagr,is_vol,is_mdd,is_sharpe,is_cagr_mdd,is_navx,family,oos_n,oos_cagr,oos_vol,oos_mdd,oos_sharpe,oos_cagr_mdd,oos_navx
HFEA-Tech 50/50 TQQQ/TMF,2012,32.28,25.59,-32.29,1.22,1.0,9.3,static,1823,16.44,41.34,-74.96,0.58,0.22,3.0
HFEA-Tech 60/40 TQQQ/TMF,2012,34.55,28.43,-38.11,1.19,0.91,10.7,static,1823,22.23,45.42,-75.46,0.67,0.29,4.3
3sleeve 50/40/10 TQQQ/TMF/UGL,2012,29.72,24.74,-31.86,1.18,0.93,8.0,static,1823,22.05,39.99,-71.78,0.7,0.31,4.2
HFEA 50/50 UPRO/TMF,2012,26.02,21.58,-26.81,1.18,0.97,6.3,static,1823,10.73,35.26,-69.65,0.47,0.15,2.1
HFEA-Tech 40/60 TQQQ/TMF,2012,29.3,24.85,-26.94,1.16,1.09,7.8,static,1823,10.04,38.88,-74.93,0.44,0.13,2.0
3sleeve 40/50/10 TQQQ/TMF/UGL,2012,27.06,23.07,-25.62,1.15,1.06,6.8,static,1823,15.63,36.79,-71.28,0.58,0.22,2.9
HFEA 60/40 UPRO/TMF,2012,27.18,23.3,-31.69,1.15,0.86,6.8,static,1823,15.54,37.74,-66.11,0.57,0.24,2.8
3sleeve 50/40/10 UPRO/TMF/UGL,2012,23.54,20.68,-27.83,1.13,0.85,5.4,static,1823,16.03,33.77,-63.05,0.61,0.25,2.9
3sleeve 60/30/10 TQQQ/TMF/UGL,2012,31.66,28.42,-37.76,1.11,0.84,9.0,static,1823,27.8,44.76,-72.69,0.77,0.38,5.9
3sleeve 40/40/20 TQQQ/TMF/UGL,2012,24.59,22.13,-25.16,1.1,0.98,5.8,static,1823,21.16,35.35,-67.91,0.72,0.31,4.0
HFEA-Tech 70/30 TQQQ/TMF,2012,36.06,32.83,-43.61,1.1,0.83,11.7,static,1823,27.29,50.75,-76.42,0.73,0.36,5.7
3sleeve 40/50/10 UPRO/TMF/UGL,2012,22.04,20.25,-23.67,1.09,0.93,4.9,static,1823,10.74,32.24,-67.14,0.48,0.16,2.1
HFEA 40/60 UPRO/TMF,2012,24.22,22.16,-26.13,1.09,0.93,5.7,static,1823,5.42,34.54,-73.14,0.33,0.07,1.5
4sleeve 20/20/40/20 UPRO/TQQQ/TMF/UGL,2012,22.19,20.36,-23.36,1.09,0.95,5.0,static,1823,18.73,32.68,-63.69,0.69,0.29,3.5
3sleeve 50/30/20 TQQQ/TMF/UGL,2012,26.93,24.73,-31.47,1.09,0.86,6.7,static,1823,27.57,39.31,-68.67,0.82,0.4,5.8
3sleeve 60/30/10 UPRO/TMF/UGL,2012,24.41,23.42,-32.53,1.05,0.75,5.7,static,1823,20.76,37.04,-61.26,0.7,0.34,3.9
HFEA 70/30 UPRO/TMF,2012,27.69,26.9,-36.48,1.04,0.76,7.0,static,1823,19.76,41.67,-64.36,0.64,0.31,3.7
3sleeve 40/40/20 UPRO/TMF/UGL,2012,19.65,19.27,-24.17,1.03,0.81,4.2,static,1823,16.02,30.68,-60.29,0.64,0.27,2.9
