fold,test_start,test_end,n_days,sharpe,ann_ret,ann_vol,max_dd
1,2012-08-14,2016-01-20,855,-1.304,-1.74,1.33,-6.77
2,2016-01-21,2019-06-20,855,-1.374,-2.16,1.57,-7.26
3,2019-06-21,2022-11-21,855,-0.927,-4.08,4.4,-13.81
4,2022-11-22,2026-04-02,837,-0.76,-0.9,1.18,-3.64
