label,n,cagr,vol,mdd,sharpe,cagr_mdd,navx,family
invvol-s clean4 lb=21 tv=80% @ 21d,3835,56.34,102.43,-94.95,0.96,0.59,897.9,invvol-scaled
invvol-s core6 lb=21 tv=60% @ 21d,3835,55.06,110.0,-93.23,0.96,0.59,792.9,invvol-scaled
invvol-s clean4 lb=21 tv=60% @ 21d,3835,53.65,81.84,-88.19,0.94,0.61,690.0,invvol-scaled
invvol-s core6 lb=21 tv=40% @ 21d,3835,52.91,75.96,-80.78,0.95,0.65,640.9,invvol-scaled
invvol-s core6 lb=21 tv=60% @ 3d,3835,49.57,105.71,-93.17,0.92,0.53,457.9,invvol-scaled
invvol-s core6 lb=21 tv=60% @ 5d,3835,49.15,106.58,-93.1,0.92,0.53,438.8,invvol-scaled
invvol-s core6 lb=21 tv=40% @ 3d,3835,48.92,72.37,-80.71,0.92,0.61,428.6,invvol-scaled
invvol-s core6 lb=252 tv=60% @ 3d,3835,48.8,98.83,-96.22,0.91,0.51,423.3,invvol-scaled
invvol-s core6 lb=21 tv=40% @ 5d,3835,48.71,73.12,-80.6,0.92,0.6,419.4,invvol-scaled
invvol-s core6 lb=252 tv=60% @ 5d,3835,48.28,99.19,-96.21,0.91,0.5,401.3,invvol-scaled
invvol-s core6 lb=21 tv=40% @ 10d,3835,47.92,74.94,-81.6,0.9,0.59,386.7,invvol-scaled
invvol-s clean4 lb=21 tv=60% @ 5d,3835,47.73,79.48,-88.14,0.9,0.54,379.5,invvol-scaled
invvol-s clean4 lb=21 tv=60% @ 3d,3835,47.7,78.69,-88.47,0.9,0.54,378.0,invvol-scaled
invvol-s core6 lb=63 tv=40% @ 5d,3835,47.5,69.87,-81.24,0.91,0.58,370.3,invvol-scaled
invvol-s core6 lb=63 tv=40% @ 3d,3835,47.48,69.42,-81.55,0.91,0.58,369.7,invvol-scaled
invvol-s core6 lb=63 tv=60% @ 3d,3835,47.45,103.31,-93.57,0.91,0.51,368.4,invvol-scaled
invvol-s core6 lb=63 tv=60% @ 5d,3835,46.97,104.03,-93.43,0.9,0.5,350.8,invvol-scaled
