Date,net_ret,gross_ret,cost,turnover,trigger_count
2010-03-11,-0.0059431229036093,-0.0059431229036093,0.0,0.0,0.0
2010-03-12,0.0126861572558468,0.0126861572558468,0.0,0.0,0.0
2010-03-15,-0.0096374217775224,-0.0096374217775224,0.0,0.0,0.0
2010-03-16,0.0179019759359468,0.0179019759359468,0.0,0.0,0.0
2010-03-17,0.0066550217329627,0.0066550217329627,0.0,0.0,0.0
2010-03-18,0.0020666449563271,0.0020666449563271,0.0,0.0,0.0
2010-03-19,-0.0179431465691346,-0.0179431465691346,0.0,0.0,0.0
2010-03-22,-0.0126486602037703,-0.0126486602037703,0.0,0.0,0.0
2010-03-23,0.0183821177650948,0.0183821177650948,0.0,0.0,0.0
2010-03-24,-0.0007857115785453,-0.0007857115785453,0.0,0.0,0.0
2010-03-25,0.0061851735084865,0.0061851735084865,0.0,0.0,0.0
2010-03-26,-0.0046967285603925,-0.0046967285603925,0.0,0.0,0.0
2010-03-29,0.0157163891222579,0.0157163891222579,0.0,0.0,0.0
2010-03-30,0.0001009698706874,0.0001009698706874,0.0,0.0,0.0
2010-03-31,0.0037325095556284,0.0037325095556284,0.0,0.0,0.0
2010-04-01,0.0067640157366257,0.0067984349023378,3.4419165712114675e-05,0.0688383314242293,0.0
2010-04-05,0.0027177000185461,0.0027177000185461,0.0,0.0,0.0
2010-04-06,0.0083557594245169,0.0083557594245169,0.0,0.0,0.0
2010-04-07,0.0123042411716289,0.0123042411716289,0.0,0.0,0.0
2010-04-08,0.0008940713140437,0.0008940713140437,0.0,0.0,0.0
2010-04-09,0.0108831113239812,0.0108831113239812,0.0,0.0,0.0
2010-04-12,0.0109819429721011,0.0109819429721011,0.0,0.0,0.0
2010-04-13,-0.0057817780345258,-0.0057817780345258,0.0,0.0,0.0
2010-04-14,0.0132126412131883,0.0132126412131883,0.0,0.0,0.0
2010-04-15,0.0037879973721532,0.0037879973721532,0.0,0.0,0.0
2010-04-16,-0.0014933404220663,-0.0014933404220663,0.0,0.0,0.0
2010-04-19,-0.0264301353644315,-0.0264301353644315,0.0,0.0,0.0
2010-04-20,0.0150031029107588,0.0150031029107588,0.0,0.0,0.0
2010-04-21,0.0086069945246168,0.0086069945246168,0.0,0.0,0.0
2010-04-22,-0.011501018113117,-0.011501018113117,0.0,0.0,0.0
2010-04-23,0.0121037446094598,0.0121037446094598,0.0,0.0,0.0
2010-04-26,0.0182557884370603,0.0182557884370603,0.0,0.0,0.0
2010-04-27,-0.0111206382841908,-0.0111206382841908,0.0,0.0,0.2
2010-04-28,0.0002978065879247,0.0002978065879247,0.0,0.0,0.2
2010-04-29,-0.0012184439172065,-0.0012184439172065,0.0,0.0,0.2
2010-04-30,0.0233567513127173,0.0233567513127173,0.0,0.0,0.2
2010-05-03,-0.0114773613424157,-0.0110506191431564,0.0004267421992592,0.8534843985184472,0.2
2010-05-04,0.0094148927478635,0.0094148927478635,0.0,0.0,0.2
2010-05-05,-0.0230741696013035,-0.0230741696013035,0.0,0.0,0.6
2010-05-06,0.0100514304699168,0.0103014304699168,0.00025,0.5,1.0
2010-05-07,-0.0018244029548337,-0.0015744029548337,0.00025,0.5,1.4
2010-05-10,-0.0005509616636663,-0.0005509616636663,0.0,0.0,1.8
2010-05-11,0.0054943417632876,0.0057443417632876,0.00025,0.5,2.0
2010-05-12,0.0032308772692,0.0034808772692,0.00025,0.5,2.0
2010-05-13,3.158279762160987e-07,3.158279762160987e-07,0.0,0.0,2.0
2010-05-14,-3.158278764070488e-07,-3.158278764070488e-07,0.0,0.0,2.0
2010-05-17,0.0,0.0,0.0,0.0,2.0
2010-05-18,3.158279762160987e-07,3.158279762160987e-07,0.0,0.0,2.0
2010-05-19,-0.0002184172875012,-0.0002184172875012,0.0,0.0,2.0
2010-05-20,0.0002181491071611,0.0002181491071611,0.0,0.0,2.2
