Date,nebula
2010-03-11,0.0
2010-03-12,0.0
2010-03-15,0.0
2010-03-16,0.0
2010-03-17,0.0
2010-03-18,0.0
2010-03-19,0.0
2010-03-22,0.0
2010-03-23,0.0
2010-03-24,0.0
2010-03-25,0.0
2010-03-26,0.0
2010-03-29,0.0
2010-03-30,0.0
2010-03-31,0.0
2010-04-01,0.0
2010-04-05,0.0
2010-04-06,0.0
2010-04-07,0.0
2010-04-08,0.0
2010-04-09,0.0
2010-04-12,0.0
2010-04-13,0.0
2010-04-14,0.0
2010-04-15,0.0
2010-04-16,0.0
2010-04-19,0.0
2010-04-20,0.0
2010-04-21,0.0
2010-04-22,0.0
2010-04-23,0.0
2010-04-26,0.0
2010-04-27,0.0
2010-04-28,0.0
2010-04-29,0.0
2010-04-30,0.0
2010-05-03,0.0
2010-05-04,0.0
2010-05-05,0.0
2010-05-06,0.0
2010-05-07,0.0
2010-05-10,0.0
2010-05-11,0.0
2010-05-12,0.0
2010-05-13,0.0
2010-05-14,0.0
2010-05-17,0.0
2010-05-18,0.0
2010-05-19,0.0
2010-05-20,0.0
2010-05-21,0.0
2010-05-24,0.0
2010-05-25,0.0
2010-05-26,0.0
2010-05-27,0.0
2010-05-28,0.0
2010-06-01,0.0
2010-06-02,0.0
2010-06-03,0.0
2010-06-04,0.0
2010-06-07,0.0
2010-06-08,0.0
2010-06-09,0.0
2010-06-10,0.0
2010-06-11,0.0
2010-06-14,-0.0009679708255072299
2010-06-15,0.0
2010-06-16,0.0
2010-06-17,-0.00021841728750127132
2010-06-18,3.158279759940541e-07
2010-06-21,-3.158278762960265e-07
2010-06-22,0.0
2010-06-23,0.0
2010-06-24,0.00021814910716111413
2010-06-25,-0.0002181015285074306
2010-06-28,-0.01447387285386542
2010-06-29,-0.026263807071534917
2010-06-30,0.008761778977501022
2010-07-01,0.01535683394231846
2010-07-02,0.009710925677969995
2010-07-06,0.0023731295102936705
2010-07-07,0.02827002455802058
2010-07-08,-0.0032595664542094944
2010-07-09,0.0009364066387016483
2010-07-12,0.009574199470519684
2010-07-13,-0.0017181015285074306
2010-07-14,0.0
2010-07-15,0.0
2010-07-16,0.00021846500403488456
2010-07-19,0.0
2010-07-20,-0.0002181015285075416
2010-07-21,0.0
2010-07-22,0.00021783321038726378
2010-07-23,5.485760710133292e-07
2010-07-26,-0.0002181015285074306
2010-07-27,-0.0002182986048671065
2010-07-28,2.3274802130046623e-07
2010-07-29,0.00021788067203343253
2010-07-30,-0.00021783321038726378
2010-08-02,0.0
2010-08-03,0.0
2010-08-04,0.0
2010-08-05,0.0
2010-08-06,0.00021811347076616805
2010-08-09,-2.3274796723260494e-07
2010-08-10,-0.00021838166665932857
2010-08-11,0.00021811347076616805
2010-08-12,0.0
2010-08-13,0.00021846500403488456
2010-08-16,-3.158278764070488e-07
2010-08-17,-0.00021778576941389183
2010-08-18,0.00021814910716111413
2010-08-19,-3.158278764070488e-07
2010-08-20,-0.00021778576941389183
2010-08-23,0.0
2010-08-24,-0.006251081598597217
2010-08-25,0.0031708994011943885
2010-08-26,-0.00361362168003812
2010-08-27,0.007245868941813116
2010-08-30,-0.006910348324046467
2010-08-31,0.004193593240469057
2010-09-01,0.00893424376410773
2010-09-02,0.011101953664567177
2010-09-03,-0.007940406365167407
2010-09-07,-0.004029904628258946
2010-09-08,0.006757322180852123
2010-09-09,0.021201973222026327
2010-09-10,0.001484068958315044
2010-09-13,-0.008421828956114041
2010-09-14,0.006813938735679259
2010-09-15,-0.01252428898672503
2010-09-16,0.01030254454791174
2010-09-17,-0.003569743908748146
2010-09-20,-0.019866913341765102
2010-09-21,0.027002218545110812
2010-09-22,0.000272248197787402
2010-09-23,-0.004116280508839332
2010-09-24,-0.003055516150336945
2010-09-27,-0.0018249412551178674
2010-09-28,-0.003668317441087809
2010-09-29,0.006238701134241409
2010-09-30,0.01078265277335877
2010-10-01,0.0052159986551102155
2010-10-04,0.0016453597903842991
2010-10-05,-0.009991801472398698
2010-10-06,-0.0015
2010-10-07,0.0
2010-10-08,0.0
2010-10-11,0.0
2010-10-12,0.0
2010-10-13,-3.158278762960265e-07
2010-10-14,3.158279759940541e-07
2010-10-15,-3.158278762960265e-07
2010-10-18,0.00021846500403488456
2010-10-19,0.0
2010-10-20,-0.004609866789819781
2010-10-21,-0.009275973927396097
2010-10-22,0.0028105015821786043
2010-10-25,0.0017907334410793845
2010-10-26,0.0012344695375570152
2010-10-27,-0.006470013051411316
2010-10-28,0.008060314401748259
2010-10-29,0.002824455223125855
2010-11-01,-0.0008506380721350899
2010-11-02,-0.007343867867358578
2010-11-03,-0.0015
2010-11-04,0.0
2010-11-05,0.0
2010-11-08,0.0
2010-11-09,0.0
2010-11-10,2.3274802130046623e-07
2010-11-11,-5.485757700318672e-07
2010-11-12,0.00021814910716111413
2010-11-15,-0.0002181015285074306
2010-11-16,0.0
2010-11-17,-0.005544199220433994
2010-11-18,-0.01155022322068296
2010-11-19,0.00230775106048305
2010-11-22,0.003626190165012514
2010-11-23,0.005296168661209133
2010-11-24,0.00880534674359956
2010-11-26,0.009054041191510431
2010-11-29,0.004812875447528342
2010-11-30,-0.014307225283281674
2010-12-01,-0.01042195106020024
2010-12-02,-0.00976685078121786
2010-12-03,-0.004207568054124644
2010-12-06,0.005645606744696663
2010-12-07,-0.0016915646620140885
2010-12-08,-0.0014276002874019085
2010-12-09,-0.0022424033478219414
2010-12-10,0.00021717513848945645
2010-12-13,0.008434245039922295
2010-12-14,0.01073535127336217
2010-12-15,0.005187866013748654
2010-12-16,-0.0012388542776539096
2010-12-17,0.008438354226439349
2010-12-20,0.0064427704639509475
2010-12-21,0.0005612616497861493
2010-12-22,0.005211366223110608
2010-12-23,-0.0037229807246582087
2010-12-27,0.008796705328753873
2010-12-28,-0.0015659713211232658
2010-12-29,0.004489434067804332
2010-12-30,0.004227239794715815
2010-12-31,-0.001500315827876296
2011-01-03,0.00021814910716111413
2011-01-04,-0.0002181015285074306
2011-01-05,0.00021814910716111413
2011-01-06,-0.00021778576941389183
2011-01-07,-3.158278762960265e-07
2011-01-10,0.00021814910716111413
2011-01-11,-0.00021778576941389183
2011-01-12,0.0
2011-01-13,0.0
2011-01-14,-0.0013458485760923771
2011-01-18,-0.007556843124579327
2011-01-19,0.007643769172734183
2011-01-20,-0.0003890588087008258
2011-01-21,0.003958794538379773
2011-01-24,-0.003762874365975277
2011-01-25,-0.00422377998369966
2011-01-26,-0.004322744716840299
2011-01-27,-0.0019364363341563546
2011-01-28,0.011981424701368315
2011-01-31,-0.0015
2011-02-01,0.0
2011-02-02,0.00021814910716111413
2011-02-03,-0.00021841728750127132
2011-02-04,0.00021846500403488456
2011-02-07,0.0
2011-02-08,-3.158278764070488e-07
2011-02-09,-0.00021778576941389183
2011-02-10,0.00021814910716111413
2011-02-11,0.0
2011-02-14,-0.04174529272104366
2011-02-15,-0.00532474256628207
2011-02-16,-0.017181342332885707
2011-02-17,-0.004336170760256219
2011-02-18,0.05256000631673369
2011-02-22,0.014515147297487707
2011-02-23,0.007696576321517601
2011-02-24,-0.003253554905254363
2011-02-25,-0.017583238257823652
2011-02-28,-0.006843306534479121
2011-03-01,0.015293768222938875
2011-03-02,0.01612835723752809
2011-03-03,0.004697919482751056
2011-03-04,0.005119866382836291
2011-03-07,-0.0032969363512634904
2011-03-08,-0.009318525719890502
2011-03-09,-0.005095807344615899
2011-03-10,-0.00029196259563168915
2011-03-11,-0.006464429734372945
2011-03-14,-0.003610798643642221
2011-03-15,-0.00171797082550723
2011-03-16,0.0002180183471462982
2011-03-17,-0.0002179708255072299
2011-03-18,0.0
2011-03-21,-0.00021806623091780164
2011-03-22,-3.158278762960265e-07
2011-03-23,3.158279759940541e-07
2011-03-24,0.0
2011-03-25,-3.158278762960265e-07
2011-03-28,0.00021846500403488456
2011-03-29,-0.008253361481540098
2011-03-30,-0.0019802931365897054
2011-03-31,0.00295853574211763
2011-04-01,0.004770365761586071
2011-04-04,-0.0004627991884030287
2011-04-05,-0.0022102542129626697
2011-04-06,0.01309577129559042
2011-04-07,-0.006085488973844533
2011-04-08,-0.007824600134550552
2011-04-11,0.004121982588686013
2011-04-12,-0.0015
2011-04-13,0.00021833424397876833
2011-04-14,-0.0004363405044119917
2011-04-15,3.158279759940541e-07
2011-04-18,0.0
2011-04-19,0.00021814910716111413
2011-04-20,-0.0002181015285075416
2011-04-21,0.00021814910716111413
2011-04-25,0.0
2011-04-26,-0.0002181015285075416
2011-04-27,-0.0042903677073407994
2011-04-28,-0.005213851426705357
2011-04-29,0.004119307887853918
2011-05-02,-0.002154289029941192
2011-05-03,0.009892605065535076
2011-05-04,-0.0031440318545722934
2011-05-05,-0.008737676248993326
2011-05-06,0.00714604648704209
2011-05-09,-0.005610530001639108
2011-05-10,-0.003944147386864966
2011-05-11,-0.0009069816528537019
2011-05-12,-2.805225977065007e-07
2011-05-13,0.0
2011-05-16,0.0
2011-05-17,-0.0004357091239771682
2011-05-18,-3.5305288692555337e-08
2011-05-19,0.0002178685233678035
2011-05-20,0.0
2011-05-23,-0.0002181015285074306
2011-05-24,0.00021814910716111413
2011-05-25,0.0
2011-05-26,-0.0002181015285074306
2011-05-27,0.0
2011-05-31,3.158279759940541e-07
2011-06-01,0.0
2011-06-02,0.0
2011-06-03,0.00021814910716111413
2011-06-06,-3.158278764070488e-07
2011-06-07,-0.0002181015285074306
2011-06-08,0.00021846500403488456
2011-06-09,0.010683073248911492
2011-06-10,0.006026834759320948
2011-06-13,-0.00013681245171825963
2011-06-14,-0.0032415651467347646
2011-06-15,-0.0040842438240523415
2011-06-16,-0.002675499429059924
2011-06-17,-0.00693688322928343
2011-06-20,-0.002778590544165293
2011-06-21,0.0054250372315521045
2011-06-22,-0.004723832272843204
2011-06-23,0.010242368039922957
2011-06-24,-0.01008379402025067
2011-06-27,-0.013356324297863209
2011-06-28,-0.0012126050628395442
2011-06-29,-0.0037229462391420993
2011-06-30,0.018363447740240846
2011-07-01,-5.022877490318224e-05
2011-07-05,-0.017113305451837868
2011-07-06,-0.014325536217703327
2011-07-07,0.0030691580908315257
