label,n,cagr,vol,mdd,sharpe,cagr_mdd,navx
HRP core6 lb=126,3835,20.23,25.14,-49.74,0.86,0.41,16.5
HRP clean4 lb=126,3835,15.85,23.57,-49.59,0.74,0.32,9.4
HRP all17 lb=126,3835,9.24,18.91,-48.85,0.56,0.19,3.8
MV-shrink core6 lb=126 s=0.5,3835,19.27,23.59,-46.76,0.87,0.41,14.6
MV-shrink clean4 lb=126 s=0.5,3835,17.96,23.23,-47.55,0.83,0.38,12.3
MV-shrink all17 lb=126 s=0.5,3835,10.61,15.89,-42.93,0.71,0.25,4.6
IV core6 lb=63,3835,28.36,33.27,-60.74,0.92,0.47,44.7
IV clean4 lb=21,3835,23.26,25.55,-52.52,0.95,0.44,24.1
IV all17 lb=63,3835,15.82,27.67,-51.54,0.67,0.31,9.3
