label,n,cagr,vol,mdd,sharpe,cagr_mdd,navx
100% SOXL + trend200d @ 21d,3835,39.09,69.09,-75.77,0.83,0.52,151.6
100% SOXL + trend250d @ 3d,3835,36.31,69.98,-78.49,0.8,0.46,111.5
100% SOXL + trend250d @ 5d,3835,36.09,70.01,-74.3,0.79,0.49,108.8
100% SOXL + trend150d @ 21d,3835,35.82,68.31,-79.88,0.79,0.45,105.5
100% SOXL + trend200d @ 3d,3835,35.14,68.94,-79.31,0.79,0.44,97.8
100% TQQQ + trend150d @ 21d,3835,35.13,46.77,-70.47,0.88,0.5,97.7
100% SOXL + trend250d @ 10d,3835,33.95,71.12,-82.46,0.77,0.41,85.5
100% TQQQ + trend250d @ 5d,3835,33.75,48.1,-57.32,0.85,0.59,83.5
100% SOXL + trend250d @ 21d,3835,33.69,70.96,-80.67,0.77,0.42,82.9
100% TECL + trend200d @ 21d,3835,33.43,51.0,-53.13,0.82,0.63,80.5
3sleeve 80/10/10 TQQQ/TMF/UGL + trend150d @ 21d,3835,32.58,37.17,-59.0,0.95,0.55,73.1
100% SOXL + trend200d @ 5d,3835,32.45,69.12,-72.51,0.76,0.45,72.0
HFEA-Tech 80/20 TQQQ/TMF + trend150d @ 21d,3835,32.09,36.7,-58.53,0.94,0.55,69.1
100% TQQQ + trend250d @ 21d,3835,31.88,50.11,-61.48,0.81,0.52,67.4
100% SOXL + trend150d @ 3d,3835,31.23,67.85,-84.31,0.74,0.37,62.6
100% TQQQ + trend200d @ 21d,3835,31.03,48.18,-70.47,0.8,0.44,61.1
3sleeve 70/10/20 TQQQ/TMF/UGL + trend150d @ 21d,3835,30.9,33.03,-52.24,0.98,0.59,60.2
100% TECL + trend250d @ 21d,3835,30.65,54.04,-68.62,0.77,0.45,58.5
3sleeve 80/10/10 TQQQ/TMF/UGL + trend250d @ 5d,3835,30.31,38.08,-48.85,0.89,0.62,56.2
100% TECL + trend250d @ 10d,3835,30.28,52.05,-61.91,0.77,0.49,56.0
EW6 UPRO/TQQQ/SOXL/TECL/TMF/UGL + trend200d @ 21d,3835,30.11,31.57,-39.94,0.99,0.75,54.9
HFEA-Tech 80/20 TQQQ/TMF + trend200d @ 21d,3835,29.99,37.62,-58.09,0.89,0.52,54.2
100% TQQQ + trend250d @ 10d,3835,29.63,48.23,-65.61,0.78,0.45,51.9
3sleeve 80/10/10 TQQQ/TMF/UGL + trend250d @ 21d,3835,29.56,39.61,-49.97,0.85,0.59,51.5
3sleeve 80/10/10 TQQQ/TMF/UGL + trend200d @ 21d,3835,29.54,38.18,-58.79,0.87,0.5,51.4
HFEA-Tech 80/20 TQQQ/TMF + trend250d @ 5d,3835,29.41,37.52,-48.75,0.88,0.6,50.6
EW6 UPRO/TQQQ/SOXL/TECL/TMF/UGL + trend150d @ 21d,3835,29.39,30.84,-38.87,0.99,0.76,50.5
100% SOXL + trend200d @ 10d,3835,29.23,69.9,-79.91,0.72,0.37,49.5
HFEA-Tech 80/20 TQQQ/TMF + trend250d @ 21d,3835,29.15,39.0,-50.13,0.85,0.58,49.1
100% TQQQ + trend200d @ 5d,3835,29.14,47.17,-61.5,0.78,0.47,49.0
100% TECL + trend250d @ 5d,3835,29.05,51.73,-63.73,0.75,0.46,48.5
