Date,raw,dd_mult,vol_gate_mult,total_mult,net
2010-01-04,0.0,1.0,1.0,1.0,0.0
2010-01-05,-0.00016658908399289985,1.0,0.5,0.5,-8.329454199644992e-05
2010-01-06,-7.268863588475819e-05,1.0,0.5,0.5,-3.634431794237909e-05
2010-01-07,-0.0003333333333333333,1.0,0.5,0.5,-0.00016666666666666666
2010-01-08,0.00021811347076616805,1.0,0.5,0.5,0.00010905673538308402
2010-01-11,-0.00021806590765427456,1.0,0.5,0.5,-0.00010903295382713728
2010-01-12,0.00021811347076616805,1.0,0.5,0.5,0.00010905673538308402
2010-01-13,-5.485757700318672e-07,1.0,0.5,0.5,-2.742878850159336e-07
2010-01-14,3.158279759940541e-07,1.0,0.5,0.5,1.5791398799702705e-07
2010-01-15,0.0,1.0,0.5,0.5,0.0
2010-01-18,0.0,1.0,0.5,0.5,0.0
2010-01-19,0.00021814910716111413,1.0,0.5,0.5,0.00010907455358055707
2010-01-20,0.0,1.0,0.5,0.5,0.0
2010-01-21,-0.00021810152850754158,1.0,0.5,0.5,-0.00010905076425377079
2010-01-22,0.00021814910716111413,1.0,0.5,0.5,0.00010907455358055707
2010-01-25,-3.158278764070488e-07,1.0,0.5,0.5,-1.579139382035244e-07
2010-01-26,0.0,1.0,0.5,0.5,0.0
2010-01-27,-0.00043583947531899975,1.0,0.5,0.5,-0.00021791973765949987
2010-01-28,0.0002178328869828494,1.0,0.5,0.5,0.0001089164434914247
2010-01-29,0.0002184296910332506,1.0,0.5,0.5,0.0001092148455166253
2010-02-01,-0.0002183819899227446,1.0,0.5,0.5,-0.0001091909949613723
2010-02-02,0.00021846500403488453,1.0,0.5,0.5,0.00010923250201744227
2010-02-03,0.00021798303416065146,1.0,0.5,0.5,0.00010899151708032573
2010-02-04,-0.0002179708255072299,1.0,0.5,0.5,-0.00010898541275361495
2010-02-05,-0.00021810152850754158,1.0,0.5,0.5,-0.00010905076425377079
2010-02-08,0.00021814910716133618,1.0,0.5,0.5,0.00010907455358066809
2010-02-09,0.0002180183471462982,1.0,0.5,0.5,0.0001090091735731491
2010-02-10,-0.0002179708255072299,1.0,0.5,0.5,-0.00010898541275361495
2010-02-11,0.0002180183471462982,1.0,0.5,0.5,0.0001090091735731491
2010-02-12,0.0,1.0,0.5,0.5,0.0
2010-02-15,0.0,1.0,0.5,0.5,0.0
2010-02-16,0.0,1.0,0.5,0.5,0.0
2010-02-17,2.680533195409396e-07,1.0,0.5,0.5,1.340266597704698e-07
2010-02-18,-0.0004365731508219062,1.0,0.5,0.5,-0.0002182865754109531
2010-02-19,0.00021869780290351137,1.0,0.5,0.5,0.00010934890145175569
2010-02-22,-5.485757700318672e-07,1.0,0.5,0.5,-2.742878850159336e-07
2010-02-23,5.485760710133292e-07,1.0,0.5,0.5,2.742880355066646e-07
