lookback,top_n,cap,rebal,overlay_base,pdot_floor,nav_win,pdot_win,skip_recent,nav_floor_mult,IS_SR,IS_Ret,IS_MDD,OOS_SR,OOS_Ret,OOS_MDD,FULL_SR,FULL_Ret,FULL_Vol,FULL_MDD,NAVx,SR_gap,min_sr,calmar,step
120,3,1.0,21,5.5,0.35,15,378,0,0.33,0.706,42.34,-63.7,0.911,57.0,-56.0,0.819,50.28,61.4,-63.7,47.9,0.20500000000000007,0.706,0.7893249607535322,1
120,3,1.0,21,5.5,0.4,15,378,0,0.33,0.969,65.54,-47.6,0.791,49.75,-61.4,0.876,56.98,65.1,-61.4,77.9,0.17799999999999994,0.791,0.9280130293159609,1
120,3,1.0,21,4.5,0.3,15,378,0,0.33,0.714,35.63,-55.1,0.923,48.02,-48.2,0.829,42.35,51.1,-55.1,34.2,0.20900000000000007,0.714,0.7686025408348457,1
120,3,1.0,21,4.75,0.3,15,378,0,0.33,0.686,35.3,-56.9,0.949,51.83,-49.3,0.832,44.25,53.2,-56.9,38.3,0.2629999999999999,0.686,0.7776801405975395,1
120,3,1.0,21,5.0,0.3,15,378,0,0.33,0.664,35.1,-58.0,0.97,55.49,-50.4,0.835,46.15,55.3,-58.0,43.1,0.30599999999999994,0.664,0.7956896551724137,1
120,3,1.0,21,5.25,0.3,15,378,0,0.33,0.672,35.87,-55.6,0.985,58.88,-51.5,0.849,48.34,56.9,-55.6,52.0,0.31299999999999994,0.672,0.8694244604316547,1
120,3,1.0,21,5.75,0.3,15,378,0,0.33,0.776,42.34,-35.2,0.07,3.29,-76.4,0.419,21.18,50.6,-76.4,2.5,0.706,0.07,0.27722513089005235,1
120,3,1.0,21,6.0,0.3,15,378,0,0.33,0.751,42.04,-36.8,0.057,2.76,-79.4,0.4,20.75,51.8,-79.4,2.2,0.694,0.057,0.2613350125944584,1
120,3,1.0,21,6.25,0.3,15,378,0,0.33,0.705,40.14,-38.3,0.047,2.3,-81.7,0.371,19.63,52.9,-81.7,1.8,0.6579999999999999,0.047,0.2402692778457772,1
120,3,1.0,21,6.5,0.3,15,378,0,0.33,0.625,33.86,-39.8,0.045,2.23,-82.9,0.323,16.72,51.8,-82.9,1.3,0.58,0.045,0.20168878166465617,1
120,3,1.0,21,7.0,0.3,15,378,0,0.33,0.021,0.79,-45.4,0.041,2.08,-85.2,0.033,1.49,45.7,-85.2,0.3,0.02,0.021,0.017488262910798122,1
120,3,1.0,21,5.5,0.3,5,378,0,0.33,0.296,13.53,-44.0,0.582,31.92,-69.8,0.462,23.5,50.8,-69.8,3.2,0.286,0.296,0.336676217765043,1
120,3,1.0,21,5.5,0.3,7,378,0,0.33,0.53,24.81,-33.7,0.744,42.24,-69.7,0.654,34.26,52.4,-69.7,10.3,0.21399999999999997,0.53,0.49153515064562403,1
120,3,1.0,21,5.5,0.3,10,378,0,0.33,0.618,28.96,-33.7,0.815,48.36,-69.8,0.731,39.48,54.0,-69.8,17.0,0.19699999999999995,0.618,0.5656160458452721,1
120,3,1.0,21,5.5,0.3,12,378,0,0.33,0.789,45.67,-47.6,0.983,61.27,-52.7,0.897,54.12,60.3,-52.7,78.1,0.19399999999999995,0.789,1.0269449715370018,1
120,3,1.0,21,5.5,0.3,13,378,0,0.33,0.495,28.26,-61.1,0.98,60.93,-52.7,0.768,45.96,59.9,-61.1,30.9,0.485,0.495,0.7522094926350246,1
120,3,1.0,21,5.5,0.3,14,378,0,0.33,0.597,34.99,-63.9,0.978,60.69,-52.6,0.809,48.92,60.5,-63.9,43.3,0.381,0.597,0.7655712050078247,1
120,3,1.0,21,5.5,0.3,16,378,0,0.33,0.752,39.22,-33.7,0.952,57.58,-66.6,0.865,49.17,56.8,-66.6,45.5,0.19999999999999996,0.752,0.7382882882882884,1
120,3,1.0,21,5.5,0.3,17,378,0,0.33,0.692,35.77,-38.4,0.942,56.82,-66.6,0.835,47.18,56.5,-66.6,36.6,0.25,0.692,0.7084084084084085,1
120,3,1.0,21,5.5,0.3,18,378,0,0.33,0.742,38.43,-33.7,0.966,58.73,-66.6,0.87,49.43,56.8,-66.6,46.9,0.22399999999999998,0.742,0.7421921921921922,1
120,3,1.0,21,5.5,0.3,20,378,0,0.33,0.77,40.11,-33.7,0.929,55.64,-66.6,0.86,48.53,56.4,-66.6,43.3,0.15900000000000003,0.77,0.7286786786786787,1
120,3,1.0,21,5.5,0.3,25,378,0,0.33,0.698,40.14,-47.6,0.948,58.41,-52.6,0.837,50.04,59.8,-52.6,51.9,0.25,0.698,0.9513307984790874,1
120,3,1.0,21,5.5,0.3,30,378,0,0.33,0.797,41.95,-33.7,0.37,18.44,-70.1,0.571,29.21,51.1,-70.1,6.3,0.42700000000000005,0.37,0.41669044222539237,1
120,3,1.0,15,5.5,0.3,15,378,0,0.33,0.235,7.62,-42.1,0.161,7.69,-72.7,0.185,7.66,41.5,-72.7,0.8,0.07399999999999998,0.161,0.10536451169188446,1
120,3,1.0,17,5.5,0.3,15,378,0,0.33,0.386,14.53,-39.8,0.099,4.0,-57.2,0.225,8.82,39.2,-68.1,1.1,0.28700000000000003,0.099,0.12951541850220266,1
120,3,1.0,19,5.5,0.3,15,378,0,0.33,-0.314,-8.6,-49.7,0.587,28.21,-53.9,0.284,11.35,40.0,-67.0,1.4,0.901,-0.314,0.16940298507462687,1
120,3,1.0,23,5.5,0.3,15,378,0,0.33,0.433,16.19,-40.3,0.286,10.76,-61.1,0.353,13.25,37.5,-61.1,2.0,0.14700000000000002,0.286,0.21685761047463176,1
120,3,1.0,25,5.5,0.3,15,378,0,0.33,0.067,2.25,-48.7,0.281,16.04,-79.0,0.204,9.72,47.8,-79.0,0.8,0.21400000000000002,0.067,0.12303797468354431,1
120,3,1.0,28,5.5,0.3,15,378,0,0.33,-0.047,-1.54,-51.7,0.427,18.87,-58.7,0.242,9.52,39.3,-59.6,1.1,0.474,-0.047,0.15973154362416106,1
120,3,1.0,31,5.5,0.3,15,378,0,0.33,0.687,26.9,-45.8,0.196,7.68,-60.1,0.421,16.48,39.1,-76.0,2.6,0.49100000000000005,0.196,0.2168421052631579,1
120,2,1.0,21,5.5,0.3,15,378,0,0.33,0.906,44.6,-36.9,-0.148,-6.02,-74.7,0.383,17.16,44.9,-74.7,2.2,1.054,-0.148,0.22971887550200804,1
120,4,1.0,21,5.5,0.3,15,378,0,0.33,0.129,5.49,-55.0,0.76,31.43,-58.1,0.466,19.55,41.9,-58.1,3.5,0.631,0.129,0.33648881239242684,1
120,5,1.0,21,5.5,0.3,15,378,0,0.33,0.238,10.82,-57.5,0.694,27.45,-60.1,0.468,19.83,42.4,-60.1,3.5,0.45599999999999996,0.238,0.3299500831946755,1
90,3,1.0,21,5.5,0.3,15,378,0,0.33,-0.283,-8.48,-51.7,0.57,28.88,-69.9,0.277,11.77,42.5,-69.9,1.4,0.853,-0.283,0.16838340486409153,1
100,3,1.0,21,5.5,0.3,15,378,0,0.33,0.802,37.71,-58.1,0.83,49.75,-57.7,0.813,44.24,54.4,-58.1,35.0,0.027999999999999914,0.802,0.7614457831325301,1
110,3,1.0,21,5.5,0.3,15,378,0,0.33,0.376,13.42,-53.5,0.747,43.73,-55.8,0.604,29.85,49.4,-55.8,9.2,0.371,0.376,0.5349462365591399,1
130,3,1.0,21,5.5,0.3,15,378,0,0.33,0.603,27.31,-45.5,0.799,46.34,-60.2,0.716,37.62,52.6,-60.2,17.4,0.19600000000000006,0.603,0.6249169435215947,1
