date,pick_1,pick_2,pick_3,n_positive
2015-03-16,DRN,TMF,UBT,12
2015-04-15,YINN,SOXL,TQQQ,13
2015-05-14,YINN,SOXL,TQQQ,11
2015-06-15,YINN,TQQQ,QLD,9
2015-07-15,BTC_USD,TQQQ,FAS,7
2015-08-13,BTC_USD,FAS,TQQQ,5
2015-09-14,,,,0
2015-10-13,BTC_USD,,,1
2015-11-11,BTC_USD,QLD,TQQQ,3
2015-12-11,BTC_USD,TMF,UBT,7
2016-01-13,BTC_USD,TMF,TYD,4
2016-02-12,BTC_USD,TMF,UGL,6
2016-03-15,BTC_USD,NUGT,TMF,11
2016-04-14,NUGT,BTC_USD,TMF,13
2016-05-13,NUGT,UGL,BTC_USD,7
2016-06-14,NUGT,BTC_USD,UGL,13
2016-07-14,NUGT,ERX,DRN,18
2016-08-12,NUGT,SOXL,EDC,19
2016-09-13,NUGT,SOXL,LABU,18
2016-10-12,SOXL,BTC_USD,YINN,17
2016-11-10,SOXL,BTC_USD,YINN,14
2016-12-12,SOXL,FAS,TECL,12
2017-01-12,SOXL,FAS,ERX,13
2017-02-13,BTC_USD,SOXL,FAS,12
2017-03-15,BTC_USD,SOXL,FAS,11
2017-04-13,BTC_USD,SOXL,FAS,12
2017-05-15,BTC_USD,SOXL,EDC,16
2017-06-14,BTC_USD,EDC,SOXL,17
2017-07-14,BTC_USD,LABU,EDC,14
2017-08-14,BTC_USD,EDC,TECL,15
2017-09-13,BTC_USD,LABU,EDC,17
2017-10-12,BTC_USD,LABU,SOXL,15
2017-11-10,BTC_USD,SOXL,YINN,18
2017-12-12,BTC_USD,UCO,YINN,14
2018-01-12,BTC_USD,UCO,ERX,15
2018-02-13,BTC_USD,SOXL,LABU,14
2018-03-15,BTC_USD,SOXL,TECL,13
2018-04-16,UCO,BTC_USD,TECL,13
2018-05-15,ETH_USD,UCO,ERX,15
2018-06-14,LABU,UCO,TQQQ,12
2018-07-16,UCO,DRN,TQQQ,7
2018-08-14,DRN,ERX,TECL,11
2018-09-13,DRN,TECL,TQQQ,10
2018-10-12,DRN,TQQQ,TECL,7
2018-11-12,DRN,SSO,UPRO,4
2018-12-13,TYD,DRN,,2
2019-01-15,TYD,UGL,TMF,4
2019-02-14,NUGT,UGL,TYD,6
2019-03-18,NUGT,TYD,TMF,7
2019-04-16,SOXL,YINN,DRN,15
2019-05-16,BTC_USD,SOXL,ETH_USD,18
2019-06-17,ETH_USD,BTC_USD,TECL,20
2019-07-17,BTC_USD,TECL,SOXL,20
2019-08-15,BTC_USD,TMF,NUGT,15
2019-09-16,BTC_USD,SOXL,FAS,15
2019-10-15,NUGT,BTC_USD,TMF,12
2019-11-13,SOXL,NUGT,TECL,16
2019-12-13,SOXL,TECL,FAS,14
2020-01-15,SOXL,TECL,TQQQ,16
2020-02-14,SOXL,TECL,TQQQ,16
2020-03-17,TMF,UBT,TYD,3
2020-04-16,TMF,UBT,UGL,5
2020-05-15,TMF,UBT,UGL,7
2020-06-16,ETH_USD,TMF,UBT,8
2020-07-16,TMF,ETH_USD,UBT,9
2020-08-14,ETH_USD,QLD,TQQQ,11
2020-09-15,TQQQ,TECL,LABU,19
2020-10-14,SOXL,TECL,TQQQ,16
2020-11-12,SOXL,ETH_USD,EDC,15
2020-12-14,SOXL,ETH_USD,BTC_USD,16
2021-01-14,ETH_USD,BTC_USD,SOXL,15
2021-02-16,ETH_USD,BTC_USD,SOXL,15
2021-03-17,BTC_USD,ETH_USD,FAS,15
2021-04-16,ETH_USD,BTC_USD,FAS,15
2021-05-17,ETH_USD,BTC_USD,FAS,14
2021-06-16,ETH_USD,UCO,ERX,14
2021-07-16,DRN,UCO,FAS,10
2021-08-16,ETH_USD,DRN,FAS,14
2021-09-15,ETH_USD,TECL,TQQQ,14
2021-10-14,UCO,ETH_USD,ERX,14
2021-11-12,ETH_USD,SOXL,BTC_USD,15
2021-12-14,ETH_USD,TECL,SOXL,15
2022-01-13,ERX,ETH_USD,SOXL,13
2022-02-14,ERX,UCO,FAS,5
2022-03-16,ERX,UCO,NUGT,4
2022-04-14,ERX,UCO,NUGT,5
2022-05-16,ERX,UCO,,2
2022-06-15,UCO,ERX,,2
2022-07-18,UCO,ERX,,2
2022-08-16,ERX,UCO,DRN,3
2022-09-15,ERX,,,1
2022-10-14,ERX,,,1
2022-11-14,LABU,ERX,FAS,3
2022-12-14,ERX,FAS,ETH_USD,5
2023-01-17,NUGT,ERX,FAS,6
2023-02-15,NUGT,ERX,FAS,6
2023-03-17,SOXL,NUGT,BTC_USD,12
2023-04-18,NUGT,SOXL,ETH_USD,17
2023-05-17,BTC_USD,ETH_USD,TECL,15
2023-06-16,SOXL,TECL,TQQQ,12
2023-07-19,TECL,TQQQ,SOXL,8
2023-08-17,TQQQ,TECL,QLD,11
2023-09-18,UCO,TQQQ,TECL,10
2023-10-17,TQQQ,SOXL,TECL,10
2023-11-15,TECL,TQQQ,SOXL,12
2023-12-15,BTC_USD,FAS,SOXL,14
2024-01-18,BTC_USD,ETH_USD,TECL,10
2024-02-16,BTC_USD,SOXL,ETH_USD,14
2024-03-19,BTC_USD,SOXL,ETH_USD,18
