Date,HY_mid,HY_long,HY_short,JNK_mid,IG_mid,MidCorp,ShortCorp,IG5yr,EM_mid,EM_long,Muni_short,Muni_mid,MBS,TIPS
2005-07-06,0.0,0.0,0.0,0.0,0.0005056981449844079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019547467231688332
2005-07-07,0.0,0.0,0.0,0.0,0.0007686604820016805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013323755683859553
2005-07-08,0.0,0.0,0.0,0.0,0.0008781944136267037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001563577671087689
2005-07-11,0.0,0.0,0.0,0.0,-0.005122703079905672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023998299075893687
2005-07-12,0.0,0.0,0.0,0.0,-0.00022898119187908473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002060791813420079
2005-07-13,0.0,0.0,0.0,0.0,0.0030088629108466825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001673202648165353
2005-07-14,0.0,0.0,0.0,0.0,0.0019234055696306345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005288737838660053
2005-07-15,0.0,0.0,0.0,0.0,0.00026673524320394097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001738594770029708
2005-07-18,0.0,0.0,0.0,0.0,0.00048088083721790497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002045276157741459
2005-07-19,0.0,0.0,0.0,0.0,-0.0002963765648096345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00302639443084426
2005-07-20,0.0,0.0,0.0,0.0,-0.0003919238719769641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012541883814649547
2005-07-21,0.0,0.0,0.0,0.0,0.000653094167518015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017206791943442873
2005-07-22,0.0,0.0,0.0,0.0,0.0009355942329275523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00011330984289418481
2005-07-25,0.0,0.0,0.0,0.0,0.0012944991860216076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015532321982504585
2005-07-26,0.0,0.0,0.0,0.0,-0.00037349591712400776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003539326988187241
2005-07-27,0.0,0.0,0.0,0.0,-0.00015777822888495105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008320200762574896
2005-07-28,0.0,0.0,0.0,0.0,0.00038256087071896015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001542554323659841
2005-07-29,0.0,0.0,0.0,0.0,0.002440617130258971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021536049634996272
2005-08-01,0.0,0.0,0.0,0.0,-0.0008259131104297512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017594577804378743
2005-08-02,0.0,0.0,0.0,0.0,-0.0010810407430452919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010390620658062668
2005-08-03,0.0,0.0,0.0,0.0,0.00043144993607852457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024526717150832843
2005-08-04,0.0,0.0,0.0,0.0,0.0005526893042613387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007993580485739911
2005-08-05,0.0,0.0,0.0,0.0,0.0024173697161955316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010649575519359406
2005-08-08,0.0,0.0,0.0,0.0,-0.0025345289385598985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020470893145953894
2005-08-09,0.0,0.0,0.0,0.0,-0.0005694014512265897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003220766850137806
2005-08-10,0.0,0.0,0.0,0.0,0.0011880853927718064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00018141764681843645
2005-08-11,0.0,0.0,0.0,0.0,-0.0002114327056684435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015312681520037803
2005-08-12,0.0,0.0,0.0,0.0,0.0017076567965008849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000639423083609245
2005-08-15,0.0,0.0,0.0,0.0,-0.00044055731948141014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011076428891424789
2005-08-16,0.0,0.0,0.0,0.0,-0.0010444827897232024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012312134312091024
2005-08-17,0.0,0.0,0.0,0.0,0.00038257427153705423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001080893583345924
2005-08-18,0.0,0.0,0.0,0.0,-0.001296847453986969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015056668577579238
2005-08-19,0.0,0.0,0.0,0.0,-0.0004520619617968862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023217505212135715
2005-08-22,0.0,0.0,0.0,0.0,-0.001085142590171752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002132786724575945
2005-08-23,0.0,0.0,0.0,0.0,-0.0006305298423302586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011141049163862727
2005-08-24,0.0,0.0,0.0,0.0,-0.0007211890192609634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012355937835808678
2005-08-25,0.0,0.0,0.0,0.0,0.001447986342448236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010385264146289992
2005-08-26,0.0,0.0,0.0,0.0,0.0028848963835408515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009028756382814559
2005-08-29,0.0,0.0,0.0,0.0,-0.0004496069319393222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001034018685501785
2005-08-30,0.0,0.0,0.0,0.0,-0.001965625546548246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012106754167009754
2005-08-31,0.0,0.0,0.0,0.0,0.0020489473896392408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.25276499208643e-06
2005-09-01,0.0,0.0,0.0,0.0,-0.0035739789674740408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018030625921501655
2005-09-02,0.0,0.0,0.0,0.0,9.264115913953149e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018189829172094633
2005-09-06,0.0,0.0,0.0,0.0,0.00033352238894599883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002929204584218139
2005-09-07,0.0,0.0,0.0,0.0,-0.0011077691636056687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014443403196476895
2005-09-08,0.0,0.0,0.0,0.0,0.0002715642725281686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016179845408716975
2005-09-09,0.0,0.0,0.0,0.0,-0.00017668561882378008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019674755246383274
2005-09-12,0.0,0.0,0.0,0.0,-0.00011012625145609455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000925525887875926
2005-09-13,0.0,0.0,0.0,0.0,-0.0006167235936709028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008354849738288423
2005-09-14,0.0,0.0,0.0,0.0,-0.0008294397365484032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011256716640995717
2005-09-15,0.0,0.0,0.0,0.0,-0.0012013025563192858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005945053342914144
2005-09-16,0.0,0.0,0.0,0.0,0.00025187375509895266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016733636955285234
2005-09-19,0.0,0.0,0.0,0.0,0.001196376740000693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016397085408625613
2005-09-20,0.0,0.0,0.0,0.0,-0.0009118617008084526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020548540416946725
2005-09-21,0.0,0.0,0.0,0.0,0.0009271396191633508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001720688267542288
2005-09-22,0.0,0.0,0.0,0.0,-0.0010866617920263187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00031533875988872006
2005-09-23,0.0,0.0,0.0,0.0,0.0013463996694908472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00023028383340701307
2005-09-26,0.0,0.0,0.0,0.0,-0.0011948958773881327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.098119013336512e-05
2005-09-27,0.0,0.0,0.0,0.0,0.0004579332550855614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014964378847153272
2005-09-28,0.0,0.0,0.0,0.0,0.0005539198159207053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00218904604390079
2005-09-29,0.0,0.0,0.0,0.0,0.0013602324089005038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009654897006572713
2005-09-30,0.0,0.0,0.0,0.0,-0.0011930466188333731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008068980448635902
2005-10-03,0.0,0.0,0.0,0.0,-0.00010743524495279624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0033675053645700424
2005-10-04,0.0,0.0,0.0,0.0,0.0009213214949383343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001177074671431739
2005-10-05,0.0,0.0,0.0,0.0,-0.00045944526197528126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0022408778286820428
2005-10-06,0.0,0.0,0.0,0.0,-0.0011949782382693675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015668764267591237
2005-10-07,0.0,0.0,0.0,0.0,0.0006453478282247411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005124405894499904
2005-10-10,0.0,0.0,0.0,0.0,-0.0008258241667110458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009489566887886135
2005-10-11,0.0,0.0,0.0,0.0,-0.0001868657040868377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014395989922153245
2005-10-12,0.0,0.0,0.0,0.0,-0.0012932030970227819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1444876115943945e-06
2005-10-13,0.0,0.0,0.0,0.0,-0.00046033748865309185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008532498866859408
2005-10-14,0.0,0.0,0.0,0.0,-0.0020371345176961597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002127279404494642
2005-10-17,0.0,0.0,0.0,0.0,0.0023188723201342672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029575781054145657
2005-10-18,0.0,0.0,0.0,0.0,0.0001843818970294986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005599554822289961
2005-10-19,0.0,0.0,0.0,0.0,9.293321089109702e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000929389603546887
2005-10-20,0.0,0.0,0.0,0.0,-0.002957212514663638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011857313647242358
2005-10-21,0.0,0.0,0.0,0.0,0.001865840339844624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006083466195191166
2005-10-24,0.0,0.0,0.0,0.0,-0.0004534037672704102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006570824154149852
2005-10-25,0.0,0.0,0.0,0.0,-0.0012822097680924766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001215144144487014
2005-10-26,0.0,0.0,0.0,0.0,2.2554682309760925e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00029840097973379137
2005-10-27,0.0,0.0,0.0,0.0,-0.0010402137094783228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002114941548829005
2005-10-28,0.0,0.0,0.0,0.0,0.000843138858804595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005442015293434057
2005-10-31,0.0,0.0,0.0,0.0,-0.0008416830914351009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002088572284801181
2005-11-01,0.0,0.0,0.0,0.0,0.0001312385337672788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00046202093933287456
2005-11-02,0.0,0.0,0.0,0.0,-0.00036682975459521503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00016968026099322786
2005-11-03,0.0,0.0,0.0,0.0,-0.0007378111483238203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014683988049722795
2005-11-04,0.0,0.0,0.0,0.0,0.0011312212588889205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00036211250031582554
2005-11-07,0.0,0.0,0.0,0.0,-0.0003855792493451648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016480499031842335
2005-11-08,0.0,0.0,0.0,0.0,0.0021389336171540574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0024331863185814437
2005-11-09,0.0,0.0,0.0,0.0,-0.001159659219290535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005980078894289682
2005-11-10,0.0,0.0,0.0,0.0,0.0007706113410344941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0026426344758248444
2005-11-11,0.0,0.0,0.0,0.0,-0.0001109384707376601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003373180891670551
2005-11-14,0.0,0.0,0.0,0.0,-0.001522693245461641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00310457019066031
2005-11-15,0.0,0.0,0.0,0.0,-5.6918098028482886e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2584620092263126e-05
2005-11-16,0.0,0.0,0.0,0.0,0.00019784605249219007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015104181086181574
2005-11-17,0.0,0.0,0.0,0.0,0.00015396298439680984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004890265170715341
2005-11-18,0.0,0.0,0.0,0.0,-5.306558062737358e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002194819528001696
2005-11-21,0.0,0.0,0.0,0.0,0.0017385764007500674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005820570947678264
2005-11-22,0.0,0.0,0.0,0.0,-0.0009028692436827551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009872080663468619
2005-11-23,0.0,0.0,0.0,0.0,0.0011569448402489178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015989132981338956
