Date,ret,turnover,n_holdings
2010-09-10,0.00021814910716111413,0.0,0
2010-09-13,-0.0002181015285075416,0.0,0
2010-09-14,-3.158278762960265e-07,0.0,0
2010-09-15,0.0,0.0,0
2010-09-16,0.0,0.0,0
2010-09-17,3.158279759940541e-07,0.0,0
2010-09-20,0.0,0.0,0
2010-09-21,0.00021814910716111413,0.0,0
2010-09-22,0.0,0.0,0
2010-09-23,-0.0002181015285075416,0.0,0
2010-09-24,0.00021783321038726378,0.0,0
2010-09-27,-0.0002181015285074306,0.0,0
2010-09-28,3.158279759940541e-07,0.0,0
2010-09-29,0.0,0.0,0
2010-09-30,0.0,0.0,0
2010-10-01,0.0,0.0,0
2010-10-04,-3.158278762960265e-07,0.0,0
2010-10-05,3.158279759940541e-07,0.0,0
2010-10-06,0.0,0.0,0
2010-10-07,0.0,0.0,0
2010-10-08,0.0,0.0,0
2010-10-11,0.0,0.0,0
2010-10-12,0.0,0.0,0
2010-10-13,0.0,0.0,0
2010-10-14,-3.158278762960265e-07,0.0,0
2010-10-15,3.158279759940541e-07,0.0,0
2010-10-18,-3.158278762960265e-07,0.0,0
2010-10-19,0.00021846500403488456,0.0,0
2010-10-20,0.0,0.0,0
2010-10-21,-0.0002181015285075416,0.0,0
2010-10-22,0.00021783321038726378,0.0,0
2010-10-25,-0.00021778576941389183,0.0,0
2010-10-26,-3.158278762960265e-07,0.0,0
2010-10-27,0.0,0.0,0
2010-10-28,0.00021846500403488456,0.0,0
2010-10-29,-0.00021841728750127132,0.0,0
2010-11-01,0.00021814910716111413,0.0,0
2010-11-02,-0.00021755307208171093,0.0,0
2010-11-03,-2.3274796723260494e-07,0.0,0
2010-11-04,0.0,0.0,0
2010-11-05,0.0,0.0,0
2010-11-08,0.0,0.0,0
2010-11-09,0.0,0.0,0
2010-11-10,0.0,0.0,0
2010-11-11,2.3274802130046623e-07,0.0,0
2010-11-12,-5.485757700318672e-07,0.0,0
2010-11-15,0.00021814910716111413,0.0,0
2010-11-16,-0.0002181015285074306,0.0,0
2010-11-17,0.0,0.0,0
2010-11-18,3.158279759940541e-07,0.0,0
2010-11-19,0.0,0.0,0
2010-11-22,0.0,0.0,0
2010-11-23,0.00021814910716111413,0.0,0
2010-11-24,-0.00021841728750127132,0.0,0
2010-11-26,0.0,0.0,0
2010-11-29,0.0,0.0,0
2010-11-30,0.0,0.0,0
2010-12-01,0.00021846500403488456,0.0,0
2010-12-02,-0.0002181015285075416,0.0,0
2010-12-03,-3.158278762960265e-07,0.0,0
2010-12-06,3.158279759940541e-07,0.0,0
2010-12-07,0.0,0.0,0
2010-12-08,0.0,0.0,0
2010-12-09,-3.158278762960265e-07,0.0,0
2010-12-10,0.0,0.0,0
2010-12-13,0.0,0.0,0
2010-12-14,0.0,0.0,0
2010-12-15,3.158279759940541e-07,0.0,0
2010-12-16,0.0,0.0,0
2010-12-17,-3.158278762960265e-07,0.0,0
2010-12-20,0.0,0.0,0
2010-12-21,0.00021814910716111413,0.0,0
2010-12-22,3.158279762160987e-07,0.0,0
2010-12-23,-0.0002181015285075416,0.0,0
2010-12-27,0.0,0.0,0
2010-12-28,-3.158278762960265e-07,0.0,0
2010-12-29,0.00021846500403488456,0.0,0
2010-12-30,-0.00021841728750127132,0.0,0
2010-12-31,3.158279759940541e-07,0.0,0
2011-01-03,-3.158278762960265e-07,0.0,0
2011-01-04,0.00021814910716111413,0.0,0
2011-01-05,-0.0002181015285074306,0.0,0
2011-01-06,0.00021814910716111413,0.0,0
2011-01-07,-0.00021778576941389183,0.0,0
2011-01-10,-3.158278762960265e-07,0.0,0
2011-01-11,0.00021814910716111413,0.0,0
2011-01-12,-0.00021778576941389183,0.0,0
2011-01-13,0.0,0.0,0
2011-01-14,0.0,0.0,0
2011-01-18,0.0,0.0,0
2011-01-19,0.00021783321038726378,0.0,0
2011-01-20,0.0,0.0,0
2011-01-21,-0.00021778576941389183,0.0,0
2011-01-24,0.0,2.0,4
2011-01-25,0.028375647307057106,0.49999999999999994,3
2011-01-26,0.02237460639474505,0.0,3
2011-01-27,0.018400418638788125,0.0,3
2011-01-28,0.0071398713258029965,0.0,3
2011-01-31,-0.06135882740391681,2.0,1
2011-02-01,0.07522395756037081,2.0,0
2011-02-02,0.0,0.0,0
2011-02-03,0.00021814910716111413,0.0,0
