Date,cumulative
2008-05-13,1.0004283979226782
2008-05-14,1.0045468920060345
2008-05-15,1.011584460768081
2008-05-16,1.0159912667896014
2008-05-19,1.02225986245485
2008-05-20,1.0253170048359628
2008-05-21,1.023344248925002
2008-05-22,1.0170214981545935
2008-05-23,1.0089874548967512
2008-05-27,1.0026176491646979
2008-05-28,1.000254670944096
2008-05-29,0.9988375490972445
2008-05-30,1.0005317923423664
2008-06-02,0.9930628912648137
2008-06-03,0.9871044722222104
2008-06-04,0.9814328700807924
2008-06-05,0.9853848765685428
2008-06-06,0.9824790961828774
2008-06-09,0.9853421276422076
2008-06-10,0.9793350121704204
2008-06-11,0.978294011852005
2008-06-12,0.9720275812345868
2008-06-13,0.9705420307937691
2008-06-16,0.9619782582046594
2008-06-17,0.9647080920731973
2008-06-18,0.9622587031846476
2008-06-19,0.9545208597973514
2008-06-20,0.9389635223214009
2008-06-23,0.9289702091672435
2008-06-24,0.9194096979148788
2008-06-25,0.9218794131988396
2008-06-26,0.9149444516809486
2008-06-27,0.9071286987349703
2008-06-30,0.9093618242514093
2008-07-01,0.907770413936696
2008-07-02,0.9089045909471969
2008-07-03,0.9074701877230927
2008-07-07,0.9062162066051622
2008-07-08,0.9103667746739043
2008-07-09,0.9114262886700841
2008-07-10,0.9113920977710392
2008-07-11,0.9084163748957528
2008-07-14,0.9080984613073692
2008-07-15,0.9043712559458024
2008-07-16,0.9032249436961293
2008-07-17,0.8990824304092987
2008-07-18,0.9029140844909676
2008-07-21,0.907742073183209
2008-07-22,0.9057770315589366
2008-07-23,0.9007881103101462
2008-07-24,0.9033798014759744
2008-07-25,0.9022562204393904
2008-07-28,0.9051773796561099
2008-07-29,0.902558716222706
2008-07-30,0.9088345472064291
2008-07-31,0.9096816824871047
2008-08-01,0.9056794084973392
2008-08-04,0.9005628068614924
2008-08-05,0.9026173797266974
2008-08-06,0.8959717241175977
2008-08-07,0.899858425595667
2008-08-08,0.9013154837429407
2008-08-11,0.8940926507480378
2008-08-12,0.8995683611196084
2008-08-13,0.8994498505023258
2008-08-14,0.906444032310981
2008-08-15,0.911671005856748
2008-08-18,0.9085876800831847
2008-08-19,0.909463012135932
2008-08-20,0.9086895383842892
2008-08-21,0.9074130178413776
2008-08-22,0.9083953309652493
2008-08-25,0.9086577201974952
2008-08-26,0.9065812746806767
2008-08-27,0.9079174298340754
2008-08-28,0.9089969562468516
2008-08-29,0.9115821910439833
2008-09-02,0.9092334957637654
2008-09-03,0.9105971332755415
2008-09-04,0.9063946298884036
2008-09-05,0.9072967924484773
2008-09-08,0.9166324194141935
2008-09-09,0.9151999289916386
2008-09-10,0.9112959477657308
2008-09-11,0.9090486323043472
2008-09-12,0.90263327457124
2008-09-15,0.8691491281371762
2008-09-16,0.8506372994617478
2008-09-17,0.8289002709625574
2008-09-18,0.826577890358157
2008-09-19,0.8363964757490159
2008-09-22,0.8365577080109213
2008-09-23,0.8348944129602602
2008-09-24,0.8342271053896123
2008-09-25,0.8330933983304283
2008-09-26,0.8320505358383562
2008-09-29,0.8195340591495718
2008-09-30,0.8241210619024201
2008-10-01,0.8263484289770028
2008-10-02,0.8266326731623136
2008-10-03,0.8251180756896013
2008-10-06,0.8204413263109911
2008-10-07,0.8159829338641351
2008-10-08,0.8081921631203721
2008-10-09,0.8053741017590055
2008-10-10,0.7950767864041252
2008-10-13,0.8017571555510561
2008-10-14,0.8056606370352984
2008-10-15,0.8012418629609622
2008-10-16,0.7993769341722425
2008-10-17,0.7992796046439068
2008-10-20,0.8022100810504723
2008-10-21,0.8024415693973345
2008-10-22,0.8023505238715152
2008-10-23,0.8013020149070382
2008-10-24,0.7986745504199944
2008-10-27,0.7969689377867841
2008-10-28,0.7960284310372435
2008-10-29,0.7973599853788783
2008-10-30,0.7988624665539431
2008-10-31,0.8006593665536217
2008-11-03,0.8026107915761216
2008-11-04,0.8049071103586458
2008-11-05,0.8055262691645747
2008-11-06,0.8054265280461277
2008-11-07,0.8050978271657913
2008-11-10,0.8061834567885102
2008-11-11,0.8059639876403984
2008-11-12,0.8048113212761527
2008-11-13,0.8045096565737497
2008-11-14,0.8044632384725967
2008-11-17,0.8036190114175294
2008-11-18,0.8023058347919615
2008-11-19,0.7999474617021092
2008-11-20,0.7975310166831991
2008-11-21,0.7980776982416762
2008-11-24,0.79815598513748
2008-11-25,0.7997461213840145
2008-11-26,0.80082218460061
2008-11-28,0.8002550406121386
2008-12-01,0.7996332331005891
2008-12-02,0.7994529678579707
2008-12-03,0.8009567656342665
2008-12-04,0.8012824755721262
2008-12-05,0.8011969790426803
2008-12-08,0.8014097919240295
2008-12-09,0.8015166235371509
2008-12-10,0.8014733382089064
2008-12-11,0.8009715167431274
2008-12-12,0.8012161687201764
2008-12-15,0.8014672537300804
2008-12-16,0.80367166896886
2008-12-17,0.8076640479812559
2008-12-18,0.8134040629514638
2008-12-19,0.8133815563864225
2008-12-22,0.8152284060587002
2008-12-23,0.8168070706152459
2008-12-24,0.818054656707739
2008-12-26,0.820399870025425
2008-12-29,0.8215569142368008
2008-12-30,0.8209359538400249
2008-12-31,0.8229698299752548
2009-01-02,0.8236104636670968
2009-01-05,0.8286683040030096
2009-01-06,0.8276967515054119
2009-01-07,0.8239063601958748
2009-01-08,0.8260451279507129
2009-01-09,0.8287528153212292
2009-01-12,0.8268574155067445
2009-01-13,0.8263653316710426
2009-01-14,0.8242023463139383
2009-01-15,0.8234763289305216
2009-01-16,0.8234864824762819
2009-01-20,0.8179581957506276
2009-01-21,0.8140236393603463
2009-01-22,0.8136436217825381
2009-01-23,0.8101768279097884
2009-01-26,0.8090112564350449
2009-01-27,0.8143463737421263
2009-01-28,0.8205210981073862
2009-01-29,0.8162872232870972
2009-01-30,0.8176208050965073
2009-02-02,0.8133043516615572
2009-02-03,0.8156292389765173
2009-02-04,0.8144156875616292
2009-02-05,0.8129653592472379
2009-02-06,0.8165603628682365
2009-02-09,0.8180090566652182
2009-02-10,0.8185199530932893
2009-02-11,0.818412958789788
2009-02-12,0.8181492320385745
2009-02-13,0.8180603605646439
2009-02-17,0.8132545175858759
2009-02-18,0.8128318624772941
2009-02-19,0.810171299663257
2009-02-20,0.8084711351392543
2009-02-23,0.8050601144428323
2009-02-24,0.8068286031671176
2009-02-25,0.8046188811640914
2009-02-26,0.8015592260934009
2009-02-27,0.7991203304990083
2009-03-02,0.7964916167003423
2009-03-03,0.7958482283873863
2009-03-04,0.7943585441241904
2009-03-05,0.790300675312023
2009-03-06,0.7897001711437537
2009-03-09,0.7870382436810035
2009-03-10,0.7912687754919685
2009-03-11,0.7934372057542148
2009-03-12,0.7972480639551623
2009-03-13,0.798158242592465
2009-03-16,0.7982348119971404
2009-03-17,0.798853865418328
2009-03-18,0.8039348733871418
2009-03-19,0.8082006161830985
2009-03-20,0.8074279727232871
2009-03-23,0.8091069684323194
2009-03-24,0.810137227164924
2009-03-25,0.8101622918450453
2009-03-26,0.8131083229786823
2009-03-27,0.8127279422210031
2009-03-30,0.8075878249864294
2009-03-31,0.8092306548428705
2009-04-01,0.8103921112308801
2009-04-02,0.8137288314792783
2009-04-03,0.8163998768849589
2009-04-06,0.8171048974149165
2009-04-07,0.8166098521609287
2009-04-08,0.8207676734156386
2009-04-09,0.8227921016490424
