strategy,N_windows,SR_median,SR_p10,SR_p90,pct_SR_neg,MDD_median,MDD_worst,pct_MDD_worse_30,pct_MDD_worse_50,CAGR_median
TSMOM base,3331,1.051859383199739,-0.05391644446593307,1.5472986774363766,11.858300810567398,-19.055826033242408,-44.17999828300046,39.65776043230262,0.0,21.90186200370836
TSMOM + DD-wide,3331,1.0254379385344419,0.08288719383995322,1.4838251669986677,7.205043530471331,-18.770472315504772,-33.72049199127193,14.74031822275593,0.0,19.19051556042204
TSMOM + DD-tight,3331,0.9948445429595906,0.2207284623347354,1.5006707047237418,4.293005103572501,-17.858813352312552,-26.48451381647049,0.0,0.0,15.552040683147839
SPY,4845,0.807703342253477,0.03691280807263605,1.5747465502244498,9.040247678018575,-18.60546382107522,-55.189444723916736,20.84623323013416,7.966976264189886,11.936472516902885
60/40 SPY/TLT,4845,1.1653144006405372,-0.139994268781415,1.753522517157822,14.241486068111456,-11.033159312565921,-29.922753946510184,0.0,0.0,10.360804704426375
