,ENSEMBLE6,NOVA11,NOVA16,NOVA18_LO,NOVA20_A,NOVA21_LO,NOVA23
2018-02-01,-0.004758904872954141,-0.0050044439429169,-4.4099038273515134e-05,-0.0044270465820414,-0.0011356817085198,-0.0134908585079434,-0.0053860685718879
2018-02-02,-0.018243547094117064,-0.0229009736589597,-0.0676426802890144,-0.0129000663623373,-0.021769827347207,-0.0179665409379432,-0.0074357078300878
2018-02-05,-0.03320391259191992,-0.0437693375103486,-0.1229710573398474,-0.0166365600869181,-0.0418225954863406,-0.035434928354021,-0.0158526135389889
2018-02-06,0.013395038376074496,0.0205947985688131,0.0577566802996012,0.0078188068230547,0.0197023086010357,0.0210975210334194,-0.002522916491464
2018-02-07,-0.004388363864869652,-0.0066480174590782,-0.018906551836387,-0.0073940480149531,-0.0003904741052407,-0.0073887653851359,0.0011840825474689
2018-02-08,-0.016474760507725308,-0.0396515276475066,-0.1113827929148912,-0.0156991219469279,-0.0001095139001512,-0.0295368192514472,0.0119460670209494
2018-02-09,0.010530024992443316,0.0166182764254368,0.0463667655707784,0.0030150824693318,0.0002193580128961,0.0232296218671035,0.0084349857254086
2018-02-12,0.006232546566052912,0.0139330450250054,0.0392083118603452,0.0079316333462863,0.0,0.0112263647290625,-0.0049498613185405
2018-02-13,0.0002185244461758906,0.0031204019706804,0.0087809731021828,0.0019380983789177,0.0,0.0025937335957109,-0.0057867415539103
2018-02-14,0.007887339544282791,0.0146013202613412,0.0410888730605547,0.0096715876718991,0.0,0.0086724208829663,-0.0002
2018-02-15,0.00758297588258195,0.0130628656191367,0.0365620505302544,0.006955547969579,0.0001088895622058,0.0174886887059074,0.0001088895622058
2018-02-16,0.0002520132029829768,0.0003380610895694,0.0007519605655268,0.0007225582373485,0.0001098981161808,-0.0008027750489111,0.0001098981161808
2018-02-20,-0.004048483962427298,-0.0062625286875638,-0.0176230807677494,-0.0044883991987962,0.0,-0.0102165192832974,0.0
2018-02-21,-0.0029051044320496156,-0.0057539067019874,-0.015992453121819,-0.0029152464500083,-0.0001098860399122,-0.0028428501016443,-0.0001098860399122
2018-02-22,0.0012760119858720572,0.001527321104695,0.0040985999736675,0.0019412571971553,0.0001098981161808,0.0030852102101455,0.0001098981161808
2018-02-23,0.009219770056019672,0.0170707338294487,0.0476425846211356,0.0079967346794217,0.0002179355443383,0.0175708302344244,0.0002179355443383
2018-02-26,0.00799797167640388,0.012200504600081,0.0347281134289887,0.0049954636655294,0.0111122878664504,0.0092061263915837,-0.0002178880587857
2018-02-27,-0.00984165807489795,-0.0135856903407949,-0.0386261841392285,-0.0089814054957844,-0.0124864152989326,-0.0114665100105788,0.0002179355443383
2018-02-28,-0.008097129028910209,-0.0115194777850266,-0.032615148782233,-0.0052543105637582,-0.0101302452888926,-0.0140776847858289,0.0001095560745016
2018-03-01,-0.00940089413472078,-0.0143979514773761,-0.0406953185022231,-0.0043692258473724,-0.0145407654020583,-0.0113803022957618,9.852846814850658e-05
2018-03-02,0.002876327556621843,0.0008362883344598,0.0154261061044906,0.0041076591003534,0.0051550297384639,-3.246061972020592e-05,0.0001093293085461
2018-03-05,0.006508224299994346,0.0041072159193469,0.0337512604271306,0.0035576871710809,0.011557918771849,0.0124302934950919,0.0
2018-03-06,0.0029316890223422733,0.0009008803088571,0.0079023365887915,0.004045514448349,0.0025351239470714,0.010892208502376,0.0
2018-03-07,-0.000518244888077518,-0.0001302197755174,-0.0011003054133456,-0.000671604337303,-0.0005,-0.0021824803155272,0.0
2018-03-08,0.0002482261911786367,0.0016490923704673,0.0133570996069074,0.0002838226492424,-0.000109317356955,-0.0090792962428322,-0.000109317356955
2018-03-09,0.007428473785393387,0.0063253799203451,0.0520451504757046,0.0079020310910813,0.0002190665622734,0.01765258059677,0.0002190665622734
