label,n,cagr,vol,mdd,sharpe,cagr_mdd,navx
GEM-1 (SPY only) lb=252,3835,21.71,56.33,-93.1,0.63,0.23,19.9
GEM-1 lb=126,3835,26.08,57.71,-93.1,0.69,0.28,34.0
GEM-2 (SPY/QQQ) lb=252,3835,26.2,104.56,-99.06,0.76,0.26,34.5
GEM-2 lb=126,3835,35.96,106.31,-99.06,0.84,0.36,107.3
GEM-2 lb=63,3835,38.87,107.11,-99.06,0.86,0.39,148.0
GEM-4 (SPY/QQQ/TLT/GLD) lb=252,3835,33.18,111.75,-99.33,0.84,0.33,78.3
GEM-4 lb=126,3835,29.26,114.03,-99.33,0.82,0.29,49.7
GEM-4 lb=63,3835,32.62,114.87,-99.33,0.84,0.33,73.5
