,ENSEMBLE,NOVA11,NOVA16,NOVA18_LO,NOVA19,NOVA20_A
2018-02-01,-0.0031788481048842924,-0.0050044439429169,-4.4099038273515134e-05,-0.0044270465820414,-0.0022110762128964,-0.0011356817085198
2018-02-02,-0.021671046442979947,-0.0229009736589597,-0.0676426802890144,-0.0129000663623373,-0.0162715639852831,-0.021769827347207
2018-02-05,-0.0398462845958098,-0.0437693375103486,-0.1229710573398474,-0.0166365600869181,-0.0397665843101525,-0.0418225954863406
2018-02-06,0.016536387958641034,0.0205947985688131,0.0577566802996012,0.0078188068230547,0.0038219717722786,0.0197023086010357
2018-02-07,-0.0055771314803592315,-0.0066480174590782,-0.018906551836387,-0.0073940480149531,-0.0018697486600742,-0.0003904741052407
2018-02-08,-0.026784957044212125,-0.0396515276475066,-0.1113827929148912,-0.0156991219469279,-0.0305619206645234,-0.0001095139001512
2018-02-09,0.010386672508777223,0.0166182764254368,0.0463667655707784,0.0030150824693318,0.0144340481646609,0.0002193580128961
2018-02-12,0.01032056030243352,0.0139330450250054,0.0392083118603452,0.0079316333462863,0.011875802871696,0.0
2018-02-13,0.002002399190630497,0.0031204019706804,0.0087809731021828,0.0019380983789177,0.0002399356557889,0.0
2018-02-14,0.00986815969845039,0.0146013202613412,0.0410888730605547,0.0096715876718991,0.003231173363427,0.0
2018-02-15,0.010081114125054264,0.0130628656191367,0.0365620505302544,0.006955547969579,0.0147882261096158,0.0001088895622058
2018-02-16,0.000656656235547959,0.0003380610895694,0.0007519605655268,0.0007225582373485,0.0018487652269409,0.0001098981161808
2018-02-20,-0.0050447918134960456,-0.0062625286875638,-0.0176230807677494,-0.0044883991987962,-0.0061571462269373,0.0
2018-02-21,-0.003882633525245407,-0.0057539067019874,-0.015992453121819,-0.0029152464500083,-0.0030164912214358,-0.0001098860399122
2018-02-22,0.0020228310059478916,0.001527321104695,0.0040985999736675,0.0019412571971553,0.0050094251896865,0.0001098981161808
