dd_win,dd_floor,vol_win,vol_pct,is_sr,oos_sr,full_sr,is_cagr,oos_cagr,full_cagr,mdd,avg_mult
252,-0.25,20,0.7,1.3663,1.6937,1.5202,0.1631,0.2941,0.2205,-0.232,0.8167501789549033
252,-0.35,20,0.7,1.3663,1.6937,1.5202,0.1631,0.2941,0.2205,-0.232,0.8167501789549033
378,-0.15,20,0.7,1.3663,1.6937,1.5202,0.1631,0.2941,0.2205,-0.232,0.8167501789549033
378,-0.1,20,0.7,1.3663,1.6937,1.5202,0.1631,0.2941,0.2205,-0.232,0.8167501789549033
504,-0.25,20,0.7,1.3663,1.6937,1.5202,0.1631,0.2941,0.2205,-0.232,0.8167501789549033
252,-0.1,60,0.9,1.3654,1.6906,1.5177,0.1796,0.3281,0.2444,-0.249,0.8894058697208304
252,-0.25,60,0.9,1.3654,1.6906,1.5177,0.1796,0.3281,0.2444,-0.249,0.8894058697208304
252,-0.15,60,0.9,1.3654,1.6906,1.5177,0.1796,0.3281,0.2444,-0.249,0.8894058697208304
252,-0.35,60,0.9,1.3654,1.6906,1.5177,0.1796,0.3281,0.2444,-0.249,0.8894058697208304
378,-0.1,60,0.9,1.3654,1.6906,1.5177,0.1796,0.3281,0.2444,-0.249,0.8894058697208304
504,-0.35,60,0.9,1.3654,1.6906,1.5177,0.1796,0.3281,0.2444,-0.249,0.8894058697208304
504,-0.25,60,0.9,1.3654,1.6906,1.5177,0.1796,0.3281,0.2444,-0.249,0.8894058697208304
378,-0.2,60,0.9,1.3654,1.6906,1.5177,0.1796,0.3281,0.2444,-0.249,0.8894058697208304
504,-0.1,60,0.9,1.3654,1.6906,1.5177,0.1796,0.3281,0.2444,-0.249,0.8894058697208304
378,-0.25,60,0.9,1.3654,1.6906,1.5177,0.1796,0.3281,0.2444,-0.249,0.8894058697208304
378,-0.35,60,0.9,1.3654,1.6906,1.5177,0.1796,0.3281,0.2444,-0.249,0.8894058697208304
504,-0.15,60,0.9,1.3654,1.6906,1.5177,0.1796,0.3281,0.2444,-0.249,0.8894058697208304
504,-0.2,60,0.9,1.3654,1.6906,1.5177,0.1796,0.3281,0.2444,-0.249,0.8894058697208304
378,-0.15,60,0.9,1.3654,1.6906,1.5177,0.1796,0.3281,0.2444,-0.249,0.8894058697208304
252,-0.2,60,0.9,1.3654,1.6906,1.5177,0.1796,0.3281,0.2444,-0.249,0.8894058697208304
504,-0.15,20,0.99,1.3506,1.6966,1.5155,0.1952,0.347,0.2614,-0.2725,0.9713672154617037
504,-0.2,20,0.99,1.3506,1.6966,1.5155,0.1952,0.347,0.2614,-0.2725,0.9713672154617037
504,-0.1,20,0.99,1.3506,1.6966,1.5155,0.1952,0.347,0.2614,-0.2725,0.9713672154617037
378,-0.35,20,0.99,1.3506,1.6966,1.5155,0.1952,0.347,0.2614,-0.2725,0.9713672154617037
378,-0.2,20,0.99,1.3506,1.6966,1.5155,0.1952,0.347,0.2614,-0.2725,0.9713672154617037
378,-0.25,20,0.99,1.3506,1.6966,1.5155,0.1952,0.347,0.2614,-0.2725,0.9713672154617037
378,-0.15,20,0.99,1.3506,1.6966,1.5155,0.1952,0.347,0.2614,-0.2725,0.9713672154617037
252,-0.35,20,0.99,1.3506,1.6966,1.5155,0.1952,0.347,0.2614,-0.2725,0.9713672154617037
252,-0.2,20,0.99,1.3506,1.6966,1.5155,0.1952,0.347,0.2614,-0.2725,0.9713672154617037
252,-0.25,20,0.99,1.3506,1.6966,1.5155,0.1952,0.347,0.2614,-0.2725,0.9713672154617037
252,-0.15,20,0.99,1.3506,1.6966,1.5155,0.1952,0.347,0.2614,-0.2725,0.9713672154617037
252,-0.1,20,0.99,1.3506,1.6966,1.5155,0.1952,0.347,0.2614,-0.2725,0.9713672154617037
378,-0.1,20,0.99,1.3506,1.6966,1.5155,0.1952,0.347,0.2614,-0.2725,0.9713672154617037
504,-0.35,20,0.99,1.3506,1.6966,1.5155,0.1952,0.347,0.2614,-0.2725,0.9713672154617037
504,-0.25,20,0.99,1.3506,1.6966,1.5155,0.1952,0.347,0.2614,-0.2725,0.9713672154617037
