label,n,cagr,vol,mdd,sharpe,cagr_mdd,navx,window,cohort
3sleeve 70/10/20 TQQQ/TMF/UGL,815,62.21,43.5,-43.34,1.33,1.44,4.8,2023-2026,2023-2026
3sleeve 50/20/30 TQQQ/TMF/UGL,815,52.19,35.01,-32.59,1.37,1.6,3.9,2023-2026,2023-2026
theme4 SSO/TQQQ/UBT/UGL 25%,815,40.06,26.88,-25.78,1.39,1.55,3.0,2023-2026,2023-2026
HFEA 55/45 UPRO/TMF,815,15.47,32.77,-37.34,0.6,0.41,1.6,2023-2026,2023-2026
HFEA-Tech 60/40 TQQQ/TMF,815,33.03,40.58,-41.43,0.91,0.8,2.5,2023-2026,2023-2026
invvol core6 lb=63,815,35.98,34.6,-35.98,1.06,1.0,2.7,2023-2026,2023-2026
invvol-s core6 lb=63 tv=25%,815,39.83,46.29,-45.67,0.96,0.87,3.0,2023-2026,2023-2026
100% TQQQ,815,67.77,59.06,-58.04,1.17,1.17,5.3,2023-2026,2023-2026
EW5 UPRO/TQQQ/SOXL/TMF/UGL,1259,14.16,48.11,-68.73,0.52,0.21,1.9,2018-2022 crypto-era,2018-2022 crypto-era
EW6 UPRO/TQQQ/SOXL/TECL/TMF/UGL,1259,15.54,53.23,-70.19,0.54,0.22,2.1,2018-2022 crypto-era,2018-2022 crypto-era
3sleeve 70/10/20 TQQQ/TMF/UGL,1259,13.3,54.68,-71.17,0.5,0.19,1.9,2018-2022 crypto-era,2018-2022 crypto-era
3sleeve 50/20/30 TQQQ/TMF/UGL,1259,12.64,40.87,-65.32,0.5,0.19,1.8,2018-2022 crypto-era,2018-2022 crypto-era
theme4 SSO/TQQQ/UBT/UGL 25%,1259,11.23,31.34,-52.81,0.5,0.21,1.7,2018-2022 crypto-era,2018-2022 crypto-era
HFEA 55/45 UPRO/TMF,1259,5.46,36.9,-66.13,0.33,0.08,1.3,2018-2022 crypto-era,2018-2022 crypto-era
HFEA-Tech 60/40 TQQQ/TMF,1259,8.63,47.26,-75.46,0.41,0.11,1.5,2018-2022 crypto-era,2018-2022 crypto-era
invvol core6 lb=63,1259,15.28,38.36,-60.77,0.56,0.25,2.0,2018-2022 crypto-era,2018-2022 crypto-era
invvol-s core6 lb=63 tv=25%,1259,12.75,48.07,-61.92,0.49,0.21,1.8,2018-2022 crypto-era,2018-2022 crypto-era
100% TQQQ,1259,7.45,77.3,-81.66,0.49,0.09,1.4,2018-2022 crypto-era,2018-2022 crypto-era
EW5 + 20% BTC,1259,16.71,45.0,-67.26,0.57,0.25,2.2,2018-2022 crypto-era,2018-2022 crypto-era
EW5 + 10% BTC,1259,15.75,45.99,-67.72,0.55,0.23,2.1,2018-2022 crypto-era,2018-2022 crypto-era
TQQQ 60 / TMF 20 / BTC 20,1259,14.1,51.88,-75.41,0.52,0.19,1.9,2018-2022 crypto-era,2018-2022 crypto-era
invvol core6+BTC lb=63,1259,17.25,37.12,-60.42,0.62,0.29,2.2,2018-2022 crypto-era,2018-2022 crypto-era
invvol-s core6+BTC lb=63 tv=25%,1259,15.91,48.5,-64.15,0.55,0.25,2.1,2018-2022 crypto-era,2018-2022 crypto-era
EW5 + 15% BTC + 10% ETH,1259,19.15,46.06,-67.21,0.61,0.29,2.4,2018-2022 crypto-era,2018-2022 crypto-era
invvol core6+BTC+ETH lb=63,1259,19.07,38.08,-61.2,0.65,0.31,2.4,2018-2022 crypto-era,2018-2022 crypto-era
invvol-s core6+BTC+ETH lb=63 tv=25%,1259,17.3,50.33,-66.75,0.57,0.26,2.2,2018-2022 crypto-era,2018-2022 crypto-era
EW5 UPRO/TQQQ/SOXL/TMF/UGL,1066,10.69,48.13,-68.0,0.45,0.16,1.5,2022-2026 post-peak,2022-2026 post-peak
EW6 UPRO/TQQQ/SOXL/TECL/TMF/UGL,1066,10.36,52.2,-69.52,0.45,0.15,1.5,2022-2026 post-peak,2022-2026 post-peak
3sleeve 70/10/20 TQQQ/TMF/UGL,1066,10.46,50.81,-70.15,0.45,0.15,1.5,2022-2026 post-peak,2022-2026 post-peak
3sleeve 50/20/30 TQQQ/TMF/UGL,1066,11.15,40.13,-63.9,0.46,0.17,1.6,2022-2026 post-peak,2022-2026 post-peak
theme4 SSO/TQQQ/UBT/UGL 25%,1066,11.51,30.71,-51.88,0.51,0.22,1.6,2022-2026 post-peak,2022-2026 post-peak
HFEA 55/45 UPRO/TMF,1066,-9.82,37.62,-66.62,-0.09,-0.15,0.6,2022-2026 post-peak,2022-2026 post-peak
