date,pick_1,pick_2,pick_3,n_holdings
2017-11-21,SOXL,TECL,TQQQ,3
2017-11-29,FAS,UPRO,TQQQ,3
2017-12-06,FAS,UPRO,TMF,3
2017-12-13,FAS,UPRO,TMF,3
2017-12-20,FAS,UPRO,TQQQ,3
2017-12-28,FAS,UPRO,TQQQ,3
2018-01-05,SOXL,TECL,TQQQ,3
2018-01-12,SOXL,TQQQ,UPRO,3
2018-01-22,SOXL,TQQQ,UPRO,3
2018-01-29,TQQQ,SOXL,TECL,3
2018-02-05,UGL,,,1
2018-02-12,,,,0
2018-02-20,,,,0
2018-02-27,,,,0
2018-03-06,SOXL,TECL,TQQQ,3
2018-03-13,SOXL,TQQQ,TECL,3
2018-03-20,SOXL,TECL,TQQQ,3
2018-03-27,TMF,UGL,,2
2018-04-04,TMF,,,1
2018-04-11,TMF,UGL,,2
2018-04-18,UGL,TMF,,2
2018-04-25,FAS,UPRO,,2
2018-05-02,TQQQ,TECL,,2
2018-05-09,TECL,TQQQ,FAS,3
2018-05-16,FAS,TECL,SOXL,3
2018-05-23,SOXL,TECL,TQQQ,3
2018-05-31,SOXL,TECL,TQQQ,3
2018-06-07,SOXL,TQQQ,TECL,3
2018-06-14,TQQQ,SOXL,TECL,3
2018-06-21,TQQQ,TMF,TECL,3
2018-06-28,TMF,TQQQ,UPRO,3
2018-07-06,TMF,TQQQ,,2
2018-07-13,TMF,TQQQ,UPRO,3
2018-07-20,UPRO,TECL,TQQQ,3
2018-07-27,SOXL,FAS,UPRO,3
2018-08-03,FAS,UPRO,TQQQ,3
2018-08-10,FAS,UPRO,SOXL,3
2018-08-17,FAS,UPRO,TECL,3
2018-08-24,TECL,TQQQ,TMF,3
2018-08-31,TECL,TQQQ,UPRO,3
2018-09-10,UPRO,FAS,SOXL,3
2018-09-17,SOXL,UPRO,TECL,3
2018-09-24,UPRO,TECL,SOXL,3
2018-10-01,UPRO,TECL,,2
2018-10-08,UPRO,,,1
2018-10-15,UGL,,,1
2018-10-22,UGL,,,1
2018-10-29,UGL,,,1
2018-11-05,UGL,,,1
2018-11-12,FAS,,,1
2018-11-19,TMF,FAS,,2
2018-11-27,SOXL,FAS,UPRO,3
2018-12-04,TMF,UGL,,2
2018-12-12,TMF,UGL,SOXL,3
2018-12-19,TMF,UGL,,2
2018-12-27,TMF,UGL,,2
2019-01-04,TMF,UGL,,2
2019-01-11,TMF,UGL,,2
2019-01-18,FAS,SOXL,TQQQ,3
2019-01-28,FAS,SOXL,TQQQ,3
2019-02-04,SOXL,TECL,FAS,3
2019-02-11,SOXL,TECL,FAS,3
2019-02-19,SOXL,TECL,UPRO,3
2019-02-26,TECL,SOXL,TQQQ,3
2019-03-05,SOXL,TECL,TQQQ,3
2019-03-12,TECL,TQQQ,SOXL,3
2019-03-19,TECL,SOXL,TQQQ,3
2019-03-26,TECL,TQQQ,TMF,3
2019-04-02,TECL,SOXL,TQQQ,3
2019-04-09,SOXL,TECL,TQQQ,3
2019-04-16,SOXL,TECL,TQQQ,3
2019-04-24,SOXL,TECL,TQQQ,3
2019-05-01,SOXL,TECL,FAS,3
2019-05-08,FAS,SOXL,TECL,3
2019-05-15,TMF,UGL,,2
2019-05-22,TMF,,,1
2019-05-30,TMF,UGL,,2
2019-06-06,TMF,UGL,FAS,3
2019-06-13,TMF,UGL,FAS,3
2019-06-20,UGL,TECL,TMF,3
2019-06-27,SOXL,TECL,UGL,3
2019-07-05,TQQQ,TECL,SOXL,3
2019-07-12,SOXL,TECL,TQQQ,3
2019-07-19,SOXL,TECL,UGL,3
2019-07-26,SOXL,TECL,FAS,3
2019-08-02,TMF,UGL,SOXL,3
2019-08-09,TMF,UGL,,2
2019-08-16,TMF,UGL,,2
2019-08-23,TMF,UGL,,2
2019-08-30,TMF,UGL,SOXL,3
2019-09-09,SOXL,TECL,TMF,3
2019-09-16,SOXL,FAS,UPRO,3
2019-09-23,SOXL,FAS,UPRO,3
2019-09-30,SOXL,FAS,UPRO,3
2019-10-07,TMF,,,1
2019-10-14,TMF,TECL,,2
2019-10-21,SOXL,TECL,TQQQ,3
2019-10-28,SOXL,TQQQ,TECL,3
2019-11-04,SOXL,TQQQ,TECL,3
2019-11-11,SOXL,TECL,TQQQ,3
2019-11-18,SOXL,TECL,TQQQ,3
2019-11-25,TECL,TQQQ,UPRO,3
2019-12-03,TMF,TECL,FAS,3
2019-12-10,TMF,FAS,UPRO,3
2019-12-17,SOXL,TQQQ,TECL,3
2019-12-24,SOXL,TECL,TQQQ,3
2020-01-02,SOXL,TECL,TQQQ,3
2020-01-09,SOXL,TECL,TQQQ,3
2020-01-16,TECL,TQQQ,SOXL,3
2020-01-24,TECL,TQQQ,TMF,3
2020-01-31,TMF,UGL,TECL,3
2020-02-07,TMF,TECL,TQQQ,3
2020-02-14,TQQQ,TECL,TMF,3
2020-02-24,TMF,UGL,,2
2020-03-02,TMF,,,1
2020-03-09,TMF,UGL,,2
2020-03-16,TMF,,,1
2020-03-23,TMF,,,1
2020-03-30,TMF,UGL,,2
2020-04-06,UGL,,,1
2020-04-14,TQQQ,SOXL,UPRO,3
2020-04-21,UPRO,TQQQ,FAS,3
2020-04-28,TQQQ,SOXL,UPRO,3
2020-05-05,TQQQ,TECL,UPRO,3
2020-05-12,TQQQ,TECL,UPRO,3
2020-05-19,TECL,TQQQ,SOXL,3
2020-05-27,TECL,TQQQ,SOXL,3
2020-06-03,SOXL,FAS,UPRO,3
2020-06-10,FAS,SOXL,TECL,3
2020-06-17,SOXL,FAS,TQQQ,3
2020-06-24,TQQQ,TECL,SOXL,3
2020-07-01,TQQQ,TECL,UGL,3
2020-07-09,TQQQ,TMF,TECL,3
2020-07-16,TQQQ,TMF,TECL,3
2020-07-23,SOXL,UPRO,TQQQ,3
2020-07-30,SOXL,UGL,TMF,3
2020-08-06,UGL,FAS,TECL,3
2020-08-13,SOXL,TECL,UGL,3
2020-08-20,TECL,TQQQ,SOXL,3
2020-08-27,TECL,TQQQ,UPRO,3
2020-09-03,TQQQ,UPRO,TECL,3
2020-09-11,TMF,,,1
2020-09-18,,,,0
2020-09-25,TMF,,,1
2020-10-02,,,,0
2020-10-09,SOXL,TECL,TQQQ,3
2020-10-16,SOXL,TECL,TQQQ,3
2020-10-23,SOXL,FAS,UPRO,3
2020-10-30,SOXL,,,1
2020-11-06,SOXL,TQQQ,UPRO,3
2020-11-13,FAS,SOXL,UPRO,3
2020-11-20,SOXL,FAS,UPRO,3
2020-11-30,SOXL,FAS,TECL,3
2020-12-07,FAS,SOXL,UPRO,3
2020-12-14,SOXL,TQQQ,FAS,3
2020-12-21,SOXL,TECL,TQQQ,3
2020-12-29,TECL,TQQQ,FAS,3
2021-01-06,FAS,UGL,UPRO,3
2021-01-13,FAS,SOXL,UPRO,3
2021-01-21,SOXL,FAS,TQQQ,3
2021-01-28,SOXL,TQQQ,FAS,3
2021-02-04,TQQQ,TECL,SOXL,3
2021-02-11,TECL,TQQQ,SOXL,3
2021-02-19,FAS,SOXL,TECL,3
2021-02-26,FAS,SOXL,UPRO,3
2021-03-05,FAS,,,1
2021-03-12,FAS,UPRO,,2
2021-03-19,FAS,,,1
2021-03-26,FAS,UPRO,TECL,3
2021-04-05,SOXL,TECL,TQQQ,3
2021-04-12,SOXL,TECL,TQQQ,3
2021-04-19,TECL,TQQQ,UPRO,3
2021-04-26,TQQQ,TECL,UPRO,3
2021-05-03,FAS,UPRO,UGL,3
2021-05-10,FAS,UGL,UPRO,3
2021-05-17,FAS,UGL,,2
2021-05-24,FAS,UGL,UPRO,3
2021-06-01,FAS,UGL,SOXL,3
2021-06-08,SOXL,TQQQ,TECL,3
2021-06-15,SOXL,TECL,TQQQ,3
2021-06-22,TQQQ,TECL,TMF,3
2021-06-29,TECL,TQQQ,SOXL,3
2021-07-07,TECL,TQQQ,TMF,3
2021-07-14,TECL,TQQQ,TMF,3
2021-07-21,TECL,TQQQ,TMF,3
2021-07-28,TMF,TECL,TQQQ,3
2021-08-04,SOXL,TMF,TECL,3
2021-08-11,FAS,UPRO,SOXL,3
2021-08-18,FAS,UPRO,TMF,3
2021-08-25,FAS,TECL,SOXL,3
2021-09-01,FAS,TQQQ,TECL,3
2021-09-09,TQQQ,TECL,TMF,3
2021-09-16,SOXL,TQQQ,TECL,3
2021-09-23,SOXL,TMF,,2
2021-09-30,,,,0
2021-10-07,FAS,,,1
2021-10-14,FAS,UGL,,2
2021-10-21,FAS,UPRO,UGL,3
2021-10-28,FAS,TECL,TQQQ,3
2021-11-04,SOXL,TQQQ,TECL,3
2021-11-11,SOXL,TECL,TQQQ,3
2021-11-18,SOXL,TECL,TQQQ,3
2021-11-26,SOXL,TECL,TMF,3
2021-12-03,TMF,SOXL,,2
2021-12-10,TECL,SOXL,TQQQ,3
2021-12-17,TMF,,,1
2021-12-27,SOXL,TECL,UPRO,3
2022-01-03,TECL,UPRO,SOXL,3
2022-01-10,FAS,UGL,,2
2022-01-18,FAS,UGL,,2
2022-01-25,UGL,,,1
2022-02-01,,,,0
2022-02-08,UGL,,,1
2022-02-15,UGL,,,1
2022-02-23,UGL,,,1
2022-03-02,UGL,,,1
2022-03-09,UGL,,,1
2022-03-16,UGL,,,1
2022-03-23,TQQQ,UPRO,TECL,3
2022-03-30,TQQQ,UPRO,TECL,3
2022-04-06,TQQQ,UPRO,TECL,3
2022-04-13,UPRO,UGL,TQQQ,3
2022-04-21,,,,0
2022-04-28,,,,0
2022-05-05,,,,0
2022-05-12,,,,0
2022-05-19,,,,0
2022-05-26,,,,0
2022-06-03,TMF,,,1
2022-06-10,UGL,,,1
2022-06-17,,,,0
2022-06-27,,,,0
2022-07-05,TMF,,,1
2022-07-12,TMF,,,1
2022-07-19,TQQQ,TECL,SOXL,3
2022-07-26,TMF,SOXL,TECL,3
2022-08-02,SOXL,TECL,TQQQ,3
2022-08-09,SOXL,TECL,TQQQ,3
2022-08-16,TECL,TQQQ,FAS,3
2022-08-23,TECL,TQQQ,UPRO,3
2022-08-30,FAS,,,1
2022-09-07,,,,0
2022-09-14,,,,0
2022-09-21,,,,0
2022-09-28,,,,0
2022-10-05,,,,0
2022-10-12,,,,0
2022-10-19,,,,0
2022-10-26,FAS,UPRO,,2
2022-11-02,FAS,,,1
2022-11-09,FAS,SOXL,UPRO,3
2022-11-16,SOXL,FAS,TECL,3
2022-11-23,SOXL,FAS,TMF,3
2022-12-01,SOXL,TECL,TMF,3
2022-12-08,TMF,SOXL,TECL,3
2022-12-15,TMF,,,1
2022-12-22,UGL,TMF,,2
2022-12-30,UGL,,,1
2023-01-09,UGL,FAS,,2
2023-01-17,FAS,SOXL,UGL,3
2023-01-24,SOXL,TQQQ,TECL,3
2023-01-31,SOXL,TQQQ,TECL,3
2023-02-07,SOXL,TQQQ,TECL,3
2023-02-14,SOXL,TECL,TQQQ,3
2023-02-22,TQQQ,TECL,,2
2023-03-01,SOXL,,,1
2023-03-08,,,,0
2023-03-15,UGL,TMF,,2
2023-03-22,SOXL,UGL,TECL,3
2023-03-29,TECL,TQQQ,SOXL,3
2023-04-05,UGL,TMF,TQQQ,3
2023-04-13,TECL,TQQQ,UPRO,3
2023-04-20,FAS,UPRO,TECL,3
2023-04-27,FAS,UPRO,TQQQ,3
2023-05-04,UGL,,,1
2023-05-11,TQQQ,TECL,,2
2023-05-18,TQQQ,TECL,SOXL,3
2023-05-25,SOXL,TECL,TQQQ,3
2023-06-02,SOXL,TECL,TQQQ,3
2023-06-09,SOXL,TECL,TQQQ,3
2023-06-16,SOXL,TECL,TQQQ,3
2023-06-26,SOXL,TQQQ,UPRO,3
2023-07-03,SOXL,TQQQ,UPRO,3
2023-07-11,TQQQ,TECL,FAS,3
2023-07-18,TQQQ,FAS,SOXL,3
2023-07-25,FAS,TECL,SOXL,3
2023-08-01,SOXL,FAS,TQQQ,3
2023-08-08,FAS,UPRO,TQQQ,3
2023-08-15,,,,0
2023-08-22,,,,0
2023-08-29,,,,0
2023-09-06,TECL,TQQQ,,2
2023-09-13,TQQQ,TECL,FAS,3
2023-09-20,FAS,UGL,,2
2023-09-27,,,,0
2023-10-04,,,,0
2023-10-11,,,,0
2023-10-18,UGL,TECL,,2
2023-10-25,UGL,TECL,,2
2023-11-01,UGL,TECL,,2
2023-11-08,UGL,TECL,TMF,3
2023-11-15,TECL,SOXL,TQQQ,3
2023-11-22,SOXL,TECL,TQQQ,3
2023-11-30,SOXL,TECL,FAS,3
2023-12-07,SOXL,FAS,TMF,3
2023-12-14,TMF,SOXL,FAS,3
2023-12-21,SOXL,TMF,FAS,3
2023-12-29,SOXL,TMF,TQQQ,3
2024-01-08,SOXL,FAS,UPRO,3
2024-01-16,TQQQ,TECL,UPRO,3
2024-01-23,SOXL,TECL,TQQQ,3
2024-01-30,TECL,FAS,TQQQ,3
2024-02-06,TECL,SOXL,TQQQ,3
2024-02-13,SOXL,TECL,TQQQ,3
2024-02-21,FAS,UPRO,SOXL,3
2024-02-28,SOXL,UPRO,FAS,3
2024-03-06,SOXL,FAS,UGL,3
2024-03-13,SOXL,FAS,UGL,3
2024-03-20,SOXL,FAS,UGL,3
2024-03-27,SOXL,UGL,FAS,3
2024-04-04,UGL,FAS,UPRO,3
2024-04-11,UGL,TQQQ,UPRO,3
2024-04-18,UGL,,,1
2024-04-25,UGL,,,1
2024-05-02,UGL,,,1
2024-05-09,FAS,TMF,,2
2024-05-16,SOXL,TECL,TQQQ,3
2024-05-23,SOXL,TECL,TQQQ,3
2024-05-31,SOXL,TECL,TQQQ,3
2024-06-07,SOXL,TECL,TQQQ,3
2024-06-14,SOXL,TECL,TQQQ,3
2024-06-24,TQQQ,TECL,TMF,3
2024-07-01,TECL,TQQQ,SOXL,3
2024-07-09,TECL,SOXL,TQQQ,3
2024-07-16,FAS,UPRO,UGL,3
2024-07-23,FAS,UGL,UPRO,3
2024-07-30,FAS,TMF,UGL,3
2024-08-06,TMF,UGL,,2
2024-08-13,TMF,,,1
2024-08-20,TMF,UGL,FAS,3
2024-08-27,TECL,TMF,TQQQ,3
2024-09-04,FAS,UPRO,TQQQ,3
2024-09-11,FAS,TMF,UPRO,3
2024-09-18,FAS,TMF,UGL,3
2024-09-25,UGL,TQQQ,UPRO,3
2024-10-02,TECL,SOXL,TQQQ,3
2024-10-09,SOXL,TECL,TQQQ,3
2024-10-16,TECL,FAS,TQQQ,3
2024-10-23,FAS,TECL,UGL,3
2024-10-30,FAS,TECL,UGL,3
2024-11-06,FAS,TQQQ,UPRO,3
2024-11-13,FAS,TQQQ,TECL,3
2024-11-20,FAS,TQQQ,UPRO,3
2024-11-27,FAS,UPRO,TQQQ,3
2024-12-05,TMF,TQQQ,TECL,3
2024-12-12,UGL,TQQQ,TMF,3
2024-12-19,TQQQ,TECL,,2
2024-12-27,SOXL,TQQQ,TECL,3
2025-01-06,SOXL,,,1
2025-01-14,,,,0
2025-01-22,SOXL,FAS,UGL,3
2025-01-29,FAS,UGL,UPRO,3
2025-02-05,FAS,UGL,TMF,3
2025-02-12,FAS,UGL,TQQQ,3
2025-02-20,UGL,FAS,TMF,3
2025-02-27,TMF,UGL,,2
2025-03-06,UGL,TMF,,2
2025-03-13,TMF,UGL,,2
2025-03-20,TMF,UGL,,2
2025-03-27,UGL,,,1
2025-04-03,UGL,TMF,,2
2025-04-10,UGL,,,1
2025-04-17,UGL,,,1
2025-04-25,UGL,,,1
2025-05-02,TECL,TQQQ,SOXL,3
2025-05-09,SOXL,TECL,TQQQ,3
2025-05-16,SOXL,TECL,TQQQ,3
2025-05-23,SOXL,TECL,TQQQ,3
2025-06-02,SOXL,TECL,TQQQ,3
2025-06-09,SOXL,TECL,TQQQ,3
2025-06-16,SOXL,UGL,TECL,3
2025-06-24,SOXL,TECL,TQQQ,3
2025-07-01,SOXL,TECL,TQQQ,3
2025-07-09,SOXL,TECL,TQQQ,3
2025-07-16,SOXL,TECL,TQQQ,3
2025-07-23,TECL,UPRO,TQQQ,3
2025-07-30,TECL,SOXL,TQQQ,3
2025-08-06,TECL,TQQQ,UGL,3
2025-08-13,TQQQ,TECL,TMF,3
2025-08-20,TMF,UPRO,SOXL,3
2025-08-27,UGL,FAS,UPRO,3
2025-09-04,FAS,UGL,SOXL,3
2025-09-11,UGL,TMF,FAS,3
2025-09-18,SOXL,TECL,UGL,3
2025-09-25,SOXL,UGL,TECL,3
2025-10-02,SOXL,TECL,TQQQ,3
2025-10-09,SOXL,TECL,UGL,3
2025-10-16,UGL,SOXL,TECL,3
2025-10-23,SOXL,UGL,TECL,3
2025-10-30,SOXL,TECL,TQQQ,3
2025-11-06,TMF,SOXL,,2
2025-11-13,FAS,UPRO,TQQQ,3
2025-11-20,,,,0
2025-11-28,UGL,FAS,UPRO,3
2025-12-05,UGL,SOXL,FAS,3
2025-12-12,FAS,SOXL,UGL,3
2025-12-19,SOXL,FAS,TECL,3
2025-12-29,FAS,SOXL,TECL,3
2026-01-06,SOXL,FAS,UGL,3
2026-01-13,SOXL,UGL,TQQQ,3
2026-01-21,SOXL,UGL,UPRO,3
2026-01-28,SOXL,UGL,TECL,3
2026-02-04,UGL,,,1
2026-02-11,SOXL,UGL,TMF,3
2026-02-19,TMF,UGL,SOXL,3
2026-02-26,TMF,,,1
2026-03-05,TMF,UGL,SOXL,3
2026-03-12,,,,0
2026-03-19,,,,0
2026-03-26,,,,0
2026-04-02,,,,0
2026-04-10,SOXL,FAS,,2
