date,pick_1,pick_2,pick_3,n_holdings
2014-01-31,TMF,UGL,SOXL,3
2014-02-07,TMF,UGL,SOXL,3
2014-02-14,UGL,SOXL,TMF,3
2014-02-24,SOXL,TQQQ,UGL,3
2014-03-03,SOXL,UGL,TQQQ,3
2014-03-10,SOXL,FAS,UPRO,3
2014-03-17,UGL,SOXL,FAS,3
2014-03-24,FAS,SOXL,TMF,3
2014-03-31,SOXL,FAS,UPRO,3
2014-04-07,TMF,,,1
2014-04-14,TMF,,,1
2014-04-22,TMF,SOXL,UPRO,3
2014-04-29,TMF,UGL,UPRO,3
2014-05-06,TMF,UPRO,TQQQ,3
2014-05-13,TQQQ,UPRO,TECL,3
2014-05-20,TMF,TECL,UGL,3
2014-05-28,SOXL,TQQQ,TMF,3
2014-06-04,SOXL,TQQQ,TECL,3
2014-06-11,SOXL,TQQQ,TECL,3
2014-06-18,SOXL,TQQQ,FAS,3
2014-06-25,SOXL,UGL,TQQQ,3
2014-07-02,SOXL,UGL,TQQQ,3
2014-07-10,UGL,SOXL,TQQQ,3
2014-07-17,TMF,UGL,TQQQ,3
2014-07-24,TQQQ,TECL,UPRO,3
2014-07-31,TMF,TECL,,2
2014-08-07,TMF,,,1
2014-08-14,TQQQ,TMF,TECL,3
2014-08-21,TMF,TQQQ,SOXL,3
2014-08-28,SOXL,TQQQ,TMF,3
2014-09-05,SOXL,TQQQ,FAS,3
2014-09-12,SOXL,TQQQ,FAS,3
2014-09-19,SOXL,FAS,TQQQ,3
2014-09-26,,,,0
2014-10-03,TMF,,,1
2014-10-10,TMF,,,1
2014-10-17,TMF,UGL,,2
2014-10-24,TMF,UGL,,2
2014-10-31,FAS,TQQQ,UPRO,3
2014-11-07,SOXL,FAS,TQQQ,3
2014-11-14,SOXL,TQQQ,TECL,3
2014-11-21,SOXL,TECL,TQQQ,3
2014-12-01,SOXL,TECL,TQQQ,3
2014-12-08,SOXL,FAS,TQQQ,3
2014-12-15,TMF,SOXL,,2
2014-12-22,TMF,SOXL,FAS,3
2014-12-30,TMF,FAS,SOXL,3
2015-01-07,TMF,UGL,,2
2015-01-14,TMF,UGL,UPRO,3
2015-01-22,UGL,TMF,,2
2015-01-29,TMF,UGL,,2
2015-02-05,UGL,TQQQ,UPRO,3
2015-02-12,SOXL,TQQQ,TECL,3
2015-02-20,SOXL,TQQQ,TECL,3
2015-02-27,SOXL,TECL,TQQQ,3
2015-03-06,SOXL,TQQQ,TECL,3
2015-03-13,SOXL,,,1
2015-03-20,TMF,SOXL,FAS,3
2015-03-27,TMF,,,1
2015-04-06,TMF,UGL,FAS,3
2015-04-13,UGL,TMF,TQQQ,3
2015-04-20,UGL,,,1
2015-04-27,TQQQ,TECL,UPRO,3
2015-05-04,TECL,TQQQ,UPRO,3
2015-05-11,TECL,FAS,UPRO,3
2015-05-18,TECL,FAS,TQQQ,3
2015-05-26,SOXL,FAS,,2
2015-06-02,SOXL,TQQQ,FAS,3
2015-06-09,SOXL,,,1
2015-06-16,FAS,,,1
2015-06-23,FAS,TQQQ,SOXL,3
2015-06-30,,,,0
2015-07-08,TMF,,,1
2015-07-15,TQQQ,FAS,UPRO,3
2015-07-22,TMF,TQQQ,FAS,3
2015-07-29,TQQQ,FAS,TMF,3
2015-08-05,TQQQ,FAS,TECL,3
2015-08-12,TMF,,,1
2015-08-19,TMF,UGL,,2
2015-08-26,UGL,TMF,,2
2015-09-02,UGL,,,1
2015-09-10,,,,0
2015-09-17,,,,0
2015-09-24,UGL,TECL,TQQQ,3
2015-10-01,TMF,,,1
2015-10-08,UPRO,TECL,SOXL,3
2015-10-15,SOXL,TMF,TECL,3
2015-10-22,SOXL,TECL,UPRO,3
2015-10-29,TQQQ,TECL,SOXL,3
2015-11-05,TQQQ,TECL,FAS,3
2015-11-12,TQQQ,TECL,FAS,3
2015-11-19,TQQQ,TECL,FAS,3
2015-11-27,SOXL,FAS,TQQQ,3
2015-12-04,SOXL,TECL,FAS,3
2015-12-11,TMF,SOXL,,2
2015-12-18,TMF,,,1
2015-12-28,TMF,UGL,,2
2016-01-05,TMF,,,1
2016-01-12,UGL,TMF,,2
2016-01-20,TMF,UGL,,2
2016-01-27,UGL,TMF,,2
2016-02-03,TMF,UGL,,2
2016-02-10,TMF,UGL,,2
2016-02-18,UGL,SOXL,TMF,3
2016-02-25,UGL,SOXL,TMF,3
2016-03-03,SOXL,UGL,FAS,3
2016-03-10,SOXL,TECL,TQQQ,3
2016-03-17,SOXL,TECL,FAS,3
2016-03-24,SOXL,TECL,FAS,3
2016-04-01,TECL,SOXL,TQQQ,3
2016-04-08,TQQQ,TECL,SOXL,3
2016-04-15,TQQQ,TMF,FAS,3
2016-04-22,FAS,UPRO,TQQQ,3
2016-04-29,UGL,FAS,,2
2016-05-06,FAS,UGL,UPRO,3
2016-05-13,UGL,TMF,,2
2016-05-20,TMF,UGL,,2
2016-05-27,SOXL,TECL,TQQQ,3
2016-06-06,SOXL,TQQQ,TECL,3
2016-06-13,SOXL,TECL,TMF,3
2016-06-20,SOXL,TMF,UGL,3
2016-06-27,TMF,UGL,,2
2016-07-05,TMF,UGL,,2
2016-07-12,TMF,UPRO,TQQQ,3
2016-07-19,TQQQ,TECL,SOXL,3
2016-07-26,SOXL,TQQQ,TECL,3
2016-08-02,SOXL,TQQQ,TECL,3
2016-08-09,SOXL,TECL,TQQQ,3
2016-08-16,SOXL,TQQQ,TECL,3
2016-08-23,SOXL,TQQQ,TECL,3
2016-08-30,SOXL,FAS,TECL,3
2016-09-07,SOXL,FAS,TECL,3
2016-09-14,,,,0
2016-09-21,TECL,SOXL,TQQQ,3
2016-09-28,TQQQ,TECL,SOXL,3
2016-10-05,SOXL,TQQQ,TECL,3
2016-10-12,SOXL,TECL,TQQQ,3
2016-10-19,,,,0
2016-10-26,SOXL,,,1
2016-11-02,UGL,,,1
2016-11-09,FAS,SOXL,UPRO,3
2016-11-16,FAS,SOXL,UPRO,3
2016-11-23,FAS,SOXL,UPRO,3
2016-12-01,FAS,UPRO,SOXL,3
2016-12-08,FAS,SOXL,UPRO,3
2016-12-15,FAS,SOXL,TECL,3
2016-12-22,FAS,SOXL,UPRO,3
2016-12-30,SOXL,TECL,FAS,3
2017-01-09,TQQQ,TECL,TMF,3
2017-01-17,UGL,TMF,TQQQ,3
2017-01-24,UGL,TQQQ,TECL,3
2017-01-31,TQQQ,SOXL,TECL,3
2017-02-07,SOXL,TQQQ,TECL,3
2017-02-14,SOXL,TQQQ,FAS,3
2017-02-22,SOXL,TQQQ,FAS,3
2017-03-01,FAS,TECL,TQQQ,3
2017-03-08,FAS,TECL,TQQQ,3
2017-03-15,SOXL,TECL,TQQQ,3
2017-03-22,TECL,SOXL,UGL,3
2017-03-29,SOXL,TMF,TQQQ,3
2017-04-05,TMF,UGL,SOXL,3
2017-04-12,TMF,UGL,,2
2017-04-20,TMF,UGL,TQQQ,3
2017-04-27,TQQQ,TECL,SOXL,3
2017-05-04,TQQQ,TECL,UPRO,3
2017-05-11,SOXL,TQQQ,TECL,3
2017-05-18,SOXL,TQQQ,TECL,3
2017-05-25,SOXL,TECL,TQQQ,3
2017-06-02,SOXL,TQQQ,TECL,3
2017-06-09,SOXL,TMF,FAS,3
2017-06-16,FAS,UPRO,TMF,3
2017-06-23,TMF,FAS,UPRO,3
2017-06-30,FAS,,,1
2017-07-10,FAS,,,1
2017-07-17,TECL,SOXL,TQQQ,3
2017-07-24,FAS,TQQQ,TECL,3
2017-07-31,SOXL,TECL,TQQQ,3
2017-08-07,TECL,TQQQ,SOXL,3
2017-08-14,UGL,TMF,TECL,3
2017-08-21,UGL,TMF,,2
2017-08-28,TMF,UGL,TECL,3
2017-09-05,UGL,TMF,TECL,3
2017-09-12,UGL,SOXL,TECL,3
2017-09-19,SOXL,TECL,TQQQ,3
2017-09-26,SOXL,UPRO,FAS,3
2017-10-03,SOXL,FAS,UPRO,3
2017-10-10,SOXL,FAS,UPRO,3
2017-10-17,SOXL,FAS,TECL,3
2017-10-24,SOXL,TECL,FAS,3
2017-10-31,SOXL,TECL,TQQQ,3
2017-11-07,SOXL,TECL,TQQQ,3
2017-11-14,SOXL,TECL,TQQQ,3
