Date,signal_date,Ticker,Side,Weight_Delta,Fill_Price,Shares,Notional_USD
2026-05-08,2026-05-07,IBIT,BUY,0.0361,45.085,9.8581,444.45
2026-05-08,2026-05-07,SOXL,SELL,-0.067,163.0,-5.0598,-824.75
2026-05-08,2026-05-07,UCO,BUY,0.0656,43.18,18.6842,806.78
2026-05-12,2026-05-11,BIL,BUY,0.0164,91.49,2.2491,205.77
2026-05-12,2026-05-11,UGL,SELL,-0.0057,60.87,-1.1807,-71.87
2026-05-13,2026-05-12,BIL,BUY,0.006,91.49,0.8202,75.04
2026-05-13,2026-05-12,TQQQ,BUY,0.0286,75.81,4.7298,358.57
2026-05-13,2026-05-12,UCO,SELL,-0.0295,49.09,-7.5557,-370.91
2026-05-18,2026-05-15,BIL,BUY,0.0203,91.54,2.7185,248.85
2026-05-18,2026-05-15,UGL,SELL,-0.0071,57.71,-1.5061,-86.92
2026-05-19,2026-05-18,BIL,SELL,-0.0076,91.55,-0.9999,-91.54
2026-05-20,2026-05-19,BIL,BUY,0.1348,91.56,17.7905,1628.9
2026-05-20,2026-05-19,QLD,SELL,-0.0051,90.06,-0.6863,-61.81
2026-05-20,2026-05-19,TQQQ,SELL,-0.0281,74.09,-4.5871,-339.86
2026-05-20,2026-05-19,UCO,BUY,0.0238,50.91,5.6562,287.96
2026-05-20,2026-05-19,UGL,SELL,-0.1178,55.62,-25.5942,-1423.55
2026-05-21,2026-05-20,NUGT,BUY,0.0337,153.0,2.6722,408.84
2026-05-21,2026-05-20,TMF,SELL,-0.0337,32.49,-12.5815,-408.77
2026-05-21,2026-05-20,TYD,BUY,0.0337,23.08,17.7141,408.84
2026-05-21,2026-05-20,UBT,BUY,0.0337,15.32,26.6868,408.84
2026-05-21,2026-05-20,UCO,SELL,-0.0337,51.06,-8.0022,-408.59
2026-05-21,2026-05-20,YINN,SELL,-0.0337,31.11,-13.1396,-408.77
2026-05-22,2026-05-21,ERX,BUY,0.0619,93.99,8.0515,756.76
2026-05-22,2026-05-21,TMF,BUY,0.0339,33.64,12.322,414.51
2026-05-22,2026-05-21,UBT,SELL,-0.0337,15.67,-26.2805,-411.82
2026-05-22,2026-05-21,UGL,SELL,-0.0609,56.38,-13.2079,-744.66
2026-05-26,2026-05-22,BIL,SELL,-0.0094,91.6,-1.2624,-115.63
2026-05-27,2026-05-26,BIL,SELL,-0.0082,91.62,-1.0935,-100.19
2026-05-27,2026-05-26,TQQQ,BUY,0.0281,82.87,4.1531,344.17
2026-05-27,2026-05-26,UCO,SELL,-0.027,43.4,-7.608,-330.19
2026-05-28,2026-05-27,BIL,BUY,0.0101,91.62,1.3466,123.38
2026-05-29,2026-05-28,BIL,SELL,-0.0072,91.65,-0.9631,-88.27
2026-05-29,2026-05-28,ETHE,SELL,-0.0342,16.17,-26.0793,-421.7
2026-05-29,2026-05-28,IBIT,BUY,0.0349,41.33,10.4291,431.03
2026-06-01,2026-05-29,BIL,BUY,0.0083,91.4,1.1238,102.72
2026-06-01,2026-05-29,QLD,BUY,0.0892,98.16,11.182,1097.62
2026-06-01,2026-05-29,UGL,SELL,-0.0923,54.87,-20.6976,-1135.68
2026-06-05,2026-06-04,BIL,BUY,0.0775,91.45,10.2554,937.86
2026-06-05,2026-06-04,ERX,SELL,-0.063,92.72,-8.2271,-762.82
2026-06-05,2026-06-04,IBIT,SELL,-0.0688,35.16,-23.6894,-832.92
2026-06-05,2026-06-04,SOXL,BUY,0.0617,230.85,3.2334,746.44
2026-06-08,2026-06-05,BIL,BUY,0.0177,91.46,2.2911,209.55
2026-06-08,2026-06-05,QLD,SELL,-0.0073,92.71,-0.9364,-86.81
2026-06-09,2026-06-08,BIL,BUY,0.0185,91.46,2.4209,221.41
2026-06-09,2026-06-08,QLD,SELL,-0.0077,94.02,-0.9756,-91.73
2026-06-10,2026-06-09,BIL,SELL,-0.0182,91.48,-2.2844,-208.97
2026-06-10,2026-06-09,QLD,BUY,0.0075,88.52,0.978,86.57
2026-06-10,2026-06-09,TQQQ,SELL,-0.0257,71.68,-4.1288,-295.95
2026-06-10,2026-06-09,UCO,BUY,0.0285,46.01,7.1412,328.57
2026-06-11,2026-06-10,BIL,BUY,0.0176,91.48,2.2095,202.13
2026-06-11,2026-06-10,QLD,SELL,-0.0073,87.91,-0.9525,-83.74
2026-06-15,2026-06-12,BIL,SELL,-0.0175,91.52,-2.3338,-213.59
2026-06-15,2026-06-12,QLD,BUY,0.0072,97.69,0.9058,88.49
2026-06-16,2026-06-15,BIL,BUY,0.0306,91.53,4.0946,374.78
2026-06-16,2026-06-15,QLD,SELL,-0.0127,98.77,-1.572,-155.26
