Date,ENSEMBLE,NOVA11,NOVA16
2018-02-01,-0.003909862468930504,-0.0050044439429169,-4.4099038273515134e-05
2018-02-02,-0.032773965181373405,-0.0229009736589597,-0.0676426802890144
2018-02-05,-0.061246496236161636,-0.0437693375103486,-0.1229710573398474
2018-02-06,0.028795177385801535,0.0205947985688131,0.0577566802996012
2018-02-07,-0.009353064161590156,-0.0066480174590782,-0.018906551836387
2018-02-08,-0.055480208026926256,-0.0396515276475066,-0.1113827929148912
2018-02-09,0.023182768557242966,0.0166182764254368,0.0463667655707784
2018-02-12,0.019510447274217482,0.0139330450250054,0.0392083118603452
2018-02-13,0.004369499848314815,0.0031204019706804,0.0087809731021828
2018-02-14,0.02044623329513355,0.0146013202613412,0.0410888730605547
2018-02-15,0.01824834625646333,0.0130628656191367,0.0365620505302544
2018-02-16,0.0004293947986531272,0.0003380610895694,0.0007519605655268
2018-02-20,-0.008769420865482377,-0.0062625286875638,-0.0176230807677494
2018-02-21,-0.008013209925278706,-0.0057539067019874,-0.015992453121819
2018-02-22,0.0020947159670553486,0.001527321104695,0.0040985999736675
2018-02-23,0.023816914215157706,0.0170707338294487,0.0476425846211356
2018-02-26,0.01717159103688342,0.012200504600081,0.0347281134289887
2018-02-27,-0.019111286068136196,-0.0135856903407949,-0.0386261841392285
2018-02-28,-0.016174583649386717,-0.0115194777850266,-0.032615148782233
2018-03-01,-0.020200896900198002,-0.0143979514773761,-0.0406953185022231
2018-03-02,0.004055770960549758,0.0008362883344598,0.0154261061044906
2018-03-05,0.01064866062853915,0.0041072159193469,0.0337512604271306
2018-03-06,0.002445866490718756,0.0009008803088571,0.0079023365887915
2018-03-07,-0.00034428508503913036,-0.0001302197755174,-0.0011003054133456
2018-03-08,0.004232656228357406,0.0016490923704673,0.0133570996069074
2018-03-09,0.016414197292290135,0.0063253799203451,0.0520451504757046
2018-03-12,-0.0010766567693396025,-0.0003757587363036,-0.0035520375876008
2018-03-13,-0.006037489463827523,-0.0022965579780689,-0.0192494398557622
2018-03-14,-0.004950205407809523,-0.0018235590405217,-0.0159926681888012
2018-03-15,-0.0011421097750079503,-0.0004575936287641,-0.0035596342341115
2018-03-16,0.001168772260019458,0.0005262657033699,0.0034379302986691
2018-03-19,-0.012743976804219428,-0.0048081021245485,-0.040771323197376
2018-03-20,0.0014048384275212099,0.0005337236456978,0.0044813784087922
2018-03-21,-0.0015579451441120485,-0.000541434289092,-0.0051479844272465
2018-03-22,-0.021519960290233404,-0.0088122163196174,-0.0664002484142856
2018-03-23,-0.02218886001390695,-0.0075039485715981,-0.0740519647578298
2018-03-26,0.025796101146951335,0.0096518990165562,0.0828130228618093
2018-03-27,-0.016188369783099624,-0.0059041949428829,-0.052509272298472
2018-03-28,-0.0026126571172260735,-0.0009796076181074,-0.0083801428496076
2018-03-29,0.012972615630744656,0.0046814050778437,0.0422549114789934
2018-04-02,-0.021146246106049413,-0.0077056085708945,-0.0686149145450361
2018-04-03,0.011765897244372627,0.0123177683579687,0.0098168388872949
2018-04-04,0.012091704211639465,0.0124859811224852,0.0106992256253275
2018-04-05,0.007430103845354881,0.0072993958050702,0.0078917290182944
2018-04-06,-0.023142553570122473,-0.0233852202209009,-0.0222855210999832
2018-04-09,0.004453354333351949,0.0043188391003091,0.0049284254734376
2018-04-10,0.016671678573386643,0.0168901320602178,0.0159001603988502
2018-04-11,-0.005154381901053913,-0.0051295179999932,-0.0052421944227787
2018-04-12,0.008388588027370858,0.0084343555499846,0.0082269496117419
2018-04-13,-0.003057555402392364,-0.003092822925114,-0.0029330001245375
2018-04-16,0.008589740920905383,0.0086939257516661,0.0082217884949273
2018-04-17,0.011346666180089763,0.0115302212250421,0.0106983997904668
2018-04-18,0.0006834350655494403,0.0006673514256139,0.0007402380980987
2018-04-19,-0.005961847643975537,-0.006079073242012,-0.0055478387823274
2018-04-20,-0.008838479331486588,-0.0089403045936426,-0.0084788602587042
2018-04-23,-0.00015699907271105599,-0.0001589634401333,-0.0001500614623771
2018-04-24,-0.014014452274142775,-0.0141693860389903,-0.0134672684449297
2018-04-25,0.002473295719444057,0.002473808434562,0.0024714849493914
2018-04-26,0.010744940788543263,0.0109089222342614,0.0101658030165008
2018-04-27,0.0007184171105414577,0.0006561094880719,0.0009384706507469
2018-04-30,-0.008236221591909279,-0.0083906977597051,-0.0076906538707617
2018-05-01,0.0019580190568622424,0.0020092068161194,0.0017772378427303
2018-05-02,-0.011282694302667448,-0.0076531054963433,-0.0241014126980276
2018-05-03,-0.006189321321078455,-0.0060247087273727,-0.0067706881357896
2018-05-04,0.023545990733283263,0.0191647936677403,0.0390191846443728
2018-05-07,0.005680132964482913,0.0045126601382705,0.0098033287841792
