un,bh,vxm,cf,tw,rb,un_u,spy,spyma,yc,ns,nsw,full_sr,full_cagr,full_mdd,full_vol,full_navx,is_sr,is_cagr,is_mdd,oos_sr,oos_cagr,oos_mdd,gap,tim,turn_ann,uname
7,0.5,22,3,150,5,True,True,200,False,0.1,63,0.38757868038728116,0.059296977958170904,-0.5730199109410679,0.20152915493330625,2.518704529734099,0.7168467016191747,0.12350897753039303,-0.23912249697962173,0.04624001719605945,-0.013900036119927517,-0.5726918277841098,0.6706066844231153,0.5402128186092552,17.484780994803266,LEV_US
7,0.5,22,3,150,5,True,True,200,False,0.15,63,0.4323975270582346,0.07674920801949847,-0.420142322789651,0.23631812869827504,3.2732556378819893,0.6211885006489891,0.11839092894470626,-0.3311214164593186,0.2377914138735494,0.028169861071658975,-0.42014232278965147,0.3833970867754397,0.5402128186092552,16.94610244988864,LEV_US
7,0.5,22,3,150,5,True,True,200,False,,63,0.5251117947769877,0.11346663147254366,-0.48686012250313704,0.2804057847081016,5.604054473584835,0.8010824022230973,0.18517319481077732,-0.3318632769221137,0.25912482706086054,0.03204748193122309,-0.4868601225031387,0.5419575751622367,0.5402128186092552,16.670527097253153,LEV_US
7,0.5,22,5,150,5,True,True,200,False,0.1,63,0.6999955874059732,0.13026052655700182,-0.2955782747291157,0.2051641139563568,7.124529711749375,0.9923026749174019,0.1902845518924594,-0.23245855946928784,0.3832617834388247,0.06129748179132477,-0.29557827472911435,0.6090408914785772,0.5397178916109874,12.528582034149961,LEV_US
7,0.5,22,5,150,5,True,True,200,False,0.15,63,0.38641229543395367,0.06471511964443954,-0.5496119705737821,0.23427903376232437,2.7334262713935,0.744099738341219,0.15171242764307014,-0.3371610013819708,-0.008385650798527813,-0.032319831308529,-0.5069075814751705,0.7524853891397468,0.5397178916109874,13.198515219005195,LEV_US
7,0.5,22,5,150,5,True,True,200,False,,63,0.4658196258247894,0.09661248337565875,-0.564588508538723,0.2885093403595958,4.388149724148845,0.8246931674112818,0.1944018906437308,-0.35133256636006616,0.12879282631267575,-0.011633989363753705,-0.5645885085387239,0.6959003410986061,0.5397178916109874,11.868151447661468,LEV_US
7,0.5,28,3,150,5,True,True,200,False,0.1,63,0.3950919716963034,0.06260385588639283,-0.5764638016744027,0.21019463019023263,2.647793034773388,0.7509234283302485,0.13094733770565514,-0.23912249697962096,0.054894195054095464,-0.015003329077105998,-0.5761383647357885,0.6960292332761531,0.574857708487998,17.772828507795097,LEV_US
7,0.5,28,3,150,5,True,True,200,False,0.15,63,0.3934485644241032,0.0688392927356436,-0.5242920268611746,0.24896540672016348,2.908246150232267,0.6506026618111195,0.12579540430948888,-0.3311214164593187,0.15419228211356412,0.003413518886297151,-0.5071407211034822,0.49641037969755536,0.574857708487998,16.806533036377132,LEV_US
7,0.5,28,3,150,5,True,True,200,False,,63,0.5940989903343142,0.14232237081603394,-0.48563732348962385,0.30117129992737146,8.446616812741503,0.8216547531137206,0.19287023840097461,-0.3318632769221127,0.40687110521306197,0.08370150312885838,-0.4856373234896241,0.41478364790065864,0.574857708487998,16.88730512249443,LEV_US
7,0.5,28,5,150,5,True,True,200,False,0.1,63,0.8483570655635232,0.17144359473506254,-0.2955782747291167,0.2135719365926786,12.647260037132215,1.0490896866199708,0.2046036643032494,-0.23245855946928873,0.6500290488592928,0.1323270107022294,-0.29557827472911535,0.399060637760678,0.5746102449888641,12.585003711952485,LEV_US
