Date,[static] 100% TQQQ @ 21d
2011-01-04,-0.003052682319130083
2011-01-05,0.02481865829830099
2011-01-06,0.009042184786037355
2011-01-07,-0.0023194741210591507
2011-01-10,0.01124408541566635
2011-01-11,0.004596092724327816
2011-01-12,0.020280333776872883
2011-01-13,0.003150767263436549
2011-01-14,0.021686638933406943
2011-01-18,0.0079805960085515
2011-01-19,-0.0334917660905143
2011-01-20,-0.022456901733276524
2011-01-21,-0.022846619306783666
2011-01-24,0.04129872034853643
2011-01-25,0.003476799119682017
2011-01-26,0.01550629922864366
2011-01-27,0.019279190886184905
2011-01-28,-0.07542626957924448
2011-01-31,0.014804753804485093
2011-02-01,0.05553241751828697
2011-02-02,-0.004507808564088167
2011-02-03,0.0038737763697709315
2011-02-04,0.01804434376358821
2011-02-07,0.014516462696473997
2011-02-08,0.021321753944663513
2011-02-09,-0.0060778446695528565
2011-02-10,0.0048695681976189675
2011-02-11,0.020506622826232723
2011-02-14,0.006293990878272204
2011-02-15,-0.002578553969602493
2011-02-16,0.018480723031820467
2011-02-17,-0.0008647639783347927
2011-02-18,-0.00567455693372132
2011-02-22,-0.08806366345644412
2011-02-23,-0.0246774816243861
2011-02-24,0.01423869680704648
2011-02-25,0.04284514713291898
2011-02-28,0.007280200616759158
2011-03-01,-0.04807289735854581
2011-03-02,0.014102118278334075
2011-03-03,0.05966292309671162
2011-03-04,-0.014804913307938872
2011-03-07,-0.039844681526500114
2011-03-08,0.01043307542191152
2011-03-09,-0.02018232424296207
2011-03-10,-0.04574888855482995
2011-03-11,0.01669161575093736
2011-03-14,-0.0097504772224688
2011-03-15,-0.040889128198363434
2011-03-16,-0.07343361594655118
2011-03-17,0.026092050818311563
2011-03-18,-0.005470055828658782
2011-03-21,0.05580798111670782
2011-03-22,-0.0027345831842486845
2011-03-23,0.015144526354851973
2011-03-24,0.05439752659524122
2011-03-25,0.007317876433582615
2011-03-28,-0.01694973922555154
2011-03-29,0.028697364358380106
2011-03-30,0.014726243273060158
2011-03-31,0.004247906288818992
2011-04-01,0.0015271894337289815
2011-04-04,-0.009032414527620158
2011-04-05,-0.011365076958944398
2011-04-06,0.0075434751277478895
2011-04-07,-0.00023726550223834852
2011-04-08,-0.014977547957354731
2011-04-11,-0.009053081364442717
2011-04-12,-0.019728536865829538
2011-04-13,0.023853938278584064
2011-04-14,-0.005460885565398255
2011-04-15,-0.0064656884340569265
2011-04-18,-0.019280200631091482
2011-04-19,0.018031575223539154
2011-04-20,0.06654340243842438
2011-04-21,0.025371189876514322
2011-04-25,0.0074220532422129
2011-04-26,0.017193686622997806
2011-04-27,0.020744683375617967
2011-04-28,-0.001505148386306665
2011-04-29,-0.00484654023902531
2011-05-02,-0.005410288556088716
2011-05-03,-0.015015718112697307
2011-05-04,-0.00585355575615687
2011-05-05,-0.014999327008885177
2011-05-06,0.008684827800337303
2011-05-09,0.010847443192389061
2011-05-10,0.025668116054020862
2011-05-11,-0.021573238474664636
2011-05-12,0.017637826096916775
2011-05-13,-0.03542345859675866
2011-05-16,-0.05200013841018092
2011-05-17,0.008174991609491089
2011-05-18,0.02432385071365073
2011-05-19,0.008605480331123072
2011-05-20,-0.022065063900435056
2011-05-23,-0.04338428583433107
2011-05-24,-0.01884296830292498
2011-05-25,0.011151406540362396
2011-05-26,0.018750602610933642
2011-05-27,0.014915685611115448
2011-05-31,0.048121701113986726
2011-06-01,-0.06389223151910361
2011-06-02,0.00579851295661693
2011-06-03,-0.04540113687324587
2011-06-06,-0.024157020215797242
2011-06-07,-0.005800129053510461
2011-06-08,-0.02152787730000183
2011-06-09,0.00437437080708869
2011-06-10,-0.04592256497334102
2011-06-13,0.0006904664378237779
2011-06-14,0.037179272307899636
2011-06-15,-0.05463697312234972
2011-06-16,-0.013955057559088435
2011-06-17,-0.007433024688628498
2011-06-20,0.013248885048565473
2011-06-21,0.06666666097524332
2011-06-22,-0.02252131009066216
2011-06-23,0.02767590580626833
2011-06-24,-0.052666354820222416
2011-06-27,0.04859289265099487
2011-06-28,0.04487182263561773
2011-06-29,0.012525278732933298
2011-06-30,0.03799513662372522
2011-07-01,0.04633411281386657
2011-07-05,0.01441108586948836
2011-07-06,0.01065595463059954
2011-07-07,0.04047232659247313
2011-07-08,-0.008280086723199465
2011-07-11,-0.05361516417808021
2011-07-12,-0.024380236221471785
2011-07-13,0.013328697670579537
2011-07-14,-0.0344072025808011
2011-07-15,0.03976847989317811
2011-07-18,-0.016492027200444292
2011-07-19,0.0705189779041373
2011-07-20,-0.013996041142284366
2011-07-21,0.020279405381393723
2011-07-22,0.031028493907123478
2011-07-25,-0.005889315752822921
2011-07-26,0.005493856317413837
2011-07-27,-0.07585995115640742
2011-07-28,0.005333836363841549
2011-07-29,-0.009687719328138389
2011-08-01,-0.013509245199749165
2011-08-02,-0.0759071955488938
2011-08-03,0.025932907433790175
2011-08-04,-0.13609761058816594
2011-08-05,-0.022053016678893922
2011-08-08,-0.17568105846475457
2011-08-09,0.13695794665092897
2011-08-10,-0.11794468822192727
2011-08-11,0.12836517622952948
2011-08-12,0.025440382007608564
2011-08-15,0.04314238780481494
2011-08-16,-0.025700429246838796
2011-08-17,-0.016222025405826068
2011-08-18,-0.14501622897773758
2011-08-19,-0.05605653837243796
2011-08-22,0.008974756390376593
2011-08-23,0.12377175894337489
2011-08-24,0.023578236429476984
2011-08-25,-0.04804440502021878
2011-08-26,0.07224424745030622
2011-08-29,0.08510627793348569
2011-08-30,0.02034938779297213
2011-08-31,0.005825149172012933
2011-09-01,-0.028223393144238607
2011-09-02,-0.07000513459068192
2011-09-06,-0.00016034262342656813
2011-09-07,0.07560708121929949
2011-09-08,-0.01385006469159189
2011-09-09,-0.06584041122130047
2011-09-12,0.037503134727302934
2011-09-13,0.03879781988372111
2011-09-14,0.043197705827343835
2011-09-15,0.04543394237359477
2011-09-16,0.02613159947571919
2011-09-19,0.002545389328410419
2011-09-20,-0.014169123949423823
2011-09-21,-0.05085622209339202
2011-09-22,-0.09729780334700211
2011-09-23,0.031179430182768808
2011-09-26,0.033920574852436935
2011-09-27,0.03058431389472105
2011-09-28,-0.04710656242894962
2011-09-29,-0.029628706243939096
2011-09-30,-0.07773917746082493
2011-10-03,-0.07837638034970618
2011-10-04,0.060848112424123135
2011-10-05,0.07602061505652857
2011-10-06,0.05138190925698494
2011-10-07,-0.02061915241198964
2011-10-10,0.10260468492092278
2011-10-11,0.02135597179252513
2011-10-12,0.016062907419923
2011-10-13,0.026845578808557757
2011-10-14,0.0550771098348366
2011-10-17,-0.04628994068625181
2011-10-18,0.03627022217349807
2011-10-19,-0.057656084101998184
2011-10-20,-0.012696686332291707
2011-10-21,0.03556898921464935
2011-10-24,0.06248251594569543
2011-10-25,-0.05669556947624943
2011-10-26,-0.003952620483205771
2011-10-27,0.08058795012199282
2011-10-28,0.0033058722864951484
2011-10-31,-0.049554881981764276
2011-11-01,-0.07743605952095578
2011-11-02,0.024636080511682312
2011-11-03,0.06086315717158741
2011-11-04,-0.01549480899133926
2011-11-07,0.022241696666042143
2011-11-08,0.033338035727086046
2011-11-09,-0.10343542048458132
2011-11-10,-0.004121701383031584
2011-11-11,0.056130360341652974
2011-11-14,-0.016976040740176224
2011-11-15,0.03214874209315566
2011-11-16,-0.04929220871122142
2011-11-17,-0.06877131768323796
2011-11-18,-0.02398377479584246
2011-11-21,-0.05808867992714961
2011-11-22,0.008697966951011438
2011-11-23,-0.0664701807850252
2011-11-25,-0.022668928493266516
2011-11-28,0.10326441684611187
2011-11-29,-0.018066903016656366
2011-11-30,0.10975533551469074
2011-12-01,0.021439165299816487
2011-12-02,-0.009515262933171731
2011-12-05,0.032772149403990314
2011-12-06,-0.007658205979979127
2011-12-07,0.001516408051681406
2011-12-08,-0.050922287484563844
2011-12-09,0.047417753160938325
2011-12-12,-0.03281218442267286
2011-12-13,-0.03378040364853674
2011-12-14,-0.046520519273078875
2011-12-15,-0.007768630856497816
2011-12-16,0.012528914906191346
2011-12-19,-0.027683637492089908
2011-12-20,0.08875290322586826
2011-12-21,-0.04163419150243508
2011-12-22,0.024389207792717915
2011-12-23,0.025894324935781032
2011-12-27,0.007686700694071513
2011-12-28,-0.03210126444829675
2011-12-29,0.019482560499763046
2011-12-30,-0.008167287638693455
2012-01-03,0.05691921439541292
2012-01-04,0.011967188205967316
2012-01-05,0.024615232397542597
2012-01-06,0.010333222152346666
2012-01-09,-0.008368254580157775
2012-01-10,0.020496394747239854
2012-01-11,0.0069561786916592094
2012-01-12,0.011864007484206018
2012-01-13,-0.011467785203222114
2012-01-17,0.026849626873265198
2012-01-18,0.03972552158932263
2012-01-19,0.020018109972002263
2012-01-20,-0.00442785857245076
2012-01-23,-0.00011998751610020619
2012-01-24,-0.005530485360091264
2012-01-25,0.03820264349932767
2012-01-26,-0.01059705140546563
2012-01-27,0.009885760524021459
2012-01-30,0.0016311948624849748
2012-01-31,0.0034914421026859266
2012-02-01,0.0245783742282375
2012-02-02,0.010298338438134103
2012-02-03,0.03976352962196361
2012-02-06,-0.0009699442159151195
2012-02-07,0.004312386171688498
2012-02-08,0.01664188723392468
2012-02-09,0.02217871576498709
2012-02-10,-0.02138810965581428
2012-02-13,0.026923077898563186
2012-02-14,0.00873823262494966
2012-02-15,-0.022320924413679943
2012-02-16,0.04180214786533232
2012-02-17,-0.008504849255627334
2012-02-21,0.008477371019157909
2012-02-22,-0.013209359944014953
2012-02-23,0.018962485104859095
2012-02-24,0.009754583438457143
2012-02-27,0.00482931705155476
2012-02-28,0.02991598856440647
2012-02-29,-0.013141644267631647
2012-03-01,0.02431916459042638
2012-03-02,-0.0030152680480949323
2012-03-05,-0.031185788239759815
2012-03-06,-0.028676692856925423
2012-03-07,0.02269600644132108
2012-03-08,0.03171596460644599
2012-03-09,0.012086271389506242
2012-03-12,0.0015999092737131182
2012-03-13,0.05633265464974935
2012-03-14,0.011198315048122298
2012-03-15,0.007646463605603726
2012-03-16,-0.002180324543440526
2012-03-19,0.02176782699649893
2012-03-20,0.005475062797505759
2012-03-21,-0.0003395423659847685
2012-03-22,-0.006043800710295644
2012-03-23,-0.0013697722655885425
2012-03-26,0.052225647115247575
2012-03-27,0.0038290692671523185
2012-03-28,-0.011690997840967277
2012-03-29,-0.010267954760925568
2012-03-30,-0.006972151075901878
2012-04-02,0.030507442678693764
2012-04-03,8.232561583465525e-05
2012-04-04,-0.04079507333926613
2012-04-05,0.018263483240497314
2012-04-09,-0.02300072680804599
2012-04-10,-0.04827559804704751
2012-04-11,0.014467615870987993
2012-04-12,0.03353747639419624
2012-04-13,-0.045225593932354036
2012-04-16,-0.03148929722853466
2012-04-17,0.058947558714725456
2012-04-18,-0.007306089306258978
2012-04-19,-0.032332134018724146
2012-04-20,-0.0107752242604221
2012-04-23,-0.0251698081924413
2012-04-24,-0.017653402713364352
2012-04-25,0.07942993048646851
2012-04-26,0.017887314280973454
2012-04-27,0.017137235293718023
2012-04-30,-0.02078303397283998
2012-05-01,0.005678325578525989
2012-05-02,0.0066001921626435145
2012-05-03,-0.03106127052656904
2012-05-04,-0.07337523357638465
2012-05-07,0.0014409240197983397
2012-05-08,-0.011034301196656271
2012-05-09,-0.005531154981897268
2012-05-10,-0.010245664599313198
2012-05-11,-0.0009841249316464573
2012-05-14,-0.027631002678162542
2012-05-15,-0.008727041743304409
2012-05-16,-0.021704317812781482
2012-05-17,-0.061532113764676155
2012-05-18,-0.040142654252293575
2012-05-21,0.08410937695685416
2012-05-22,-0.0036436784213096374
2012-05-23,0.005591954489246875
2012-05-24,-0.01796808859141452
2012-05-25,-0.005662604603198118
2012-05-29,0.037239342527815245
2012-05-30,-0.024286994644310278
2012-05-31,-0.014285715214265582
2012-06-01,-0.07861286564391934
2012-06-04,0.021449171891450236
2012-06-05,0.013766074748597035
2012-06-06,0.0683554521940608
2012-06-07,-0.011202905482920356
2012-06-08,0.029412998129871193
2012-06-11,-0.04783139400089875
2012-06-12,0.031563511316735404
2012-06-13,-0.01960970307151777
2012-06-14,0.011209732102397618
2012-06-15,0.03694790167293638
2012-06-18,0.025781691671828977
2012-06-19,0.03289788555229678
2012-06-20,0.003560508627116654
2012-06-21,-0.07490733410499184
2012-06-22,0.03111164291875368
2012-06-25,-0.059310161053685695
2012-06-26,0.019330851339989463
2012-06-27,0.018320631041225388
2012-06-28,-0.0359801416290596
2012-06-29,0.0976943650950095
2012-07-02,0.008000785087847406
2012-07-03,0.023809458553007312
2012-07-05,0.003488292918835123
2012-07-06,-0.03939742958499992
2012-07-09,-0.0034181176475561736
2012-07-10,-0.03066290313220099
2012-07-11,-0.013735749345979209
2012-07-12,-0.02890933624075276
2012-07-13,0.04345870204709179
2012-07-16,-0.007496960480429693
2012-07-17,0.015318632006668498
2012-07-18,0.040709051750084324
2012-07-19,0.03256659858976452
2012-07-20,-0.03846261347624225
2012-07-23,-0.036998345862186977
2012-07-24,-0.022846542387489954
2012-07-25,-0.022315673837396188
2012-07-26,0.03913036637932299
2012-07-27,0.07573145286915772
2012-07-30,-0.006028295566355202
2012-07-31,0.0005860156248898019
2012-08-01,-0.009776395745906719
2012-08-02,-0.01046662538620391
2012-08-03,0.0568761243032152
2012-08-06,0.02247005487723075
2012-08-07,0.024745377453822215
2012-08-08,-0.0016226341005560752
2012-08-09,0.008483781869335294
2012-08-10,0.00411725241742511
2012-08-13,0.00606110955046546
2012-08-14,0.0014167627917271997
2012-08-15,0.007077829989690532
2012-08-16,0.03583956869192639
2012-08-17,0.013737401024420004
2012-08-20,0.0038481986758547304
2012-08-21,-0.011499039160875801
2012-08-22,0.010789594452772722
2012-08-23,-0.022184756627972257
2012-08-24,0.01774067248722977
2012-08-27,0.004861173329736124
2012-08-28,-0.00016640120281719017
2012-08-29,0.0003329579915829495
2012-08-30,-0.030519470958308315
2012-08-31,0.0213319367512812
2012-09-04,-0.004211894849917575
2012-09-05,-0.004566371936733926
2012-09-06,0.06610015909170475
2012-09-07,-0.004303950145743252
2012-09-10,-0.036817132623992554
2012-09-11,-0.0043206911668530745
2012-09-12,0.008678780850483125
2012-09-13,0.039880649846518956
2012-09-14,0.0256208154108144
2012-09-17,0.001861866468017892
2012-09-18,0.0018584063635256332
2012-09-19,0.0066469367597281614
2012-09-20,-0.0023027427983489668
2012-09-21,0.0
2012-09-24,-0.018469915289255012
2012-09-25,-0.04014484527193618
2012-09-26,-0.026303083049482923
2012-09-27,0.042450931726339514
2012-09-28,-0.02398189096084069
2012-10-01,-0.004288983072754049
2012-10-02,0.006459744244140309
2012-10-03,0.018923377197486158
2012-10-04,0.011627936300523167
2012-10-05,-0.017241374351077865
2012-10-08,-0.026477928571700393
2012-10-09,-0.05139241853519538
2012-10-10,-0.012138288038454403
2012-10-11,-0.008902504285171031
2012-10-12,-0.00017933433941841326
2012-10-15,0.019945080609164112
2012-10-16,0.043516422075952965
2012-10-17,-0.003039236294157699
2012-10-18,-0.034207027551951597
2012-10-19,-0.07224318664021123
2012-10-22,0.015687221770322335
2012-10-23,-0.029587664974131456
2012-10-24,-0.009970091567941153
2012-10-25,0.0
2012-10-26,0.010458904790011214
2012-10-31,-0.019359560900702455
2012-11-01,0.04241517891627278
2012-11-02,-0.036565747137077165
2012-11-05,0.024523206309136736
2012-11-06,0.006080490802193639
2012-11-07,-0.0717535867068978
2012-11-08,-0.046785278597215596
2012-11-09,0.01088432383604565
2012-11-12,0.001477503398980451
2012-11-13,-0.02171112724547397
2012-11-14,-0.03576891471313304
2012-11-15,-0.008939414223302244
2012-11-16,0.011275534182384694
2012-11-19,0.07201578584472346
2012-11-20,0.00020973092796072734
2012-11-21,0.0070689105126908736
2012-11-23,0.04583925410135059
2012-11-26,0.012833592658916038
2012-11-27,-0.011306838436858424
2012-11-28,0.026814828919039746
2012-11-29,0.01728070941204196
2012-11-30,-0.003585837980476736
2012-12-03,-0.004924265652089477
2012-12-04,-0.0064735948991442305
2012-12-05,-0.03084880917734556
2012-12-06,0.018387601074454585
2012-12-07,-0.01708470634928594
2012-12-10,0.008887094786306449
2012-12-11,0.03856704191224747
2012-12-12,-0.006785900316550797
2012-12-13,-0.02258511006566566
2012-12-14,-0.028348594858972787
2012-12-17,0.03896930484547112
2012-12-18,0.046354784516075
2012-12-19,-0.014338342895430234
2012-12-20,0.0007447409183107823
2012-12-21,-0.031120300369821274
2012-12-24,-0.008464699344622573
2012-12-26,-0.023665239703683838
2012-12-27,-0.005564108184840322
2012-12-28,-0.02897050234888998
2012-12-31,0.06522657633971973
2013-01-02,0.09329628265001566
2013-01-03,-0.014486462327632288
2013-01-04,-0.009859826885067147
2013-01-07,0.001086122866507555
2013-01-08,-0.005788615491134519
2013-01-09,0.01018856598880924
2013-01-10,0.0176474838102334
2013-01-11,0.003715220490051685
2013-01-14,-0.012869849066437178
