Date,signal_date,NAV,realized_ret,turnover,tc_drag
2026-04-13,2026-04-10,9994.09,0.0,1.1823,0.000591
2026-04-14,2026-04-13,10029.25,0.003518,0.0,0.0
2026-04-15,2026-04-14,9927.22,-0.01014,0.0666,3.3e-05
2026-04-16,2026-04-15,9982.54,0.005573,0.0,0.0
2026-04-17,2026-04-16,9821.4,-0.016142,0.0,0.0
2026-04-20,2026-04-17,10041.5,0.022444,0.0666,3.3e-05
2026-04-21,2026-04-20,10120.29,0.007941,0.1881,9.4e-05
2026-04-22,2026-04-21,10331.27,0.020914,0.1312,6.6e-05
2026-04-23,2026-04-22,10529.54,0.019254,0.1233,6.2e-05
2026-04-24,2026-04-23,10910.32,0.036227,0.122,6.1e-05
2026-04-27,2026-04-24,11049.58,0.012774,0.02,1e-05
2026-04-28,2026-04-27,10761.12,-0.026098,0.0148,7e-06
2026-04-29,2026-04-28,11075.88,0.029257,0.0153,8e-06
2026-04-30,2026-04-29,11206.85,0.011836,0.0219,1.1e-05
2026-05-01,2026-04-30,11311.36,0.009332,0.0138,7e-06
2026-05-04,2026-05-01,11545.76,0.020753,0.0593,3e-05
2026-05-05,2026-05-04,11634.12,0.008257,1.199,0.0006
2026-05-06,2026-05-05,12108.69,0.04086,0.133,6.7e-05
2026-05-07,2026-05-06,12276.3,0.013847,0.0087,4e-06
2026-05-08,2026-05-07,12305.02,0.002477,0.2756,0.000138
2026-05-11,2026-05-08,12560.12,0.020735,0.0072,4e-06
2026-05-12,2026-05-11,12572.96,0.001038,0.0327,1.6e-05
2026-05-13,2026-05-12,12558.92,-0.001082,0.0691,3.5e-05
2026-05-14,2026-05-13,12548.03,-0.000866,0.003,1e-06
