,FINAL_ENSEMBLE,NOVA11,NOVA18_LO,NOVA20_A,NOVA24
2017-06-01,0.004271804396202571,0.0085403903557665,0.0039525589485691,0.0079522829497062,0.0023007716143257
2017-06-02,0.0026249645675793113,0.0032868518841331,0.0054421743800864,0.0033284586030555,-5.743927685205718e-05
2017-06-05,-0.0020459640431331125,-0.0003297932217114,-0.0013072878420079,-0.0007371796927572,-0.0034295364777022
2017-06-06,-0.00017889868436665745,-0.0033384953302818,0.0001840115347041,-0.0031968259930239,0.001356297712353
2017-06-07,0.00031108278277660234,0.0018784780128899,-8.842429772986285e-05,-6.246089089706431e-05,0.0008571169088322
2017-06-08,0.000916854539957241,0.0002983504651234,0.0001382261017036,-0.0002188279080236,0.0022277009749026
2017-06-09,-0.0024308757299626687,-0.0013448735736454,-0.0039011556222946,0.0002188758041579,-0.0028562401362049
2017-06-12,0.0008673409638092959,-0.0006157202399721,-0.0018183159990796,-0.0002188279080236,0.0036758887542109
2017-06-13,0.0015262788371212981,0.0052687193869131,0.0025080268774266,0.0002188758041579,0.0015308399799392
2017-06-14,-0.004324132589048904,-0.001379631580356,-0.0013719267459498,-0.0002188279080236,-0.0091728470328213
2017-06-15,-0.001565746091761988,-0.0022506317049183,-0.0032912557399443,0.0,-0.0011308073374517
2017-06-16,0.0020427466431158997,0.0002823248501839,-0.0005153315092644,0.0004379570290613,0.0050628720927068
2017-06-19,8.131013846450751e-05,0.0173197433039032,0.0025527532834451,-0.0002189853187437,-0.0017167967885306
2017-06-20,-0.0006900710743856954,-0.0150473274794711,-0.0044212330457014,0.0,0.0018813326276576
2017-06-21,0.0001797984545635553,-0.0015655261988788,-4.705868918986056e-07,0.0002190332838172,0.0003004681568291
2017-06-22,0.0007946919901742952,-0.0002632184599401,0.0020076951237121,0.0002185746571052,0.0001715584336583
2017-06-23,0.0023666023852395557,0.0035674066813878,0.0031950070787574,-0.0002185268926645,0.0032670541343799
2017-06-26,-0.0005975759620066355,0.0073471785127937,9.037765296770097e-05,-0.0002189853187437,-0.0013777286951255
2017-06-27,0.0006722768587232506,-0.0196838298396518,-0.0040127434823719,0.0,0.0048320355262724
2017-06-28,0.003862927410921836,0.0082455228853671,0.0058830547000215,0.0084503594206257,-0.0005308269603617
2017-06-29,-0.0035762196914638222,-0.0268755777535052,-0.0071118862908239,-0.0087889744283476,0.0024099175299313
2017-06-30,0.002768068671186091,0.0008582634350778,0.0003724583726176,0.0018646128136825,0.0052337242076308
2017-07-03,0.0007217767565483756,0.0018150345103436,-0.0021748370238305,0.0016953712598724,0.002453113347325
2017-07-05,-0.0019641369158294297,0.0021742754946631,0.0002370656336643,0.0023120254750084,-0.006314619839198
2017-07-06,-0.0025777560709677695,-0.0093300721987862,-0.0041840917044003,-0.0091443952331482,0.0026819868750498
2017-07-07,0.0018630178123952195,0.0065331419250812,0.0023470055487975,0.0064852804146524,-0.001321258697145
2017-07-10,-7.22399141690356e-05,0.0009895904519802,0.001363023684247,-0.0005,-0.0009631784293295
2017-07-11,0.0029591908621328018,-0.0008167267448078,0.0012344191207134,0.0,0.0061312241325824
2017-07-12,0.0016068752981782883,0.0158141487219018,0.0050762775768002,-0.0002184004873779,-6.801764935025702e-05
2017-07-13,0.0004961159403316002,0.0052172527809935,0.0011117533699119,0.0,0.0003031099135148
2017-07-14,0.001079843019135637,0.0104687098828188,0.0030534426664982,0.0004374096642796,-0.0001124568758253
2017-07-17,-0.0010680585328918441,0.0083804577101423,-0.0002939943511642,-0.0002188657337219,-0.0022019162001521
2017-07-18,0.0010027549426545603,0.0049545506272207,0.0007475683387111,0.0,0.0018138652097396
2017-07-19,0.0014271748744376354,0.0092932666161811,0.0029675139772058,0.0,0.0010567315736944
2017-07-20,-0.0008867597622433574,0.0033227558897726,0.0004949679967196,0.0,-0.0025301256701126
2017-07-21,-0.0005957170614342873,0.0019000757038821,-0.0009342775133797,0.0,-0.0006849291873619
2017-07-24,0.0011457609594659355,0.0051734535766388,0.0005668704378694,0.0,0.002302701604592
2017-07-25,0.0008556352101746359,0.00063115055278,0.0006896327802022,0.0,0.0015062923042171
2017-07-26,0.0018320012904593536,7.927734416891054e-05,0.0011350437016137,0.0002189136464179,0.0033662644449485
2017-07-27,-0.002426077140886885,-0.0037402572785313,-0.0018371818467883,-0.0014293907218185,-0.0035008389308963
2017-07-28,0.0004624104872402123,-0.0027781090106082,-0.0003310122009507,-0.0011733032598959,0.0020876379625738
2017-07-31,0.001285580766730883,-0.0004840931629306,-0.0003949371531846,-0.0005668797542581,0.0037525677343243
2017-08-01,0.0017161755602421037,0.0022697772507538,0.0013275922431267,0.0022288534082355,0.0017172756515102
2017-08-02,0.0002729000424912589,0.0005588944160938,-0.0004275095972753,0.0004850104167493,0.0007056438798484
2017-08-03,-0.0002647865414529145,-0.0016684193841959,-0.0019684750726893,-0.0019397381137699,0.0021133648560099
2017-08-04,0.0014329514179489623,0.0015152026130824,0.0013126922730323,0.001822114099073,0.0012938351669885
2017-08-07,-4.487062455445294e-05,0.0018937521898889,0.0015564878266248,-0.0005,-0.00105230327371
2017-08-08,-0.002900063927075524,-0.0122470386442455,-0.0013378072688254,0.0,-0.0059061385958175
2017-08-09,-0.002313818685983117,-0.0015133422471204,-0.0014839293513527,0.0,-0.0043785266884554
2017-08-10,-0.002912952731172543,-0.0147703328425758,-0.0094462762841175,0.0,0.0005582789981213
2017-08-11,0.003255499049602815,0.0014837281081292,0.001347173629765,0.0002182475236649,0.0066217995711799
2017-08-14,0.00219678221090446,0.0102952952090679,0.0043299336607439,-0.0002181999020766,0.0019491012783038
2017-08-15,0.0006409316465762478,7.561088339953387e-05,-0.0009742122419475,0.0002182475236649,0.0021905036862484
2017-08-16,-0.0009540583827381467,0.0014519295483716,0.0014360498009043,-0.0002181999020766,-0.0033139062835874
2017-08-17,-0.002739187098285151,-0.0162958132848332,-0.0067608718041954,0.0002182475236649,-0.001306859579088
2017-08-18,0.0004928013775603907,-0.0021421453147186,0.002353998269531,-0.0002181999020766,-0.0005679712568494
2017-08-21,0.0012855183855724121,0.0012322776683921,-0.0007413875868122,0.0002182475236649,0.0035549286044308
2017-08-22,-0.00033431260282015135,0.0106172560990615,0.0049486177055243,0.0002194303526523,-0.0049013217816199
2017-08-23,0.0013438237893153725,-0.0035351165658387,0.0004237585751133,0.0,0.0028939006523115
2017-08-24,0.00135618385625508,-0.0024359796006103,-4.121724266438942e-05,0.0,0.0032961169875444
2017-08-25,0.001607976009856703,0.0022106496583589,0.0012271724236343,-0.0002193822135357,0.0030186169156327
2017-08-28,-0.002789324181785892,0.0002081462039013,0.0003838037224444,0.0002194303526523,-0.0071515752851932
2017-08-29,6.396288122774085e-05,0.0010011633386472,-0.0001485583180792,0.0006448932997393,-0.0001172689240305
2017-08-30,0.00302353261192073,0.0052915507282599,0.0015326726452468,0.0047376132650596,0.0031807555369819
