lb,tn,cap,rb,ov,dd_f,nw,IS_SR,IS_Ret,IS_MDD,OOS_SR,OOS_Ret,OOS_MDD,FULL_SR,FULL_Ret,FULL_Vol,FULL_MDD,NAVx,SR_gap,min_sr,calmar
60,3,1.0,5,2.0,0.25,20,0.495,14.51,-34.3,-0.274,-8.03,-66.8,0.078,2.3,29.3,-66.8,0.8,0.769,-0.274,0.0344311377245509
60,3,1.0,5,2.0,0.25,40,0.417,11.87,-33.6,-0.443,-11.75,-71.9,-0.034,-0.93,27.5,-71.9,0.6,0.86,-0.443,-0.012934631432545201
60,3,1.0,5,2.0,0.3,10,0.425,13.43,-42.3,-0.076,-2.6,-63.8,0.143,4.74,33.1,-65.8,0.9,0.501,-0.076,0.07203647416413375
60,3,1.0,5,2.0,0.3,20,0.503,16.12,-39.2,-0.181,-6.14,-64.3,0.123,4.06,33.1,-66.5,0.8,0.6839999999999999,-0.181,0.061052631578947365
60,3,1.0,5,2.0,0.3,40,0.465,14.67,-39.0,-0.344,-10.71,-71.5,0.029,0.92,31.3,-73.2,0.6,0.8089999999999999,-0.344,0.012568306010928962
60,3,1.0,5,2.5,0.15,10,-0.036,-0.61,-28.9,-0.369,-7.87,-57.7,-0.235,-4.54,19.3,-62.6,0.5,0.333,-0.369,-0.07252396166134185
60,3,1.0,5,2.5,0.15,20,0.221,4.47,-26.8,-0.45,-7.0,-54.9,-0.098,-1.75,17.8,-54.9,0.7,0.671,-0.45,-0.031876138433515486
60,3,1.0,5,2.5,0.15,40,-0.026,-0.49,-27.3,-0.332,-5.37,-50.3,-0.179,-3.14,17.6,-52.3,0.6,0.306,-0.332,-0.06003824091778203
60,3,1.0,5,2.5,0.2,10,0.015,0.32,-33.6,-0.423,-10.91,-60.4,-0.243,-5.77,23.8,-73.0,0.4,0.438,-0.423,-0.07904109589041096
60,3,1.0,5,2.5,0.2,20,0.158,4.07,-30.9,-0.294,-7.6,-64.4,-0.087,-2.26,25.8,-64.4,0.5,0.45199999999999996,-0.294,-0.03509316770186335
60,3,1.0,5,2.5,0.2,40,0.29,7.63,-31.5,0.183,4.67,-51.2,0.233,6.03,25.9,-51.2,1.4,0.10699999999999998,0.183,0.1177734375
60,3,1.0,5,2.5,0.25,10,0.238,7.07,-39.2,-0.149,-5.07,-65.9,0.015,0.49,32.1,-67.9,0.6,0.387,-0.149,0.007216494845360824
60,3,1.0,5,2.5,0.25,20,0.381,12.26,-36.1,-0.471,-13.61,-76.2,-0.058,-1.76,30.5,-76.2,0.5,0.852,-0.471,-0.023097112860892388
60,3,1.0,5,2.5,0.25,40,0.4,12.44,-35.4,-0.356,-10.12,-69.7,0.007,0.21,29.7,-69.7,0.6,0.756,-0.356,0.003012912482065997
60,3,1.0,5,2.5,0.3,10,0.369,12.89,-44.4,-0.076,-2.92,-70.9,0.117,4.32,37.0,-70.9,0.7,0.445,-0.076,0.06093088857545839
60,3,1.0,5,2.5,0.3,20,0.472,16.89,-40.7,-0.307,-10.8,-77.0,0.053,1.89,35.5,-77.0,0.6,0.7789999999999999,-0.307,0.024545454545454544
60,3,1.0,5,2.5,0.3,40,0.406,14.12,-39.7,-0.463,-14.66,-80.0,-0.045,-1.48,33.1,-80.0,0.4,0.869,-0.463,-0.0185
60,3,1.0,5,3.0,0.15,10,-0.126,-2.33,-29.6,-0.422,-6.97,-54.0,-0.278,-4.84,17.4,-58.4,0.5,0.296,-0.422,-0.08287671232876713
60,3,1.0,5,3.0,0.15,20,0.182,4.26,-29.3,-0.439,-7.54,-59.3,-0.105,-2.13,20.3,-59.9,0.6,0.621,-0.439,-0.03555926544240401
60,3,1.0,5,3.0,0.15,40,-0.024,-0.53,-29.7,-0.433,-7.41,-59.0,-0.217,-4.26,19.6,-59.7,0.5,0.409,-0.433,-0.07135678391959799
60,3,1.0,5,3.0,0.2,10,-0.093,-2.21,-42.7,-0.07,-1.92,-56.8,-0.079,-2.05,25.9,-65.6,0.5,0.022999999999999993,-0.093,-0.03125
60,3,1.0,5,3.0,0.2,20,0.014,0.35,-36.0,-0.29,-7.35,-64.9,-0.151,-3.83,25.3,-68.8,0.4,0.304,-0.29,-0.055668604651162794
60,3,1.0,5,3.0,0.2,40,-0.01,-0.25,-34.8,-0.212,-4.58,-53.5,-0.111,-2.6,23.3,-58.0,0.5,0.20199999999999999,-0.212,-0.04482758620689655
60,3,1.0,5,3.0,0.25,10,-0.032,-0.84,-40.7,-0.377,-12.1,-67.8,-0.236,-6.94,29.4,-80.5,0.3,0.345,-0.377,-0.0862111801242236
60,3,1.0,5,3.0,0.25,20,0.193,6.29,-37.6,-0.339,-10.9,-74.7,-0.094,-3.03,32.4,-75.1,0.4,0.532,-0.339,-0.04034620505992011
60,3,1.0,5,3.0,0.25,40,0.312,10.16,-37.7,0.27,8.8,-58.9,0.289,9.42,32.6,-58.9,1.6,0.04199999999999998,0.27,0.1599320882852292
60,3,1.0,5,3.0,0.3,10,0.236,8.46,-46.1,-0.149,-6.08,-74.6,0.015,0.58,38.6,-77.0,0.4,0.385,-0.149,0.007532467532467532
60,3,1.0,5,3.0,0.3,20,0.358,13.78,-42.7,-0.467,-16.36,-83.5,-0.07,-2.55,36.7,-83.6,0.3,0.825,-0.467,-0.030502392344497607
60,3,1.0,5,3.0,0.3,40,0.393,14.7,-41.3,-0.377,-12.79,-78.6,-0.006,-0.2,35.6,-78.8,0.4,0.77,-0.377,-0.002538071065989848
60,3,1.0,5,4.0,0.15,10,-0.869,-13.69,-56.9,0.466,13.98,-35.0,0.053,1.3,24.5,-66.7,0.8,1.335,-0.869,0.019490254872563718
60,3,1.0,5,4.0,0.15,20,-1.058,-15.3,-58.3,0.121,3.44,-57.2,-0.223,-5.15,23.0,-69.5,0.4,1.179,-1.058,-0.07410071942446043
60,3,1.0,5,4.0,0.15,40,-0.872,-13.52,-54.8,-0.178,-4.22,-56.5,-0.417,-8.48,20.3,-71.7,0.3,0.694,-0.872,-0.11827057182705718
60,3,1.0,5,4.0,0.2,10,-0.149,-3.66,-40.3,-0.611,-12.81,-68.8,-0.379,-8.62,22.7,-76.8,0.3,0.46199999999999997,-0.611,-0.11223958333333332
60,3,1.0,5,4.0,0.2,20,0.171,5.34,-38.7,-0.455,-10.12,-70.6,-0.114,-3.04,26.7,-72.4,0.4,0.626,-0.455,-0.04198895027624309
60,3,1.0,5,4.0,0.2,40,-0.021,-0.63,-38.7,-0.586,-11.79,-72.6,-0.268,-6.68,24.9,-74.3,0.3,0.565,-0.586,-0.08990578734858681
60,3,1.0,5,4.0,0.25,10,-0.077,-2.08,-48.6,-0.453,-15.16,-77.4,-0.299,-9.17,30.6,-86.3,0.2,0.376,-0.453,-0.10625724217844729
60,3,1.0,5,4.0,0.25,20,0.175,5.66,-42.5,-0.243,-8.15,-74.3,-0.055,-1.82,33.0,-75.8,0.4,0.418,-0.243,-0.024010554089709764
60,3,1.0,5,4.0,0.25,40,-0.062,-1.87,-47.2,-0.534,-13.43,-77.1,-0.294,-8.14,27.6,-81.5,0.2,0.47200000000000003,-0.534,-0.09987730061349694
60,3,1.0,5,4.0,0.3,10,-0.006,-0.2,-48.0,-0.312,-12.59,-75.5,-0.188,-6.91,36.7,-86.8,0.2,0.306,-0.312,-0.07960829493087558
60,3,1.0,5,4.0,0.3,20,0.022,0.83,-50.7,-0.484,-18.15,-87.7,-0.254,-9.46,37.3,-90.7,0.1,0.506,-0.484,-0.10429988974641677
60,3,1.0,5,4.0,0.3,40,0.266,10.78,-45.2,0.173,6.72,-69.8,0.217,8.58,39.6,-69.8,1.0,0.09300000000000003,0.173,0.12292263610315186
60,3,1.0,5,5.0,0.15,10,-1.069,-16.98,-62.5,-0.404,-7.83,-52.7,-0.673,-12.02,17.9,-79.7,0.2,0.6649999999999999,-1.069,-0.1508155583437892
60,3,1.0,5,5.0,0.15,20,-1.11,-16.68,-61.3,0.007,0.16,-44.7,-0.371,-7.55,20.3,-73.8,0.3,1.117,-1.11,-0.10230352303523035
60,3,1.0,5,5.0,0.15,40,-0.933,-15.82,-60.4,-0.718,-13.96,-68.8,-0.808,-14.81,18.3,-85.5,0.1,0.21500000000000008,-0.933,-0.17321637426900585
60,3,1.0,5,5.0,0.2,10,-0.864,-16.68,-65.0,0.394,15.84,-48.7,0.029,0.95,32.4,-77.4,0.6,1.258,-0.864,0.012273901808785528
60,3,1.0,5,5.0,0.2,20,-0.042,-1.5,-55.6,-0.378,-10.29,-75.8,-0.2,-6.26,31.3,-79.0,0.3,0.336,-0.378,-0.07924050632911392
60,3,1.0,5,5.0,0.2,40,-0.668,-15.83,-63.8,-0.604,-16.68,-73.6,-0.629,-16.29,25.9,-90.3,0.1,0.06400000000000006,-0.668,-0.1803986710963455
60,3,1.0,5,5.0,0.25,10,-0.169,-5.2,-50.1,-0.717,-17.38,-76.3,-0.43,-11.8,27.4,-86.1,0.2,0.5479999999999999,-0.717,-0.13704994192799072
60,3,1.0,5,5.0,0.25,20,0.162,6.32,-48.3,-0.472,-12.61,-78.7,-0.12,-3.94,32.9,-81.5,0.3,0.634,-0.472,-0.04834355828220859
60,3,1.0,5,5.0,0.25,40,-0.031,-1.15,-48.3,-0.59,-14.87,-80.9,-0.276,-8.59,31.1,-83.4,0.2,0.5589999999999999,-0.59,-0.10299760191846521
60,3,1.0,5,5.0,0.3,10,-0.087,-2.9,-57.6,0.044,1.99,-64.7,-0.006,-0.25,40.4,-77.9,0.3,0.131,-0.087,-0.0032092426187419767
60,3,1.0,5,5.0,0.3,20,0.164,6.57,-50.5,-0.23,-9.48,-83.4,-0.052,-2.13,40.7,-85.6,0.2,0.394,-0.23,-0.024883177570093458
60,3,1.0,5,5.0,0.3,40,-0.063,-2.37,-57.5,-0.697,-19.62,-86.6,-0.357,-11.72,32.9,-90.4,0.1,0.6339999999999999,-0.697,-0.12964601769911505
60,3,1.0,10,2.0,0.15,10,-0.433,-7.31,-38.5,-0.308,-5.0,-40.2,-0.366,-6.06,16.5,-61.9,0.4,0.125,-0.433,-0.09789983844911146
60,3,1.0,10,2.0,0.15,20,-0.572,-9.11,-43.1,-0.754,-10.13,-50.8,-0.661,-9.66,14.6,-71.2,0.3,0.18200000000000005,-0.754,-0.1356741573033708
60,3,1.0,10,2.0,0.15,40,-0.383,-7.22,-38.7,0.062,1.29,-40.6,-0.13,-2.61,20.0,-41.8,0.6,0.445,-0.383,-0.06244019138755981
60,3,1.0,10,2.0,0.2,10,-0.071,-1.5,-33.6,-0.209,-5.31,-54.2,-0.152,-3.56,23.5,-67.6,0.5,0.138,-0.209,-0.05266272189349113
60,3,1.0,10,2.0,0.2,20,-0.031,-0.68,-32.2,-0.414,-10.16,-64.5,-0.249,-5.82,23.4,-68.2,0.4,0.383,-0.414,-0.08533724340175954
60,3,1.0,10,2.0,0.2,40,-0.116,-2.43,-32.5,0.255,6.91,-51.5,0.108,2.63,24.4,-51.5,1.0,0.371,-0.116,0.05106796116504854
60,3,1.0,10,2.0,0.25,10,-0.006,-0.16,-39.5,-0.03,-0.92,-60.8,-0.02,-0.57,28.9,-71.2,0.6,0.024,-0.03,-0.00800561797752809
60,3,1.0,10,2.0,0.25,20,0.017,0.44,-39.0,-0.229,-7.05,-64.9,-0.126,-3.62,28.8,-68.5,0.4,0.246,-0.229,-0.05284671532846715
60,3,1.0,10,2.0,0.25,40,-0.022,-0.55,-38.1,-0.184,-5.31,-66.0,-0.115,-3.13,27.2,-73.9,0.4,0.162,-0.184,-0.04235453315290933
60,3,1.0,10,2.0,0.3,10,0.109,3.28,-44.8,-0.067,-2.24,-65.1,0.009,0.29,31.9,-75.8,0.6,0.176,-0.067,0.0038258575197889183
60,3,1.0,10,2.0,0.3,20,0.128,3.89,-43.6,-0.084,-2.9,-58.6,0.006,0.21,32.8,-65.3,0.5,0.21200000000000002,-0.084,0.003215926493108729
60,3,1.0,10,2.0,0.3,40,0.05,1.47,-41.6,-0.075,-2.44,-65.1,-0.021,-0.65,31.1,-75.5,0.5,0.125,-0.075,-0.008609271523178808
60,3,1.0,10,2.5,0.15,10,-0.858,-13.47,-55.0,-0.451,-7.68,-45.2,-0.629,-10.33,16.4,-74.5,0.3,0.407,-0.858,-0.13865771812080538
60,3,1.0,10,2.5,0.15,20,-0.79,-12.62,-54.5,-0.575,-8.8,-51.6,-0.676,-10.55,15.6,-74.6,0.3,0.21500000000000008,-0.79,-0.14142091152815014
60,3,1.0,10,2.5,0.15,40,-0.496,-9.17,-44.6,-0.501,-7.6,-51.4,-0.496,-8.32,16.8,-67.9,0.3,0.0050000000000000044,-0.501,-0.12253313696612665
60,3,1.0,10,2.5,0.2,10,-0.405,-8.94,-46.5,-0.233,-5.3,-47.8,-0.31,-6.97,22.4,-71.1,0.3,0.17200000000000001,-0.405,-0.0980309423347398
60,3,1.0,10,2.5,0.2,20,-0.303,-6.99,-41.1,-0.644,-12.26,-59.5,-0.469,-9.84,21.0,-75.4,0.2,0.341,-0.644,-0.13050397877984082
60,3,1.0,10,2.5,0.2,40,-0.521,-10.88,-50.9,0.138,3.85,-54.1,-0.116,-2.9,24.9,-54.1,0.5,0.659,-0.521,-0.053604436229205174
60,3,1.0,10,2.5,0.25,10,-0.095,-2.51,-41.1,-0.198,-6.32,-64.3,-0.155,-4.57,29.4,-76.9,0.3,0.10300000000000001,-0.198,-0.059427828348504554
60,3,1.0,10,2.5,0.25,20,-0.057,-1.57,-39.6,-0.423,-12.95,-74.8,-0.265,-7.74,29.2,-78.7,0.2,0.366,-0.423,-0.09834815756035578
60,3,1.0,10,2.5,0.25,40,-0.129,-3.38,-39.7,0.254,8.59,-61.0,0.102,3.11,30.5,-61.0,0.8,0.383,-0.129,0.05098360655737705
60,3,1.0,10,2.5,0.3,10,-0.05,-1.62,-47.6,-0.036,-1.34,-69.8,-0.042,-1.47,35.0,-80.0,0.4,0.014000000000000005,-0.05,-0.018375
60,3,1.0,10,2.5,0.3,20,-0.004,-0.13,-46.0,-0.277,-10.27,-74.1,-0.162,-5.62,34.7,-78.4,0.2,0.273,-0.277,-0.07168367346938775
60,3,1.0,10,2.5,0.3,40,-0.04,-1.22,-45.0,-0.197,-6.78,-72.7,-0.13,-4.24,32.7,-81.0,0.3,0.157,-0.197,-0.05234567901234568
60,3,1.0,10,3.0,0.15,10,-1.035,-16.29,-61.4,0.06,1.46,-42.9,-0.322,-6.67,20.7,-73.5,0.4,1.095,-1.035,-0.09074829931972789
60,3,1.0,10,3.0,0.15,20,-0.984,-15.41,-59.9,-0.418,-8.05,-53.4,-0.645,-11.42,17.7,-78.2,0.2,0.5660000000000001,-0.984,-0.14603580562659846
60,3,1.0,10,3.0,0.15,40,-0.867,-14.55,-57.8,-0.716,-11.24,-57.2,-0.787,-12.76,16.2,-80.7,0.2,0.15100000000000002,-0.867,-0.1581164807930607
60,3,1.0,10,3.0,0.2,10,-0.619,-13.87,-59.1,-0.353,-7.58,-53.0,-0.477,-10.46,21.9,-79.7,0.2,0.266,-0.619,-0.1312421580928482
60,3,1.0,10,3.0,0.2,20,-0.697,-14.57,-61.8,-0.408,-9.45,-57.1,-0.533,-11.79,22.1,-81.2,0.2,0.289,-0.697,-0.14519704433497535
60,3,1.0,10,3.0,0.2,40,-0.5,-12.55,-57.4,-0.315,-6.66,-58.8,-0.407,-9.36,23.0,-76.3,0.2,0.185,-0.5,-0.12267365661861074
60,3,1.0,10,3.0,0.25,10,-0.411,-10.57,-53.2,-0.195,-5.86,-54.7,-0.285,-8.02,28.2,-78.1,0.2,0.21599999999999997,-0.411,-0.10268886043533931
60,3,1.0,10,3.0,0.25,20,-0.241,-5.99,-41.7,-0.686,-16.53,-71.3,-0.479,-11.7,24.4,-82.7,0.2,0.44500000000000006,-0.686,-0.1414752116082225
60,3,1.0,10,3.0,0.25,40,-0.273,-7.34,-46.1,0.159,5.5,-64.5,-0.012,-0.38,31.3,-64.5,0.5,0.43200000000000005,-0.273,-0.005891472868217055
60,3,1.0,10,3.0,0.3,10,-0.119,-3.78,-48.3,-0.189,-7.24,-72.8,-0.159,-5.65,35.5,-83.9,0.2,0.07,-0.189,-0.06734207389749702
60,3,1.0,10,3.0,0.3,20,-0.03,-0.99,-46.6,-0.427,-15.75,-82.7,-0.255,-8.99,35.2,-85.3,0.2,0.397,-0.427,-0.10539273153575617
60,3,1.0,10,3.0,0.3,40,-0.114,-3.61,-46.6,0.251,10.15,-69.1,0.105,3.85,36.7,-69.1,0.7,0.365,-0.114,0.05571635311143271
60,3,1.0,10,4.0,0.15,10,-0.998,-16.65,-62.2,-0.176,-3.5,-57.8,-0.515,-9.52,18.5,-75.6,0.3,0.8220000000000001,-0.998,-0.12592592592592594
60,3,1.0,10,4.0,0.15,20,-0.961,-16.39,-61.8,-0.257,-4.84,-57.2,-0.562,-10.13,18.0,-75.2,0.3,0.704,-0.961,-0.13470744680851066
60,3,1.0,10,4.0,0.15,40,-0.92,-15.99,-61.1,-0.222,-5.6,-62.7,-0.472,-10.36,22.0,-77.9,0.2,0.6980000000000001,-0.92,-0.1329910141206675
60,3,1.0,10,4.0,0.2,10,-1.022,-21.76,-74.1,0.074,2.31,-51.4,-0.321,-8.72,27.1,-85.4,0.2,1.096,-1.022,-0.10210772833723654
60,3,1.0,10,4.0,0.2,20,-0.98,-20.46,-71.4,-0.388,-9.43,-56.0,-0.636,-14.48,22.8,-86.6,0.1,0.592,-0.98,-0.16720554272517324
60,3,1.0,10,4.0,0.2,40,-0.871,-19.6,-70.0,-0.732,-13.96,-66.0,-0.799,-16.55,20.7,-88.9,0.1,0.139,-0.871,-0.18616422947131608
60,3,1.0,10,4.0,0.25,10,-0.758,-20.81,-73.9,-0.331,-9.37,-62.9,-0.523,-14.61,27.9,-89.7,0.1,0.427,-0.758,-0.162876254180602
60,3,1.0,10,4.0,0.25,20,-0.735,-19.34,-73.8,-0.406,-12.06,-68.9,-0.546,-15.4,28.2,-89.9,0.1,0.32899999999999996,-0.735,-0.17130144605116795
60,3,1.0,10,4.0,0.25,40,-0.512,-15.91,-68.0,-0.486,-12.36,-73.4,-0.497,-13.98,28.1,-88.0,0.1,0.026000000000000023,-0.512,-0.15886363636363637
60,3,1.0,10,4.0,0.3,10,-0.461,-15.5,-68.9,-0.276,-9.47,-64.8,-0.36,-12.23,34.0,-88.4,0.1,0.185,-0.461,-0.13834841628959277
60,3,1.0,10,4.0,0.3,20,-0.53,-17.29,-71.1,-0.673,-19.03,-77.5,-0.601,-18.23,30.3,-93.1,0.1,0.14300000000000002,-0.673,-0.1958109559613319
60,3,1.0,10,4.0,0.3,40,-0.421,-15.49,-70.7,0.183,7.89,-70.4,-0.07,-2.82,40.3,-73.2,0.3,0.604,-0.421,-0.038524590163934426
60,3,1.0,10,5.0,0.15,10,-0.732,-15.09,-60.9,-0.145,-3.14,-57.9,-0.407,-8.61,21.2,-72.3,0.3,0.587,-0.732,-0.11908713692946057
60,3,1.0,10,5.0,0.15,20,-0.726,-14.58,-59.5,-0.103,-2.34,-59.5,-0.369,-7.95,21.5,-72.3,0.3,0.623,-0.726,-0.1099585062240664
60,3,1.0,10,5.0,0.15,40,-0.689,-16.4,-65.4,-0.32,-6.51,-65.6,-0.502,-11.04,22.0,-79.9,0.2,0.36899999999999994,-0.689,-0.13817271589486857
60,3,1.0,10,5.0,0.2,10,-1.054,-23.12,-74.9,-0.462,-13.24,-72.5,-0.688,-17.76,25.8,-91.8,0.1,0.5920000000000001,-1.054,-0.19346405228758173
60,3,1.0,10,5.0,0.2,20,-1.045,-22.36,-73.8,-0.278,-8.85,-73.1,-0.545,-15.04,27.6,-89.4,0.1,0.7669999999999999,-1.045,-0.16823266219239372
60,3,1.0,10,5.0,0.2,40,-0.98,-21.81,-73.6,-0.364,-11.2,-75.2,-0.59,-16.06,27.2,-90.5,0.1,0.616,-0.98,-0.17745856353591158
60,3,1.0,10,5.0,0.25,10,-1.014,-27.08,-82.6,-0.008,-0.32,-70.6,-0.369,-12.58,34.1,-88.8,0.1,1.006,-1.014,-0.14166666666666666
60,3,1.0,10,5.0,0.25,20,-0.982,-25.76,-80.5,-0.331,-10.42,-64.4,-0.598,-17.45,29.2,-92.4,0.1,0.651,-0.982,-0.18885281385281383
60,3,1.0,10,5.0,0.25,40,-0.881,-24.7,-79.2,-0.784,-19.48,-77.9,-0.83,-21.87,26.4,-95.0,0.0,0.09699999999999998,-0.881,-0.23021052631578948
60,3,1.0,10,5.0,0.3,10,-0.793,-26.08,-82.4,-0.33,-11.09,-70.6,-0.539,-17.96,33.3,-94.4,0.1,0.463,-0.793,-0.1902542372881356
60,3,1.0,10,5.0,0.3,20,-0.772,-24.94,-82.6,-0.4,-14.14,-75.8,-0.562,-19.09,34.0,-94.9,0.1,0.372,-0.772,-0.201159114857745
60,3,1.0,10,5.0,0.3,40,-0.528,-19.28,-76.5,-0.516,-15.85,-81.3,-0.52,-17.42,33.5,-93.6,0.1,0.01200000000000001,-0.528,-0.18611111111111114
90,2,0.5,5,2.0,0.15,10,-0.264,-4.08,-30.6,0.041,0.91,-28.7,-0.072,-1.38,19.3,-37.7,0.7,0.305,-0.264,-0.036604774535809015
90,2,0.5,5,2.0,0.15,20,0.139,2.62,-32.5,0.045,0.94,-32.1,0.085,1.71,20.0,-32.5,1.0,0.09400000000000001,0.045,0.05261538461538461
90,2,0.5,5,2.0,0.15,40,-0.189,-3.0,-28.6,-0.734,-10.67,-52.5,-0.473,-7.16,15.1,-65.7,0.4,0.5449999999999999,-0.734,-0.10898021308980213
90,2,0.5,5,2.0,0.2,10,0.05,1.19,-34.8,-0.018,-0.45,-42.2,0.012,0.3,24.5,-47.6,0.7,0.068,-0.018,0.006302521008403361
90,2,0.5,5,2.0,0.2,20,0.1,2.31,-36.6,-0.478,-11.62,-61.9,-0.22,-5.24,23.8,-74.7,0.4,0.578,-0.478,-0.07014725568942437
90,2,0.5,5,2.0,0.2,40,-0.234,-4.58,-37.0,-0.043,-1.13,-51.2,-0.116,-2.71,23.4,-52.4,0.5,0.191,-0.234,-0.051717557251908394
90,2,0.5,5,2.0,0.25,10,0.426,13.03,-41.6,-0.399,-10.91,-63.5,0.002,0.05,28.9,-77.9,0.6,0.825,-0.399,0.0006418485237483953
90,2,0.5,5,2.0,0.25,20,0.347,10.47,-41.6,-0.223,-6.94,-61.2,0.034,1.03,30.7,-76.4,0.6,0.57,-0.223,0.013481675392670157
90,2,0.5,5,2.0,0.25,40,0.015,0.42,-41.3,-0.365,-10.23,-60.8,-0.191,-5.35,28.0,-75.8,0.3,0.38,-0.365,-0.07058047493403694
90,2,0.5,5,2.0,0.3,10,0.471,16.24,-48.4,-0.155,-5.13,-57.8,0.138,4.66,33.8,-77.1,0.9,0.626,-0.155,0.060440985732814534
90,2,0.5,5,2.0,0.3,20,0.389,13.81,-48.4,-0.101,-3.56,-61.6,0.124,4.4,35.4,-78.3,0.8,0.49,-0.101,0.05619412515964241
90,2,0.5,5,2.0,0.3,40,0.228,7.54,-48.2,-0.321,-9.9,-62.0,-0.06,-1.91,31.8,-78.9,0.4,0.549,-0.321,-0.024207858048162226
90,2,0.5,5,2.5,0.15,10,0.085,2.11,-33.4,-0.413,-7.49,-51.0,-0.145,-3.09,21.4,-62.5,0.5,0.498,-0.413,-0.04944
90,2,0.5,5,2.5,0.15,20,0.159,4.04,-33.4,-0.481,-8.38,-53.4,-0.125,-2.69,21.5,-64.3,0.6,0.64,-0.481,-0.04183514774494557
90,2,0.5,5,2.5,0.15,40,0.102,2.57,-33.4,-0.489,-8.38,-53.2,-0.158,-3.36,21.2,-64.2,0.5,0.591,-0.489,-0.05233644859813084
90,2,0.5,5,2.5,0.2,10,-0.134,-3.04,-36.8,0.006,0.17,-43.0,-0.051,-1.3,25.7,-46.6,0.6,0.14,-0.134,-0.027896995708154508
90,2,0.5,5,2.5,0.2,20,0.191,4.69,-40.2,-0.075,-2.04,-44.2,0.04,1.04,26.0,-44.2,0.8,0.266,-0.075,0.023529411764705882
90,2,0.5,5,2.5,0.2,40,-0.341,-6.89,-43.1,-0.277,-7.29,-54.4,-0.3,-7.11,23.7,-71.6,0.3,0.064,-0.341,-0.09930167597765364
90,2,0.5,5,2.5,0.25,10,0.11,3.31,-42.4,-0.197,-5.87,-52.1,-0.056,-1.67,29.9,-69.8,0.5,0.307,-0.197,-0.023925501432664757
90,2,0.5,5,2.5,0.25,20,0.139,4.14,-44.7,-0.485,-14.71,-73.0,-0.202,-6.07,30.1,-83.8,0.3,0.624,-0.485,-0.07243436754176612
90,2,0.5,5,2.5,0.25,40,-0.211,-5.33,-44.4,-0.133,-4.26,-61.0,-0.163,-4.75,29.2,-69.6,0.3,0.07799999999999999,-0.211,-0.06824712643678162
90,2,0.5,5,2.5,0.3,10,0.387,14.27,-48.9,-0.424,-13.95,-72.3,-0.03,-1.03,34.8,-85.3,0.4,0.8109999999999999,-0.424,-0.012075029308323564
90,2,0.5,5,2.5,0.3,20,0.314,11.48,-49.4,-0.275,-10.45,-73.9,-0.011,-0.4,37.3,-85.8,0.4,0.589,-0.275,-0.004662004662004662
90,2,0.5,5,2.5,0.3,40,-0.014,-0.47,-48.6,-0.445,-14.88,-74.1,-0.247,-8.28,33.5,-86.0,0.2,0.431,-0.445,-0.09627906976744185
90,2,0.5,5,3.0,0.15,10,-0.519,-9.97,-47.4,-0.329,-6.82,-51.5,-0.412,-8.26,20.0,-70.1,0.3,0.19,-0.519,-0.11783166904422254
90,2,0.5,5,3.0,0.15,20,-0.553,-10.03,-47.0,-0.397,-7.79,-53.7,-0.465,-8.82,19.0,-71.3,0.3,0.15600000000000003,-0.553,-0.12370266479663394
90,2,0.5,5,3.0,0.15,40,-0.832,-12.54,-52.2,-0.42,-8.13,-54.5,-0.579,-10.15,17.5,-74.6,0.3,0.412,-0.832,-0.13605898123324398
90,2,0.5,5,3.0,0.2,10,0.083,1.97,-43.8,0.293,9.99,-38.8,0.212,6.32,29.8,-43.8,1.2,0.20999999999999996,0.083,0.14429223744292238
90,2,0.5,5,3.0,0.2,20,0.158,4.41,-42.9,0.186,5.42,-43.9,0.173,4.96,28.7,-43.9,1.1,0.027999999999999997,0.158,0.11298405466970388
90,2,0.5,5,3.0,0.2,40,-0.167,-3.77,-37.9,-0.562,-10.98,-56.3,-0.365,-7.68,21.0,-72.3,0.3,0.395,-0.562,-0.10622406639004149
90,2,0.5,5,3.0,0.25,10,-0.121,-3.58,-45.2,-0.635,-16.49,-72.5,-0.382,-10.58,27.7,-83.8,0.2,0.514,-0.635,-0.12625298329355608
90,2,0.5,5,3.0,0.25,20,-0.037,-0.95,-46.3,-0.635,-17.17,-77.0,-0.368,-9.74,26.5,-81.3,0.2,0.598,-0.635,-0.11980319803198032
90,2,0.5,5,3.0,0.25,40,-0.406,-9.71,-54.1,-0.103,-3.67,-64.4,-0.209,-6.44,30.9,-76.7,0.3,0.30300000000000005,-0.406,-0.08396349413298566
90,2,0.5,5,3.0,0.3,10,0.138,5.01,-49.5,-0.749,-21.72,-81.4,-0.291,-9.48,32.6,-90.2,0.2,0.887,-0.749,-0.10509977827050998
90,2,0.5,5,3.0,0.3,20,0.166,6.12,-52.7,-0.45,-16.46,-80.3,-0.167,-6.11,36.7,-89.3,0.2,0.616,-0.45,-0.06842105263157895
90,2,0.5,5,3.0,0.3,40,-0.179,-5.6,-50.7,-0.213,-8.07,-69.4,-0.198,-6.94,35.0,-81.8,0.2,0.034,-0.213,-0.08484107579462104
90,2,0.5,5,4.0,0.15,10,0.096,3.48,-53.4,-0.334,-8.25,-59.3,-0.094,-2.88,30.6,-77.3,0.4,0.43000000000000005,-0.334,-0.037257438551099614
90,2,0.5,5,4.0,0.15,20,0.057,2.07,-53.4,-0.341,-8.27,-59.1,-0.117,-3.53,30.3,-77.1,0.4,0.398,-0.341,-0.04578469520103762
