lb,tn,cap,rb,ov,dd_f,nw,IS_SR,IS_Ret,IS_MDD,OOS_SR,OOS_Ret,OOS_MDD,FULL_SR,FULL_Ret,FULL_Vol,FULL_MDD,NAVx,SR_gap,min_sr,calmar
60,2,0.5,10,3.0,0.25,10,0.021,0.69,-46.7,-0.451,-12.45,-69.1,-0.214,-6.43,30.0,-80.3,0.3,0.47200000000000003,-0.451,-0.0800747198007472
60,2,0.5,10,3.0,0.25,20,-0.23,-7.47,-50.8,-0.49,-13.27,-75.2,-0.358,-10.62,29.7,-83.3,0.2,0.26,-0.49,-0.12749099639855943
60,2,0.5,10,3.0,0.25,40,-0.333,-9.48,-52.5,-0.168,-5.34,-64.9,-0.239,-7.24,30.3,-77.7,0.2,0.165,-0.333,-0.09317889317889318
60,2,0.5,10,3.0,0.3,10,0.296,11.61,-48.1,-0.466,-14.43,-74.3,-0.071,-2.5,35.0,-85.4,0.4,0.762,-0.466,-0.029274004683840747
60,2,0.5,10,3.0,0.3,20,0.141,6.26,-49.5,-0.414,-13.77,-79.6,-0.119,-4.6,38.7,-84.9,0.2,0.5549999999999999,-0.414,-0.054181389870435796
60,2,0.5,10,3.0,0.3,40,-0.061,-2.22,-51.3,-0.035,-1.31,-72.2,-0.047,-1.73,37.1,-72.2,0.4,0.025999999999999995,-0.061,-0.023961218836565094
60,2,0.5,10,4.0,0.15,10,-0.591,-18.65,-74.0,0.04,0.89,-52.4,-0.299,-8.06,27.0,-80.6,0.2,0.631,-0.591,-0.10000000000000002
60,2,0.5,10,4.0,0.15,20,-0.542,-18.58,-75.3,-0.079,-1.69,-56.1,-0.336,-9.42,28.0,-83.0,0.2,0.463,-0.542,-0.11349397590361446
60,2,0.5,10,4.0,0.15,40,-0.378,-11.85,-61.4,-0.315,-6.19,-62.2,-0.342,-8.78,25.7,-77.1,0.2,0.063,-0.378,-0.1138780804150454
60,2,0.5,10,4.0,0.2,10,-0.69,-17.41,-67.7,-0.274,-6.88,-66.2,-0.465,-11.7,25.1,-83.5,0.2,0.4159999999999999,-0.69,-0.1401197604790419
60,2,0.5,10,4.0,0.2,20,-0.499,-14.55,-64.8,-0.128,-3.47,-61.7,-0.305,-8.55,28.0,-81.1,0.2,0.371,-0.499,-0.1054254007398274
60,2,0.5,10,4.0,0.2,40,-0.438,-12.22,-59.1,-0.216,-5.49,-62.0,-0.322,-8.58,26.6,-77.6,0.2,0.222,-0.438,-0.11056701030927836
60,2,0.5,10,4.0,0.25,10,-0.299,-9.63,-69.1,-0.217,-8.01,-75.4,-0.251,-8.76,34.9,-83.5,0.2,0.08199999999999999,-0.299,-0.10491017964071855
60,2,0.5,10,4.0,0.25,20,-0.31,-9.98,-59.1,-0.258,-9.19,-72.2,-0.28,-9.55,34.1,-84.4,0.2,0.05199999999999999,-0.31,-0.11315165876777251
60,2,0.5,10,4.0,0.25,40,-0.149,-4.97,-56.5,-0.693,-16.89,-71.7,-0.397,-11.43,28.8,-84.4,0.2,0.5439999999999999,-0.693,-0.1354265402843602
60,2,0.5,10,4.0,0.3,10,-0.12,-4.43,-57.7,-0.38,-13.27,-72.3,-0.258,-9.22,35.8,-85.4,0.2,0.26,-0.38,-0.10796252927400468
60,2,0.5,10,4.0,0.3,20,-0.324,-11.87,-64.7,-0.612,-18.82,-81.3,-0.466,-15.63,33.5,-92.1,0.1,0.288,-0.612,-0.1697068403908795
60,2,0.5,10,4.0,0.3,40,-0.473,-15.29,-68.0,-0.268,-9.96,-73.8,-0.354,-12.4,35.1,-90.3,0.1,0.20499999999999996,-0.473,-0.13732004429678848
60,2,0.5,10,5.0,0.15,10,-0.579,-17.99,-71.8,-0.031,-0.7,-36.0,-0.321,-8.62,26.8,-81.8,0.2,0.5479999999999999,-0.579,-0.10537897310513447
60,2,0.5,10,5.0,0.15,20,-0.477,-19.46,-82.3,0.021,0.54,-56.1,-0.257,-8.62,33.5,-86.5,0.1,0.498,-0.477,-0.09965317919075144
60,2,0.5,10,5.0,0.15,40,-0.56,-22.16,-84.2,-0.215,-4.79,-64.0,-0.406,-12.75,31.4,-90.1,0.1,0.3450000000000001,-0.56,-0.14150943396226415
60,2,0.5,10,5.0,0.2,10,-0.627,-20.09,-75.6,-0.019,-0.54,-64.1,-0.318,-9.49,29.8,-84.8,0.2,0.608,-0.627,-0.11191037735849058
60,2,0.5,10,5.0,0.2,20,-0.535,-19.52,-77.2,-0.078,-2.12,-68.2,-0.318,-10.09,31.8,-87.4,0.2,0.457,-0.535,-0.1154462242562929
60,2,0.5,10,5.0,0.2,40,-0.323,-10.85,-60.8,-0.202,-5.94,-69.9,-0.261,-8.19,31.3,-79.7,0.2,0.121,-0.323,-0.1027603513174404
60,2,0.5,10,5.0,0.25,10,-0.7,-22.17,-78.6,-0.39,-11.87,-72.4,-0.535,-16.59,31.0,-92.4,0.1,0.30999999999999994,-0.7,-0.17954545454545454
60,2,0.5,10,5.0,0.25,20,-0.5,-18.07,-75.5,-0.283,-9.2,-70.3,-0.388,-13.26,34.2,-91.6,0.1,0.21700000000000003,-0.5,-0.14475982532751092
60,2,0.5,10,5.0,0.25,40,-0.41,-14.2,-68.2,-0.344,-10.56,-73.5,-0.376,-12.23,32.5,-88.1,0.1,0.066,-0.41,-0.1388195232690125
60,2,0.5,10,5.0,0.3,10,-0.322,-12.76,-79.7,-0.239,-11.06,-85.8,-0.273,-11.84,43.3,-93.0,0.1,0.08300000000000002,-0.322,-0.12731182795698925
60,2,0.5,10,5.0,0.3,20,-0.34,-13.47,-72.1,-0.434,-16.34,-84.1,-0.39,-15.03,38.6,-93.6,0.1,0.09399999999999997,-0.434,-0.1605769230769231
60,2,0.5,10,5.0,0.3,40,-0.217,-8.9,-66.7,-0.54,-17.0,-79.7,-0.367,-13.29,36.2,-91.2,0.1,0.32300000000000006,-0.54,-0.1457236842105263
60,2,1.0,5,2.0,0.15,10,-0.338,-5.76,-34.0,0.114,2.12,-35.0,-0.083,-1.49,17.9,-38.5,0.7,0.452,-0.338,-0.0387012987012987
60,2,1.0,5,2.0,0.15,20,-0.054,-1.0,-27.0,-0.699,-9.62,-49.1,-0.351,-5.67,16.2,-62.4,0.4,0.6449999999999999,-0.699,-0.09086538461538461
60,2,1.0,5,2.0,0.15,40,-0.166,-3.09,-31.5,-0.183,-3.09,-40.6,-0.175,-3.09,17.7,-42.4,0.6,0.016999999999999987,-0.183,-0.07287735849056604
60,2,1.0,5,2.0,0.2,10,0.23,6.63,-34.5,-0.049,-1.27,-53.6,0.086,2.35,27.3,-53.6,0.8,0.279,-0.049,0.043843283582089554
60,2,1.0,5,2.0,0.2,20,0.542,18.35,-35.5,-0.5,-11.21,-67.9,0.082,2.33,28.3,-69.1,0.8,1.042,-0.5,0.0337192474674385
60,2,1.0,5,2.0,0.2,40,0.367,11.08,-36.5,-0.491,-11.33,-68.6,-0.04,-1.07,26.6,-69.8,0.6,0.858,-0.491,-0.01532951289398281
60,2,1.0,5,2.0,0.25,10,0.675,23.95,-38.2,-0.061,-1.99,-61.4,0.291,9.89,34.0,-61.4,1.6,0.736,-0.061,0.16107491856677525
60,2,1.0,5,2.0,0.25,20,0.793,29.92,-39.9,-0.395,-10.48,-71.7,0.249,8.02,32.2,-71.7,1.4,1.1880000000000002,-0.395,0.11185495118549511
60,2,1.0,5,2.0,0.25,40,0.738,26.21,-39.5,-0.412,-11.12,-72.9,0.192,5.98,31.2,-72.9,1.1,1.15,-0.412,0.08203017832647462
60,2,1.0,5,2.0,0.3,10,0.764,30.04,-42.7,-0.045,-1.69,-63.1,0.335,12.84,38.3,-63.1,1.8,0.809,-0.045,0.203486529318542
60,2,1.0,5,2.0,0.3,20,0.894,36.89,-43.9,-0.156,-5.3,-70.4,0.374,14.02,37.5,-70.4,2.2,1.05,-0.156,0.19914772727272725
