,N26_OVN,N18_LO,N27_OVN,N28_WOVN,BTC_OVN,REV_5D,REV_21D,MEGA_ERC
2017-06-01,0.0022568001283566,0.0039525589485691,-0.0114586725904903,0.0022877584540816,0.00033981704481561613,-0.005445594558447352,-0.0031189553153968316,-7.835112355345807e-05
2017-06-02,0.0001075144221875,0.0054421743800864,0.0121158846137938,0.0001146015625362,-0.0020988561319463246,-0.010153683911803766,-0.011425050198706967,0.0002946814084290939
2017-06-03,0.0,0.0,0.0,0.0,0.0015774835842398698,0.0,0.0,0.00043811353398217126
2017-06-04,0.0,0.0,0.0,0.0,0.012396789769534233,0.0,0.0,0.0034429527065929894
2017-06-05,-0.0011277406103717,-0.0013072878420079,0.0038011546112881,-0.0010792431420579,-0.00026517183376101273,-0.00397378832093509,0.003394582505129251,-0.0002957456026776073
2017-06-06,0.0004881562723089,0.0001840115347041,-0.0014137452550728,0.0004985574747047,0.0009999308507070985,-0.0004586230784360049,-0.006677891962888235,-3.929120673921787e-05
2017-06-07,-0.0002922254570016,-8.842429772986285e-05,0.0010987426717081,-0.0002770488862578,0.0016584003024641696,-0.003980792373258102,-0.00513999013478228,-2.351881208292276e-05
2017-06-08,-4.357242749436713e-05,0.0001382261017036,0.0057406228258052,-6.932665877488792e-05,-0.004771317291230648,3.1565746996497536e-05,-0.005170180793738312,-0.0010362491265469341
2017-06-09,-0.0024484426220599,-0.0039011556222946,0.0066027062430286,-0.002530100890815,0.00014863529014558273,0.027959710740671696,0.053507550607265066,0.0034996462091402966
2017-06-10,0.0,0.0,0.0,0.0,0.0010333304629316924,0.0,0.0,0.0002869862262969815
2017-06-11,0.0,0.0,0.0,0.0,-0.002298022498264884,0.0,0.0,-0.0006382283580912844
2017-06-12,0.0020093617588877,-0.0018183159990796,-0.0148513378275295,0.0020312257278607,-0.002153128700815021,0.0070148850026699565,0.015231795991729524,-0.00038129583636840197
2017-06-13,0.0024770479681924,0.0025080268774266,0.0099254082022494,0.0025193034179492,0.007501124304699125,-0.008001539648657019,-0.004422471269238847,0.0037517239732675614
2017-06-14,-0.0078276761363949,-0.0013719267459498,-0.0010073627449456,-0.0078514514504146,-0.0005515773596596603,-0.002811395669319339,0.006452994540088475,-0.0032316425227328846
2017-06-15,-0.0009186447507685,-0.0032912557399443,-0.0116715286072716,-0.0009187143841439,-0.0032091126789045017,0.012476893208480245,0.0035514486801392913,-0.002068095808438354
2017-06-16,0.0029948576286652,-0.0005153315092644,0.0041771189576579,0.0030407463905806,0.0015246817211033718,-0.0030120015210694704,-0.004504575678672574,0.001541016024880526
2017-06-17,0.0,0.0,0.0,0.0,-0.002306607236781721,0.0,0.0,-0.0006406125921761904
2017-06-18,0.0,0.0,0.0,0.0,-0.000699476324090786,0.0,0.0,-0.0001942651241166098
2017-06-19,-0.0013584421860752,0.0025527532834451,0.0130147172170754,-0.0013450905400486,-0.00020961302558514206,0.006102987176266241,-0.00926742292313967,0.0008501826507448237
2017-06-20,0.0011826446010112,-0.0044212330457014,0.0054876467270777,0.001184560333661,0.00014099167700737424,-0.008373003206356798,0.001770418737408974,0.00014680825470962832
2017-06-21,0.0009637921439563,-4.705868918986056e-07,0.0008392241812027,0.0009885156720786,-0.005041168585557865,0.018326069711788594,-0.015102521435660654,-0.0009005159078511132
2017-06-22,0.0006589666493659,0.0020076951237121,0.0035313078794677,0.0006466354827334,0.0002176867987572777,0.0004558733534622333,-0.00135877203606809,0.0008829367808219882
2017-06-23,0.0008754283666121,0.0031950070787574,-0.0016817505177276,0.0008896990905026,0.00021345039899894934,-0.007058288440662915,-0.006414732257655919,-2.8614147093709006e-05
2017-06-24,0.0,0.0,0.0,0.0,-0.0028279061181336047,0.0,0.0,-0.0007853926060234203
2017-06-25,0.0,0.0,0.0,0.0,-0.0010634835166798968,0.0,0.0,-0.0002953606151463881
