Date,NOVA11,sleeveA,sleeveB,posA,posB
2011-10-05,0.0,0.0,0.0,BIL,False
2011-10-06,-0.00021783321038726378,-0.00021783321038726378,-0.00021783321038726378,BIL,False
2011-10-07,0.00021788067203343253,0.00021788067203343253,0.00021788067203343253,BIL,False
2011-10-10,-0.00021783321038726378,-0.00021783321038726378,-0.00021783321038726378,BIL,False
2011-10-11,0.00021788067203343253,0.00021788067203343253,0.00021788067203343253,BIL,False
2011-10-12,-0.00021783321038726378,-0.00021783321038726378,-0.00021783321038726378,BIL,False
2011-10-13,0.00021788067203343253,0.00021788067203343253,0.00021788067203343253,BIL,False
2011-10-14,-0.00021783321038726378,-0.00021783321038726378,-0.00021783321038726378,BIL,False
2011-10-17,0.0,0.0,0.0,BIL,False
2011-10-18,0.00021788067203343253,0.00021788067203343253,0.00021788067203343253,BIL,False
2011-10-19,0.0,0.0,0.0,BIL,False
2011-10-20,0.0,0.0,0.0,BIL,False
2011-10-21,-0.00021783321038726378,-0.00021783321038726378,-0.00021783321038726378,BIL,False
2011-10-24,0.0,0.0,0.0,BIL,False
2011-10-25,0.00021788067203343253,0.00021788067203343253,0.00021788067203343253,BIL,False
2011-10-26,0.0,0.0,0.0,BIL,False
2011-10-27,-0.00021783321038726378,-0.00021783321038726378,-0.00021783321038726378,BIL,False
2011-10-28,0.0,0.0,0.0,BIL,False
2011-10-31,-0.00021849673425411445,-0.00021849673425411442,-0.00021849673425411442,BIL,False
2011-11-01,0.00043647277416347663,0.00043647277416347663,0.00043647277416347663,BIL,False
2011-11-02,-0.006665821742715021,-0.018362807607133488,-0.00021783321038726378,SH,False
2011-11-03,-0.00662370090219904,-0.018243073709011237,-0.00021849673425411442,SH,False
2011-11-04,0.00222608664943467,0.005867872331266177,0.00021854448551050787,SH,False
2011-11-07,-0.00219172994250512,-0.006562888662112076,0.00021788067203343253,SH,False
2011-11-08,-0.004608204100177166,-0.012967725515248385,0.0,SH,False
2011-11-09,0.013161250132911624,0.03743160172563509,-0.00021783321038726378,SH,False
2011-11-10,-0.003171235987362783,-0.009319269511161798,0.00021788067203343253,SH,False
2011-11-11,-0.00716864011013577,-0.019777764590589775,-0.00021783321038726378,SH,False
2011-11-14,0.0036380555739528903,0.009842430361689747,0.00021788067203343253,SH,False
2011-11-15,-0.0019587385619714765,-0.00511683122709905,-0.00021783321038726378,SH,False
2011-11-16,0.00588480805725684,0.016164908461795635,0.00021788067203343253,SH,False
2011-11-17,0.005567135432338122,0.015666208054890385,0.0,SH,False
2011-11-18,0.0004216327480757388,0.0011864964368821784,0.0,SH,False
2011-11-21,0.006822465091668845,0.019198770871004633,0.0,SH,False
