label,n,cagr,vol,mdd,sharpe,cagr_mdd,navx
MultiSig tv=12% vw=63d,3835,12.43,15.41,-32.96,0.84,0.38,5.9
MultiSig tv=12% vw=126d,3835,11.3,14.13,-28.93,0.83,0.39,5.1
MultiSig tv=12% vw=252d,3835,10.88,13.41,-28.7,0.84,0.38,4.8
MultiSig tv=15% vw=63d,3835,15.0,19.26,-40.04,0.82,0.37,8.4
MultiSig tv=15% vw=126d,3835,13.59,17.66,-35.3,0.81,0.38,7.0
MultiSig tv=15% vw=252d,3835,13.09,16.76,-35.0,0.82,0.37,6.5
MultiSig tv=20% vw=63d,3835,18.97,25.67,-50.75,0.81,0.37,14.1
MultiSig tv=20% vw=126d,3835,17.15,23.54,-45.04,0.79,0.38,11.1
MultiSig tv=20% vw=252d,3835,16.56,22.35,-44.61,0.8,0.37,10.3
MultiSig tv=25% vw=63d,3835,22.41,32.06,-60.2,0.79,0.37,21.7
MultiSig tv=25% vw=126d,3835,20.2,29.35,-53.74,0.78,0.38,16.4
MultiSig tv=25% vw=252d,3835,19.57,27.86,-53.22,0.78,0.37,15.2
MultiSig tv=30% vw=63d,3835,25.03,38.36,-68.34,0.78,0.37,30.0
MultiSig tv=30% vw=126d,3835,22.53,35.04,-61.49,0.76,0.37,22.0
MultiSig tv=30% vw=252d,3835,22.12,33.21,-60.88,0.77,0.36,20.9
