Date,return
2005-09-02,-1.6075494415561866e-06
2005-09-06,-1.6075494415561866e-06
2005-09-07,-1.6075494415561866e-06
2005-09-08,-1.6075494415561866e-06
2005-09-09,-1.6075494415561866e-06
2005-09-12,-1.6075494415561866e-06
2005-09-13,-1.6075494415561866e-06
2005-09-14,-1.6075494415561866e-06
2005-09-15,-1.6075494415561866e-06
2005-09-16,-1.6075494415561866e-06
2005-09-19,-1.6075494415561866e-06
2005-09-20,-1.6075494415561866e-06
2005-09-21,-1.6075494415561866e-06
2005-09-22,-1.6075494415561866e-06
2005-09-23,-1.6075494415561866e-06
2005-09-26,-1.6075494415561866e-06
2005-09-27,-1.6075494415561866e-06
2005-09-28,-1.6075494415561866e-06
2005-09-29,-1.6075494415561866e-06
2005-09-30,-1.6075494415561866e-06
2005-10-03,-1.6075494415561866e-06
2005-10-04,-1.6075494415561866e-06
2005-10-05,-1.6075494415561866e-06
2005-10-06,-1.6075494415561866e-06
2005-10-07,-1.6075494415561866e-06
2005-10-10,-1.6075494415561866e-06
2005-10-11,-1.6075494415561866e-06
2005-10-12,-1.6075494415561866e-06
2005-10-13,-1.6075494415561866e-06
2005-10-14,-1.6075494415561866e-06
2005-10-17,-1.6075494415561866e-06
2005-10-18,-1.6075494415561866e-06
2005-10-19,-1.6075494415561866e-06
2005-10-20,-1.6075494415561866e-06
2005-10-21,-1.6075494415561866e-06
2005-10-24,-1.6075494415561866e-06
2005-10-25,-1.6075494415561866e-06
2005-10-26,-1.6075494415561866e-06
2005-10-27,-1.6075494415561866e-06
2005-10-28,-1.6075494415561866e-06
2005-10-31,-1.6075494415561866e-06
2005-11-01,-1.6075494415561866e-06
2005-11-02,-1.6075494415561866e-06
2005-11-03,-1.6075494415561866e-06
2005-11-04,-1.6075494415561866e-06
2005-11-07,-1.6075494415561866e-06
2005-11-08,-1.6075494415561866e-06
2005-11-09,-1.6075494415561866e-06
2005-11-10,-1.6075494415561866e-06
2005-11-11,-1.6075494415561866e-06
2005-11-14,-1.6075494415561866e-06
2005-11-15,-1.6075494415561866e-06
2005-11-16,-1.6075494415561866e-06
2005-11-17,-1.6075494415561866e-06
2005-11-18,-1.6075494415561866e-06
2005-11-21,-1.6075494415561866e-06
2005-11-22,-1.6075494415561866e-06
2005-11-23,-1.6075494415561866e-06
2005-11-25,-1.6075494415561866e-06
2005-11-28,-1.6075494415561866e-06
2005-11-29,-1.6075494415561866e-06
2005-11-30,-1.6075494415561866e-06
2005-12-01,-1.6075494415561866e-06
2005-12-02,-1.6075494415561866e-06
2005-12-05,-1.6075494415561866e-06
2005-12-06,-1.6075494415561866e-06
2005-12-07,-1.6075494415561866e-06
2005-12-08,-1.6075494415561866e-06
2005-12-09,-1.6075494415561866e-06
2005-12-12,-1.6075494415561866e-06
2005-12-13,-1.6075494415561866e-06
2005-12-14,-1.6075494415561866e-06
2005-12-15,-1.6075494415561866e-06
2005-12-16,-1.6075494415561866e-06
2005-12-19,-1.6075494415561866e-06
2005-12-20,-1.6075494415561866e-06
2005-12-21,-1.6075494415561866e-06
2005-12-22,-1.6075494415561866e-06
2005-12-23,-1.6075494415561866e-06
2005-12-27,-1.6075494415561866e-06
2005-12-28,-1.6075494415561866e-06
2005-12-29,-1.6075494415561866e-06
2005-12-30,-1.6075494415561866e-06
2006-01-03,-1.6075494415561866e-06
2006-01-04,-1.6075494415561866e-06
2006-01-05,-1.6075494415561866e-06
2006-01-06,-1.6075494415561866e-06
2006-01-09,-1.6075494415561866e-06
2006-01-10,-1.6075494415561866e-06
2006-01-11,-1.6075494415561866e-06
2006-01-12,-1.6075494415561866e-06
2006-01-13,-1.6075494415561866e-06
2006-01-17,-1.6075494415561866e-06
2006-01-18,-1.6075494415561866e-06
2006-01-19,-1.6075494415561866e-06
2006-01-20,-1.6075494415561866e-06
2006-01-23,-1.6075494415561866e-06
2006-01-24,-1.6075494415561866e-06
2006-01-25,-1.6075494415561866e-06
2006-01-26,-1.6075494415561866e-06
2006-01-27,-1.6075494415561866e-06
2006-01-30,-1.6075494415561866e-06
2006-01-31,-1.6075494415561866e-06
2006-02-01,-1.6075494415561866e-06
2006-02-02,-1.6075494415561866e-06
2006-02-03,0.0013674463020387287
2006-02-06,0.0036958616392759724
2006-02-07,-0.00629540414777588
2006-02-08,-0.0005499441287145811
2006-02-09,0.002205122818652927
2006-02-10,-0.0010054001981604492
2006-02-13,0.0006671726733496914
2006-02-14,-0.0011692411010097573
2006-02-15,-0.00019259045150184535
2006-02-16,0.0022019414391178573
2006-02-17,0.0027397210709653036
2006-02-21,0.0003410200414340614
2006-02-22,0.001645850344139083
2006-02-23,-0.0006773319888078121
2006-02-24,0.0001909938277695394
2006-02-27,0.0017053373045310897
2006-02-28,-0.004148523113195733
2006-03-01,-0.0036471448952473534
2006-03-02,-0.0018004271692756756
2006-03-03,0.0015827881202948458
2006-03-06,-0.007599154246997035
2006-03-07,-0.0004828963419947772
2006-03-08,-0.002966293088695387
2006-03-09,-0.0010264742223645583
2006-03-10,0.0016082655242591907
2006-03-13,-0.000501284552294063
2006-03-14,0.00119128387685344
2006-03-15,-0.0008406064911219488
2006-03-16,0.0009071806995629546
2006-03-17,0.0008450795958090054
2006-03-20,-0.0011497508274414825
2006-03-21,-0.0008558149316170669
2006-03-22,-0.0009770449241432578
2006-03-23,0.0015226374423486565
2006-03-24,-0.0006099433752244297
2006-03-27,0.0009731423242872926
2006-03-28,-0.0017017810544626773
2006-03-29,-0.0006782258435179417
2006-03-30,-0.0010867759941682478
2006-03-31,-0.0030683003577747178
2006-04-03,0.0008501644641199694
2006-04-04,-9.167854128481069e-05
2006-04-05,0.0029558567571224678
2006-04-06,-0.003011802212893846
2006-04-07,-0.001106493481113717
2006-04-10,-0.002107305712979511
2006-04-11,0.00134993198067067
2006-04-12,-0.001014557495415502
2006-04-13,-0.00012327177144515135
2006-04-17,-0.0007217791860603031
2006-04-18,0.0006039243511010244
2006-04-19,0.002072107235026181
2006-04-20,-0.0011622226163471962
2006-04-21,0.0011822679239100041
2006-04-24,-0.00023671380547656787
2006-04-25,-0.0013961987598910264
2006-04-26,-0.00042099017505155907
2006-04-27,-3.7254006978243246e-05
2006-04-28,0.0013885063364829045
2006-05-01,-0.0007333767168523238
2006-05-02,0.0005135331269017546
2006-05-03,-0.000316744924898452
2006-05-04,-0.0013227346032235047
2006-05-05,0.0009815619941320663
2006-05-08,0.0005469941561379377
2006-05-09,0.0008871106567204878
2006-05-10,0.0011354313932786396
2006-05-11,-0.0004243815487815269
2006-05-12,-0.0003334211600306843
2006-05-15,-0.0016298862003403054
2006-05-16,0.0007843223780234751
2006-05-17,-0.0011197673902117343
2006-05-18,0.0006366826427841887
2006-05-19,-8.926078239555172e-05
2006-05-22,2.7094248375785212e-05
2006-05-23,-0.0005063467664943016
2006-05-24,-0.00043282069063629673
2006-05-25,6.870462066742e-05
2006-05-26,0.00018342515203753466
2006-05-30,-0.0009154490580262833
2006-05-31,0.000348445245567755
2006-06-01,-0.00022372358856220632
2006-06-02,0.0007175827268280465
2006-06-05,-0.0007884840876814306
2006-06-06,0.0002712301959806561
2006-06-07,-0.0015982880310274317
2006-06-08,0.0005179011026934251
2006-06-09,1.9211977488699947e-05
2006-06-12,-0.0009390816860930063
2006-06-13,0.00016708293764162505
2006-06-14,0.0002569068728559764
2006-06-15,-0.0003734426116977606
2006-06-16,0.00023358648968266606
2006-06-19,-0.0007227911679391074
2006-06-20,-0.00024257556040090743
2006-06-21,-0.00028882916898549427
2006-06-22,0.00024284935200689074
2006-06-23,-0.0006859157765247763
2006-06-26,-0.00024065480109455948
2006-06-27,-0.001712217979623107
2006-06-28,0.00022347664602512742
2006-06-29,0.0018693723481507329
2006-06-30,0.0031175884410091425
2006-07-03,-0.001852185241243773
2006-07-05,-0.002571760838547037
2006-07-06,0.0016036376431439066
2006-07-07,0.000870084087514035
2006-07-10,8.234453130139619e-05
2006-07-11,0.00029685175054709246
2006-07-12,0.00023171066451068597
2006-07-13,-0.00039705381238674687
2006-07-14,0.00017791319619576263
2006-07-17,0.0013715266786443632
2006-07-18,-0.002692032582111567
2006-07-19,0.00039487347212763225
2006-07-20,0.001682006615334933
2006-07-21,-0.0017071723216728234
2006-07-24,-0.0003002238540040302
2006-07-25,0.0015816508770426772
2006-07-26,0.0005976387793427507
2006-07-27,-0.000866647949369647
2006-07-28,0.0010598126019974621
2006-07-31,-0.0020530214381304338
2006-08-01,0.001450274155187437
2006-08-02,0.0016335274475263296
2006-08-03,-0.0005284629253862113
2006-08-04,0.0023222467064791382
2006-08-07,0.000490778081788115
2006-08-08,0.0014560687458748842
2006-08-09,0.0005427784025951757
2006-08-10,-0.0020033290175192
2006-08-11,0.000814565713389542
2006-08-14,-0.0007722911760961396
2006-08-15,2.5284475420457712e-06
2006-08-16,-0.0013029952959162149
2006-08-17,-0.001208432092168158
2006-08-18,0.0009896753732992235
2006-08-21,0.0016450545208623313
2006-08-22,0.0021760881810666865
2006-08-23,-0.00019083683771309694
2006-08-24,-0.005010653451919515
2006-08-25,0.0017104477281115163
2006-08-28,-0.002748740325854735
2006-08-29,-0.0003043735234457013
2006-08-30,-0.0007692957200685356
2006-08-31,0.0032838290820791792
2006-09-01,-0.005267923938692023
2006-09-05,-0.0008138531539638633
2006-09-06,0.0006252291188730085
2006-09-07,6.0640014545006837e-05
2006-09-08,-0.00016049405294140325
2006-09-11,0.0008107889647408928
2006-09-12,-0.0009717106244876511
2006-09-13,0.0037297719535237094
2006-09-14,-0.0012214242736445036
2006-09-15,-0.002141758309022072
2006-09-18,0.0022627108161907858
2006-09-19,-0.0026231409835708176
2006-09-20,0.0016504510623336873
2006-09-21,0.0007863760634344952
2006-09-22,-0.0026052942772907964
2006-09-25,-0.0015811905256026017
2006-09-26,-0.0005695542410790313
2006-09-27,-0.0014495996529339092
2006-09-28,0.0011674136784263556
2006-09-29,0.0012442643215723284
2006-10-02,-0.00041233645252483457
2006-10-03,-6.183872753088238e-05
2006-10-04,0.0017597820198751962
2006-10-05,-0.0008427352780524049
2006-10-06,-0.0027156220343826773
2006-10-09,-0.0015038618118245694
2006-10-10,0.0008456752852809738
2006-10-11,-0.003436540325927883
2006-10-12,0.0022460768660619557
2006-10-13,-0.00484887371682123
2006-10-16,0.0015780180699161116
2006-10-17,0.0018810397150451914
2006-10-18,0.0036401727742450896
2006-10-19,-0.007057706619645295
2006-10-20,0.0006575112695147595
2006-10-23,-0.0006009044941290129
2006-10-24,0.0018937172201025899
2006-10-25,0.0035643165512281643
2006-10-26,0.001765713172735843
2006-10-27,0.0012323694822652257
2006-10-30,0.0017726178732807
2006-10-31,0.003151033371475532
2006-11-01,0.002271362124484845
2006-11-02,0.00178309178794438
2006-11-03,-0.0026514428899663154
2006-11-06,0.0024958247373038957
2006-11-07,0.002171112686097213
2006-11-08,-0.0014200068153913967
2006-11-09,0.004354368147441368
2006-11-10,0.0011557315929503111
2006-11-13,-0.0027225853503811486
2006-11-14,0.00043092598588962967
2006-11-15,-0.0028333446752280152
2006-11-16,-0.0002248216009035257
2006-11-17,0.00041592760363287255
2006-11-20,0.000587431649943106
2006-11-21,0.0011547531193640465
2006-11-22,-0.0009453058565352969
2006-11-24,0.0030275574234589534
2006-11-27,-0.002287996919087909
2006-11-28,0.0013922546411186834
2006-11-29,-0.0004972758827059683
2006-11-30,-0.0008201138981151425
2006-12-01,-0.0030248547524142043
2006-12-04,0.004534870325032204
2006-12-05,0.0011637223641966022
2006-12-06,-0.004420850934048973
2006-12-07,0.0013897220263784985
2006-12-08,7.804260488160162e-05
2006-12-11,7.235857557728822e-05
2006-12-12,2.5877806547228906e-05
2006-12-13,-0.0020173820861355365
2006-12-14,0.001046041809286026
2006-12-15,-0.0036872532318295076
2006-12-18,-0.0011512276304916217
2006-12-19,-0.000297880780616111
2006-12-20,0.0012536813969773446
2006-12-21,-0.0007358458949479464
2006-12-22,-2.0477737776008244e-06
2006-12-26,0.001025712073665078
2006-12-27,-0.003043662910212317
2006-12-28,-0.0004266279731097854
2006-12-29,-0.0002479951166039296
2007-01-03,-0.008552993053315841
2007-01-04,0.003576888484754888
2007-01-05,0.002587067478300615
2007-01-08,-0.0005621034462697853
2007-01-09,4.575307082176875e-05
2007-01-10,-0.0003446430139212562
2007-01-11,-0.0020147781561667623
2007-01-12,0.0005478397258984075
2007-01-16,-0.00132437361754582
2007-01-17,0.000589266730759303
2007-01-18,0.003220913641744009
2007-01-19,0.002065477520668104
2007-01-22,-0.0017697466431988032
2007-01-23,0.0002759220116460314
2007-01-24,0.0010105001555097061
2007-01-25,-3.315875076491683e-05
2007-01-26,-0.0015215156019041044
2007-01-29,-0.00021147852877245786
2007-01-30,0.0019957619495766456
2007-01-31,0.003320507238654594
2007-02-01,-0.0013092369660692427
2007-02-02,0.0009415111728254342
2007-02-05,0.0015203627988801063
2007-02-06,-0.00111493527523013
2007-02-07,-0.0009791994782115923
2007-02-08,0.0012478720123064338
2007-02-09,-0.0037459766587266117
2007-02-12,0.001563858701677913
2007-02-13,0.0001035834081432105
2007-02-14,0.0020283390890112473
2007-02-15,0.00024436869498642595
2007-02-16,0.0015438496155809089
2007-02-20,0.001411036311945337
2007-02-21,-0.0014152584862773415
2007-02-22,0.002631909887802252
2007-02-23,-0.0006382415658213505
2007-02-26,0.004169393715461071
2007-02-27,-0.00630787625836459
2007-02-28,0.0010945303376343302
2007-03-01,-0.0010399873587446414
2007-03-02,-0.0002780655712873742
2007-03-05,-0.0018603772449445196
2007-03-06,-0.0015769887042739452
2007-03-07,-0.0006774203708498017
2007-03-08,0.0008492372530386627
2007-03-09,0.0020768005014421198
2007-03-12,-0.0006447095516215799
2007-03-13,-0.003266686133210606
2007-03-14,0.00011983725091832545
2007-03-15,0.0009491138315059882
2007-03-16,-0.0027752623095719407
2007-03-19,0.00022500058779777228
2007-03-20,5.946353216458772e-05
2007-03-21,0.0010994652775413898
2007-03-22,2.9102928625506058e-05
2007-03-23,-0.00037460921644827237
2007-03-26,0.0033768042912066306
2007-03-27,-0.00017858906117049407
2007-03-28,-0.00198457045572036
2007-03-29,2.3974553497142882e-05
2007-03-30,0.0007752683934290731
2007-04-02,-0.000693603809039042
2007-04-03,-0.002683629537296369
2007-04-04,0.0007113562232745916
2007-04-05,0.001412942455170347
2007-04-09,0.0008102822164671098
2007-04-10,0.0004382827137909351
2007-04-11,-0.0017697624231011175
2007-04-12,0.0001523759777460203
2007-04-13,-0.0012851536923094051
2007-04-16,0.0022762337916081327
2007-04-17,-0.0009282869498758056
2007-04-18,-0.0021489288716427524
2007-04-19,0.000649936554331001
2007-04-20,0.0018614272527937056
2007-04-23,0.0021132721716704225
2007-04-24,0.0010352154710658132
2007-04-25,-0.0004914863713405925
2007-04-26,6.64473409938049e-05
2007-04-27,-0.0005202838035088129
2007-04-30,0.0036294508702948438
2007-05-01,-0.0005624165006644313
2007-05-02,0.0010311315483877068
2007-05-03,-0.0018179114541978932
2007-05-04,-0.0010445974340418643
2007-05-07,-0.0002660866055076263
2007-05-08,-0.00041239436034212274
2007-05-09,0.001015523572527232
2007-05-10,-0.002461884976223175
2007-05-11,0.00025591724818053573
2007-05-14,0.00017144690057267965
2007-05-15,-0.0048940701951006105
2007-05-16,0.0006569088945344543
2007-05-17,0.00038610133620210383
2007-05-18,-0.0002460497210491958
2007-05-21,0.0014092076583780994
2007-05-22,-0.0024650274423265407
2007-05-23,0.001667929899905445
2007-05-24,0.00011785202074842767
2007-05-25,0.0015986949525930224
2007-05-29,-0.0011803053695840704
2007-05-30,-0.00023231563789907409
2007-05-31,0.0005365440294041141
2007-06-01,-0.0002698959368414474
2007-06-04,0.0014749719841437396
2007-06-05,-0.0014168361441179772
2007-06-06,0.00031094157191663516
2007-06-07,-0.0025660286267571754
2007-06-08,-0.0005311727270961095
2007-06-11,-0.0004565370026446393
2007-06-12,-0.00018439867149358082
2007-06-13,0.0017755438574808074
2007-06-14,-5.4641411413363325e-05
2007-06-15,-0.0006075996197366425
2007-06-18,-3.40384179917088e-05
2007-06-19,0.00393079715534237
2007-06-20,-0.004573666689040568
2007-06-21,-0.0012083976494734236
2007-06-22,0.0011483069749556377
2007-06-25,-0.0016440617355327589
2007-06-26,-0.0016679669955223003
2007-06-27,0.00020043886010139516
2007-06-28,-0.0009312184300064485
2007-06-29,0.0007097621453572326
2007-07-02,-0.0005135888852253349
2007-07-03,-0.00027757623214798614
2007-07-05,-0.00020458541303242404
2007-07-06,-0.00017793285631589472
2007-07-09,-0.0002731329264379452
2007-07-10,0.002011429137202726
2007-07-11,-0.001730909868102702
2007-07-12,-0.001206164390300175
2007-07-13,0.0005891112466513099
2007-07-16,-0.0005582495534782611
2007-07-17,0.0005705911182059684
2007-07-18,0.0003012917787994352
2007-07-19,0.00034921739170649425
2007-07-20,-0.0009776459483263928
2007-07-23,-0.0015327988869162465
2007-07-24,-0.0004852389097707376
2007-07-25,0.0010844286916753074
2007-07-26,-0.003586761393998664
2007-07-27,-0.0009999645841616371
2007-07-30,0.0012249999879129303
2007-07-31,0.0004327270148250196
2007-08-01,-0.0004921674404805963
2007-08-02,-0.0003668601603451094
2007-08-03,-0.0017488460642110814
2007-08-06,-0.0017865882902282917
2007-08-07,0.000788220165092786
2007-08-08,0.0015002115747013954
2007-08-09,-0.0020797235096214357
2007-08-10,-0.0010530147457462472
2007-08-13,0.0009837577458068714
2007-08-14,-0.00048709004733300186
2007-08-15,-0.001697825583143417
2007-08-16,-0.0023880933624045556
2007-08-17,0.001214751609855692
2007-08-20,-0.0003629344690532277
2007-08-21,-0.0001645136065820205
2007-08-22,0.0007540768000093269
2007-08-23,0.00017369185721339444
2007-08-24,0.0009159956239943415
2007-08-27,-0.0013621702838032687
2007-08-28,0.00048160596995188245
2007-08-29,-0.000566279352694041
2007-08-30,5.1001585933319654e-05
2007-08-31,0.0006800658937741368
2007-09-04,0.0001768133483823806
2007-09-05,-0.00030688926721113437
2007-09-06,-0.0001625749624722731
2007-09-07,0.0003185318133501444
2007-09-10,0.0007751217472815671
2007-09-11,-5.5368428403771194e-05
2007-09-12,-0.00011308739554747246
2007-09-13,0.0002626487520286583
2007-09-14,0.0005595301804570078
2007-09-17,0.0021400113102779447
2007-09-18,0.0014161203502339838
2007-09-19,-0.0007248066233062181
2007-09-20,-0.0003935556173923515
2007-09-21,1.5251818255217418e-05
2007-09-24,-0.0012948609995278504
2007-09-25,-0.0008153803111283578
2007-09-26,0.0007487915367178122
2007-09-27,0.0007085651549425866
2007-09-28,0.00034783415207510673
2007-10-01,-0.0007674807923126686
2007-10-02,-0.0011559188062599428
2007-10-03,-0.00016682895025591193
2007-10-04,0.001211228236681542
2007-10-05,0.000590330833363107
2007-10-08,-0.0007324514092458846
2007-10-09,-0.0005479286090642972
2007-10-10,0.000696258416176379
2007-10-11,-8.89178271572727e-05
2007-10-12,-0.0003391043491931528
2007-10-15,0.0003917844876828989
2007-10-16,3.4285113845331214e-05
2007-10-17,0.00026807744834965203
2007-10-18,-0.0006436758900794807
2007-10-19,0.0005093004370948617
2007-10-22,-0.00015670837287492343
2007-10-23,-0.0017880677538220904
2007-10-24,0.00030116188675412416
2007-10-25,0.00037081227823157985
2007-10-26,0.0007085230626459357
2007-10-29,0.003102260852556389
2007-10-30,-0.004609621246281029
2007-10-31,0.00015817408654485922
2007-11-01,0.0020596054884108434
2007-11-02,-0.0012179065308959788
2007-11-05,0.0017112941065937114
2007-11-06,-0.00046684729718688453
2007-11-07,-0.0025156647048040558
2007-11-08,0.0005589935624743294
2007-11-09,0.002188935248288614
2007-11-12,0.0005582168486246347
2007-11-13,-0.002813371270099402
2007-11-14,-0.0009578302763897727
2007-11-15,-0.0015225612169482378
2007-11-16,0.0008329204031500729
2007-11-19,0.0011281668102228303
2007-11-20,-0.0006969308270653537
2007-11-21,0.0009811820196396
2007-11-23,0.0005354933374499697
2007-11-26,0.0008589563562472342
2007-11-27,-0.0010018124146530531
2007-11-28,-0.002958194679155436
2007-11-29,0.0004559915934677475
2007-11-30,-0.00024514114450626003
2007-12-03,-0.0007707437358142672
2007-12-04,-0.0010267726052267511
2007-12-05,-0.0029643588849063663
2007-12-06,-0.0001796784705553912
2007-12-07,-0.0006804602312599803
2007-12-10,0.0005530675282645352
2007-12-11,-0.0003313187607766829
2007-12-12,0.0014584895471248644
2007-12-13,-9.444785302995757e-05
2007-12-14,-0.0007901986932006039
2007-12-17,0.0016689522716334905
2007-12-18,0.00032478719008375407
2007-12-19,0.0002602904153562373
2007-12-20,-0.0008574395872620135
2007-12-21,0.0008359272019228815
2007-12-24,-0.0011108695411459622
2007-12-26,0.0006606776714575924
2007-12-27,0.0006018226371299191
2007-12-28,-0.0008231884688354107
2007-12-31,0.0008142373265588171
2008-01-02,0.0022288500003437577
2008-01-03,-0.0005391109464098669
2008-01-04,-0.00018997652105771579
2008-01-07,-0.0011058136552665686
2008-01-08,-0.0014359871082984268
2008-01-09,6.394028278074931e-05
2008-01-10,-0.0011544768410399699
2008-01-11,0.0010975240588840718
2008-01-14,0.0007355858608259241
