permutation,null_sr,null_dsr,null_mdd,null_dmdd
0,0.8202014660609006,-0.09161000906618055,-0.45646975197390416,-0.014669769143900946
1,0.9132115063147133,0.0014000311876321003,-0.4218685348663447,0.019931447963658533
2,0.860537793602769,-0.05127368152431211,-0.42272972444104373,0.019070258388959482
3,0.8910568066487602,-0.02075466847832097,-0.42609623467618574,0.015703748153817476
4,0.8370224863913454,-0.0747889887357358,-0.4227297244410436,0.019070258388959593
5,0.9413852396887495,0.02957376456166838,-0.4452962090034094,-0.0034962261734061695
6,0.8982001636964938,-0.013611311430587358,-0.44046574558660734,0.001334237243395875
7,0.9231750510647184,0.01136357593763726,-0.42272972444104373,0.019070258388959482
8,0.8316024953392015,-0.08020897978787966,-0.4395754147074862,0.0022245681225170344
9,0.870217407925465,-0.04159406720161618,-0.4222718373649933,0.019528145465009916
10,1.0030941481767321,0.09128267304965099,-0.4354972108778705,0.006302771952132691
11,0.8723382645213896,-0.03947321060569153,-0.43796851835817263,0.0038314644718305813
12,1.0087234753248493,0.09691200019776813,-0.43413469725084675,0.007665285579156467
13,1.0592130760510026,0.1474016009239214,-0.36502286359337555,0.07677711923662767
14,0.8865121560251898,-0.025299319101891315,-0.44398914246881094,-0.002189159638807725
15,0.837311247752651,-0.07450022737443018,-0.44354004797242175,-0.0017400651424185343
16,0.8571126327769142,-0.054698842350166976,-0.45060998801499474,-0.008810005184991532
17,0.8090583966339591,-0.1027530784931221,-0.42153404308127607,0.020265939748727146
18,0.9170676704943722,0.00525619536729105,-0.4428769029220385,-0.001076920092035305
19,0.9108757297215776,-0.000935745405503563,-0.45445479542612444,-0.012654812596121223
20,0.8744095977309948,-0.03740187739608636,-0.436107826188495,0.005692156641508239
21,0.8584707734793551,-0.053340701647726085,-0.41939174713391025,0.02240823569609296
22,0.8722770029522753,-0.03953447217480588,-0.4418206737260968,-2.0690896093578104e-05
23,0.8113394614815732,-0.10047201364550795,-0.4379469740501767,0.003853008779826528
24,0.8301611596374394,-0.08165031548964174,-0.41915344101835705,0.02264654181164616
25,0.9808454891275106,0.06903401400042941,-0.41734234608535736,0.02445763674464585
26,0.892324149718814,-0.019487325408267142,-0.43087554042882226,0.010924442401180956
27,0.9286826069823859,0.016871131855304755,-0.42272972444104395,0.01907025838895926
28,0.941899482230961,0.03008800710387982,-0.42272972444104373,0.019070258388959482
