label,n,cagr,vol,mdd,sharpe,cagr_mdd,navx
100% TQQQ [unscaled],3835,36.42,61.3,-81.66,0.82,0.45,112.8
100% TQQQ VM vw=21d,3835,34.11,49.39,-58.46,0.84,0.58,87.0
100% TQQQ VM vw=63d,3835,31.86,51.8,-62.81,0.8,0.51,67.3
100% TQQQ VM vw=126d,3835,30.82,54.31,-69.23,0.77,0.45,59.7
100% TQQQ VM tv=20% vw=63d,3835,15.87,21.38,-30.98,0.8,0.51,9.4
100% TQQQ VM tv=30% vw=63d,3835,22.58,32.08,-43.71,0.8,0.52,22.2
HFEA 55/45 UPRO/TMF [unscaled],3835,20.16,29.73,-67.88,0.77,0.3,16.4
HFEA 55/45 UPRO/TMF VM vw=21d,3835,20.39,23.58,-47.13,0.91,0.43,16.8
HFEA 55/45 UPRO/TMF VM vw=63d,3835,19.74,24.49,-52.68,0.86,0.37,15.5
HFEA 55/45 UPRO/TMF VM vw=126d,3835,17.97,25.75,-57.34,0.77,0.31,12.4
HFEA 55/45 UPRO/TMF VM tv=20% vw=63d,3835,17.34,21.26,-47.43,0.86,0.37,11.4
HFEA 55/45 UPRO/TMF VM tv=30% vw=63d,3835,24.94,31.89,-63.08,0.86,0.4,29.6
HFEA-Tech 60/40 TQQQ/TMF [unscaled],3835,28.69,37.48,-75.46,0.86,0.38,46.4
HFEA-Tech 60/40 TQQQ/TMF VM vw=21d,3835,28.89,30.58,-49.59,0.98,0.58,47.6
HFEA-Tech 60/40 TQQQ/TMF VM vw=63d,3835,27.33,31.84,-55.32,0.92,0.49,39.5
HFEA-Tech 60/40 TQQQ/TMF VM vw=126d,3835,25.71,33.13,-60.27,0.86,0.43,32.5
HFEA-Tech 60/40 TQQQ/TMF VM tv=20% vw=63d,3835,18.86,21.27,-40.92,0.92,0.46,13.9
HFEA-Tech 60/40 TQQQ/TMF VM tv=30% vw=63d,3835,27.39,31.91,-55.41,0.92,0.49,39.8
EW core6 [unscaled],3835,32.85,42.58,-70.19,0.88,0.47,75.4
EW core6 VM vw=21d,3835,28.88,33.69,-42.59,0.92,0.68,47.5
EW core6 VM vw=63d,3835,27.79,35.33,-50.42,0.87,0.55,41.8
EW core6 VM vw=126d,3835,27.58,37.04,-55.11,0.84,0.5,40.7
EW core6 VM tv=20% vw=63d,3835,17.77,21.39,-33.76,0.87,0.53,12.1
EW core6 VM tv=30% vw=63d,3835,25.61,32.09,-46.88,0.87,0.55,32.1
invvol clean4 lb=21 [unscaled],3835,23.26,25.55,-52.52,0.95,0.44,24.1
invvol clean4 lb=21 VM vw=21d,3835,21.13,22.47,-36.54,0.97,0.58,18.5
invvol clean4 lb=21 VM vw=63d,3835,21.95,22.95,-40.14,0.98,0.55,20.5
invvol clean4 lb=21 VM vw=126d,3835,20.31,23.65,-42.83,0.9,0.47,16.7
invvol clean4 lb=21 VM tv=20% vw=63d,3835,20.41,21.27,-37.74,0.98,0.54,16.9
invvol clean4 lb=21 VM tv=30% vw=63d,3835,29.87,31.91,-51.74,0.98,0.58,53.4
invvol core6 lb=63 [unscaled],3835,28.36,33.27,-60.74,0.92,0.47,44.7
invvol core6 lb=63 VM vw=21d,3835,25.74,27.74,-38.22,0.97,0.67,32.6
invvol core6 lb=63 VM vw=63d,3835,24.43,29.19,-45.21,0.9,0.54,27.8
invvol core6 lb=63 VM vw=126d,3835,25.29,30.64,-48.94,0.89,0.52,30.9
invvol core6 lb=63 VM tv=20% vw=63d,3835,18.53,21.73,-35.57,0.89,0.52,13.3
invvol core6 lb=63 VM tv=30% vw=63d,3835,26.91,32.43,-49.02,0.9,0.55,37.6
