N,K,is_sr,oos_sr,full_sr,is_cagr,oos_cagr,full_cagr,full_mdd,full_vol,rb_per_yr,tov_ann,gap
42,5,0.599,0.537,0.56,0.155,0.147,0.152,-0.697,0.396,6.0,5.99,0.062
10,5,0.459,0.704,0.581,0.098,0.227,0.155,-0.496,0.359,25.2,13.56,0.245
5,5,0.448,0.727,0.589,0.094,0.238,0.156,-0.558,0.356,50.4,19.85,0.279
10,4,0.444,0.646,0.544,0.096,0.205,0.144,-0.485,0.383,25.2,14.87,0.203
21,5,0.426,0.527,0.473,0.088,0.142,0.112,-0.78,0.379,12.0,8.86,0.101
42,4,0.421,0.547,0.482,0.09,0.154,0.119,-0.706,0.417,6.0,6.58,0.126
5,4,0.38,0.607,0.494,0.072,0.184,0.121,-0.532,0.379,50.4,21.37,0.226
5,3,0.358,0.605,0.483,0.065,0.189,0.119,-0.613,0.412,50.4,22.87,0.248
63,3,0.346,0.487,0.416,0.06,0.121,0.087,-0.763,0.456,4.0,5.65,0.141
10,1,0.337,0.138,0.236,0.036,-0.126,-0.04,-0.807,0.602,25.2,22.7,0.199
3,5,0.325,0.714,0.524,0.053,0.228,0.129,-0.566,0.35,84.0,26.28,0.389
5,2,0.322,0.475,0.398,0.05,0.117,0.079,-0.681,0.456,50.4,25.69,0.153
42,3,0.32,0.551,0.436,0.049,0.159,0.097,-0.716,0.454,6.0,6.9,0.231
10,2,0.316,0.446,0.38,0.046,0.1,0.07,-0.694,0.463,25.2,17.84,0.13
63,5,0.28,0.363,0.32,0.036,0.06,0.047,-0.752,0.399,4.0,5.24,0.083
3,4,0.278,0.577,0.43,0.038,0.166,0.094,-0.597,0.368,84.0,28.81,0.299
63,4,0.275,0.439,0.356,0.033,0.097,0.061,-0.763,0.417,4.0,5.55,0.164
10,3,0.269,0.725,0.502,0.032,0.26,0.129,-0.653,0.419,25.2,15.76,0.455
21,4,0.269,0.563,0.42,0.034,0.163,0.09,-0.782,0.397,12.0,9.42,0.294
1,5,0.252,0.576,0.416,0.031,0.158,0.087,-0.557,0.339,252.0,47.11,0.324
63,2,0.204,0.365,0.286,-0.003,0.041,0.017,-0.765,0.494,4.0,6.11,0.161
3,3,0.182,0.474,0.332,0.003,0.118,0.053,-0.657,0.401,84.0,31.35,0.292
1,4,0.18,0.476,0.331,0.007,0.116,0.055,-0.606,0.36,252.0,50.9,0.296
5,1,0.179,0.126,0.152,-0.048,-0.131,-0.086,-0.877,0.599,50.4,33.43,0.053
1,3,0.153,0.426,0.294,-0.005,0.093,0.038,-0.687,0.394,252.0,56.1,0.273
63,1,0.132,0.16,0.145,-0.078,-0.14,-0.106,-0.982,0.634,4.0,6.11,0.028
21,3,0.128,0.555,0.352,-0.019,0.162,0.059,-0.811,0.434,12.0,10.14,0.428
3,2,0.036,0.354,0.2,-0.062,0.047,-0.014,-0.85,0.456,84.0,35.86,0.318
42,2,0.031,0.353,0.196,-0.08,0.035,-0.03,-0.824,0.504,6.0,8.11,0.323
21,2,0.013,0.308,0.168,-0.076,0.011,-0.037,-0.856,0.484,12.0,11.85,0.295
1,2,-0.036,0.432,0.206,-0.085,0.092,-0.009,-0.817,0.447,252.0,60.8,0.467
21,1,-0.082,0.17,0.049,-0.172,-0.13,-0.153,-0.98,0.623,12.0,13.1,0.252
42,1,-0.19,0.213,0.011,-0.245,-0.098,-0.182,-0.991,0.641,6.0,8.86,0.403
3,1,-0.292,0.106,-0.086,-0.257,-0.155,-0.213,-0.986,0.607,84.0,43.4,0.399
1,1,-0.336,-0.128,-0.225,-0.262,-0.274,-0.267,-0.996,0.591,252.0,79.2,0.208
