Date,BIL,DRN,EDC,ERX,FAS,NUGT,QLD,SOXL,SSO,TECL,TMF,TQQQ,TYD,UBT,UCO,UGL,UPRO,YINN
2025-11-21,0.0,0.0,0.0524,0.0,0.0,0.10873333333333333,0.0,0.10873333333333333,0.0,0.0524,0.182,0.0,0.1025,0.0,0.0,0.3932333333333333,0.0,0.0
2025-11-24,0.0,0.0,0.0524,0.0,0.0,0.10873333333333333,0.0,0.10873333333333333,0.0,0.0524,0.182,0.0,0.1025,0.0,0.0,0.3932333333333333,0.0,0.0
2025-11-25,0.0,0.0,0.0524,0.0,0.0,0.10873333333333333,0.0,0.10873333333333333,0.0,0.0524,0.182,0.0,0.1025,0.0,0.0,0.3932333333333333,0.0,0.0
2025-11-26,0.0,0.0,0.0524,0.0,0.0,0.10873333333333333,0.0,0.10873333333333333,0.0,0.0524,0.182,0.0,0.1025,0.0,0.0,0.3932333333333333,0.0,0.0
2025-11-28,0.0,0.0,0.17373333333333332,0.0,0.0,0.10873333333333333,0.0,0.3325666666666667,0.0,0.0,0.0,0.17373333333333332,0.0,0.0,0.0,0.21123333333333333,0.0,0.0
2025-12-01,0.0,0.0,0.17373333333333332,0.0,0.0,0.10873333333333333,0.0,0.3325666666666667,0.0,0.0,0.0,0.17373333333333332,0.0,0.0,0.0,0.21123333333333333,0.0,0.0
2025-12-02,0.0,0.0,0.17373333333333332,0.0,0.0,0.10873333333333333,0.0,0.3325666666666667,0.0,0.0,0.0,0.17373333333333332,0.0,0.0,0.0,0.21123333333333333,0.0,0.0
2025-12-03,0.0,0.0,0.17373333333333332,0.0,0.0,0.10873333333333333,0.0,0.3325666666666667,0.0,0.0,0.0,0.17373333333333332,0.0,0.0,0.0,0.21123333333333333,0.0,0.0
2025-12-04,0.0,0.0,0.17373333333333332,0.0,0.0,0.10873333333333333,0.0,0.3325666666666667,0.0,0.0,0.0,0.17373333333333332,0.0,0.0,0.0,0.21123333333333333,0.0,0.0
2025-12-05,0.0,0.0,0.0524,0.0,0.0,0.10873333333333333,0.0,0.3325666666666667,0.0,0.12133333333333332,0.0,0.17373333333333332,0.0,0.0,0.0,0.21123333333333333,0.0,0.0
2025-12-08,0.0,0.0,0.0524,0.0,0.0,0.10873333333333333,0.0,0.3325666666666667,0.0,0.12133333333333332,0.0,0.17373333333333332,0.0,0.0,0.0,0.21123333333333333,0.0,0.0
2025-12-09,0.0,0.0,0.0524,0.0,0.0,0.10873333333333333,0.0,0.3325666666666667,0.0,0.12133333333333332,0.0,0.17373333333333332,0.0,0.0,0.0,0.21123333333333333,0.0,0.0
2025-12-10,0.0,0.0,0.0524,0.0,0.0,0.10873333333333333,0.0,0.3325666666666667,0.0,0.12133333333333332,0.0,0.17373333333333332,0.0,0.0,0.0,0.21123333333333333,0.0,0.0
2025-12-11,0.0,0.0,0.0524,0.0,0.0,0.10873333333333333,0.0,0.3325666666666667,0.0,0.12133333333333332,0.0,0.17373333333333332,0.0,0.0,0.0,0.21123333333333333,0.0,0.0
2025-12-12,0.0,0.0,0.0524,0.0,0.0,0.10873333333333333,0.0,0.3325666666666667,0.0,0.12133333333333332,0.0,0.17373333333333332,0.0,0.0,0.0,0.21123333333333333,0.0,0.0
