end,sr,mdd,vol,cagr
2013-01-04,0.7917662363203857,-0.10588714020454171,0.17147943908191493,0.12873585928202647
2013-01-07,0.7975906601499122,-0.10588714020454171,0.17148213028748538,0.12986506356286087
2013-01-08,0.7890957479965209,-0.10588714020454204,0.17151122893141565,0.12824150361358044
2013-01-09,0.8020145287692012,-0.10588714020454204,0.1715333036367941,0.1307585333187682
2013-01-10,0.8127321339318083,-0.10588714020454204,0.17154735308948546,0.1328483298409704
2013-01-11,0.8444648384155214,-0.1058871402045416,0.17170337802095467,0.13914829225176883
2013-01-14,0.8638218585410532,-0.10588714020454204,0.1717626600557875,0.14298547520185312
2013-01-15,0.848771382726887,-0.10588714020454204,0.17180912636072207,0.14007209782447116
2013-01-16,0.8649172144110355,-0.1058871402045416,0.17184181294186396,0.14326312057437174
2013-01-17,0.8788918528083367,-0.1058871402045416,0.1718676715292645,0.14603121546713993
2013-01-18,0.8843993784117364,-0.1058871402045416,0.1718695896592576,0.14711743854499004
2013-01-22,0.9083567099881802,-0.1058871402045416,0.17195730770924958,0.1519220762633291
2013-01-23,0.9372774278836176,-0.10588714020454204,0.17209678288210511,0.15778511909093895
2013-01-24,0.9418702689002285,-0.10588714020454204,0.17209747099151765,0.1587006360892531
2013-01-25,0.8927601011464638,-0.1058871402045416,0.17251658250000568,0.14930098612831344
2013-01-28,0.8700600217491219,-0.1058871402045416,0.17261519511794893,0.14489030774110456
2013-01-29,0.8534808720602589,-0.10588714020454204,0.1726673530897771,0.14166095935458034
2013-01-30,0.8572249646623811,-0.1058871402045416,0.17266676123469654,0.14239836652872362
2013-01-31,0.8474787512506525,-0.10588714020454204,0.17268641141892738,0.14049373606166493
2013-02-01,0.8405331584504563,-0.1058871402045416,0.17270008662756092,0.13913782528101426
2013-02-04,0.8546796839821593,-0.1058871402045416,0.1727270591982441,0.141943664819405
2013-02-05,0.8339894204904535,-0.1058871402045416,0.17281005457519652,0.13793462760114883
2013-02-06,0.8631463865864896,-0.1058871402045416,0.17294677372153805,0.14378747859223462
2013-02-07,0.8845847129843355,-0.1058871402045416,0.17301595739520875,0.14809019272678992
2013-02-08,0.8707433157830148,-0.10588714020454204,0.1730535290958159,0.14537570805934585
2013-02-11,0.9046703569581444,-0.1058871402045416,0.17323544093593649,0.1522696846729037
2013-02-12,0.8827603951649641,-0.1058871402045416,0.17332837881582086,0.1479827103333493
2013-02-13,0.8745982316575205,-0.10588714020454204,0.17334287509700996,0.14637239522997425
2013-02-14,0.8492486239341471,-0.1058871402045416,0.17346915363280016,0.14144632027215387
2013-02-15,0.8684319499318746,-0.1058871402045416,0.17352340632563998,0.14529202927348517
2013-02-19,0.8252670801733576,-0.1058871402045416,0.17384859517373594,0.13699093610776858
2013-02-20,0.8289442238031437,-0.10588714020454204,0.17384965545290812,0.1377183841359213
2013-02-21,0.7494393746165854,-0.10588714020454204,0.17487033547486075,0.12276498011380865
2013-02-22,0.7521051606592162,-0.10588714020454204,0.17487018879605418,0.12328813024209828
2013-02-25,0.7867555169769398,-0.1058871402045416,0.17506443328571716,0.13024612039179484
2013-02-26,0.8045693832019005,-0.1058871402045416,0.17511146306464376,0.1338080314824146
2013-02-27,0.8207516163102221,-0.10588714020454204,0.17515281935340543,0.13705402759812046
2013-02-28,0.8306958089921974,-0.10588714020454204,0.17516461870501043,0.13904389916825588
2013-03-01,0.8162935144274697,-0.10588714020454204,0.17520814603018187,0.13620729000450282
2013-03-04,0.8371719872776102,-0.1058871402045416,0.1752700269663643,0.14041561144053483
2013-03-05,0.83195990286658,-0.1058871402045416,0.175277740979292,0.1393806657771286
2013-03-06,0.8612339451388777,-0.10588714020454204,0.1754245354494095,0.1453540111242646
2013-03-07,0.8427917509690077,-0.1058871402045416,0.17549677920417586,0.14171169967799302
