label,n,cagr,vol,mdd,sharpe,cagr_mdd,navx
TSMOM K=3m plain,3835,24.14,29.44,-60.98,0.88,0.4,26.9
TSMOM K=6m plain,3835,23.45,28.94,-60.85,0.87,0.39,24.7
TSMOM K=12m plain,3835,21.68,28.6,-60.88,0.83,0.36,19.8
TSMOM K=3m tv=15%,3835,20.22,23.16,-44.18,0.91,0.46,16.5
TSMOM K=3m tv=20%,3835,25.97,30.83,-54.85,0.9,0.47,33.6
TSMOM K=3m tv=25%,3835,31.37,38.43,-63.33,0.9,0.5,63.5
TSMOM K=3m tv=30%,3835,36.35,45.77,-71.12,0.91,0.51,112.0
TSMOM K=6m tv=15%,3835,18.04,22.74,-53.52,0.84,0.34,12.5
TSMOM K=6m tv=20%,3835,22.94,30.32,-65.09,0.83,0.35,23.2
TSMOM K=6m tv=25%,3835,27.41,37.68,-73.2,0.83,0.37,39.9
TSMOM K=6m tv=30%,3835,31.31,44.82,-79.01,0.84,0.4,63.1
TSMOM K=12m tv=15%,3835,16.24,18.83,-42.37,0.89,0.38,9.9
TSMOM K=12m tv=20%,3835,20.77,25.11,-52.72,0.88,0.39,17.7
TSMOM K=12m tv=25%,3835,25.13,31.25,-60.55,0.87,0.41,30.3
TSMOM K=12m tv=30%,3835,29.17,37.19,-66.26,0.88,0.44,49.2
