,NOVA24,SPY,QQQ,IWM
2016-03-01,0.0,0.0,0.0,0.0
2016-03-02,-0.00021910153331927695,-0.00021910153331927695,-0.00021910153331927695,-0.00021910153331927695
2016-03-03,0.0002191495493215623,0.00021914954932156228,0.00021914954932156228,0.00021914954932156228
2016-03-04,-0.0018196303493910938,-0.005408333333333259,0.0,0.0
2016-03-07,-0.0021437412441600227,-0.006371660723680339,0.0,0.0
2016-03-08,0.0015452154509133585,0.005024828564672568,-0.00021910153331927695,-0.00021910153331927695
2016-03-09,0.0010554880359060965,0.0027049276725861215,0.00021914954932156228,0.00021914954932156228
2016-03-10,0.002886619744918585,0.008579655638479178,0.0,0.0
2016-03-11,-0.002276259453986202,-0.0028341720168892914,-0.00395253549695731,-0.00021910153331927695
2016-03-14,-0.005107028406182822,-0.005617001563495316,-0.003443386672067894,-0.006120913512370451
2016-03-15,-0.003517070281163823,-0.002842062525375666,-0.0024308720753570823,-0.005152979066022634
2016-03-16,-0.001969610639992644,-0.0008071025020178757,-0.0029113542816986415,-0.0022399999999999087
2016-03-17,0.0005405219523786126,-0.002349300939720411,0.002712749924645763,0.00136554621848739
2016-03-18,-0.00191447577477159,-0.0017781346793621644,-0.002105685350446307,-0.0018730489073880419
2016-03-21,-0.005004528419787621,-0.004525923804067689,-0.005395144370067051,-0.005113221329437478
2016-03-22,-0.0024571270904227647,-0.0023499742076001917,-0.001593943016537147,-0.0033423856277416952
2016-03-23,-0.005637839922350937,-0.006115855065774278,-0.005122024706236683,-0.005643100511073307
2016-03-24,0.00247102045168422,0.0023089355806971135,0.002911646586345462,0.0022285896211395873
2016-03-28,-0.0022593415861429673,-0.0024806738202377554,-0.0017088862082831335,-0.0025439898240408043
2016-03-29,0.005662986631787173,0.005544441268934053,0.006235154394299336,0.005259358564504435
2016-03-30,3.153784430129673e-05,-0.0007397712399703771,-0.0005907256079550338,0.001340344365398538
2016-03-31,-0.006868729917613897,-0.0058759769524787675,-0.005522682445759375,-0.009046982625681044
2016-04-01,-0.0009264411681249922,-0.00028339851499181723,-0.0004879000780639853,-0.0019449278329408681
2016-04-04,-0.007511752736368029,-0.007731665719158731,-0.007251347378735895,-0.0075350949628405495
2016-04-05,0.00041298458367676613,0.0005168552231091805,0.0009888262632256062,-0.00020887728459528798
2016-04-06,-0.006398750210823707,-0.006248579868211701,-0.005643670331808903,-0.0072276716572017286
2016-04-07,0.007439445265493366,0.006842226310947774,0.006814141813154206,0.008582792547624063
2016-04-08,0.0044346186459806305,0.0034973053548905675,0.004346537587671673,0.005420054200542035
2016-04-11,0.0006768886298492929,0.0012072434607646176,0.00039655001487060026,0.000418322526668069
2016-04-12,0.006080817153447857,0.005181642181983914,0.00747295968534889,0.005688870500620613
2016-04-13,-0.00015004088278480147,0.00016910935738434496,-9.707795359681359e-05,-0.0005063803929511446
2016-04-14,-0.0011980223073806045,0.0,-0.0007766236287738426,-0.0027372262773722733
2016-04-15,-0.003505542805006991,-0.0032727683105745475,-0.002822384428223912,-0.004349145342368854
2016-04-18,0.0020100719338633877,0.0021852412170113578,0.0019362958660082974,0.0019076305220884215
2016-04-19,0.00019725069557987153,0.0003911270045258153,9.7418412079886e-05,0.0001003310926055434
2016-04-20,-0.0004513939750294828,0.0002791113095903519,-0.0002920276452837989,-0.0013015618742490132
