date,pick_1,pick_2,pick_3,n_positive
2017-07-20,SOXL,YINN,EDC,19
2017-07-27,NUGT,BTC_USD,UCO,17
2017-08-03,UCO,YINN,UGL,9
2017-08-10,BTC_USD,TMF,UBT,6
2017-08-17,BTC_USD,UGL,NUGT,6
2017-08-24,BTC_USD,LABU,EDC,16
2017-08-31,LABU,NUGT,YINN,19
2017-09-08,NUGT,LABU,UGL,17
2017-09-15,ERX,UCO,SOXL,10
2017-09-22,ERX,SOXL,FAS,12
2017-09-29,BTC_USD,ERX,LABU,9
2017-10-06,BTC_USD,LABU,SOXL,14
2017-10-13,BTC_USD,YINN,EDC,17
2017-10-20,BTC_USD,SOXL,UCO,15
2017-10-27,SOXL,TECL,UCO,10
2017-11-03,BTC_USD,SOXL,UCO,15
2017-11-10,BTC_USD,UCO,ERX,16
2017-11-17,BTC_USD,DRN,NUGT,12
2017-11-27,ETH_USD,BTC_USD,NUGT,16
2017-12-04,BTC_USD,ETH_USD,FAS,9
2017-12-11,BTC_USD,FAS,ERX,9
2017-12-18,ETH_USD,BTC_USD,TECL,16
2017-12-26,ETH_USD,NUGT,ERX,15
2018-01-03,LABU,ERX,ETH_USD,14
2018-01-10,ETH_USD,YINN,EDC,14
2018-01-18,YINN,SOXL,TECL,13
2018-01-25,YINN,LABU,EDC,17
2018-02-01,LABU,UCO,FAS,12
2018-02-08,,,,0
2018-02-15,BTC_USD,UGL,,2
2018-02-23,SOXL,TQQQ,TECL,17
2018-03-02,BTC_USD,SOXL,TECL,9
2018-03-09,SOXL,LABU,TECL,10
2018-03-16,SOXL,DRN,YINN,16
2018-03-23,UCO,NUGT,TMF,6
2018-04-02,NUGT,TMF,UGL,6
2018-04-09,DRN,FAS,TMF,10
2018-04-16,ETH_USD,ERX,LABU,17
2018-04-23,ETH_USD,BTC_USD,ERX,12
2018-04-30,ETH_USD,BTC_USD,UCO,5
2018-05-07,DRN,ETH_USD,SOXL,14
2018-05-14,SOXL,TECL,LABU,15
2018-05-21,ERX,YINN,SOXL,12
2018-05-29,TMF,UBT,TYD,5
2018-06-05,LABU,SOXL,DRN,14
2018-06-12,LABU,TQQQ,TECL,13
2018-06-19,LABU,TMF,TQQQ,9
2018-06-26,UCO,DRN,TMF,5
2018-07-03,UCO,DRN,NUGT,7
2018-07-11,LABU,TECL,TQQQ,13
2018-07-18,SOXL,TQQQ,TECL,11
2018-07-25,BTC_USD,YINN,EDC,13
2018-08-01,DRN,EDC,BTC_USD,5
2018-08-08,SOXL,DRN,FAS,6
2018-08-15,TMF,TECL,UBT,9
2018-08-22,TMF,UCO,UBT,10
2018-08-29,YINN,LABU,EDC,20
2018-09-06,DRN,SOXL,BTC_USD,11
2018-09-13,,,,0
2018-09-20,NUGT,YINN,ERX,14
2018-09-27,ERX,UCO,YINN,12
2018-10-04,UCO,ERX,BTC_USD,3
2018-10-11,NUGT,UGL,,2
2018-10-18,NUGT,UGL,TYD,3
2018-10-25,DRN,ETH_USD,BTC_USD,9
2018-11-01,YINN,EDC,DRN,5
2018-11-08,SOXL,FAS,LABU,14
2018-11-15,DRN,FAS,YINN,7
2018-11-23,TMF,TYD,UBT,3
2018-11-30,LABU,DRN,YINN,14
2018-12-10,NUGT,TMF,UBT,11
2018-12-17,NUGT,TMF,UBT,5
2018-12-24,ETH_USD,BTC_USD,NUGT,7
2019-01-02,ETH_USD,BTC_USD,TMF,8
2019-01-09,LABU,ERX,UCO,17
2019-01-16,LABU,DRN,UCO,14
2019-01-24,SOXL,FAS,DRN,12
2019-01-31,NUGT,SOXL,DRN,18
2019-02-07,NUGT,DRN,SOXL,17
2019-02-14,SOXL,ETH_USD,TECL,14
2019-02-22,ETH_USD,BTC_USD,UCO,18
2019-03-01,LABU,ETH_USD,TECL,14
2019-03-08,LABU,UBT,TMF,3
2019-03-15,UCO,TECL,TMF,18
2019-03-22,SOXL,TECL,TQQQ,19
2019-03-29,TMF,UBT,DRN,14
2019-04-05,BTC_USD,ETH_USD,LABU,15
2019-04-12,BTC_USD,SOXL,ETH_USD,14
2019-04-22,SOXL,TECL,UCO,11
2019-04-29,SOXL,TQQQ,TECL,11
2019-05-06,DRN,LABU,FAS,14
2019-05-13,BTC_USD,ETH_USD,TMF,7
2019-05-20,ETH_USD,BTC_USD,NUGT,7
2019-05-28,ETH_USD,BTC_USD,TMF,8
2019-06-04,NUGT,TMF,UBT,8
2019-06-11,NUGT,SOXL,TECL,16
2019-06-18,TQQQ,TECL,BTC_USD,20
2019-06-25,BTC_USD,NUGT,ETH_USD,17
2019-07-02,NUGT,BTC_USD,SOXL,19
2019-07-10,SOXL,TECL,TQQQ,15
2019-07-17,NUGT,SOXL,TQQQ,11
2019-07-24,SOXL,NUGT,TECL,11
2019-07-31,SOXL,UCO,BTC_USD,10
2019-08-07,BTC_USD,TMF,UBT,8
2019-08-14,TMF,NUGT,UBT,6
2019-08-21,UCO,SOXL,TMF,15
2019-08-28,NUGT,YINN,DRN,16
2019-09-05,SOXL,YINN,FAS,18
2019-09-12,SOXL,ERX,YINN,14
2019-09-19,ETH_USD,ERX,LABU,13
2019-09-26,NUGT,TMF,DRN,7
2019-10-03,TMF,UBT,TYD,5
2019-10-10,ETH_USD,YINN,BTC_USD,4
2019-10-17,TQQQ,SOXL,LABU,14
2019-10-24,LABU,SOXL,UCO,14
2019-10-31,BTC_USD,NUGT,SOXL,19
2019-11-07,BTC_USD,SOXL,ETH_USD,14
2019-11-14,SOXL,UCO,TECL,12
2019-11-21,LABU,TMF,UBT,13
2019-11-29,LABU,FAS,TQQQ,12
2019-12-06,LABU,SOXL,FAS,12
2019-12-13,UCO,SOXL,EDC,14
2019-12-20,SOXL,YINN,EDC,14
2019-12-30,NUGT,YINN,DRN,15
2020-01-07,NUGT,BTC_USD,UGL,17
2020-01-14,ETH_USD,BTC_USD,TECL,18
2020-01-22,ETH_USD,TECL,DRN,14
2020-01-29,TMF,UBT,DRN,11
2020-02-05,ETH_USD,BTC_USD,TECL,13
2020-02-12,ETH_USD,LABU,TQQQ,14
2020-02-20,ETH_USD,NUGT,DRN,17
2020-02-27,TMF,UBT,UGL,4
2020-03-05,TMF,UBT,TYD,4
2020-03-12,UBT,TMF,TYD,3
2020-03-19,,,,0
2020-03-26,BTC_USD,ETH_USD,LABU,14
2020-04-02,ERX,TMF,YINN,19
2020-04-09,DRN,ETH_USD,FAS,17
2020-04-17,LABU,TQQQ,SOXL,16
2020-04-24,LABU,NUGT,TQQQ,17
2020-05-01,BTC_USD,ETH_USD,NUGT,8
2020-05-08,BTC_USD,ERX,TECL,16
2020-05-15,LABU,UCO,NUGT,15
2020-05-22,UCO,LABU,TQQQ,13
2020-06-01,DRN,FAS,UCO,15
2020-06-08,DRN,FAS,ERX,14
2020-06-15,SOXL,DRN,TECL,11
2020-06-22,LABU,NUGT,TMF,10
2020-06-29,LABU,NUGT,UCO,13
2020-07-07,YINN,NUGT,EDC,14
2020-07-14,YINN,TQQQ,EDC,18
2020-07-21,NUGT,FAS,SOXL,18
2020-07-28,ETH_USD,NUGT,BTC_USD,14
2020-08-04,ETH_USD,BTC_USD,UGL,16
2020-08-11,ETH_USD,TECL,SOXL,14
2020-08-18,ETH_USD,TQQQ,UPRO,13
2020-08-25,TQQQ,TECL,YINN,15
2020-09-01,TECL,TQQQ,QLD,13
2020-09-09,NUGT,UGL,,2
2020-09-16,LABU,DRN,NUGT,3
2020-09-23,LABU,UCO,TMF,6
2020-09-30,SOXL,TECL,TQQQ,5
2020-10-07,SOXL,LABU,DRN,16
2020-10-14,SOXL,LABU,TQQQ,17
2020-10-21,BTC_USD,ETH_USD,YINN,12
2020-10-28,BTC_USD,ETH_USD,YINN,3
2020-11-04,LABU,YINN,BTC_USD,14
2020-11-11,ERX,FAS,SOXL,16
2020-11-18,ERX,FAS,BTC_USD,15
2020-11-25,ERX,ETH_USD,BTC_USD,17
2020-12-03,ETH_USD,LABU,SOXL,14
2020-12-10,LABU,SOXL,ERX,14
2020-12-17,LABU,BTC_USD,UCO,18
2020-12-24,BTC_USD,LABU,TECL,14
2021-01-04,ETH_USD,BTC_USD,NUGT,11
2021-01-11,ETH_USD,BTC_USD,SOXL,13
2021-01-19,SOXL,ETH_USD,ERX,15
2021-01-26,YINN,ETH_USD,DRN,16
2021-02-02,LABU,DRN,TECL,11
2021-02-09,BTC_USD,LABU,ETH_USD,14
2021-02-17,BTC_USD,ERX,UCO,14
2021-02-24,ERX,FAS,UCO,8
2021-03-03,ERX,FAS,UCO,3
2021-03-10,BTC_USD,ERX,ETH_USD,5
2021-03-17,DRN,NUGT,BTC_USD,15
2021-03-24,SOXL,DRN,UGL,5
2021-03-31,ETH_USD,TMF,UBT,6
2021-04-08,SOXL,ETH_USD,TECL,15
2021-04-15,ETH_USD,TECL,TQQQ,17
2021-04-22,ETH_USD,DRN,NUGT,12
2021-04-29,FAS,ETH_USD,LABU,11
2021-05-06,ETH_USD,ERX,FAS,10
2021-05-13,ETH_USD,NUGT,UGL,6
2021-05-20,NUGT,UGL,DRN,4
2021-05-27,SOXL,YINN,EDC,18
2021-06-04,UCO,SOXL,DRN,16
2021-06-11,DRN,LABU,ERX,14
2021-06-18,LABU,TMF,UBT,8
2021-06-25,UCO,TQQQ,TECL,11
2021-07-02,TECL,SOXL,FAS,15
2021-07-12,TECL,ETH_USD,TQQQ,13
2021-07-19,TMF,UBT,TYD,5
2021-07-26,BTC_USD,ETH_USD,TECL,10
2021-08-02,ETH_USD,BTC_USD,SOXL,14
2021-08-09,ETH_USD,BTC_USD,FAS,12
2021-08-16,ETH_USD,BTC_USD,FAS,9
2021-08-23,UGL,BTC_USD,TMF,12
2021-08-30,LABU,SOXL,TQQQ,17
2021-09-07,YINN,EDC,LABU,14
2021-09-14,ETH_USD,UCO,TMF,10
2021-09-21,TMF,UBT,UCO,4
2021-09-28,ERX,UCO,FAS,3
2021-10-05,ERX,ETH_USD,BTC_USD,5
2021-10-12,BTC_USD,ETH_USD,UCO,10
2021-10-19,YINN,BTC_USD,NUGT,17
2021-10-26,SOXL,TQQQ,TECL,18
2021-11-02,ETH_USD,LABU,SOXL,14
2021-11-09,SOXL,TECL,ETH_USD,14
2021-11-16,SOXL,NUGT,YINN,11
2021-11-23,TECL,SOXL,YINN,8
2021-12-01,TMF,UBT,ETH_USD,4
