label,n,cagr,vol,mdd,sharpe,cagr_mdd,navx
mom all17 lb=126 skip=0 top3 RAW,3835,12.1,49.66,-63.93,0.48,0.19,5.7
mom all17 lb=126 skip=0 top3 CP tv=12% vw=63d,3835,4.96,12.92,-26.46,0.44,0.19,2.1
mom all17 lb=126 skip=0 top3 CP tv=12% vw=126d,3835,5.44,13.22,-24.75,0.47,0.22,2.2
mom all17 lb=126 skip=0 top3 CP tv=12% vw=252d,3835,4.44,12.11,-25.11,0.42,0.18,1.9
mom all17 lb=126 skip=0 top3 CP tv=15% vw=63d,3835,5.96,16.15,-32.12,0.44,0.19,2.4
mom all17 lb=126 skip=0 top3 CP tv=15% vw=126d,3835,6.56,16.53,-30.11,0.47,0.22,2.6
mom all17 lb=126 skip=0 top3 CP tv=15% vw=252d,3835,5.34,15.14,-30.55,0.42,0.17,2.2
mom all17 lb=126 skip=0 top3 CP tv=20% vw=63d,3835,7.39,21.54,-40.78,0.44,0.18,3.0
mom all17 lb=126 skip=0 top3 CP tv=20% vw=126d,3835,8.17,22.04,-38.38,0.47,0.21,3.3
mom all17 lb=126 skip=0 top3 CP tv=20% vw=252d,3835,6.63,20.19,-38.94,0.42,0.17,2.7
mom all17 lb=126 skip=0 top5 RAW,3835,18.12,42.26,-58.19,0.61,0.31,12.6
mom all17 lb=126 skip=0 top5 CP tv=12% vw=63d,3835,6.67,13.49,-20.5,0.55,0.33,2.7
mom all17 lb=126 skip=0 top5 CP tv=12% vw=126d,3835,6.95,13.77,-19.45,0.56,0.36,2.8
mom all17 lb=126 skip=0 top5 CP tv=12% vw=252d,3835,6.23,12.13,-19.56,0.56,0.32,2.5
mom all17 lb=126 skip=0 top5 CP tv=15% vw=63d,3835,8.33,16.73,-25.1,0.56,0.33,3.4
mom all17 lb=126 skip=0 top5 CP tv=15% vw=126d,3835,8.67,17.09,-23.83,0.57,0.36,3.5
mom all17 lb=126 skip=0 top5 CP tv=15% vw=252d,3835,7.6,15.17,-23.97,0.56,0.32,3.1
mom all17 lb=126 skip=0 top5 CP tv=20% vw=63d,3835,10.87,22.18,-32.32,0.58,0.34,4.8
mom all17 lb=126 skip=0 top5 CP tv=20% vw=126d,3835,11.09,22.46,-30.73,0.58,0.36,5.0
mom all17 lb=126 skip=0 top5 CP tv=20% vw=252d,3835,9.7,20.22,-30.91,0.56,0.31,4.1
mom all17 lb=126 skip=21 top3 RAW,3835,13.9,54.18,-75.1,0.52,0.19,7.2
mom all17 lb=126 skip=21 top3 CP tv=12% vw=63d,3835,4.63,13.58,-22.54,0.4,0.21,2.0
mom all17 lb=126 skip=21 top3 CP tv=12% vw=126d,3835,5.7,13.99,-20.59,0.47,0.28,2.3
mom all17 lb=126 skip=21 top3 CP tv=12% vw=252d,3835,4.61,12.33,-21.16,0.43,0.22,2.0
mom all17 lb=126 skip=21 top3 CP tv=15% vw=63d,3835,5.67,16.86,-27.54,0.41,0.21,2.3
mom all17 lb=126 skip=21 top3 CP tv=15% vw=126d,3835,7.15,17.27,-25.22,0.49,0.28,2.9
mom all17 lb=126 skip=21 top3 CP tv=15% vw=252d,3835,5.54,15.41,-25.97,0.43,0.21,2.3
mom all17 lb=126 skip=21 top3 CP tv=20% vw=63d,3835,7.36,22.25,-35.43,0.43,0.21,2.9
mom all17 lb=126 skip=21 top3 CP tv=20% vw=126d,3835,9.33,22.8,-32.5,0.5,0.29,3.9
mom all17 lb=126 skip=21 top3 CP tv=20% vw=252d,3835,6.88,20.55,-33.55,0.43,0.21,2.8
mom all17 lb=126 skip=21 top5 RAW,3835,18.29,47.13,-69.5,0.6,0.26,12.9
mom all17 lb=126 skip=21 top5 CP tv=12% vw=63d,3835,6.27,13.74,-20.22,0.51,0.31,2.5
mom all17 lb=126 skip=21 top5 CP tv=12% vw=126d,3835,6.82,14.05,-21.17,0.54,0.32,2.7
mom all17 lb=126 skip=21 top5 CP tv=12% vw=252d,3835,6.29,12.44,-22.24,0.55,0.28,2.5
mom all17 lb=126 skip=21 top5 CP tv=15% vw=63d,3835,7.88,16.97,-24.82,0.53,0.32,3.2
mom all17 lb=126 skip=21 top5 CP tv=15% vw=126d,3835,8.56,17.35,-25.93,0.56,0.33,3.5
