label,n,cagr,vol,mdd,sharpe,cagr_mdd,navx,family,cohort
LETF+BTCETH 2018+ :: invvol-s core6+BTC lb=126 tv=25%,2074,31.4,47.66,-67.12,0.81,0.47,9.5,invvol-scaled,LETF+BTCETH 2018+
LETF+BTCETH 2018+ :: EW5 + 10% BTC + 5% ETH,2074,31.18,43.58,-67.36,0.84,0.46,9.3,fixed-crypto,LETF+BTCETH 2018+
LETF+BTCETH 2018+ :: invvol core6+BTC+ETH lb=63,2074,30.69,36.64,-61.2,0.92,0.5,9.1,invvol,LETF+BTCETH 2018+
LETF-only 2018+ :: 3sleeve 70/10/20 TQQQ/TMF/UGL,2074,30.37,50.59,-71.17,0.78,0.43,8.9,fixed,LETF-only 2018+
LETF+BTCETH 2018+ :: 3sleeve 70/10/20 TQQQ/TMF/UGL,2074,30.37,50.59,-71.17,0.78,0.43,8.9,fixed,LETF+BTCETH 2018+
LETF+BTC 2015+ :: mom core6 lb=126 top4,2829,30.33,52.08,-72.05,0.77,0.42,19.6,mom,LETF+BTC 2015+
LETF-only 2015+ :: mom core6 lb=126 top4,2829,30.33,52.08,-72.05,0.77,0.42,19.6,mom,LETF-only 2015+
LETF+BTCETH 2018+ :: EW5 + 10% BTC,2074,30.3,43.89,-67.72,0.82,0.45,8.8,fixed-crypto,LETF+BTCETH 2018+
LETF-only 2018+ :: EW6 UPRO/TQQQ/SOXL/TECL/TMF/UGL,2074,30.19,50.7,-70.19,0.77,0.43,8.8,fixed,LETF-only 2018+
LETF+BTCETH 2018+ :: EW6 UPRO/TQQQ/SOXL/TECL/TMF/UGL,2074,30.19,50.7,-70.19,0.77,0.43,8.8,fixed,LETF+BTCETH 2018+
LETF-only 2015+ :: EW5 UPRO/TQQQ/SOXL/TMF/UGL,2829,30.04,41.7,-68.73,0.84,0.44,19.1,fixed,LETF-only 2015+
LETF+BTC 2015+ :: EW5 UPRO/TQQQ/SOXL/TMF/UGL,2829,30.04,41.7,-68.73,0.84,0.44,19.1,fixed,LETF+BTC 2015+
LETF+BTCETH 2018+ :: invvol core6+BTC lb=126,2074,29.57,36.29,-60.91,0.9,0.49,8.4,invvol,LETF+BTCETH 2018+
LETF+BTCETH 2018+ :: invvol core6+BTC lb=63,2074,29.53,35.94,-60.42,0.9,0.49,8.4,invvol,LETF+BTCETH 2018+
