pair,horizon,n_trades,active_days,sharpe
USHY-VTEB,21,66,296,-0.18101934808753203
HYG-EMB,21,84,457,0.17365746640231264
HYG-VWOB,21,80,393,0.2906638073258712
JNK-EMB,21,72,438,0.23200876306102539
JNK-VWOB,21,78,393,0.2738419776272143
USHY-EMB,21,48,286,-0.011892638711551025
USHY-VWOB,21,60,281,0.1229025632217861
HYG-FLOT,21,74,391,0.07171947879458128
JNK-FLOT,21,70,391,0.06759835991431129
USHY-FLOT,21,66,333,0.07832592102210838
HYG-MBB,21,112,476,0.03278791218289306
HYG-VMBS,21,80,356,0.2115325232971159
JNK-MBB,21,88,481,-0.3802319307503742
JNK-VMBS,21,74,353,0.010039061292832628
USHY-MBB,21,88,346,-0.15346739711922883
USHY-VMBS,21,80,304,-0.03881485811356225
AGG-TIP,21,118,636,0.3665369919095851
AGG-SCHP,21,72,351,0.14116200400833873
BND-TIP,21,112,554,0.21691094068301434
BND-SCHP,21,68,336,0.06626994693716695
AGG-MUB,21,136,426,0.06962292203132682
AGG-VTEB,21,112,319,0.3021263860816158
BND-MUB,21,126,403,-0.10191650645966333
BND-VTEB,21,92,339,-0.05222183655268884
AGG-EMB,21,126,537,-0.32917261717594787
AGG-VWOB,21,89,439,-0.34070545946560277
BND-EMB,21,132,552,-0.4420707401767497
BND-VWOB,21,87,430,-0.3544943306577054
AGG-FLOT,21,104,710,-0.30058745024188327
BND-FLOT,21,94,711,-0.37483858734783854
AGG-MBB,21,204,817,-0.2733566646883614
AGG-VMBS,21,118,575,-0.3330285931341888
BND-MBB,21,198,820,-0.4574137276997132
BND-VMBS,21,114,602,-0.17082760612579176
TIP-MUB,21,104,445,0.4130744894610028
TIP-VTEB,21,80,273,0.13086288513521638
SCHP-MUB,21,76,270,0.23077175021707455
SCHP-VTEB,21,74,267,-0.0904976968300577
TIP-EMB,21,127,549,0.017202232084457817
TIP-VWOB,21,97,437,-0.031173157950564204
SCHP-EMB,21,131,560,0.3749447857298077
SCHP-VWOB,21,105,453,-0.015617234743201844
TIP-FLOT,21,82,384,-0.14474853213863104
SCHP-FLOT,21,84,402,-0.12979739749167757
TIP-MBB,21,124,643,0.08006953884645227
TIP-VMBS,21,100,435,0.04375404223060777
SCHP-MBB,21,84,436,0.10118593356797173
SCHP-VMBS,21,90,406,0.0471712928678513
MUB-EMB,21,114,527,-0.07240305452732487
MUB-VWOB,21,96,523,-0.18439600136020104
VTEB-EMB,21,68,393,-0.15869391665971097
VTEB-VWOB,21,68,373,-0.14725979992108557
MUB-FLOT,21,84,540,-0.05979373810894566
VTEB-FLOT,21,62,481,-0.328998965873975
MUB-MBB,21,128,390,0.07286069264820627
MUB-VMBS,21,92,339,-0.20278970487089354
VTEB-MBB,21,110,362,0.29312488926815783
VTEB-VMBS,21,108,354,-0.0028540039384959545
EMB-FLOT,21,82,483,-0.2348627163905416
VWOB-FLOT,21,99,547,-0.5744110482515562
EMB-MBB,21,110,507,-0.2619268136342128
EMB-VMBS,21,84,442,-0.22008596790217785
VWOB-MBB,21,93,430,-0.1648792022676629
VWOB-VMBS,21,83,429,-0.20119536286158032
FLOT-MBB,21,146,657,-0.1613329812328921
