pair,horizon,n_trades,active_days,sharpe
IGIB-MBB,5,286,639,-0.6259420995870606
IGIB-VMBS,5,234,496,-0.6721028054557828
VCSH-HYG,5,152,328,0.2685975521669556
VCSH-JNK,5,136,312,0.11921655084081148
VCSH-USHY,5,128,259,-0.3213192159358754
VCSH-AGG,5,238,550,-0.7767537172241019
VCSH-BND,5,254,577,-0.33897336508206627
VCSH-TIP,5,150,311,-0.19026696302665216
VCSH-SCHP,5,126,252,-0.27150925305099455
VCSH-MUB,5,146,297,-0.48894027584510524
VCSH-VTEB,5,101,306,-0.45481562718662766
VCSH-EMB,5,180,385,0.10860506377157075
VCSH-VWOB,5,142,294,0.15882182494932273
VCSH-FLOT,5,205,426,-1.187567173461406
VCSH-MBB,5,240,592,-0.9830683563887412
VCSH-VMBS,5,250,581,-0.8200162024927682
HYG-AGG,5,190,407,-0.2164669346425709
HYG-BND,5,188,414,-0.3214263351932757
JNK-AGG,5,174,357,-0.5780294334202347
JNK-BND,5,170,362,-0.3799873967757659
USHY-AGG,5,128,250,-0.07560061719204561
USHY-BND,5,124,246,0.08754807254440618
HYG-TIP,5,184,412,-0.17611944078679828
HYG-SCHP,5,134,300,0.028572433607315206
JNK-TIP,5,178,381,-0.0484348999272033
JNK-SCHP,5,140,323,0.0017598090971096114
USHY-TIP,5,108,252,0.0339797525824488
USHY-SCHP,5,114,255,-0.04540154226676412
HYG-MUB,5,164,355,-0.09354315999431935
HYG-VTEB,5,106,228,-0.1472872913818607
JNK-MUB,5,170,381,-0.04535896285381189
JNK-VTEB,5,104,249,-0.22585817302652128
USHY-MUB,5,102,235,0.4882338639324925
USHY-VTEB,5,122,253,-0.18626435983361486
HYG-EMB,5,140,301,-0.12517054076673306
HYG-VWOB,5,100,215,0.03221839970908358
JNK-EMB,5,146,309,0.1471470921420012
JNK-VWOB,5,104,230,-0.0004319262773909713
USHY-EMB,5,94,194,0.07003710059634102
USHY-VWOB,5,94,182,-0.04065509803891396
HYG-FLOT,5,142,345,-0.013313742854385836
JNK-FLOT,5,146,367,-0.22970714485558424
USHY-FLOT,5,114,273,-0.17382518010561548
HYG-MBB,5,198,400,-0.4733131307199977
HYG-VMBS,5,140,293,-0.0650971862277367
JNK-MBB,5,182,357,-0.6359751087112009
JNK-VMBS,5,148,299,-0.09745510954789657
USHY-MBB,5,130,282,-0.13418201594377982
USHY-VMBS,5,134,288,-0.4246017572892794
AGG-TIP,5,224,512,-0.1951395468022081
AGG-SCHP,5,138,314,-0.26675810158018826
BND-TIP,5,208,556,-0.13661169107303278
BND-SCHP,5,148,332,-0.4331436928950013
AGG-MUB,5,208,407,0.12348849595312639
AGG-VTEB,5,146,340,0.08200632760404132
BND-MUB,5,196,410,-0.15495091656064103
BND-VTEB,5,144,325,-0.2859326369153499
AGG-EMB,5,198,432,-0.3399369967415641
AGG-VWOB,5,122,252,-0.22217777242750447
BND-EMB,5,194,424,-0.1992826644902953
BND-VWOB,5,128,256,-0.17661189878627034
AGG-FLOT,5,220,547,-0.760008531311904
BND-FLOT,5,226,537,-0.8220934751674354
AGG-MBB,5,264,536,-0.5950388545835789
AGG-VMBS,5,184,390,-0.7137580236653529
BND-MBB,5,260,580,-0.5717251979547678
BND-VMBS,5,194,445,-0.5004692972083676
TIP-MUB,5,188,406,0.007155753084191624
TIP-VTEB,5,122,299,0.22678706893127953
