family,label,T,sr_ann,skew,kurt,E[max SR] ann,sigma_SR (ann),DSR
static,HFEA-Tech 50/50 TQQQ/TMF,3835,0.8184567176451436,-0.12566077096638548,8.057350208459683,0.9026396623867633,0.3092658230499626,0.3720074383777363
invvol,invvol clean4 lb=21,3835,0.9468366523964499,-0.08790946721029837,9.086099816119361,0.9026396623867633,0.3092658230499626,0.5680180835922586
invvol-scaled,invvol-s core6 lb=126 tv=60%,3835,0.8995219765513266,-0.19028633673556383,10.287875084798408,0.9026396623867633,0.3092658230499626,0.49519234794026495
mom,mom core6 lb=126 top5,3835,0.8674958680715814,-0.20008799778960448,8.764623108743287,0.9026396623867633,0.3092658230499626,0.44593137370034014
baseline,EW-all17,3835,0.6298414688424955,-0.4676911925910827,13.115920746970001,0.9026396623867633,0.3092658230499626,0.14643042067917922
