label,full_SR,full_CAGR,full_MDD,full_vol,disc_SR,disc_CAGR,disc_MDD,ho_SR,ho_CAGR,ho_MDD,ho_vol
A  invvol core6 lb=63 + VM vw=126d,0.89,25.29,-48.94,30.64,0.85,23.74,-48.94,1.05,31.17,-29.92,30.13
B  invvol clean4 lb=21,0.95,23.26,-52.52,25.55,0.86,19.79,-52.52,1.25,37.05,-23.97,28.51
C  TSMOM K=3m tv=20%,0.9,25.97,-54.85,30.83,0.82,23.35,-54.85,1.29,36.21,-25.3,26.83
A+B (1/2 each),0.94,24.61,-50.49,27.25,0.88,22.12,-50.49,1.17,34.28,-26.95,28.82
A+C (1/2 each),0.93,25.99,-51.73,29.8,0.86,23.94,-51.73,1.18,33.88,-27.19,27.98
B+C (1/2 each),0.95,24.91,-53.64,27.47,0.86,21.9,-53.64,1.28,36.74,-24.4,27.38
ENSEMBLE A+B+C (1/3 each),0.95,25.28,-51.94,27.89,0.88,22.77,-51.94,1.22,35.02,-26.11,27.91
