,NOVA28,weekly_OVN,sector_rot
2016-03-01,0.0020127107427899693,0.000170238013999155,0.008075271281414016
2016-03-02,0.0005950814439405935,-0.00012363505846783206,0.002959980656760323
2016-03-03,0.0020342876361206822,0.00080533124402458,0.00607810462726895
2016-03-04,0.0015678060591611418,6.739518656192199e-05,0.006504829878185199
2016-03-07,-0.0009259962056902189,-0.0014449323388424705,0.0007815361087661896
2016-03-08,-0.00030009687443008565,-0.00026288794404594716,-0.00042253092162454963
2016-03-09,0.003091850146969305,0.002480117727621592,0.005104723807340061
2016-03-10,0.002094724906167223,0.0027601869589738513,-9.494331429264297e-05
2016-03-11,0.001292261721636075,-0.00021407327393774375,0.006248778558717083
2016-03-14,-0.0033079422360325805,-0.004475226967055284,0.0005329473668658953
2016-03-15,-0.002539218871334973,-0.003695101858584167,0.0012641538876001501
2016-03-16,0.001119420902666042,-0.0006798382654786428,0.00703978947100318
2016-03-17,0.0024872847710563652,-0.00015212137469636905,0.011172113205474435
2016-03-18,-0.0019470063437513965,-0.0026290886302042264,0.0002973498897637836
2016-03-21,-0.001963669936838163,-0.00311496476838317,0.001824605734751998
2016-03-22,-0.006184971808059199,-0.005794652430884054,-0.007469297386693588
2016-03-23,-0.004475605974072593,-0.004675970710631413,-0.0038163162455399444
2016-03-24,0.0016614851321620984,0.002189709829896166,-7.661072020411408e-05
2016-03-28,-0.0009442074033269808,-0.0013271787782683823,0.00031593995671893205
2016-03-29,0.0044604762316243106,0.0033829168327906074,0.008006129302798945
2016-03-30,0.0011031255851807473,0.00130494049844495,0.0004390641257395743
2016-03-31,-0.005730993993845678,-0.007782337783028738,0.0010188458887856096
2016-04-01,-0.0013652097243238893,-0.0012842420946210706,-0.0016316294922107029
2016-04-04,-0.004771495230396447,-0.0039027437296296746,-0.007630076789905126
2016-04-05,-0.0035224381675099123,-0.0011858472366919383,-0.011210868911003534
2016-04-06,-0.0016220229605555768,-0.0032882018660818084,0.0038604519358628182
2016-04-07,0.002180004689561933,0.004954051705947117,-0.006947852516151968
2016-04-08,0.004666783624786199,0.004599623379630312,0.004887770913055922
2016-04-11,-0.00025056044185443297,0.0007925226223665048,-0.003682770929877824
2016-04-12,0.006576729641127534,0.003850702002863003,0.015546581584492401
2016-04-13,-0.00018488137904835024,-0.0011012344256186054,0.0028303305873348394
2016-04-14,-0.0003673952465846394,-0.0006570166888958666,0.0005855890227932646
2016-04-15,-0.001974308101361768,-0.002232867212000278,-0.0011235328162982523
2016-04-18,0.005365304570494295,0.004466046638980164,0.008324265951279664
2016-04-19,0.0034108964965207144,-0.00026440348075934235,0.01550427962327509
2016-04-20,0.0013553535696199125,0.0013217238569425411,0.0014660103873937644
2016-04-21,-0.004250700873958924,-0.0042449661008723836,-0.004269570846072564
2016-04-22,-2.775363981782821e-05,-0.0024730668916412572,0.008018422237536127
2016-04-25,0.00045246419850745643,0.0025515307179222323,-0.006454404842046882
2016-04-26,0.00018819209173100366,-0.0030949474117863396,0.010991191607433374
2016-04-27,0.0010979222777662337,-0.002063413902223647,0.011500134302206531
2016-04-28,-0.0037075760490120884,-0.0013989153219796113,-0.011304103911849881
2016-04-29,0.0008731133406328132,0.0024938030782547136,-0.004459681818353248
2016-05-02,-0.0038313330615517517,-0.005779488956096383,0.0025789724288884557
2016-05-03,-0.0076076460285956415,-0.005033792898375572,-0.016076775680097688
2016-05-04,-0.0004566771997304964,0.003138770949659815,-0.01228731204634122
2016-05-05,-0.0019978415329293393,-0.00287114698378741,0.0008757245621368777
2016-05-06,-0.0013552868373669113,-0.0030316058720956498,0.0041605536259871805
