label,n,cagr,vol,mdd,sharpe,cagr_mdd,navx,recipe,rebal_days
HFEA-Tech 50/50 TQQQ/TMF @ 5d,3835,24.64,34.0,-74.96,0.82,0.33,28.5,HFEA-Tech 50/50 TQQQ/TMF,5
HFEA-Tech 50/50 TQQQ/TMF @ 3d,3835,24.64,34.0,-74.96,0.82,0.33,28.5,HFEA-Tech 50/50 TQQQ/TMF,3
theme4 UPRO/TQQQ/TYD/UGL 25/25/25/25 @ 21d,3835,24.44,29.22,-54.41,0.9,0.45,27.9,theme4 UPRO/TQQQ/TYD/UGL 25/25/25/25,21
theme4 UPRO/TQQQ/TYD/UGL 25/25/25/25 @ 5d,3835,24.44,29.22,-54.41,0.9,0.45,27.9,theme4 UPRO/TQQQ/TYD/UGL 25/25/25/25,5
theme4 UPRO/TQQQ/TYD/UGL 25/25/25/25 @ 3d,3835,24.44,29.22,-54.41,0.9,0.45,27.9,theme4 UPRO/TQQQ/TYD/UGL 25/25/25/25,3
theme4 UPRO/TQQQ/TYD/UGL 25/25/25/25 @ 10d,3835,24.44,29.22,-54.41,0.9,0.45,27.9,theme4 UPRO/TQQQ/TYD/UGL 25/25/25/25,10
theme4 UPRO/TECL/TYD/UGL 25/25/25/25 @ 21d,3835,24.42,30.08,-53.44,0.88,0.46,27.8,theme4 UPRO/TECL/TYD/UGL 25/25/25/25,21
theme4 UPRO/TECL/TYD/UGL 25/25/25/25 @ 10d,3835,24.42,30.08,-53.44,0.88,0.46,27.8,theme4 UPRO/TECL/TYD/UGL 25/25/25/25,10
theme4 UPRO/TECL/TYD/UGL 25/25/25/25 @ 5d,3835,24.42,30.08,-53.44,0.88,0.46,27.8,theme4 UPRO/TECL/TYD/UGL 25/25/25/25,5
theme4 UPRO/TECL/TYD/UGL 25/25/25/25 @ 3d,3835,24.42,30.08,-53.44,0.88,0.46,27.8,theme4 UPRO/TECL/TYD/UGL 25/25/25/25,3
UPRO/UGL 60/40 @ 21d,3835,24.35,34.13,-56.22,0.81,0.43,27.6,UPRO/UGL 60/40,21
