label,n,cagr,vol,mdd,sharpe,cagr_mdd,navx,recipe,rebal_days
HFEA-Tech 80/20 TQQQ/TMF @ 5d,3835,34.37,48.06,-78.0,0.86,0.44,89.7,HFEA-Tech 80/20 TQQQ/TMF,5
HFEA-Tech 80/20 TQQQ/TMF @ 3d,3835,34.37,48.06,-78.0,0.86,0.44,89.7,HFEA-Tech 80/20 TQQQ/TMF,3
100% TECL @ 21d,3835,34.25,65.37,-77.96,0.78,0.44,88.5,100% TECL,21
100% TECL @ 10d,3835,34.25,65.37,-77.96,0.78,0.44,88.5,100% TECL,10
100% TECL @ 5d,3835,34.25,65.37,-77.96,0.78,0.44,88.5,100% TECL,5
100% TECL @ 3d,3835,34.25,65.37,-77.96,0.78,0.44,88.5,100% TECL,3
3sleeve 70/10/20 TQQQ/TMF/UGL @ 21d,3835,33.57,43.26,-71.17,0.89,0.47,81.9,3sleeve 70/10/20 TQQQ/TMF/UGL,21
3sleeve 70/10/20 TQQQ/TMF/UGL @ 10d,3835,33.57,43.26,-71.17,0.89,0.47,81.9,3sleeve 70/10/20 TQQQ/TMF/UGL,10
3sleeve 70/10/20 TQQQ/TMF/UGL @ 5d,3835,33.57,43.26,-71.17,0.89,0.47,81.9,3sleeve 70/10/20 TQQQ/TMF/UGL,5
3sleeve 70/10/20 TQQQ/TMF/UGL @ 3d,3835,33.57,43.26,-71.17,0.89,0.47,81.9,3sleeve 70/10/20 TQQQ/TMF/UGL,3
3sleeve 70/20/10 TQQQ/TMF/UGL @ 21d,3835,32.93,42.5,-73.89,0.88,0.45,76.1,3sleeve 70/20/10 TQQQ/TMF/UGL,21
3sleeve 70/20/10 TQQQ/TMF/UGL @ 10d,3835,32.93,42.5,-73.89,0.88,0.45,76.1,3sleeve 70/20/10 TQQQ/TMF/UGL,10
3sleeve 70/20/10 TQQQ/TMF/UGL @ 5d,3835,32.93,42.5,-73.89,0.88,0.45,76.1,3sleeve 70/20/10 TQQQ/TMF/UGL,5
3sleeve 70/20/10 TQQQ/TMF/UGL @ 3d,3835,32.93,42.5,-73.89,0.88,0.45,76.1,3sleeve 70/20/10 TQQQ/TMF/UGL,3
EW6 UPRO/TQQQ/SOXL/TECL/TMF/UGL @ 21d,3835,32.85,42.58,-70.19,0.88,0.47,75.4,EW6 UPRO/TQQQ/SOXL/TECL/TMF/UGL,21
EW6 UPRO/TQQQ/SOXL/TECL/TMF/UGL @ 10d,3835,32.85,42.58,-70.19,0.88,0.47,75.4,EW6 UPRO/TQQQ/SOXL/TECL/TMF/UGL,10
EW6 UPRO/TQQQ/SOXL/TECL/TMF/UGL @ 5d,3835,32.85,42.58,-70.19,0.88,0.47,75.4,EW6 UPRO/TQQQ/SOXL/TECL/TMF/UGL,5
EW6 UPRO/TQQQ/SOXL/TECL/TMF/UGL @ 3d,3835,32.85,42.58,-70.19,0.88,0.47,75.4,EW6 UPRO/TQQQ/SOXL/TECL/TMF/UGL,3
HFEA-Tech 70/30 TQQQ/TMF @ 21d,3835,31.96,42.3,-76.42,0.87,0.42,68.0,HFEA-Tech 70/30 TQQQ/TMF,21
HFEA-Tech 70/30 TQQQ/TMF @ 10d,3835,31.96,42.3,-76.42,0.87,0.42,68.0,HFEA-Tech 70/30 TQQQ/TMF,10
HFEA-Tech 70/30 TQQQ/TMF @ 5d,3835,31.96,42.3,-76.42,0.87,0.42,68.0,HFEA-Tech 70/30 TQQQ/TMF,5
HFEA-Tech 70/30 TQQQ/TMF @ 3d,3835,31.96,42.3,-76.42,0.87,0.42,68.0,HFEA-Tech 70/30 TQQQ/TMF,3
100% SOXL @ 21d,3835,31.95,89.02,-90.46,0.76,0.35,68.0,100% SOXL,21
100% SOXL @ 10d,3835,31.95,89.02,-90.46,0.76,0.35,68.0,100% SOXL,10
100% SOXL @ 5d,3835,31.95,89.02,-90.46,0.76,0.35,68.0,100% SOXL,5
100% SOXL @ 3d,3835,31.95,89.02,-90.46,0.76,0.35,68.0,100% SOXL,3
3sleeve 60/10/30 TQQQ/TMF/UGL @ 21d,3835,31.49,38.26,-66.63,0.91,0.47,64.5,3sleeve 60/10/30 TQQQ/TMF/UGL,21
3sleeve 60/10/30 TQQQ/TMF/UGL @ 10d,3835,31.49,38.26,-66.63,0.91,0.47,64.5,3sleeve 60/10/30 TQQQ/TMF/UGL,10
3sleeve 60/10/30 TQQQ/TMF/UGL @ 5d,3835,31.49,38.26,-66.63,0.91,0.47,64.5,3sleeve 60/10/30 TQQQ/TMF/UGL,5
3sleeve 60/10/30 TQQQ/TMF/UGL @ 3d,3835,31.49,38.26,-66.63,0.91,0.47,64.5,3sleeve 60/10/30 TQQQ/TMF/UGL,3
EW5 UPRO/TQQQ/SOXL/TMF/UGL @ 3d,3835,31.32,38.82,-68.73,0.9,0.46,63.2,EW5 UPRO/TQQQ/SOXL/TMF/UGL,3
EW5 UPRO/TQQQ/SOXL/TMF/UGL @ 5d,3835,31.32,38.82,-68.73,0.9,0.46,63.2,EW5 UPRO/TQQQ/SOXL/TMF/UGL,5
EW5 UPRO/TQQQ/SOXL/TMF/UGL @ 10d,3835,31.32,38.82,-68.73,0.9,0.46,63.2,EW5 UPRO/TQQQ/SOXL/TMF/UGL,10
EW5 UPRO/TQQQ/SOXL/TMF/UGL @ 21d,3835,31.32,38.82,-68.73,0.9,0.46,63.2,EW5 UPRO/TQQQ/SOXL/TMF/UGL,21
3sleeve 60/20/20 TQQQ/TMF/UGL @ 21d,3835,30.87,37.36,-69.77,0.91,0.44,60.0,3sleeve 60/20/20 TQQQ/TMF/UGL,21
3sleeve 60/20/20 TQQQ/TMF/UGL @ 10d,3835,30.87,37.36,-69.77,0.91,0.44,60.0,3sleeve 60/20/20 TQQQ/TMF/UGL,10
3sleeve 60/20/20 TQQQ/TMF/UGL @ 5d,3835,30.87,37.36,-69.77,0.91,0.44,60.0,3sleeve 60/20/20 TQQQ/TMF/UGL,5
3sleeve 60/20/20 TQQQ/TMF/UGL @ 3d,3835,30.87,37.36,-69.77,0.91,0.44,60.0,3sleeve 60/20/20 TQQQ/TMF/UGL,3
3sleeve 60/30/10 TQQQ/TMF/UGL @ 21d,3835,29.94,37.09,-72.69,0.89,0.41,53.8,3sleeve 60/30/10 TQQQ/TMF/UGL,21
3sleeve 60/30/10 TQQQ/TMF/UGL @ 10d,3835,29.94,37.09,-72.69,0.89,0.41,53.8,3sleeve 60/30/10 TQQQ/TMF/UGL,10
3sleeve 60/30/10 TQQQ/TMF/UGL @ 5d,3835,29.94,37.09,-72.69,0.89,0.41,53.8,3sleeve 60/30/10 TQQQ/TMF/UGL,5
3sleeve 60/30/10 TQQQ/TMF/UGL @ 3d,3835,29.94,37.09,-72.69,0.89,0.41,53.8,3sleeve 60/30/10 TQQQ/TMF/UGL,3
100% QLD @ 3d,3835,29.1,41.29,-63.68,0.83,0.46,48.7,100% QLD,3
100% QLD @ 5d,3835,29.1,41.29,-63.68,0.83,0.46,48.7,100% QLD,5
100% QLD @ 10d,3835,29.1,41.29,-63.68,0.83,0.46,48.7,100% QLD,10
100% QLD @ 21d,3835,29.1,41.29,-63.68,0.83,0.46,48.7,100% QLD,21
3sleeve 50/10/40 TQQQ/TMF/UGL @ 3d,3835,28.83,33.9,-61.72,0.92,0.47,47.2,3sleeve 50/10/40 TQQQ/TMF/UGL,3
3sleeve 50/10/40 TQQQ/TMF/UGL @ 5d,3835,28.83,33.9,-61.72,0.92,0.47,47.2,3sleeve 50/10/40 TQQQ/TMF/UGL,5
3sleeve 50/10/40 TQQQ/TMF/UGL @ 10d,3835,28.83,33.9,-61.72,0.92,0.47,47.2,3sleeve 50/10/40 TQQQ/TMF/UGL,10
3sleeve 50/10/40 TQQQ/TMF/UGL @ 21d,3835,28.83,33.9,-61.72,0.92,0.47,47.2,3sleeve 50/10/40 TQQQ/TMF/UGL,21
HFEA-Tech 60/40 TQQQ/TMF @ 3d,3835,28.69,37.48,-75.46,0.86,0.38,46.4,HFEA-Tech 60/40 TQQQ/TMF,3
HFEA-Tech 60/40 TQQQ/TMF @ 5d,3835,28.69,37.48,-75.46,0.86,0.38,46.4,HFEA-Tech 60/40 TQQQ/TMF,5
HFEA-Tech 60/40 TQQQ/TMF @ 10d,3835,28.69,37.48,-75.46,0.86,0.38,46.4,HFEA-Tech 60/40 TQQQ/TMF,10
HFEA-Tech 60/40 TQQQ/TMF @ 21d,3835,28.69,37.48,-75.46,0.86,0.38,46.4,HFEA-Tech 60/40 TQQQ/TMF,21
4sleeve 20/40/20/20 UPRO/TQQQ/TMF/UGL @ 3d,3835,28.67,34.77,-65.21,0.9,0.44,46.3,4sleeve 20/40/20/20 UPRO/TQQQ/TMF/UGL,3
