un,bh,vxm,cf,tw,rb,dex,ns,tk,full_sr,full_cagr,full_mdd,full_vol,full_navx,is_sr,is_cagr,is_mdd,oos_sr,oos_cagr,oos_mdd,gap,tim,turn_ann,uname
10,0.5,25,3,150,21,True,,,0.557443722834103,0.1160442912687496,-0.3723211615180656,0.25658968782358815,5.815750858824991,0.6667993490199268,0.13739130025764545,-0.30408534351308414,0.4508584717058152,0.0906114372210578,-0.37232116151806627,0.21594087731411155,0.5634743875278396,18.194110368720615,UNIV_10
10,0.5,25,3,150,21,True,,2.0,0.49885284734009855,0.12120154029124208,-0.5993614596034637,0.36213981524911876,6.262004693737478,0.5852304325444408,0.14339415123906174,-0.4142567883367052,0.4281175352808199,0.09478036523586075,-0.5993614596034631,0.15711289726362093,0.5634743875278396,20.828507795100226,UNIV_10
10,0.5,25,3,150,21,True,,3.0,0.6215826479737238,0.1619836092810465,-0.431417325021186,0.3302367149130612,11.10525675280286,0.6596227594505851,0.16044029156796924,-0.36544850903371673,0.5953762694718612,0.16386409467561092,-0.4314173250211859,0.06424648997872395,0.5634743875278396,19.14476614699332,UNIV_10
10,0.5,25,3,150,21,True,,5.0,0.5907141992039533,0.1385130554450631,-0.4067393833374897,0.29319126536535556,8.006087148776533,0.6520552667288471,0.14814002312873153,-0.3761378690942724,0.5340032195313016,0.12690894142221354,-0.37433649308077366,0.11805204719754547,0.5634743875278396,18.7456570155902,UNIV_10
10,0.5,25,3,150,21,True,0.1,,0.5433011200315928,0.09276632749012759,-0.4087185099219268,0.20071174102787642,4.147752580530813,0.8118569904671405,0.14371280092753103,-0.2556900164352245,0.26335641121460096,0.03383131280509488,-0.40871850992192627,0.5485005792525396,0.5634743875278396,16.715367483296212,UNIV_10
10,0.5,25,3,150,21,True,0.1,2.0,0.1761592822028964,0.014216601864629475,-0.6436736920340023,0.2245226077370912,1.254037140137854,0.36864471575977303,0.05886401338585401,-0.40989060168848657,-0.054183208950234076,-0.037573989456423096,-0.6022680586116427,0.42282792471000713,0.5634743875278396,15.902004454342984,UNIV_10
10,0.5,25,3,150,21,True,0.1,3.0,0.3522092691671411,0.05326804321002698,-0.47575405630988155,0.211409177132969,2.298409896772421,0.6368642596664211,0.11677181480360077,-0.23145699951472654,0.020179397697801305,-0.019146216164482976,-0.475754056309883,0.6166848619686198,0.5634743875278396,13.948032665181886,UNIV_10
10,0.5,25,3,150,21,True,0.1,5.0,0.24069148168852775,0.02823066530742846,-0.43523750667952876,0.19872336261669493,1.562718073694727,0.2728732069961748,0.034426852785140794,-0.3945782266741982,0.20404094945720266,0.02074194132813112,-0.4352375066795291,0.06883225753897212,0.5634743875278396,15.77728285077951,UNIV_10
10,0.5,25,3,150,21,True,0.15,,0.4646805289701349,0.08356826054604283,-0.48450533329445356,0.23063848629202946,3.6219735360302288,0.6242469292097031,0.11556683252476496,-0.3176797532621608,0.3055609286450239,0.04587148564763832,-0.48450533329445267,0.3186860005646793,0.5634743875278396,15.549764909675822,UNIV_10
10,0.5,25,3,150,21,True,0.15,2.0,0.566824132268536,0.1290268681706377,-0.49130765702155366,0.2880351399955771,7.000849334635701,0.6272021582994027,0.13592387467009148,-0.37361013364479234,0.5163034282073831,0.1206918925849787,-0.3973513349299209,0.11089873009201967,0.5634743875278396,16.463251670378618,UNIV_10
