bh,vxm,cf,tw,rb,un_u,spy,spyma,ns,dex,full_sr,full_cagr,full_mdd,full_vol,full_navx,is_sr,is_cagr,is_mdd,oos_sr,oos_cagr,oos_mdd,gap,tim,turn_ann
0.5,22,3,150,5,True,True,200,,True,0.3063395376524411,0.04246856822400469,-0.44037510860236095,0.2043861678665652,1.9482855742998666,0.33497000487582085,0.04799965904767145,-0.32681706906025465,0.2731823218030586,0.03577837354999369,-0.32410510452913854,0.06178768307276222,0.5402128186092552,23.196548835969768
0.5,22,3,150,5,True,True,200,0.1,True,0.31047529400829266,0.038418336698083255,-0.44122376109401906,0.16609973253620827,1.8303843822822903,0.48923685291087193,0.06984329915151166,-0.28500727674142756,0.09177171885194815,0.0014264226506273125,-0.33513671884772867,0.3974651340589238,0.5402128186092552,20.47951128452897
0.5,22,3,150,5,True,True,200,0.15,True,0.173629809822108,0.01501747154595412,-0.517129521136046,0.18300381939847715,1.2700110001640361,0.2503389022960337,0.029348719587378946,-0.3271146416873204,0.07998688513772645,-0.002150220443754902,-0.4111284465201007,0.17035201715830728,0.5402128186092552,22.87648394373142
0.5,22,3,150,5,True,True,200,,False,0.3350940302276688,0.04937636676105073,-0.48257663330896183,0.21012863605788804,2.165947929527054,0.4306516287414473,0.06950653824517516,-0.3140672770878936,0.22476939854043354,0.025394703602364288,-0.3965861300558896,0.20588223020101376,0.5402128186092552,19.12958418497525
0.5,22,3,150,5,True,True,200,0.1,False,0.37309079925211625,0.049810938999135024,-0.42725233680978825,0.16861479811757976,2.180376378122085,0.5768466667378143,0.08691916159697266,-0.28952838684311666,0.12206160676234176,0.006366423306426672,-0.32911910716618786,0.45478505997547247,0.5402128186092552,17.490867640009522
0.5,22,3,150,5,True,True,200,0.15,False,0.23541788340913058,0.026760795043000885,-0.5388719243567334,0.18706879157068035,1.5272778682156811,0.3883567540196101,0.056606528278826174,-0.322334337051452,0.04852568900631281,-0.00841728164997202,-0.4481049458399302,0.3398310650132973,0.5402128186092552,18.939787926529704
0.5,22,5,150,5,True,True,200,,True,0.25794228779600614,0.03236003981599467,-0.49752796220829065,0.20806919450540415,1.6664525111242525,0.3304307869502088,0.047280318177983505,-0.3383047261224471,0.17535621354946554,0.014493243070338613,-0.3817831025356313,0.15507457340074324,0.5397178916109874,19.448740893297426
0.5,22,5,150,5,True,True,200,0.1,True,0.2757638333645263,0.03236807617399973,-0.4846752937744514,0.1654531274947662,1.666660545334123,0.44900931993148296,0.06262792781099358,-0.2549399039598388,0.06259597186612259,-0.0032887745756834397,-0.42181206387207115,0.3864133480653604,0.5397178916109874,18.184776515825906
0.5,22,5,150,5,True,True,200,0.15,True,0.12723094408605568,0.006236191837000193,-0.5521340901528584,0.18591334161434744,1.1048297665496047,0.1982576646792091,0.019572355589959622,-0.28787005522848297,0.04276696221075109,-0.00975458979286703,-0.48103650067857306,0.15549070246845803,0.5397178916109874,18.94599285745624
0.5,22,5,150,5,True,True,200,,False,0.29916747918829717,0.041965273250440305,-0.5301110635130519,0.21608497918491104,1.9332567519178832,0.4192315877082516,0.06759062903255719,-0.32612611180457884,0.16502342000470582,0.011615512562217267,-0.43110826080954967,0.25420816770354576,0.5397178916109874,14.59415820216292
