mom_lb,mode,w_eq,w_rt,w_ra,gross,trend_ma,is_sh,is_cagr,is_vol,is_mdd,full_sh,full_cagr,oos_sh,oos_cagr,turnover
189,invvol,0.6,0.25,0.15,1.75,200,0.9388575303709735,0.22617071747070572,0.2509370946150454,-0.2939616831707742,0.8305985688382623,0.21106340660732847,0.7311558302153007,0.19297385151679336,21.272646765349805
189,invvol,0.6,0.25,0.15,1.5,200,0.9367247181315032,0.1950652161947959,0.21508398037428278,-0.2558726942366374,0.831288020581773,0.18422739018304357,0.7346606131089934,0.1712028454140302,19.79367284358413
189,invvol,0.6,0.25,0.15,1.25,200,0.9343600360611893,0.163358937041717,0.1792278181654045,-0.21627599761438931,0.8340182942427307,0.15653008538438162,0.742489560689637,0.14829407127099858,18.12011892693268
189,invvol,0.6,0.25,0.15,1.0,200,0.9318077141371485,0.13119370168929145,0.14338304462454265,-0.17572234758369798,0.8425673587039386,0.12847160136900393,0.7621484649664487,0.12517591927752836,15.88461798505109
126,best,0.6,0.25,0.15,1.75,200,0.9201256459446782,0.31286616188676564,0.37135856724619576,-0.36025678657404514,0.6993281801848555,0.21541600198338373,0.4563599531945835,0.1067848651705734,24.496453876150696
126,best,0.6,0.25,0.15,1.5,200,0.9187836412379485,0.2730877161729237,0.3183013684777087,-0.31407622020386017,0.6998947323288246,0.19342365817895213,0.45904754887009275,0.10338440591240716,22.47554604926696
126,invvol,0.6,0.25,0.15,1.75,200,0.9186658566497369,0.2228124784109775,0.25441298568920795,-0.2583184472583041,0.7776186573326416,0.19438549827520468,0.6419435000416273,0.16076324834012223,21.31351018522998
126,best,0.6,0.25,0.15,1.25,200,0.9170430507875617,0.23102315680025187,0.2652386952906014,-0.2661007438922417,0.7015851050066346,0.16840731620469174,0.46455509395248096,0.09665932601123228,20.432845262956015
126,invvol,0.6,0.25,0.15,1.5,200,0.9167059899098764,0.1924221110862605,0.21806251935076348,-0.22385503434185972,0.7784079608690252,0.1703242711921822,0.6455195491112542,0.14404826262336745,19.74730859990634
126,best,0.6,0.25,0.15,1.0,200,0.9146149175329314,0.18700347850162524,0.21218026023795536,-0.21659611736830608,0.7064505007714866,0.14090190159109106,0.4775053060292747,0.08733646835293629,18.1831113620866
126,invvol,0.6,0.25,0.15,1.25,200,0.9141648091009713,0.1612700288375839,0.1817063766089306,-0.188451203842811,0.780765376254992,0.14517167488699378,0.652852558316876,0.12592873622370648,18.1593140551555
189,invvol,0.5,0.3,0.2,1.75,200,0.9128827115504811,0.19558406542486528,0.22311425012650207,-0.26919563689442316,0.8485171765743559,0.19596480006821748,0.793627207209073,0.19642715434395575,22.34095194732402
189,invvol,0.5,0.3,0.2,1.5,200,0.9107376036341168,0.168560697254033,0.19122952899001922,-0.23357293408166335,0.8492986753320615,0.17040062987167626,0.7973215583795352,0.17263810240732624,20.770071957966397
126,invvol,0.6,0.25,0.15,1.0,200,0.9106258375334428,0.1294698990460701,0.14535349644077478,-0.15197226377922413,0.7875509510915435,0.11932464786193586,0.670109297932215,0.10713123906492816,16.364286395846186
63,invvol,0.4,0.4,0.2,1.75,200,0.908493124065572,0.16986673501850813,0.19338501870236482,-0.2703615389662858,0.7478131329671142,0.14539146864422636,0.5914929006849784,0.11636688847423726,24.46283066329369
189,invvol,0.5,0.3,0.2,1.25,200,0.9083909417743826,0.141100704446931,0.15935377766920128,-0.19702311266855732,0.8541312863136424,0.14468337081764848,0.8093103948562897,0.14904765372439543,18.704180461619348
189,invvol,0.45,0.35,0.2,1.75,200,0.90757034254983,0.18209881641716996,0.20839134992319355,-0.25554840974383564,0.8565705650538986,0.18553781380548418,0.8137830062673033,0.18972601867324124,22.80953445326228
63,invvol,0.4,0.4,0.2,1.5,200,0.9064635054284591,0.14619576309979854,0.16575982596172928,-0.23567934321853512,0.7513884207325024,0.1272513657234784,0.6007749220444655,0.10467415516289491,22.243695826440128
189,invvol,0.5,0.3,0.2,1.0,200,0.9056657298105216,0.11326175514831638,0.12748482269710912,-0.15980047748933845,0.8637718786111722,0.11848982556311327,0.8312787398792609,0.12486942540030999,16.333187533291387
189,invvol,0.45,0.35,0.2,1.5,200,0.9053853099310313,0.15682222223861286,0.17861182244300217,-0.22145614803305458,0.8580455625328587,0.1611869740436367,0.8189348132543164,0.16650768388434956,21.079872348327388
126,invvol,0.5,0.3,0.2,1.75,200,0.905169244902162,0.19718814681255137,0.22760709098853343,-0.24175899041673632,0.7874674765572737,0.17954224348003467,0.6754687994855245,0.1584702109863403,22.43332928210793
63,invvol,0.4,0.4,0.2,1.25,200,0.9040456808434472,0.12220507534392588,0.1381352656824509,-0.19977444318818194,0.75828273718085,0.10868491436961425,0.6171545518337335,0.09249086995873013,19.859557153923433
126,invvol,0.45,0.35,0.2,1.75,200,0.9033286079959673,0.18484969039668275,0.21301422397517084,-0.23575366546805476,0.7844340906401112,0.1679241689632076,0.669823995340591,0.14770207169838434,22.93790962580277
126,invvol,0.5,0.3,0.2,1.5,200,0.9031198970779225,0.1700597448592529,0.1950805630320148,-0.21053359462783627,0.7883232098688223,0.15671158931727525,0.6792774172343462,0.1407121116387704,20.77453381260218
189,invvol,0.45,0.35,0.2,1.25,200,0.9030991026774989,0.13120989326599042,0.14884183241028734,-0.18657495753642894,0.8645160218086574,0.1369133281317556,0.834212604167145,0.14387564721401347,18.809277857610024
126,invvol,0.45,0.35,0.2,1.5,200,0.9011935644037207,0.15926493788530416,0.18257262381244296,-0.2054002022089183,0.7857875800000754,0.14645182532011725,0.6747484867579641,0.13108755736365274,21.17745509083226
